TO_UIUC
1461781848
time,tx_packets
0.001,65625
0.101,65625
0.201,65625
0.301,65625
0.402,65625
0.502,65625
0.602,65625
0.702,65625
0.803,65625
0.903,65625
1.003,65625
1.103,65625
1.203,65625
1.303,65625
1.404,65625
1.504,65625
1.604,65625
1.704,65625
1.805,65625
1.905,65625
2.005,65625
2.105,65625
2.206,65625
2.306,65625
2.406,65634
2.506,65640
2.606,65650
2.706,65660
2.807,65670
2.907,65683
3.007,65693
3.107,65703
3.207,65713
3.308,65723
3.408,65733
3.508,65743
3.608,65754
3.709,65764
3.809,65774
3.909,65784
4.009,65794
4.109,65804
4.210,65814
4.310,65824
4.410,65834
4.510,65844
4.610,65854
4.710,65865
4.811,65874
4.911,65885
5.011,65895
5.111,65905
5.212,65915
5.312,65925
5.412,65935
5.512,65945
5.612,65955
5.713,65965
5.813,65975
5.913,65985
6.013,65995
6.113,66005
6.214,66015
6.314,66025
6.414,66035
6.514,66048
6.615,66058
6.715,66068
6.815,66078
6.915,66088
7.015,66098
7.116,66108
7.216,66119
7.316,66129
7.416,66140
7.516,66150
7.617,66160
7.717,66170
7.817,66180
7.917,66190
8.017,66200
8.118,66210
8.218,66220
8.318,66230
8.418,66240
8.519,66250
8.619,66260
8.719,66270
8.819,66280
8.920,66290
9.020,66300
9.120,66310
9.220,66320
9.320,66330
9.421,66341
9.521,66351
9.621,66361
9.721,66371
9.821,66381
9.922,66391
10.022,66401
10.122,66411
10.222,66421
10.322,66431
10.423,66441
10.523,66451
10.623,66463
10.723,66473
10.823,66484
10.924,66494
11.024,66504
11.124,66514
11.224,66524
11.324,66534
11.425,66544
11.525,66554
11.625,66567
11.725,66577
11.826,66588
11.926,66598
12.026,66608
12.126,66618
12.227,66629
12.327,66639
12.427,66649
12.527,66659
12.627,66667
12.727,66672
12.827,66675
12.928,66675
13.028,66675
13.128,66675
13.228,66675
13.328,66675
13.429,66675
13.529,66675
13.629,66675
13.729,66675
13.830,66675
13.930,66675
14.030,66675
14.130,66675
14.230,66675
14.331,66675
14.431,66675
14.531,66675
14.631,66675
14.731,66675
14.832,66675
14.932,66676
15.032,66676
15.132,66676
15.232,66676
15.333,66676
15.433,66677
15.533,66677
15.633,66677
15.733,66678
15.834,66679
15.934,66680
16.034,66680
16.134,66680
16.234,66680
16.335,66680
16.435,66680
16.535,66680
16.635,66680
16.735,66680
16.836,66680
16.936,66680
17.036,66680
17.136,66680
17.236,66680
17.337,66680
17.437,66680
17.537,66680
17.637,66680
17.737,66680
17.838,66680
17.938,66680
18.038,66680
18.138,66680
18.239,66680
18.339,66680
18.439,66680
18.539,66680
18.640,66680
18.740,66680
18.840,66680
18.940,66680
19.041,66680
19.141,66680
19.241,66680
19.341,66680
19.441,66680
19.542,66680
19.642,66681
19.742,66681
19.842,66682
19.942,66682
20.043,66682
20.143,66682
20.243,66683
20.343,66683
20.444,66683
20.544,66683
20.644,66684
20.744,66684
20.845,66684
20.945,66684
21.045,66684
21.145,66684
21.245,66684
21.346,66684
21.446,66684
21.546,66684
21.646,66684
21.747,66684
21.847,66684
21.947,66684
22.047,66684
22.147,66684
22.248,66684
22.348,66684
22.448,66684
22.548,66684
22.649,66684
22.749,66684
22.849,66684
22.949,66684
23.049,66684
23.150,66684
23.250,66684
23.350,66684
23.450,66684
23.550,66684
23.650,66684
23.751,66685
23.851,66685
23.951,66686
24.051,66686
24.152,66686
24.252,66687
24.352,66687
24.452,66687
24.552,66688
24.653,66689
24.753,66689
24.853,66689
24.953,66689
25.054,66689
25.154,66689
25.254,66689
25.355,66689
25.455,66689
25.555,66689
25.655,66689
25.755,66689
25.856,66689
25.956,66689
26.056,66689
26.156,66689
26.256,66689
26.357,66689
26.457,66689
26.557,66689
26.657,66689
26.758,66689
26.858,66689
26.958,66689
27.058,66689
27.159,66689
27.259,66689
27.359,66689
27.459,66689
27.559,66689
27.659,66689
27.760,66689
27.860,66689
27.960,66689
28.060,66689
28.161,66690
28.261,66691
28.361,66691
28.461,66691
28.562,66693
28.661,66694
28.762,66695
28.862,66695
28.962,66695
29.063,66695
29.163,66695
29.263,66695
29.363,66695
29.463,66695
29.563,66695
29.664,66695
29.764,66695
29.864,66695
29.964,66695
30.064,66695
30.165,66695
30.265,66695
30.365,66695
30.465,66695
30.565,66695
30.666,66695
30.766,66695
30.866,66695
30.966,66695
31.067,66695
31.167,66695
31.267,66695
31.367,66695
31.467,66695
31.568,66695
31.668,66695
31.768,66695
31.868,66695
31.968,66695
32.069,66695
32.169,66695
32.269,66695
32.369,66697
32.470,66697
32.570,66697
32.670,66697
32.770,66697
32.870,66697
32.971,66697
33.071,66699
33.171,66700
33.271,66700
33.371,66700
33.472,66700
33.572,66700
33.672,66700
33.772,66700
33.872,66700
33.973,66700
34.073,66700
34.173,66700
34.273,66700
34.374,66700
34.474,66700
34.574,66700
34.674,66700
34.774,66700
34.875,66700
34.975,66700
35.075,66700
35.175,66700
35.275,66700
35.376,66700
35.476,66700
35.576,66700
35.676,66700
35.777,66700
35.877,66700
35.977,66700
36.077,66700
36.177,66700
36.278,66700
36.378,66700
36.478,66700
36.579,66700
36.679,66700
36.779,66700
36.879,66701
36.979,66701
37.079,66702
37.180,66702
37.280,66702
37.380,66703
37.480,66703
37.580,66703
37.681,66703
37.781,66703
37.881,66703
37.981,66703
38.082,66704
38.181,66704
38.282,66704
38.382,66704
38.482,66704
38.583,66704
38.683,66704
38.783,66704
38.883,66704
38.983,66704
39.084,66704
39.184,66704
39.284,66704
39.384,66704
39.484,66704
39.584,66704
39.685,66704
39.785,66704
39.885,66704
39.985,66704
40.086,66704
40.186,66704
40.286,66704
40.386,66704
40.486,66704
40.587,66704
40.687,66704
40.787,66704
40.887,66704
40.988,66704
41.088,66705
41.188,66705
41.288,66705
41.388,66705
41.488,66706
41.589,66707
41.689,66707
41.789,66707
41.890,66707
41.989,66707
42.090,66707
42.190,66707
42.290,66707
42.390,66707
42.491,66707
42.591,66707
42.691,66708
42.791,66709
42.892,66710
42.992,66710
43.092,66710
43.192,66710
43.292,66710
43.393,66710
43.493,66710
43.593,66710
43.694,66710
43.794,66710
43.894,66710
43.994,66710
44.094,66710
44.198,66710
44.294,66710
44.394,66710
44.495,66710
44.595,66710
44.695,66710
44.795,66710
44.896,66710
44.996,66710
45.096,66710
45.197,66710
45.296,66711
45.397,66711
45.497,66711
45.597,66712
45.697,66713
45.797,66714
45.898,66714
45.998,66714
46.098,66714
46.198,66714
46.299,66714
46.399,66714
46.499,66714
46.600,66714
46.700,66714
46.800,66714
46.900,66714
47.000,66714
47.101,66714
47.201,66714
47.301,66714
47.401,66714
47.501,66714
47.602,66714
47.702,66714
47.802,66714
47.902,66714
48.002,66714
48.103,66714
48.203,66714
48.303,66714
48.403,66714
48.503,66714
48.603,66714
48.704,66714
48.804,66714
48.904,66714
49.003,66714
49.104,66714
49.204,66714
49.304,66714
49.404,66714
49.504,66715
49.604,66715
49.705,66715
49.805,66716
49.905,66716
50.005,66717
50.105,66717
50.205,66717
50.305,66717
50.406,66717
50.506,66717
50.606,66717
50.706,66717
50.807,66717
50.907,66717
51.007,66717
51.107,66717
51.208,66717
51.308,66717
51.408,66717
51.508,66717
51.608,66717
51.709,66717
51.809,66717
51.909,66717
52.009,66717
52.110,66717
52.210,66717
52.310,66717
52.410,66717
52.511,66717
52.611,66717
52.711,66717
52.811,66717
52.911,66717
53.012,66717
53.112,66717
53.212,66717
53.312,66717
53.413,66717
53.513,66717
53.613,66717
53.713,66718
53.814,66718
53.914,66718
54.014,66718
54.114,66719
54.214,66720
54.315,66720
54.415,66720
54.515,66721
54.616,66721
54.716,66721
54.816,66721
54.916,66721
55.016,66721
55.117,66721
55.217,66721
55.317,66721
55.417,66721
55.518,66721
55.618,66721
55.718,66721
55.819,66721
55.919,66721
56.019,66721
56.119,66721
56.220,66721
56.320,66721
56.420,66721
56.520,66721
56.621,66721
56.721,66721
56.821,66721
56.921,66721
57.022,66721
57.122,66721
57.222,66721
57.323,66721
57.423,66721
57.523,66721
57.623,66721
57.723,66721
57.824,66721
57.924,66722
58.024,66722
58.124,66722
59.224,66724
59.324,66724
59.424,66724
59.525,66724
59.625,66724
59.725,66724
59.825,66724
59.925,66724
60.026,66724
60.126,66724
60.226,66724
60.326,66724
60.426,66724
60.527,66724
60.627,66724
60.727,66724
60.827,66724
60.928,66724
