TO_UM
1461781848
time,tx_packets
0.001,97577
0.101,97577
0.201,97577
0.301,97577
0.402,97577
0.502,97577
0.602,97577
0.702,97577
0.802,97577
0.903,97577
1.003,97577
1.103,97577
1.203,97577
1.303,97577
1.404,97577
1.504,97577
1.604,97577
1.704,97577
1.805,97577
1.905,97577
2.005,97577
2.105,97578
2.205,97579
2.306,97579
2.406,97587
2.506,97588
2.606,97588
2.706,97588
2.807,97588
2.907,97589
3.007,97589
3.107,97589
3.207,97589
3.308,97589
3.408,97589
3.508,97589
3.608,97589
3.708,97589
3.809,97589
3.909,97589
4.009,97589
4.109,97589
4.210,97594
4.310,97595
4.410,97595
4.510,97595
4.610,97595
4.710,97595
4.811,97595
4.911,97595
5.011,97595
5.111,97595
5.211,97595
5.312,97595
5.412,97595
5.512,97595
5.612,97595
5.713,97595
5.813,97595
5.913,97595
6.013,97595
6.113,97595
6.214,97595
6.314,97595
6.414,97596
6.514,97601
6.614,97601
6.715,97601
6.815,97601
6.915,97601
7.015,97601
7.116,97601
7.216,97601
7.316,97601
7.416,97603
7.516,97603
7.617,97603
7.717,97603
7.817,97603
7.917,97603
8.017,97603
8.118,97603
8.218,97603
8.318,97603
8.418,97603
8.519,97603
8.619,97603
8.719,97603
8.819,97603
8.919,97603
9.020,97603
9.120,97603
9.220,97603
9.320,97603
9.421,97604
9.521,97604
9.621,97604
9.721,97604
9.821,97604
9.922,97604
10.022,97604
10.122,97604
10.222,97604
10.322,97604
10.422,97604
10.523,97604
10.623,97606
10.723,97607
10.823,97608
10.924,97608
11.024,97608
11.124,97608
11.224,97608
11.324,97609
11.425,97609
11.525,97609
11.625,97614
11.725,97615
11.826,97615
11.926,97615
12.026,97615
12.126,97615
12.227,97616
12.327,97616
12.427,97616
12.527,97616
12.627,97616
12.727,97616
12.827,97617
12.928,97617
13.028,97617
13.128,97617
13.228,97617
13.328,97617
13.429,97617
13.529,97617
13.629,97617
13.729,97617
13.829,97617
13.930,97617
14.030,97617
14.130,97617
14.230,97617
14.331,97617
14.431,97617
14.531,97617
14.631,97617
14.731,97617
14.832,97617
14.932,97619
15.032,97619
15.132,97619
15.232,97619
15.333,97619
15.433,97620
15.533,97621
15.633,97621
15.733,97621
15.834,97623
15.934,97623
16.034,97626
16.134,97627
16.234,97627
