TO_CLIENT
1461790146
time,tx_packets
0.001,41008
0.101,41008
0.201,41008
0.301,41008
0.402,41008
0.502,41008
0.602,41008
0.702,41008
0.802,41009
0.903,41009
1.003,41009
1.103,41014
1.203,41019
1.303,41024
1.404,41029
1.504,41034
1.604,41039
1.704,41044
1.804,41049
1.905,41054
2.005,41059
2.105,41064
2.205,41069
2.305,41074
2.405,41079
2.506,41084
2.606,41089
2.706,41094
2.806,41099
2.906,41104
3.007,41109
3.107,41114
3.207,41119
3.307,41124
3.407,41129
3.507,41134
3.608,41139
3.708,41144
3.808,41149
3.908,41154
4.008,41159
4.109,41164
4.209,41169
4.309,41174
4.409,41179
4.509,41184
4.610,41189
4.710,41194
4.810,41199
4.910,41204
5.010,41209
5.110,41214
5.211,41219
5.311,41224
5.412,41230
5.511,41234
5.611,41239
5.711,41245
5.812,41250
5.912,41255
6.012,41260
6.112,41266
6.212,41271
6.312,41276
6.413,41281
6.513,41286
6.613,41291
6.713,41296
6.813,41301
6.913,41306
7.013,41311
7.113,41316
7.214,41321
7.313,41326
7.414,41331
7.514,41336
7.614,41341
7.714,41346
7.815,41351
7.915,41356
8.015,41361
8.115,41366
8.215,41371
8.315,41376
8.416,41381
8.516,41386
8.616,41391
8.716,41396
8.816,41401
8.917,41406
9.017,41411
9.117,41416
9.217,41421
9.317,41426
9.418,41431
9.517,41436
9.617,41440
9.718,41446
9.818,41451
9.918,41456
10.018,41461
10.119,41466
10.219,41471
10.319,41476
10.419,41481
10.519,41486
10.620,41491
10.720,41496
10.820,41501
10.920,41506
11.020,41511
11.120,41516
11.221,41521
11.321,41526
11.421,41531
11.521,41536
11.621,41541
11.722,41546
11.822,41551
11.922,41556
12.022,41561
12.123,41566
12.223,41571
12.323,41576
12.423,41581
12.523,41586
12.623,41591
12.724,41596
12.824,41601
12.924,41606
13.024,41611
13.125,41616
13.225,41621
13.325,41626
13.425,41631
13.525,41636
13.625,41641
13.726,41646
13.826,41651
13.926,41656
14.026,41661
14.126,41666
14.226,41671
14.327,41676
14.427,41681
14.527,41686
14.627,41690
14.728,41696
14.828,41701
14.928,41705
15.028,41711
15.128,41716
15.229,41721
15.329,41726
15.429,41731
15.529,41736
15.629,41741
15.730,41746
15.830,41751
15.930,41756
16.030,41761
16.130,41766
16.230,41771
16.330,41776
16.431,41781
16.531,41786
16.631,41791
16.731,41796
16.831,41801
16.932,41806
17.032,41812
17.132,41817
17.232,41822
17.332,41827
17.432,41832
17.533,41837
17.633,41842
17.733,41847
17.833,41852
17.933,41857
18.033,41862
18.133,41867
18.234,41872
18.334,41877
18.434,41882
18.534,41887
18.634,41892
18.735,41897
18.835,41902
18.935,41907
19.035,41912
19.135,41917
19.236,41922
19.336,41927
19.436,41932
19.536,41937
19.636,41942
19.737,41947
19.837,41952
19.937,41957
20.037,41962
20.137,41967
20.237,41972
20.337,41977
20.438,41982
20.538,41987
20.638,41992
20.738,41997
20.839,42002
20.939,42007
21.039,42012
21.139,42017
21.239,42022
21.340,42027
21.440,42032
21.540,42037
21.640,42042
21.740,42047
21.841,42052
21.941,42057
22.041,42058
22.141,42059
22.241,42061
22.342,42064
23.442,42089
23.542,42091
23.642,42093
23.742,42095
23.843,42097
23.943,42100
24.043,42102
24.143,42103
24.243,42107
24.344,42110
24.444,42112
24.544,42115
24.644,42118
24.744,42121
24.844,42125
24.944,42128
25.045,42131
25.145,42160
25.245,42169
25.345,42176
25.445,42176
25.545,42185
25.646,42194
25.746,42197
25.846,42200
25.946,42203
26.047,42206
26.147,42216
26.247,42224
26.347,42227
26.447,42230
26.547,42233
26.648,42236
26.748,42237
26.848,42237
26.948,42240
27.048,42248
27.148,42257
27.249,42266
27.349,42275
27.449,42284
27.549,42293
27.649,42302
27.749,42310
27.849,42319
27.950,42328
28.050,42336
28.150,42345
28.250,42353
28.350,42362
28.450,42369
28.550,42376
28.650,42385
28.750,42392
28.850,42399
28.950,42406
29.051,42413
29.151,42418
29.251,42423
29.351,42428
29.451,42433
29.551,42438
29.651,42443
29.751,42448
29.851,42453
29.952,42458
30.052,42462
30.152,42468
30.252,42474
30.352,42479
30.452,42484
30.552,42489
30.652,42493
30.752,42499
30.853,42504
30.953,42509
31.053,42513
31.153,42519
31.253,42524
31.353,42529
31.453,42534
31.553,42539
31.653,42543
31.753,42549
31.854,42553
31.954,42559
32.054,42564
32.154,42569
32.254,42574
32.354,42579
32.454,42584
32.555,42589
32.655,42594
32.755,42599
32.855,42604
32.955,42609
33.055,42614
33.156,42619
33.256,42623
33.356,42627
33.456,42633
33.557,42636
33.657,42643
33.757,42649
33.857,42654
33.957,42659
34.057,42664
34.158,42669
34.258,42674
34.358,42679
34.458,42684
34.558,42689
34.659,42691
34.759,42699
34.859,42703
34.959,42703
35.059,42707
35.160,42716
35.260,42724
35.360,42729
35.460,42734
35.560,42739
35.661,42744
35.761,42749
35.861,42754
35.961,42759
36.061,42764
36.162,42769
36.262,42774
36.362,42779
36.462,42784
36.562,42789
36.663,42794
36.763,42799
36.863,42804
36.963,42809
37.063,42814
37.163,42819
37.264,42824
37.364,42829
37.464,42834
37.564,42839
37.664,42844
37.764,42849
37.865,42854
37.965,42859
38.065,42864
38.165,42869
38.265,42874
38.366,42879
38.466,42884
38.566,42889
38.666,42894
38.766,42899
38.867,42904
38.967,42909
39.067,42914
39.167,42919
39.267,42924
39.367,42929
39.468,42934
39.568,42939
39.668,42944
39.768,42949
39.868,42954
39.968,42959
40.069,42964
40.169,42968
40.269,42974
40.369,42979
40.469,42984
40.570,42989
40.670,42994
40.770,42999
40.870,43004
40.970,43009
41.070,43014
41.170,43019
41.270,43024
41.371,43029
41.471,43034
41.571,43039
41.671,43044
41.771,43049
41.871,43051
41.972,43059
42.072,43064
42.172,43069
42.272,43074
42.372,43079
42.473,43085
42.573,43090
42.673,43092
42.773,43100
42.873,43104
42.973,43108
43.074,43115
43.174,43120
43.274,43125
43.374,43130
43.474,43135
43.575,43140
43.675,43143
43.775,43145
43.875,43147
43.975,43152
44.075,43153
44.176,43154
44.276,43154
44.376,43155
44.476,43157
44.576,43159
44.677,43161
44.777,43162
44.877,43172
44.977,43182
45.077,43184
45.178,43186
45.278,43188
45.378,43190
45.478,43192
45.579,43194
45.679,43197
45.779,43199
45.879,43200
45.979,43203
46.079,43206
46.179,43208
46.279,43210
46.379,43213
46.480,43217
46.580,43220
46.680,43223
46.780,43226
46.880,43229
46.981,43232
47.081,43235
47.181,43271
47.281,43280
47.381,43289
47.481,43297
47.582,43306
47.682,43314
47.782,43316
47.882,43319
47.982,43320
48.082,43323
48.183,43327
48.283,43330
48.383,43333
48.483,43336
48.583,43339
48.683,43341
48.784,43346
48.884,43349
48.984,43359
49.084,43370
49.184,43383
49.284,43398
49.385,43403
49.485,43414
49.585,43427
49.685,43437
49.785,43446
49.885,43455
49.986,43460
50.086,43466
50.186,43470
50.286,43476
50.386,43481
50.487,43486
50.587,43491
50.687,43496
50.787,43501
50.887,43506
50.987,43511
51.088,43516
51.188,43521
51.288,43526
51.388,43531
51.488,43536
51.588,43541
51.689,43546
51.789,43551
51.889,43556
51.989,43560
52.089,43566
52.190,43571
52.290,43576
52.390,43581
52.490,43586
52.590,43591
52.690,43596
52.790,43601
52.890,43606
52.991,43611
53.091,43616
53.191,43621
53.291,43626
53.391,43631
53.491,43636
53.592,43641
53.692,43646
53.792,43651
53.892,43656
53.992,43661
54.092,43667
54.193,43672
54.293,43677
54.393,43682
54.493,43687
54.593,43692
54.694,43694
54.794,43701
54.894,43707
54.994,43712
55.094,43717
55.194,43722
55.295,43727
55.395,43733
55.495,43738
55.595,43743
55.695,43748
55.795,43753
55.896,43758
55.996,43763
56.096,43768
56.196,43773
56.297,43778
56.397,43783
56.497,43788
56.597,43793
56.697,43798
56.798,43803
56.898,43808
56.998,43813
57.098,43818
57.198,43823
57.298,43828
57.399,43833
57.499,43838
57.599,43843
57.699,43848
57.799,43853
57.900,43858
58.000,43863
58.100,43868
58.200,43873
58.300,43878
58.401,43883
58.501,43888
58.601,43893
58.701,43898
58.801,43903
58.901,43908
59.002,43913
59.102,43918
59.202,43923
59.302,43928
59.402,43933
59.503,43938
59.603,43943
59.703,43948
59.803,43953
59.903,43958
60.003,43961
60.103,43967
60.204,43973
60.304,43978
60.404,43983
60.504,43988
60.604,43993
60.704,43998
60.805,44003
60.905,44008
61.005,44013
61.105,44018
61.205,44023
61.306,44028
61.406,44033
61.506,44038
61.606,44043
61.706,44047
61.807,44047
61.907,44047
62.007,44054
62.107,44059
62.207,44065
62.308,44074
62.408,44082
62.508,44088
62.608,44093
62.708,44098
62.809,44103
62.909,44108
63.009,44113
63.109,44118
63.209,44123
63.309,44128
63.410,44133
63.510,44138
63.610,44143
63.710,44148
63.810,44153
63.911,44158
64.011,44163
64.111,44168
64.211,44173
64.311,44178
64.418,44184
64.511,44188
64.612,44193
64.712,44198
64.812,44203
64.912,44205
65.012,44210
65.113,44218
65.213,44224
65.313,44229
65.414,44234
65.513,44238
65.613,44242
65.714,44242
65.814,44243
65.914,44245
66.014,44247
66.114,44249
66.215,44251
66.315,44257
66.416,44259
66.515,44268
66.615,44274
66.716,44277
66.816,44280
66.916,44282
67.016,44284
67.116,44286
67.216,44289
67.317,44292
67.417,44296
67.517,44299
67.617,44324
67.717,44326
67.818,44329
67.918,44336
68.018,44341
68.118,44351
68.218,44360
68.318,44368
68.418,44377
68.518,44387
68.619,44394
68.719,44399
68.819,44404
68.919,44409
69.020,44415
69.120,44419
69.220,44425
69.320,44430
69.420,44435
69.520,44440
69.621,44444
69.721,44450
69.821,44455
69.921,44460
70.022,44465
70.121,44470
70.222,44475
70.322,44480
70.422,44485
70.523,44490
70.623,44495
70.723,44500
70.823,44505
70.923,44510
71.024,44515
71.124,44520
71.224,44525
71.324,44530
71.424,44535
71.524,44540
71.625,44545
71.725,44550
71.825,44555
71.925,44560
72.025,44565
72.125,44570
72.226,44575
72.326,44580
72.426,44585
72.526,44590
72.626,44595
72.726,44600
72.827,44605
72.927,44610
73.027,44615
73.127,44620
73.227,44625
73.328,44630
73.428,44635
73.528,44640
73.628,44645
73.728,44650
73.828,44655
73.929,44660
74.029,44665
74.129,44670
74.229,44675
74.329,44680
74.429,44685
74.530,44690
74.630,44694
74.730,44700
74.830,44705
74.930,44710
75.030,44715
75.131,44720
75.231,44725
75.331,44730
75.431,44735
75.531,44740
75.632,44745
75.732,44750
75.832,44755
75.932,44760
76.032,44765
76.133,44770
76.233,44776
76.333,44780
76.433,44786
76.533,44791
76.633,44796
76.734,44801
76.834,44806
76.934,44810
77.034,44813
77.134,44821
77.235,44826
77.335,44831
77.435,44836
77.535,44841
77.635,44846
77.736,44848
77.836,44856
77.936,44858
78.036,44865
78.136,44871
78.237,44876
78.337,44881
78.437,44886
78.537,44891
78.637,44896
78.738,44900
78.838,44906
78.938,44908
79.038,44916
79.138,44921
79.238,44926
79.339,44931
79.439,44936
79.539,44941
79.639,44946
79.739,44951
79.840,44956
79.940,44961
80.040,44962
80.140,44971
80.240,44976
80.341,44981
80.441,44986
80.541,44991
80.641,44996
80.741,45001
80.841,45006
80.942,45011
81.042,45016
81.142,45021
81.242,45026
81.342,45031
81.443,45036
81.543,45041
81.643,45046
81.743,45051
81.843,45056
81.944,45061
82.044,45066
82.144,45071
82.244,45076
82.344,45081
82.444,45086
82.545,45091
82.645,45096
82.745,45101
82.845,45106
82.945,45111
83.045,45116
83.146,45121
83.246,45126
83.346,45131
83.447,45136
83.547,45141
83.647,45146
83.747,45151
83.847,45156
83.947,45161
84.048,45166
84.148,45171
84.248,45176
84.348,45181
84.448,45186
84.549,45191
84.649,45196
84.749,45201
84.849,45206
84.949,45211
85.049,45216
85.149,45221
85.249,45226
85.350,45231
85.450,45236
85.550,45241
85.650,45246
85.750,45251
85.851,45256
85.951,45261
86.051,45266
86.151,45271
86.251,45276
86.352,45281
86.452,45286
86.552,45291
86.652,45296
86.752,45301
86.853,45306
86.953,45311
87.053,45316
87.153,45322
87.253,45327
87.353,45332
87.454,45337
87.554,45342
87.654,45347
87.754,45352
87.854,45357
87.954,45362
88.055,45367
88.155,45372
88.255,45377
88.355,45382
88.455,45387
88.556,45392
88.656,45397
88.756,45402
88.856,45407
88.956,45412
89.056,45417
89.156,45422
89.257,45427
89.357,45432
89.457,45437
89.557,45442
89.658,45447
89.758,45452
89.858,45457
89.958,45462
90.058,45467
90.158,45472
90.259,45477
90.359,45482
90.459,45487
90.559,45492
90.659,45498
90.760,45503
90.860,45508
90.960,45513
91.060,45518
91.160,45523
91.261,45528
91.361,45533
91.461,45538
91.561,45543
91.661,45548
91.761,45553
91.861,45558
91.962,45563
92.062,45568
92.162,45573
92.262,45578
92.362,45583
92.463,45588
92.563,45593
92.664,45598
92.763,45603
92.863,45608
92.964,45613
93.064,45618
93.164,45623
93.264,45628
93.364,45633
93.464,45638
93.564,45643
93.664,45648
93.765,45653
93.865,45657
93.965,45660
94.065,45666
94.165,45670
94.265,45676
94.365,45683
94.465,45688
94.565,45693
94.666,45698
94.766,45703
94.866,45707
94.966,45707
95.066,45712
95.167,45721
95.267,45728
95.367,45733
95.467,45738
95.567,45743
