TO_UIUC
1461801732
time,tx_packets
0.001,7097
0.101,7097
0.201,7097
0.301,7097
0.402,7097
0.502,7097
0.602,7097
0.702,7097
0.802,7097
0.903,7098
1.003,7099
1.103,7099
1.203,7099
1.303,7102
1.404,7107
1.504,7116
1.604,7126
1.704,7136
1.805,7147
1.905,7157
2.005,7167
2.105,7177
2.205,7187
2.306,7197
2.406,7207
2.506,7217
2.606,7230
2.707,7240
2.807,7251
2.907,7261
3.007,7271
3.107,7281
3.208,7291
3.308,7301
3.408,7311
3.508,7321
3.608,7331
3.709,7341
3.809,7351
3.909,7362
4.009,7372
4.110,7382
4.210,7392
4.310,7402
4.410,7412
4.510,7422
4.611,7432
4.711,7442
4.811,7452
4.911,7462
5.011,7472
5.112,7483
5.212,7494
5.312,7504
5.412,7515
5.513,7525
5.613,7535
5.713,7545
5.813,7555
5.913,7566
6.014,7576
6.114,7586
6.214,7596
6.314,7606
6.414,7616
6.514,7626
6.615,7636
6.715,7646
6.815,7656
6.915,7666
7.015,7676
7.116,7686
7.216,7696
7.316,7706
7.417,7716
7.517,7726
7.617,7736
7.717,7746
7.817,7756
7.917,7766
8.018,7776
8.118,7787
8.218,7797
8.318,7807
8.418,7817
8.519,7827
8.619,7837
8.719,7847
8.819,7857
8.920,7867
9.020,7877
9.120,7887
9.220,7897
9.320,7907
9.421,7918
9.521,7929
9.621,7939
9.721,7950
9.822,7960
9.922,7970
10.022,7981
10.122,7991
10.222,8001
10.323,8009
10.423,8021
10.523,8031
10.624,8041
10.724,8051
10.824,8061
10.924,8071
11.025,8082
11.125,8092
11.225,8103
11.325,8113
11.426,8123
11.526,8131
11.626,8136
11.726,8140
11.827,8140
11.927,8140
12.027,8140
12.127,8140
12.228,8140
12.328,8140
12.428,8140
12.528,8141
12.629,8141
12.729,8141
12.829,8141
12.930,8141
13.030,8141
13.130,8141
13.230,8141
13.330,8141
13.430,8141
13.531,8141
13.631,8141
13.731,8141
13.831,8141
13.932,8141
14.032,8141
14.132,8142
14.232,8143
14.333,8143
14.433,8143
14.533,8144
14.633,8144
14.734,8144
14.834,8144
14.934,8144
15.034,8144
15.135,8144
15.235,8144
15.335,8144
15.435,8144
15.536,8145
15.636,8145
15.736,8146
15.836,8146
15.936,8146
