TO_UM
1461790047
time,tx_packets
0.001,133449
0.101,133449
0.201,133449
0.301,133449
0.402,133450
0.502,133450
0.602,133450
0.702,133450
0.803,133450
0.905,133450
1.003,133450
1.103,133450
1.203,133450
1.304,133450
1.404,133450
1.504,133450
1.605,133450
1.705,133450
1.805,133450
1.905,133450
2.006,133450
2.106,133450
2.206,133450
2.306,133452
2.406,133452
2.507,133452
2.607,133452
2.707,133452
2.807,133453
2.908,133454
3.008,133454
3.108,133454
3.208,133454
3.309,133455
3.409,133455
3.509,133455
3.610,133455
3.710,133455
3.810,133455
3.911,133458
4.011,133459
4.111,133459
4.211,133459
4.311,133459
4.412,133459
4.512,133459
4.612,133459
4.712,133459
4.813,133460
4.913,133460
5.013,133460
5.114,133460
5.214,133460
5.314,133460
5.414,133461
5.514,133461
5.615,133461
5.715,133461
5.815,133461
5.916,133461
6.016,133461
6.116,133461
6.216,133461
6.317,133461
6.417,133461
6.517,133463
6.618,133463
6.718,133463
6.818,133464
6.919,133464
7.019,133464
7.119,133465
7.219,133465
7.320,133465
7.420,133465
7.520,133465
7.620,133465
7.720,133466
7.821,133466
7.921,133466
8.021,133470
8.122,133472
8.222,133472
8.322,133472
8.423,133472
8.523,133472
8.623,133472
8.723,133472
8.824,133472
8.924,133472
9.024,133472
9.124,133473
9.225,133473
9.325,133473
9.425,133473
9.525,133473
9.626,133473
9.726,133473
9.826,133473
9.927,133473
10.027,133473
10.127,133473
10.227,133473
10.327,133473
10.428,133473
10.528,133473
10.628,133473
10.729,133473
10.829,133473
10.929,133473
11.029,133476
11.129,133476
11.229,133476
11.330,133477
11.430,133477
11.530,133477
11.630,133477
11.730,133477
11.831,133477
11.931,133477
12.031,133478
12.132,133482
12.232,133482
12.332,133482
12.432,133482
12.533,133482
12.633,133482
12.733,133482
12.833,133482
12.934,133482
13.034,133482
13.134,133482
13.234,133483
13.334,133483
13.435,133483
13.535,133483
13.635,133483
13.735,133483
13.835,133483
13.936,133483
14.036,133483
14.136,133483
14.236,133483
14.336,133483
14.437,133483
14.537,133483
14.637,133483
14.737,133483
14.837,133483
14.938,133483
15.038,133483
15.138,133483
15.238,133484
15.339,133485
15.439,133485
15.539,133486
15.639,133487
15.739,133487
15.840,133487
15.940,133487
16.040,133487
16.140,133487
16.240,133487
16.341,133493
16.441,133494
16.541,133494
16.641,133494
16.742,133494
16.842,133494
16.942,133494
17.042,133494
17.142,133494
17.243,133494
17.343,133494
17.443,133495
17.543,133495
17.643,133495
17.744,133495
17.844,133495
17.944,133495
18.044,133495
18.144,133495
18.245,133496
18.345,133496
18.445,133496
18.545,133496
18.645,133497
18.746,133497
18.846,133497
18.946,133497
19.046,133497
19.147,133497
19.247,133497
19.347,133497
19.447,133497
19.548,133497
19.648,133499
19.748,133501
19.848,133501
19.948,133501
20.049,133501
20.149,133501
20.249,133501
20.349,133501
20.449,133501
20.550,133501
20.650,133501
20.750,133501
20.850,133505
20.951,133506
21.051,133507
21.151,133507
21.251,133507
21.351,133507
21.452,133507
21.552,133507
21.652,133508
21.752,133508
21.852,133508
21.953,133508
22.053,133508
22.153,133508
22.253,133508
22.353,133508
22.454,133508
22.554,133508
22.654,133508
22.754,133508
22.855,133508
22.955,133508
23.055,133508
23.155,133508
23.255,133508
23.355,133508
23.456,133508
23.556,133508
23.656,133508
23.756,133508
23.856,133508
23.957,133508
24.057,133508
24.157,133515
24.257,133518
24.357,133518
24.457,133518
24.558,133518
24.658,133518
24.758,133518
24.858,133518
24.959,133524
25.059,133525
25.159,133525
25.259,133525
25.359,133525
25.459,133525
25.559,133525
25.660,133525
25.760,133525
25.860,133526
25.960,133526
26.060,133527
26.161,133527
26.261,133527
26.361,133527
26.461,133527
26.561,133527
26.661,133527
26.762,133527
26.862,133527
26.962,133527
27.062,133527
27.163,133527
27.263,133527
27.363,133527
27.463,133527
27.563,133527
27.663,133527
27.764,133527
