TO_CLIENT
1461790311
time,tx_packets
0.001,47551
0.101,47551
0.201,47551
0.301,47551
0.402,47551
0.502,47551
0.602,47551
0.702,47551
0.802,47551
0.903,47551
1.003,47551
1.103,47551
1.203,47551
1.303,47551
1.403,47551
1.503,47551
1.604,47551
1.704,47551
1.804,47551
1.904,47551
2.004,47551
2.105,47551
2.205,47551
2.305,47551
2.405,47551
2.505,47551
2.606,47551
2.706,47551
2.806,47551
2.906,47551
3.007,47551
3.107,47551
3.207,47551
3.307,47551
3.407,47551
3.507,47551
3.608,47551
3.708,47551
3.808,47551
3.908,47551
4.008,47551
4.109,47551
4.209,47551
4.309,47551
4.409,47551
4.509,47551
4.610,47551
4.710,47551
4.810,47551
4.910,47551
5.010,47551
5.111,47551
5.211,47551
5.311,47551
5.411,47551
5.511,47551
5.612,47551
5.712,47551
5.812,47551
5.912,47551
6.013,47551
6.113,47551
6.213,47551
6.313,47551
6.413,47551
6.514,47551
6.614,47551
6.714,47551
6.814,47551
6.914,47551
7.014,47551
7.115,47551
7.215,47551
7.315,47551
7.415,47551
7.515,47551
7.616,47551
7.716,47551
7.816,47551
7.916,47551
8.016,47551
8.117,47551
8.217,47551
8.317,47551
8.417,47551
8.517,47551
8.618,47551
8.718,47551
8.818,47551
8.918,47551
9.018,47551
9.119,47551
9.219,47551
9.319,47551
9.419,47551
9.519,47551
9.620,47551
9.720,47551
9.820,47551
9.920,47551
10.020,47551
10.121,47551
10.221,47551
10.321,47551
10.421,47551
10.521,47551
10.622,47551
10.722,47551
10.822,47551
10.923,47551
11.023,47551
11.123,47551
11.223,47551
11.323,47551
11.423,47551
11.524,47551
11.624,47551
11.724,47551
11.824,47551
11.925,47551
12.025,47551
12.125,47551
12.225,47551
12.326,47551
12.426,47551
12.526,47551
12.626,47551
12.726,47551
12.827,47551
12.927,47551
13.027,47551
13.127,47551
13.227,47551
13.327,47551
13.428,47551
13.528,47551
13.628,47551
13.728,47551
13.828,47551
13.929,47551
14.029,47551
14.129,47551
14.229,47551
14.329,47551
14.430,47551
14.530,47551
14.630,47551
14.730,47551
14.830,47551
14.931,47551
15.031,47551
15.131,47551
15.231,47551
15.331,47551
15.431,47551
15.532,47551
15.632,47551
15.732,47551
15.832,47551
15.933,47551
16.033,47551
16.133,47551
16.233,47551
16.334,47551
16.434,47551
16.534,47551
16.635,47551
16.735,47551
16.835,47551
16.936,47551
17.035,47551
17.136,47551
17.236,47551
17.336,47551
17.436,47551
17.537,47551
17.637,47551
17.743,47551
17.837,47551
17.937,47551
18.037,47551
18.138,47551
18.238,47551
18.339,47551
18.439,47551
18.539,47551
18.639,47551
18.740,47551
18.840,47551
18.940,47551
19.040,47551
19.141,47551
19.241,47551
19.341,47551
19.441,47551
19.541,47551
19.642,47551
19.742,47551
19.842,47551
19.942,47551
20.043,47551
20.143,47551
20.243,47551
20.343,47551
20.444,47551
20.544,47551
20.644,47551
20.745,47551
20.845,47551
20.945,47551
21.045,47551
21.146,47551
21.246,47551
21.346,47551
21.446,47551
21.547,47551
21.647,47551
21.747,47551
21.847,47551
21.948,47551
22.048,47551
22.148,47551
22.248,47551
22.348,47551
22.449,47551
22.549,47551
22.649,47551
22.749,47551
22.849,47551
22.950,47551
23.050,47551
23.150,47551
23.250,47551
23.350,47551
23.451,47551
23.551,47551
23.651,47551
23.751,47551
23.851,47551
23.952,47551
24.052,47551
24.152,47551
24.252,47551
24.352,47551
24.452,47551
24.553,47551
24.653,47551
24.753,47551
24.854,47551
24.954,47551
25.054,47551
25.155,47551
25.255,47551
25.355,47551
25.455,47551
25.556,47551
25.656,47551
25.756,47551
25.856,47551
25.956,47551
26.057,47551
26.157,47551
26.257,47551
26.357,47551
26.458,47551
26.558,47551
26.658,47551
26.758,47551
26.859,47551
26.959,47551
27.059,47551
27.159,47551
27.260,47551
27.360,47551
27.460,47551
27.561,47551
27.661,47551
27.761,47551
27.862,47551
27.961,47551
28.062,47551
28.162,47551
28.263,47551
28.363,47551
28.463,47551
28.563,47551
28.663,47551
28.764,47551
28.864,47551
28.965,47551
29.065,47551
29.165,47551
29.265,47551
29.366,47551
29.466,47551
29.566,47551
29.666,47551
30.766,47551
30.867,47551
30.967,47551
31.067,47551
31.167,47551
31.268,47551
31.368,47551
31.469,47551
31.569,47551
31.669,47551
31.769,47551
31.869,47551
31.970,47551
32.070,47551
32.170,47551
32.271,47551
32.371,47551
32.471,47551
32.571,47551
32.671,47551
32.772,47551
32.872,47551
32.972,47551
33.073,47551
33.173,47551
33.273,47551
33.373,47551
33.473,47551
33.574,47551
33.674,47551
33.774,47551
33.874,47551
33.974,47551
34.075,47551
34.175,47551
34.275,47551
34.375,47551
34.476,47551
34.576,47551
34.676,47551
34.776,47551
34.876,47551
34.976,47551
35.077,47551
35.176,47551
35.277,47551
35.377,47551
35.478,47551
35.578,47551
35.678,47551
35.778,47551
35.878,47551
35.978,47551
36.078,47551
36.179,47551
36.279,47551
36.379,47551
36.480,47551
36.580,47551
36.680,47551
36.780,47551
36.880,47551
36.981,47551
37.081,47551
37.181,47551
37.281,47551
37.381,47551
37.481,47551
37.581,47551
37.682,47551
37.782,47551
37.882,47551
37.982,47551
38.083,47551
38.183,47551
38.283,47551
38.383,47551
38.484,47551
38.584,47551
38.684,47551
38.784,47551
38.884,47551
38.985,47551
39.085,47551
39.185,47551
39.285,47551
39.385,47551
39.485,47551
39.585,47551
39.686,47551
39.786,47551
39.886,47551
39.986,47551
40.087,47551
40.187,47551
40.287,47551
40.387,47551
40.488,47551
40.588,47551
40.688,47551
40.788,47551
40.888,47551
40.989,47551
41.088,47551
41.188,47551
41.289,47551
41.389,47551
41.489,47551
41.589,47551
41.690,47551
41.790,47551
41.890,47551
41.990,47551
42.090,47551
42.191,47551
42.291,47551
42.391,47551
42.491,47551
42.591,47551
42.691,47551
42.792,47551
42.892,47551
42.992,47551
43.092,47551
43.193,47551
43.293,47551
43.393,47551
43.493,47551
43.593,47551
43.694,47551
43.794,47551
43.894,47551
43.994,47551
44.095,47551
44.195,47551
44.295,47551
44.395,47551
44.496,47551
44.596,47551
44.696,47551
44.796,47551
44.896,47551
44.996,47551
45.096,47551
45.197,47551
45.297,47551
45.397,47551
45.497,47551
45.598,47551
45.698,47551
45.798,47551
45.898,47551
45.999,47551
46.099,47551
46.199,47551
46.300,47551
46.399,47551
46.500,47551
46.600,47551
46.700,47551
46.800,47551
46.901,47551
47.001,47551
47.101,47551
47.201,47551
47.301,47551
47.401,47551
47.502,47551
47.602,47551
47.702,47551
47.802,47551
47.903,47551
48.003,47551
48.103,47551
48.203,47551
48.303,47551
48.403,47551
48.504,47551
48.604,47551
48.704,47551
48.804,47551
48.904,47551
49.004,47551
49.105,47551
49.205,47551
49.305,47551
49.406,47551
49.506,47551
49.606,47551
49.706,47551
49.806,47551
49.907,47551
50.007,47551
50.107,47551
50.207,47551
50.307,47551
50.408,47551
50.508,47551
50.608,47551
50.708,47551
50.808,47551
50.908,47551
51.009,47551
51.109,47551
51.209,47551
51.309,47551
51.409,47551
51.510,47551
51.610,47551
51.710,47551
51.810,47551
51.911,47551
52.011,47551
52.111,47551
52.211,47551
52.311,47551
52.411,47551
52.512,47551
52.612,47551
52.712,47551
52.812,47551
52.913,47551
53.013,47551
53.113,47551
53.213,47551
53.313,47551
53.414,47551
53.514,47551
53.614,47551
53.714,47551
53.815,47551
53.915,47551
54.015,47551
54.115,47551
54.215,47551
54.316,47551
54.416,47551
54.516,47551
54.616,47551
54.716,47551
54.816,47551
54.917,47551
55.017,47551
55.117,47551
55.217,47551
55.318,47551
55.418,47551
55.518,47551
55.618,47551
55.718,47551
55.818,47551
55.919,47551
56.019,47551
56.119,47551
56.219,47551
56.320,47551
56.420,47551
56.520,47551
56.620,47551
56.720,47551
56.821,47551
56.921,47551
57.021,47551
57.122,47551
57.222,47551
57.322,47551
57.423,47551
57.523,47551
57.623,47551
57.723,47551
57.824,47551
57.924,47551
58.024,47551
58.125,47551
58.225,47551
58.325,47551
58.425,47551
58.526,47551
58.626,47551
58.726,47551
58.827,47551
58.927,47551
59.027,47551
59.128,47551
59.228,47551
59.328,47551
59.428,47551
59.528,47551
59.629,47551
59.729,47551
59.829,47551
59.929,47551
60.030,47551
60.130,47551
60.230,47551
60.331,47551
60.431,47551
60.531,47551
60.632,47551
60.732,47551
60.832,47551
60.932,47551
61.032,47551
61.132,47551
61.233,47551
61.333,47551
61.433,47551
61.533,47551
61.634,47551
61.734,47551
61.834,47551
61.934,47551
62.035,47551
62.135,47551
62.235,47551
62.335,47551
62.435,47551
62.536,47551
62.636,47551
62.738,47551
62.836,47551
62.936,47551
63.037,47551
63.137,47551
63.237,47551
63.338,47551
63.438,47551
63.538,47551
63.639,47551
63.739,47551
63.839,47551
63.939,47551
64.039,47551
64.140,47551
64.240,47551
64.340,47551
64.440,47551
64.541,47551
64.641,47551
64.741,47551
64.841,47551
64.942,47551
65.042,47551
65.142,47551
65.243,47551
65.343,47551
65.443,47551
65.543,47551
65.643,47551
65.743,47551
65.844,47551
65.944,47551
66.044,47551
66.144,47551
66.244,47551
66.345,47551
66.445,47551
66.545,47551
66.645,47551
66.745,47551
66.846,47551
66.946,47551
67.046,47551
67.146,47551
67.246,47551
67.346,47551
67.447,47551
67.547,47551
67.647,47551
67.747,47551
67.848,47551
67.948,47551
68.048,47551
68.148,47551
68.249,47551
68.349,47551
68.449,47551
68.549,47551
68.650,47551
68.750,47551
68.850,47551
68.951,47551
69.051,47551
69.151,47551
69.251,47551
69.352,47551
69.452,47551
69.552,47551
69.652,47551
69.753,47551
69.853,47551
69.953,47551
70.053,47551
70.154,47551
70.254,47551
70.354,47551
70.454,47551
70.555,47551
70.655,47551
70.755,47551
70.856,47551
70.956,47551
71.056,47551
71.156,47551
71.256,47551
71.357,47551
71.457,47551
71.557,47551
71.658,47551
71.758,47551
71.858,47551
71.959,47551
72.059,47551
72.159,47551
72.260,47551
72.360,47551
72.460,47551
72.560,47551
72.660,47551
72.761,47551
72.861,47551
72.961,47551
73.062,47551
73.162,47551
73.262,47551
73.362,47551
73.463,47551
73.563,47551
73.663,47551
73.763,47551
73.864,47551
73.964,47551
74.064,47551
74.165,47551
74.265,47551
74.365,47551
74.465,47551
74.566,47551
74.666,47551
75.766,47551
75.866,47551
75.966,47551
76.066,47551
76.166,47551
76.267,47551
76.367,47551
76.467,47551
76.567,47551
76.667,47551
76.768,47551
76.868,47551
76.968,47551
77.068,47551
77.169,47551
77.269,47551
77.369,47551
77.469,47551
77.569,47551
77.670,47551
77.770,47551
77.870,47551
77.970,47551
78.070,47551
78.171,47551
78.271,47551
78.371,47551
78.471,47551
78.572,47551
78.672,47551
78.772,47551
78.872,47551
78.972,47551
79.072,47551
79.173,47551
79.273,47551
79.373,47551
79.473,47551
79.573,47551
79.674,47551
79.774,47551
79.874,47551
79.974,47551
80.074,47551
80.175,47551
80.275,47551
80.375,47551
80.475,47551
80.576,47551
80.676,47551
80.776,47551
80.876,47551
80.976,47551
81.077,47551
81.177,47551
81.277,47551
81.377,47551
81.477,47551
81.578,47551
81.678,47551
81.778,47551
81.878,47551
81.978,47551
82.079,47551
82.179,47551
82.279,47551
82.379,47551
82.480,47551
82.580,47551
82.680,47551
82.780,47551
82.880,47551
82.981,47551
83.081,47551
83.181,47551
83.281,47551
83.381,47551
83.482,47551
83.582,47551
83.682,47551
83.782,47551
83.883,47551
83.983,47551
84.083,47551
84.183,47551
84.283,47551
84.384,47551
84.484,47551
84.584,47551
84.684,47551
84.785,47551
84.885,47551
84.985,47551
85.085,47551
85.185,47551
85.286,47551
85.386,47551
85.486,47551
85.586,47551
85.687,47551
85.787,47551
85.887,47551
85.988,47551
86.087,47551
86.188,47551
86.288,47551
86.388,47551
86.488,47551
86.588,47551
86.689,47551
86.789,47551
86.889,47551
86.989,47551
87.089,47551
87.190,47551
87.290,47551
87.390,47551
87.490,47551
87.591,47551
87.691,47551
87.791,47551
87.891,47551
87.992,47551
88.092,47551
88.192,47551
88.292,47551
88.392,47551
88.493,47551
88.593,47551
88.693,47551
88.793,47551
88.893,47551
88.994,47551
89.094,47551
89.194,47551
89.294,47551
89.394,47551
89.495,47551
89.595,47551
89.695,47551
89.796,47551
89.896,47551
89.996,47551
90.096,47551
90.196,47551
90.297,47551
90.397,47551
90.497,47551
90.597,47551
90.698,47551
90.798,47551
90.898,47551
90.998,47551
91.099,47551
91.199,47551
91.299,47551
91.399,47551
91.500,47551
91.600,47551
91.700,47551
91.800,47551
91.900,47551
92.001,47551
92.101,47551
92.201,47551
92.301,47551
92.401,47551
92.502,47551
92.602,47551
92.702,47551
92.802,47551
92.903,47551
93.003,47551
93.103,47551
93.203,47551
93.303,47551
93.404,47551
93.504,47551
93.604,47551
93.704,47551
93.804,47551
93.905,47551
94.005,47551
94.105,47551
94.205,47551
94.306,47551
94.406,47551
94.506,47551
94.606,47551
94.706,47551
94.807,47551
94.907,47551
95.007,47551
95.107,47551
95.207,47551
95.308,47551
95.408,47551
95.508,47551
95.608,47551
95.709,47551
95.809,47551
95.909,47551
96.009,47551
96.109,47551
96.210,47551
96.310,47551
96.410,47551
96.510,47551
96.611,47551
96.711,47551
96.811,47551
96.911,47551
97.012,47551
97.112,47551
97.212,47551
97.312,47551
97.412,47551
97.513,47551
97.613,47551
97.713,47551
97.813,47551
97.914,47551
98.014,47551
98.114,47551
98.214,47551
98.314,47551
98.415,47551
98.515,47551
98.615,47551
98.715,47551
98.815,47551
98.916,47551
99.016,47551
99.116,47551
99.216,47551
99.317,47551
99.417,47551
99.517,47551
99.617,47551
99.717,47551
99.818,47551
99.918,47551
100.018,47551
100.118,47551
100.218,47551
100.319,47551
100.419,47551
100.519,47551
100.619,47551
100.719,47551
100.820,47551
100.920,47551
101.020,47551
101.120,47551
101.221,47551
101.321,47551
101.421,47551
101.521,47551
101.621,47551
101.722,47551
101.822,47551
101.922,47551
102.022,47551
102.123,47551
102.223,47551
102.323,47551
102.423,47551
102.523,47551
102.624,47551
102.724,47551
102.824,47551
102.924,47551
103.025,47551
103.125,47551
103.225,47551
103.325,47551
103.425,47551
103.526,47551
103.626,47551
103.726,47551
103.826,47551
103.926,47551
104.027,47551
104.127,47551
104.227,47551
104.327,47551
104.428,47551
104.528,47551
104.628,47551
104.728,47551
104.828,47551
104.929,47551
105.029,47551
105.129,47551
105.229,47551
105.329,47551
105.430,47551
105.530,47551
105.630,47551
105.730,47551
105.831,47551
105.931,47551
106.031,47551
106.131,47551
106.231,47551
106.332,47551
106.432,47551
106.532,47551
106.632,47551
106.732,47551
106.833,47551
106.933,47551
107.033,47551
107.133,47551
107.233,47551
107.334,47551
107.434,47551
107.534,47551
107.634,47551
107.735,47551
107.835,47551
107.935,47551
108.035,47551
108.135,47551
108.236,47551
108.336,47551
108.436,47551
108.536,47551
108.636,47551
108.737,47551
108.837,47551
108.937,47551
109.037,47551
109.137,47551
109.237,47551
109.338,47551
109.438,47551
109.538,47551
109.638,47551
109.739,47551
109.839,47551
109.939,47551
110.039,47551
110.139,47551
110.239,47551
110.340,47551
110.440,47551
110.540,47551
110.640,47551
110.741,47551
110.841,47551
110.941,47551
111.041,47551
111.141,47551
111.241,47551
111.342,47551
111.442,47551
111.542,47551
111.642,47551
111.743,47551
111.843,47551
111.943,47551
112.043,47551
112.143,47551
112.243,47551
112.344,47551
112.444,47551
112.544,47551
112.644,47551
112.744,47551
112.845,47551
112.945,47551
113.045,47551
113.145,47551
113.245,47551
113.346,47551
113.446,47551
113.546,47551
113.646,47551
113.747,47551
113.847,47551
113.947,47551
114.047,47551
114.147,47551
114.247,47551
114.348,47551
114.448,47551
114.548,47551
114.648,47551
114.748,47551
114.849,47551
114.949,47551
115.049,47551
115.149,47551
115.249,47551
115.350,47551
115.450,47551
115.550,47551
115.650,47551
115.750,47551
115.851,47551
115.951,47551
116.051,47551
116.151,47551
116.251,47551
116.352,47551
116.452,47551
116.552,47551
116.652,47551
116.752,47551
116.853,47551
116.953,47551
117.053,47551
117.153,47551
117.253,47551
