TO_UIUC
1461790311
time,tx_packets
0.001,100917
0.101,100917
0.201,100917
0.301,100917
0.401,100917
0.502,100917
0.602,100917
0.702,100917
0.802,100917
0.902,100917
1.003,100919
1.103,100919
1.203,100920
1.303,100920
1.404,100920
1.504,100920
1.604,100920
1.704,100920
1.804,100920
1.905,100920
2.005,100920
2.105,100920
2.205,100920
2.305,100920
2.406,100920
2.506,100920
2.606,100920
2.706,100920
2.806,100920
2.907,100920
3.007,100921
3.107,100922
3.207,100923
3.307,100926
3.408,100930
3.508,100930
3.608,100934
3.708,100937
3.808,100937
3.909,100937
4.009,100937
4.109,100937
4.209,100937
4.309,100937
4.410,100937
4.510,100937
4.610,100937
4.710,100937
4.810,100937
4.911,100937
5.011,100939
5.111,100939
5.211,100942
5.311,100944
5.412,100945
5.512,100946
5.612,100946
5.712,100946
5.812,100946
5.913,100946
6.013,100946
6.113,100946
6.213,100946
6.314,100946
6.414,100946
6.514,100946
6.614,100946
6.714,100946
6.814,100946
6.915,100946
7.015,100946
7.115,100946
7.215,100946
7.315,100946
7.416,100946
7.516,100946
7.616,100946
7.716,100946
7.816,100946
7.916,100946
8.017,100946
8.117,100946
8.217,100946
8.317,100946
8.417,100946
8.518,100946
8.618,100946
8.718,100946
8.818,100946
8.918,100946
9.019,100949
9.119,100949
9.219,100950
9.319,100950
9.419,100950
9.520,100950
9.620,100951
9.720,100951
9.820,100951
9.920,100952
10.021,100952
10.121,100952
10.221,100952
10.321,100952
10.421,100952
10.522,100952
10.622,100952
10.722,100952
10.822,100952
10.922,100952
11.022,100952
11.122,100952
11.223,100952
11.323,100952
11.423,100952
11.523,100952
11.623,100952
11.724,100952
11.824,100952
11.925,100952
12.025,100952
12.125,100952
12.226,100952
12.325,100952
12.426,100952
12.526,100952
12.626,100952
12.727,100952
12.827,100952
12.927,100952
13.027,100954
13.127,100954
13.227,100955
13.328,100955
13.428,100955
13.528,100955
13.629,100955
13.729,100955
13.829,100955
13.929,100957
14.029,100958
14.130,100958
14.230,100958
14.330,100959
14.430,100965
14.530,100967
14.630,100967
14.731,100967
14.831,100967
14.931,100967
15.031,100967
15.132,100967
15.232,100967
15.331,100967
15.432,100967
15.532,100967
15.633,100970
15.733,100970
15.833,100970
15.933,100970
16.034,100970
16.134,100970
16.234,100970
16.334,100970
16.434,100970
16.535,100970
16.635,100970
16.740,100970
16.836,100970
16.936,100970
17.036,100971
17.136,100971
17.237,100972
17.336,100972
17.436,100972
17.537,100972
17.637,100972
17.738,100972
17.837,100972
17.938,100972
18.038,100972
18.138,100972
18.238,100972
18.339,100972
18.439,100972
18.539,100972
18.639,100972
18.740,100974
18.840,100974
18.940,100974
19.040,100974
19.141,100974
19.241,100974
19.341,100975
19.441,100975
19.542,100975
19.642,100975
19.742,100975
19.842,100975
19.943,100975
20.043,100975
20.143,100975
20.243,100975
20.344,100975
20.444,100975
20.544,100975
20.645,100975
20.745,100975
20.845,100975
20.945,100975
21.045,100977
21.146,100978
21.246,100978
21.346,100978
21.447,100978
21.547,100978
21.647,100978
21.747,100978
21.848,100978
21.948,100978
22.048,100978
22.148,100978
22.249,100978
22.349,100978
22.449,100978
22.549,100978
22.649,100978
22.750,100978
22.850,100981
22.950,100981
23.050,100981
23.150,100981
23.250,100981
23.351,100981
23.451,100981
23.551,100981
23.651,100981
23.752,100981
23.852,100981
23.952,100981
24.052,100981
24.152,100981
24.252,100981
24.353,100981
24.453,100981
24.553,100981
24.653,100981
24.754,100981
24.854,100981
24.954,100981
25.054,100983
25.155,100984
25.255,100984
25.355,100984
25.455,100984
25.556,100984
25.656,100984
25.756,100984
25.856,100984
25.957,100984
26.057,100984
26.157,100984
26.257,100984
26.358,100984
26.458,100984
26.558,100984
26.658,100984
26.758,100984
26.859,100984
26.959,100984
27.059,100984
27.160,100984
27.260,100987
27.360,100987
27.461,100987
27.561,100987
27.661,100987
27.761,100987
27.861,100987
27.962,100987
28.062,100987
28.162,100987
28.263,100987
28.363,100987
28.463,100987
28.563,100987
28.664,100987
28.764,100987
28.864,100987
28.965,100989
29.065,100989
29.165,100990
29.266,100990
29.366,100990
29.466,100990
29.566,100990
29.666,100990
30.767,100990
30.867,100990
30.967,100990
31.067,100990
31.168,100990
