TO_UM
1461790311
time,tx_packets
0.001,156280
0.101,156280
0.201,156280
0.301,156280
0.401,156280
0.502,156280
0.602,156280
0.702,156280
0.802,156280
0.903,156281
1.003,156285
1.103,156285
1.203,156286
1.303,156286
1.403,156286
1.504,156286
1.604,156286
1.704,156286
1.804,156286
1.904,156287
2.005,156287
2.105,156287
2.205,156287
2.305,156287
2.406,156287
2.506,156287
2.606,156290
2.706,156292
2.806,156293
2.907,156293
3.007,156294
3.107,156295
3.207,156296
3.307,156309
3.407,156310
3.508,156311
3.608,156314
3.708,156317
3.808,156319
3.908,156319
4.009,156319
4.109,156319
4.209,156319
4.309,156319
4.409,156319
4.510,156319
4.610,156319
4.710,156319
4.810,156319
4.911,156320
5.011,156321
5.111,156321
5.211,156326
5.311,156326
5.411,156327
5.512,156327
5.612,156328
5.712,156329
5.812,156329
5.912,156329
6.013,156329
6.113,156329
6.213,156329
6.313,156329
6.414,156329
6.514,156329
6.614,156329
6.714,156329
6.814,156329
6.915,156329
7.015,156329
7.115,156329
7.215,156329
7.315,156329
7.415,156329
7.516,156329
7.616,156329
7.716,156329
7.816,156329
7.916,156329
8.017,156329
8.117,156329
8.217,156329
8.317,156329
8.417,156329
8.518,156329
8.618,156329
8.718,156329
8.818,156329
8.919,156330
9.019,156332
9.119,156332
9.219,156333
9.319,156333
9.419,156333
9.520,156333
9.620,156336
9.720,156337
9.820,156338
9.920,156338
10.021,156338
10.121,156339
10.221,156339
10.321,156339
10.421,156339
10.522,156339
10.622,156339
10.722,156339
10.822,156339
10.923,156339
11.023,156339
11.123,156339
11.223,156339
11.323,156339
11.423,156339
11.523,156339
11.624,156339
11.724,156339
11.824,156339
11.924,156339
12.025,156339
12.125,156339
12.225,156339
12.325,156339
12.425,156339
12.525,156339
12.626,156339
12.726,156339
12.826,156339
12.926,156340
13.026,156343
13.127,156343
13.227,156344
13.327,156344
13.427,156344
13.527,156344
13.628,156344
13.728,156344
13.828,156344
13.928,156347
14.028,156347
14.129,156347
14.229,156347
14.329,156348
14.429,156358
14.529,156361
14.630,156361
14.730,156361
14.830,156361
14.930,156361
15.031,156361
15.131,156361
15.231,156361
15.331,156361
15.431,156361
15.531,156361
15.631,156362
15.732,156366
15.832,156366
15.932,156366
16.032,156366
16.133,156366
16.233,156366
16.333,156366
16.433,156366
16.534,156366
16.634,156366
16.734,156366
16.834,156366
16.935,156367
17.035,156370
17.135,156370
17.236,156371
17.336,156371
17.436,156371
17.536,156371
17.637,156371
17.743,156371
17.837,156371
17.937,156371
18.037,156371
18.138,156371
18.238,156371
18.338,156371
18.438,156371
18.539,156371
18.639,156371
18.739,156375
18.839,156376
18.940,156376
19.040,156376
19.140,156376
19.240,156376
19.341,156376
19.441,156376
19.541,156376
19.641,156376
19.742,156376
19.842,156376
19.942,156376
20.042,156376
20.142,156376
20.243,156376
20.343,156376
20.443,156376
20.544,156376
20.644,156376
20.744,156376
20.844,156376
20.944,156379
21.045,156381
21.145,156381
21.245,156383
21.346,156383
21.446,156383
21.546,156383
21.646,156383
21.747,156383
21.847,156383
21.947,156383
22.048,156383
22.148,156383
22.248,156383
22.347,156383
22.448,156383
22.548,156383
22.648,156383
22.749,156383
22.849,156385
22.949,156385
23.049,156386
23.150,156386
23.249,156386
23.349,156386
23.450,156386
23.550,156386
23.650,156386
23.751,156386
23.851,156386
23.951,156386
24.051,156386
24.151,156386
24.251,156386
24.352,156386
24.452,156386
24.553,156386
24.653,156386
24.753,156386
24.853,156386
24.953,156387
25.053,156387
25.154,156388
25.254,156388
25.354,156388
25.455,156388
25.555,156388
25.655,156391
25.756,156391
25.856,156391
25.956,156391
26.056,156391
26.156,156391
26.257,156391
26.357,156391
26.457,156391
26.557,156391
26.658,156391
26.758,156391
26.858,156391
26.959,156391
27.058,156391
27.159,156391
27.259,156394
27.360,156394
27.460,156395
27.560,156395
27.661,156395
27.761,156395
27.861,156395
27.961,156395
28.061,156395
28.162,156395
28.262,156395
28.362,156395
28.463,156395
28.563,156395
28.663,156395
28.764,156395
28.864,156395
28.964,156396
29.064,156396
29.164,156397
29.265,156397
29.365,156397
29.466,156397
29.565,156397
29.666,156397
30.766,156398
30.866,156398
30.966,156398
31.067,156398
31.167,156398
31.268,156398
31.368,156398
31.468,156398
31.568,156398
31.668,156404
31.769,156404
31.869,156404
31.969,156404
32.070,156414
32.170,156422
32.270,156425
32.370,156425
32.470,156428
32.571,156428
32.671,156429
32.772,156431
32.872,156431
32.972,156431
33.072,156434
33.172,156436
33.273,156436
33.373,156436
33.473,156436
33.573,156436
33.674,156436
33.773,156436
33.874,156436
33.974,156436
34.074,156436
34.175,156436
34.275,156436
34.375,156436
34.475,156436
34.575,156436
34.675,156436
34.776,156436
34.876,156437
34.976,156438
