TO_CLIENT
1461776246
time,tx_packets
0.002,37646
0.101,37646
0.201,37646
0.301,37646
0.402,37646
0.502,37646
0.602,37646
0.702,37646
0.803,37646
0.903,37646
1.003,37646
1.103,37646
1.203,37646
1.303,37646
1.404,37646
1.504,37646
1.605,37646
1.704,37646
1.804,37646
1.905,37646
2.005,37646
2.105,37646
2.205,37646
2.305,37646
2.406,37646
2.506,37646
2.606,37646
2.706,37646
2.806,37646
2.907,37646
3.007,37646
3.107,37646
3.207,37646
3.307,37646
3.408,37646
3.508,37646
3.608,37646
3.709,37646
3.809,37646
3.909,37646
4.009,37646
4.110,37646
4.209,37646
4.309,37646
4.409,37646
4.509,37646
4.610,37646
4.710,37646
4.811,37646
4.910,37646
5.011,37646
5.115,37646
5.211,37646
5.312,37646
5.412,37646
5.512,37646
5.613,37646
5.712,37646
5.813,37646
5.913,37646
6.013,37646
6.114,37646
6.214,37646
6.314,37646
6.414,37651
6.515,37656
6.615,37661
6.715,37666
6.815,37671
6.915,37677
7.015,37681
7.116,37687
7.216,37692
7.316,37697
7.416,37702
7.516,37707
7.617,37712
7.717,37717
7.817,37722
7.917,37727
8.017,37732
8.117,37737
8.217,37742
8.318,37747
8.418,37752
8.518,37757
8.618,37762
8.718,37767
8.818,37772
8.918,37776
9.018,37782
9.119,37787
9.219,37792
9.319,37797
9.419,37802
9.519,37807
9.619,37812
9.719,37817
9.819,37822
9.920,37827
10.020,37832
10.120,37837
10.220,37842
10.320,37847
10.420,37852
10.521,37857
10.621,37862
10.721,37867
10.821,37872
10.921,37877
11.022,37882
11.122,37886
11.222,37886
11.322,37886
11.422,37886
11.523,37886
11.623,37886
11.723,37886
11.823,37886
11.924,37886
12.024,37886
12.124,37886
12.224,37886
12.324,37886
12.424,37886
12.525,37886
12.625,37886
12.725,37886
12.825,37886
12.925,37886
13.026,37886
13.126,37886
13.226,37886
13.326,37886
13.426,37886
13.527,37886
13.627,37886
13.727,37886
13.827,37886
13.928,37886
14.028,37886
14.128,37886
14.228,37886
14.328,37886
14.428,37886
14.529,37886
14.629,37886
14.729,37886
14.829,37886
14.930,37886
15.029,37886
15.130,37886
15.230,37886
15.330,37886
15.431,37886
15.531,37886
15.631,37886
15.731,37886
15.831,37886
15.932,37886
16.032,37886
16.132,37886
16.232,37886
16.332,37886
16.432,37886
16.533,37886
16.633,37886
16.733,37886
16.833,37886
16.934,37886
17.034,37886
17.134,37886
17.234,37886
17.334,37886
17.435,37886
17.535,37886
17.635,37886
17.735,37886
17.836,37886
17.936,37886
18.036,37886
18.136,37886
18.236,37886
18.336,37886
18.437,37886
18.537,37886
18.637,37886
18.737,37886
18.838,37886
18.938,37886
19.038,37886
20.138,37886
20.238,37886
20.339,37886
20.439,37886
20.539,37886
20.639,37886
20.739,37886
20.840,37886
20.939,37886
21.040,37886
21.140,37886
21.240,37886
21.340,37886
21.441,37886
21.541,37886
21.641,37886
21.741,37886
21.841,37886
21.941,37886
22.042,37886
22.142,37886
22.242,37886
22.342,37886
22.443,37886
22.543,37886
22.643,37886
22.743,37886
22.843,37886
22.944,37886
23.044,37886
23.144,37886
23.244,37886
23.344,37886
23.444,37886
23.545,37886
23.645,37886
23.745,37886
23.845,37886
23.946,37886
24.046,37886
24.146,37886
24.246,37886
24.346,37886
24.447,37886
24.547,37886
24.647,37886
24.747,37886
24.847,37886
24.948,37886
25.048,37886
25.148,37886
25.248,37886
25.348,37886
25.449,37886
25.549,37886
25.649,37886
25.749,37886
25.849,37886
25.950,37886
26.049,37886
26.150,37886
26.250,37886
26.350,37886
26.450,37886
26.551,37886
26.651,37886
26.751,37886
26.851,37886
26.951,37886
27.052,37886
27.152,37886
27.252,37886
27.352,37886
27.452,37886
27.553,37886
27.653,37886
27.753,37886
27.853,37886
27.954,37886
28.054,37886
28.154,37886
28.254,37886
28.354,37886
28.455,37886
28.555,37886
28.655,37886
28.755,37886
28.855,37886
28.955,37886
29.056,37886
29.156,37886
29.256,37886
29.356,37886
29.457,37886
29.557,37886
29.657,37886
29.757,37886
29.857,37886
29.958,37886
30.058,37886
30.158,37886
30.258,37886
30.358,37886
30.459,37886
30.559,37886
30.659,37886
30.759,37886
30.860,37886
30.960,37886
31.060,37886
31.160,37886
31.260,37886
31.361,37886
31.461,37886
31.561,37886
31.661,37886
31.761,37886
31.861,37886
31.961,37886
32.062,37886
32.162,37886
32.262,37886
32.362,37886
32.462,37886
32.563,37886
32.663,37886
32.763,37886
32.864,37886
32.963,37886
33.064,37886
33.164,37886
33.264,37886
33.364,37886
33.464,37886
33.565,37886
33.665,37886
33.765,37886
33.865,37886
33.966,37886
34.066,37886
34.166,37886
34.266,37886
34.366,37886
34.467,37886
34.567,37886
34.667,37886
34.767,37886
34.867,37886
34.968,37886
35.068,37886
35.168,37886
35.268,37886
35.368,37886
35.469,37886
35.569,37886
35.669,37886
35.769,37886
35.869,37886
35.970,37886
36.070,37886
36.170,37886
36.270,37886
36.370,37886
36.471,37886
36.571,37886
36.671,37886
36.771,37886
36.871,37886
36.972,37886
37.072,37886
37.172,37886
37.272,37886
37.372,37887
37.472,37887
37.573,37887
37.673,37887
37.773,37887
37.873,37887
37.973,37887
38.074,37887
38.174,37887
38.274,37887
38.374,37887
38.474,37887
38.575,37887
38.675,37887
38.775,37887
38.875,37887
38.975,37887
39.076,37887
39.176,37887
39.276,37887
39.376,37887
39.476,37887
39.576,37887
39.677,37887
39.777,37887
39.877,37887
39.977,37887
40.077,37887
40.178,37887
40.278,37887
40.378,37887
40.478,37887
40.578,37887
40.678,37887
40.779,37887
40.879,37887
40.979,37887
41.079,37887
41.180,37887
41.280,37887
41.380,37887
41.480,37887
41.580,37887
41.681,37887
41.781,37887
41.881,37887
41.981,37887
42.082,37887
42.182,37887
42.282,37887
42.382,37887
42.482,37887
42.583,37887
42.683,37887
42.783,37887
42.883,37887
42.984,37887
43.084,37887
43.184,37887
43.284,37887
43.384,37887
43.484,37887
43.585,37887
43.685,37887
43.785,37887
43.885,37887
43.985,37887
44.086,37887
44.186,37887
44.286,37887
44.386,37887
44.486,37887
44.587,37887
44.687,37887
44.787,37887
44.887,37887
44.988,37887
45.088,37887
45.188,37887
45.288,37887
45.388,37887
45.489,37887
45.589,37887
45.689,37887
45.789,37887
45.889,37887
45.990,37887
46.090,37887
46.190,37887
46.290,37887
46.390,37887
46.491,37887
46.591,37887
46.691,37887
46.791,37887
46.891,37887
46.992,37887
47.092,37887
47.192,37887
47.292,37887
47.392,37887
47.493,37887
47.593,37887
47.693,37887
47.793,37887
47.893,37887
47.993,37887
48.094,37887
48.194,37887
48.294,37887
48.395,37887
48.495,37887
48.595,37887
48.695,37887
48.795,37887
48.895,37887
48.995,37887
49.096,37887
49.196,37887
49.296,37887
49.396,37887
49.496,37887
49.596,37887
49.696,37887
49.797,37887
49.897,37887
49.997,37887
50.097,37887
50.198,37887
50.297,37887
50.398,37887
50.498,37887
50.598,37887
50.698,37887
50.799,37887
50.899,37887
50.999,37887
51.099,37887
51.199,37887
51.300,37887
51.400,37887
51.500,37887
51.600,37887
51.701,37887
51.801,37887
51.901,37887
52.001,37887
52.101,37887
52.201,37887
52.302,37887
52.402,37887
52.502,37887
52.602,37887
52.702,37887
52.803,37887
52.903,37887
53.003,37887
53.103,37887
53.203,37887
53.303,37887
53.404,37887
53.504,37887
53.604,37887
53.705,37887
53.805,37887
53.905,37887
54.005,37887
54.104,37887
54.205,37887
54.305,37887
54.406,37887
54.506,37887
54.606,37887
54.706,37887
54.806,37887
54.907,37887
55.007,37887
55.107,37887
55.207,37887
55.307,37887
55.407,37887
55.508,37887
55.608,37887
55.708,37887
55.808,37887
55.908,37887
56.009,37887
56.109,37887
56.209,37887
56.309,37887
56.409,37887
56.509,37887
56.610,37887
56.710,37887
56.810,37887
56.910,37887
57.010,37887
57.111,37887
57.211,37887
57.311,37887
57.411,37887
57.512,37887
57.612,37887
57.712,37887
57.813,37887
57.913,37887
58.013,37887
58.114,37887
58.213,37887
58.314,37887
58.414,37887
58.514,37887
58.615,37887
58.715,37887
58.815,37887
58.915,37887
59.016,37887
59.116,37887
59.216,37887
59.316,37887
59.416,37887
59.517,37887
59.617,37887
59.717,37887
59.817,37887
59.917,37887
60.018,37887
60.118,37887
60.218,37887
60.318,37887
60.418,37887
60.519,37887
60.619,37887
60.719,37887
60.819,37887
60.920,37887
61.020,37887
61.120,37887
61.220,37887
61.320,37887
61.421,37887
61.521,37887
61.621,37887
61.721,37887
61.821,37887
61.922,37887
62.022,37887
62.122,37887
62.222,37887
62.323,37887
62.423,37887
62.523,37887
62.624,37887
62.724,37887
62.824,37887
62.924,37887
63.025,37887
63.125,37887
63.225,37887
63.325,37887
63.426,37887
63.526,37887
63.626,37887
63.726,37887
63.827,37887
63.927,37887
64.027,37887
64.127,37887
64.227,37887
64.328,37887
64.428,37887
64.528,37887
64.628,37887
64.729,37887
64.829,37887
64.929,37887
65.029,37887
65.130,37887
65.230,37887
65.330,37887
65.430,37887
65.531,37887
65.631,37887
65.731,37887
65.831,37887
65.932,37887
66.031,37887
66.132,37887
66.232,37887
66.332,37887
66.432,37887
66.533,37887
66.633,37887
66.733,37887
66.834,37887
66.934,37887
67.034,37887
67.134,37887
67.234,37887
67.334,37887
67.435,37887
67.535,37887
67.635,37887
67.735,37887
67.836,37887
67.936,37887
68.036,37887
68.136,37887
68.236,37887
68.337,37887
68.437,37887
68.537,37887
68.637,37887
68.737,37887
68.838,37887
68.938,37887
69.038,37887
70.138,37887
70.238,37887
70.338,37887
70.439,37887
70.539,37887
70.639,37887
70.739,37887
70.839,37887
70.940,37887
71.040,37887
71.140,37887
71.241,37887
71.341,37887
71.441,37887
71.541,37887
71.642,37887
71.742,37887
71.842,37887
71.942,37887
72.042,37887
72.143,37887
72.243,37887
72.343,37887
72.444,37887
72.544,37887
72.644,37887
72.744,37887
72.845,37887
72.945,37887
73.045,37887
73.145,37887
73.246,37887
73.346,37887
73.446,37887
73.546,37887
73.647,37887
73.747,37887
73.847,37887
73.947,37887
74.048,37887
74.148,37887
74.248,37887
74.348,37887
74.449,37887
74.549,37887
74.649,37887
74.749,37887
74.849,37887
74.950,37887
75.050,37887
75.150,37887
75.251,37887
75.351,37887
75.451,37887
75.551,37887
75.652,37887
75.752,37887
75.852,37887
75.952,37887
76.052,37887
76.153,37887
76.253,37887
76.353,37887
76.453,37887
76.553,37887
76.654,37887
76.754,37887
76.854,37887
76.954,37887
77.054,37887
77.155,37887
77.255,37887
77.355,37887
77.455,37887
77.555,37887
77.656,37887
77.756,37887
77.856,37887
77.956,37887
78.056,37887
78.157,37887
78.257,37887
78.357,37887
78.457,37887
78.557,37887
78.658,37887
78.758,37887
78.859,37887
78.959,37887
79.059,37887
79.159,37887
79.260,37887
79.361,37887
79.460,37887
79.560,37887
79.661,37887
79.761,37887
79.862,37887
79.961,37887
80.062,37887
80.162,37887
80.263,37887
80.363,37887
80.463,37887
80.563,37887
80.664,37887
80.764,37887
80.864,37887
80.964,37887
81.064,37887
81.164,37887
81.265,37887
81.365,37887
81.465,37887
81.566,37887
81.666,37887
81.766,37887
81.866,37887
81.967,37887
82.067,37887
82.167,37887
82.267,37887
82.367,37887
82.468,37887
82.568,37887
82.668,37887
82.769,37887
82.869,37887
82.969,37887
83.069,37887
83.169,37887
83.270,37887
83.370,37887
83.470,37887
83.570,37887
83.671,37887
83.771,37887
83.871,37887
83.972,37887
84.072,37887
84.172,37887
84.272,37887
84.372,37887
84.473,37887
84.573,37887
84.673,37887
84.773,37887
84.874,37887
84.974,37887
85.074,37887
85.175,37887
85.275,37887
85.375,37887
85.475,37887
85.575,37887
85.676,37887
85.776,37887
85.876,37887
85.976,37887
86.076,37887
86.177,37887
86.277,37887
86.377,37887
86.477,37887
86.577,37887
86.677,37887
86.778,37887
86.878,37888
86.979,37888
87.079,37888
87.179,37888
87.279,37888
87.380,37888
87.480,37888
87.580,37888
87.680,37888
87.781,37888
87.881,37888
87.981,37888
88.081,37888
88.182,37888
88.282,37888
88.382,37888
88.483,37888
88.583,37888
88.683,37888
88.783,37888
88.884,37888
88.984,37888
89.084,37888
89.184,37888
89.284,37888
89.384,37888
89.485,37888
89.585,37888
89.685,37888
89.786,37888
89.886,37888
89.986,37888
90.086,37888
90.186,37888
90.287,37888
90.387,37888
90.487,37888
90.587,37888
90.688,37888
90.788,37888
90.888,37888
90.988,37888
91.089,37888
91.189,37888
91.289,37888
91.389,37888
91.489,37888
91.590,37888
91.690,37888
91.790,37888
91.891,37888
91.991,37888
92.091,37888
92.191,37888
92.292,37888
92.392,37888
92.492,37888
92.592,37888
92.693,37888
92.793,37888
92.893,37888
92.993,37888
93.094,37888
93.194,37888
93.294,37888
93.395,37888
93.495,37888
93.595,37888
93.695,37888
93.795,37888
93.896,37888
93.996,37888
94.096,37888
94.196,37888
94.296,37888
94.397,37888
94.497,37888
94.597,37888
94.698,37888
94.798,37888
94.898,37888
94.998,37888
95.099,37888
95.199,37888
95.299,37888
95.399,37888
95.500,37888
95.600,37888
95.700,37888
95.801,37888
95.901,37888
96.001,37888
96.101,37888
96.201,37888
96.302,37888
96.402,37888
96.502,37888
96.602,37888
96.703,37888
96.803,37888
96.904,37888
97.004,37888
97.104,37888
97.204,37888
97.305,37888
97.405,37888
97.505,37888
97.605,37888
97.705,37888
97.806,37888
97.906,37888
98.006,37888
98.107,37888
98.207,37888
98.307,37888
98.407,37888
98.508,37888
98.608,37888
98.708,37888
98.808,37888
98.908,37888
99.009,37888
99.115,37888
99.209,37888
99.309,37888
99.410,37888
99.509,37888
99.610,37888
99.710,37888
99.811,37888
99.911,37888
100.011,37888
100.111,37888
100.211,37888
100.312,37888
100.412,37888
100.512,37888
100.613,37888
100.713,37888
100.813,37888
100.913,37888
101.014,37888
101.114,37888
101.214,37888
101.314,37888
101.415,37888
101.515,37888
101.615,37888
101.715,37888
101.815,37888
101.916,37888
102.016,37888
102.116,37888
102.216,37888
102.317,37888
102.417,37888
102.518,37888
102.618,37888
102.718,37888
102.818,37888
102.919,37888
103.019,37888
103.119,37888
103.219,37888
103.319,37888
103.420,37888
103.520,37888
103.620,37888
103.721,37888
103.820,37888
103.921,37888
104.021,37888
104.121,37888
104.221,37888
104.322,37888
104.422,37888
104.522,37888
104.623,37888
104.723,37888
104.823,37888
104.923,37888
105.024,37888
105.124,37888
105.224,37888
105.324,37888
105.424,37888
