TO_UIUC
1461776246
time,tx_packets
0.001,49929
0.101,49929
0.201,49929
0.301,49929
0.402,49929
0.502,49929
0.602,49929
0.702,49929
0.802,49929
0.902,49929
1.003,49929
1.103,49929
1.203,49929
1.303,49930
1.404,49930
1.504,49930
1.604,49930
1.704,49931
1.804,49931
1.905,49931
2.005,49931
2.105,49931
2.205,49932
2.305,49932
2.406,49933
2.506,49933
2.606,49933
2.706,49933
2.806,49933
2.907,49933
3.007,49933
3.108,49933
3.207,49933
3.308,49933
3.408,49933
3.508,49933
3.608,49933
3.709,49933
3.809,49933
3.909,49933
4.009,49934
4.115,49934
4.209,49934
4.309,49934
4.410,49934
4.510,49934
4.610,49934
4.710,49934
4.810,49934
4.910,49934
5.011,49934
5.111,49934
5.211,49934
5.311,49934
5.411,49934
5.512,49934
5.612,49934
5.712,49934
5.812,49937
5.912,49937
6.013,49937
6.114,49939
6.214,49944
6.314,49950
6.414,49960
6.514,49971
6.615,49981
6.715,49991
6.815,50001
6.915,50011
7.015,50021
7.116,50031
7.215,50041
7.316,50051
7.416,50061
7.516,50071
7.616,50081
7.717,50091
7.817,50101
7.917,50111
8.017,50121
8.117,50131
8.217,50141
8.317,50152
8.417,50162
8.517,50172
8.618,50182
8.718,50192
8.818,50202
8.918,50212
9.018,50222
9.118,50232
9.218,50242
9.318,50252
9.419,50262
9.519,50272
9.619,50282
9.719,50292
9.819,50302
9.919,50312
10.020,50322
10.120,50333
10.220,50344
10.320,50354
10.420,50364
10.521,50374
10.621,50386
10.721,50396
10.821,50406
10.921,50416
11.022,50426
11.122,50434
11.222,50439
11.322,50444
11.422,50444
11.523,50444
11.623,50444
11.723,50444
11.822,50444
11.923,50444
12.023,50444
12.123,50444
12.223,50444
12.323,50444
12.424,50444
12.524,50444
12.624,50444
12.724,50444
12.825,50444
12.925,50444
13.025,50444
13.125,50444
13.225,50444
13.326,50444
13.426,50444
13.526,50444
13.626,50444
13.726,50444
13.827,50444
13.927,50444
14.027,50444
14.128,50444
14.227,50444
14.328,50444
14.428,50445
14.528,50445
14.628,50447
14.728,50448
14.829,50449
14.929,50449
15.029,50449
15.129,50449
15.229,50449
15.330,50449
15.430,50449
15.530,50449
15.630,50449
15.731,50449
15.831,50450
15.931,50450
16.031,50450
16.131,50450
16.231,50450
16.332,50450
16.432,50450
16.532,50450
16.632,50450
16.732,50450
16.833,50450
16.933,50450
17.033,50450
17.133,50450
17.234,50450
17.334,50450
17.434,50450
17.534,50450
17.635,50450
17.735,50450
17.835,50450
17.935,50450
18.035,50450
18.135,50450
18.236,50450
18.336,50450
18.436,50450
18.536,50450
18.636,50450
18.737,50451
18.837,50452
18.937,50453
19.037,50453
20.137,50455
20.238,50455
20.338,50455
20.438,50455
20.538,50455
20.639,50455
20.739,50455
20.839,50455
20.939,50455
21.039,50455
21.139,50455
21.239,50455
21.340,50455
21.440,50455
21.540,50455
21.640,50455
21.741,50455
21.841,50455
21.941,50455
22.041,50455
22.141,50455
22.242,50455
22.342,50455
22.442,50455
22.542,50455
22.642,50455
22.743,50455
22.843,50455
22.943,50455
23.043,50455
23.143,50455
23.244,50457
23.344,50458
23.444,50458
23.544,50458
23.644,50458
23.745,50458
23.845,50458
23.945,50458
24.045,50458
24.145,50458
24.245,50458
24.346,50459
24.446,50459
24.546,50459
24.647,50459
24.746,50459
24.847,50459
24.947,50459
25.047,50459
25.147,50459
25.247,50459
25.348,50459
25.448,50459
25.548,50459
25.648,50459
25.748,50459
25.849,50459
25.949,50459
26.049,50459
26.149,50459
26.249,50459
26.349,50459
26.450,50459
26.550,50459
26.650,50459
26.751,50459
26.851,50459
26.951,50459
27.051,50459
27.151,50459
27.251,50459
27.352,50459
27.452,50459
27.552,50460
27.652,50462
27.752,50462
27.853,50462
27.953,50462
28.053,50462
28.154,50462
28.253,50462
28.354,50462
28.454,50462
28.554,50462
28.654,50463
28.755,50463
28.855,50463
28.955,50464
29.055,50464
29.155,50464
29.256,50466
29.356,50467
29.456,50467
29.556,50467
29.657,50467
29.756,50467
29.857,50467
29.957,50467
30.057,50467
30.158,50467
30.258,50467
30.358,50467
30.458,50467
30.558,50467
30.658,50467
30.759,50467
30.859,50467
30.959,50467
31.059,50467
31.159,50467
31.260,50467
31.360,50467
31.460,50467
31.560,50467
31.660,50467
31.760,50467
31.861,50469
31.961,50469
32.061,50470
32.161,50470
32.261,50470
32.362,50470
32.462,50470
32.562,50471
32.662,50471
32.762,50471
32.863,50472
32.963,50472
33.063,50472
33.163,50472
33.264,50472
33.364,50472
33.464,50472
33.564,50472
33.665,50472
33.765,50472
33.865,50472
33.965,50472
34.065,50472
34.166,50472
34.266,50472
34.366,50472
34.466,50472
34.566,50472
34.667,50472
34.767,50472
34.867,50472
34.967,50472
35.067,50472
35.168,50472
35.268,50472
35.368,50472
35.468,50472
35.568,50472
35.669,50472
35.769,50472
35.869,50472
35.969,50472
36.069,50472
36.170,50472
36.270,50475
36.370,50476
36.470,50476
36.570,50476
36.671,50476
36.771,50476
36.871,50476
36.971,50476
37.071,50476
37.171,50476
37.272,50477
37.372,50477
37.472,50477
37.572,50477
37.672,50477
37.773,50477
37.873,50477
37.973,50477
38.073,50477
38.173,50478
38.274,50478
38.374,50478
38.474,50478
38.574,50478
38.674,50478
38.775,50478
38.875,50478
38.975,50478
39.075,50478
39.175,50478
39.276,50478
39.375,50478
39.476,50478
39.576,50478
39.676,50478
39.776,50478
39.876,50478
39.977,50478
40.077,50478
40.177,50478
40.277,50478
40.377,50478
40.478,50478
40.578,50479
40.678,50481
40.778,50481
40.878,50481
40.979,50481
41.079,50481
41.179,50481
41.279,50481
41.380,50481
41.480,50481
41.580,50481
41.680,50482
41.781,50482
41.881,50482
41.981,50482
42.081,50482
42.181,50482
42.281,50482
42.382,50482
42.482,50482
42.582,50482
42.682,50483
42.783,50483
42.883,50483
42.983,50483
43.083,50483
43.183,50483
43.283,50483
43.384,50483
43.484,50483
43.584,50483
43.684,50483
43.785,50483
43.885,50483
43.985,50483
44.085,50483
44.185,50483
44.285,50483
44.386,50483
44.486,50483
44.586,50483
44.686,50483
44.786,50483
44.887,50483
44.987,50486
45.087,50487
45.187,50487
45.287,50487
45.388,50487
45.488,50487
45.588,50487
45.688,50487
45.789,50487
45.889,50488
45.989,50488
46.089,50488
46.189,50488
46.290,50488
46.390,50488
46.490,50488
46.590,50488
46.690,50488
46.791,50488
46.891,50488
46.991,50488
47.091,50488
47.192,50488
47.292,50488
47.392,50488
