TO_UM
1461776246
time,tx_packets
0.001,70369
0.101,70369
0.201,70369
0.302,70369
0.402,70369
0.502,70369
0.602,70369
0.702,70370
0.802,70370
0.903,70370
1.003,70370
1.103,70370
1.203,70370
1.304,70370
1.404,70370
1.504,70370
1.604,70370
1.704,70370
1.804,70370
1.905,70371
2.005,70371
2.105,70371
2.205,70371
2.305,70371
2.406,70371
2.506,70371
2.606,70371
2.706,70371
2.807,70371
2.907,70371
3.007,70371
3.108,70371
3.207,70371
3.308,70371
3.408,70371
3.508,70371
3.608,70371
3.708,70371
3.809,70371
3.909,70371
4.009,70378
4.109,70379
4.209,70379
4.309,70379
4.410,70379
4.510,70379
4.610,70379
4.710,70379
4.810,70380
4.911,70380
5.011,70380
5.111,70380
5.211,70380
5.311,70380
5.411,70380
5.511,70380
5.612,70380
5.712,70380
5.812,70381
5.912,70381
6.013,70381
6.113,70381
6.213,70381
6.313,70382
6.414,70382
6.514,70382
6.614,70382
6.714,70382
6.815,70382
6.915,70382
7.015,70382
7.115,70382
7.215,70382
7.316,70382
7.416,70382
7.516,70382
7.616,70382
7.716,70382
7.816,70382
7.917,70382
8.017,70382
8.117,70382
8.217,70382
8.317,70383
8.417,70383
8.517,70386
8.618,70387
8.717,70387
8.818,70387
8.918,70387
9.018,70387
9.118,70387
9.218,70388
9.318,70388
9.419,70388
9.518,70388
9.619,70388
9.719,70388
9.819,70388
9.919,70388
10.020,70388
10.119,70388
10.220,70388
10.320,70388
10.420,70388
10.520,70389
10.621,70389
10.721,70389
10.821,70389
10.921,70389
11.021,70389
11.121,70389
11.222,70389
11.322,70390
11.422,70390
11.522,70390
11.622,70390
11.722,70390
11.823,70390
11.923,70390
12.023,70390
12.123,70390
12.223,70390
12.324,70390
12.424,70390
12.524,70391
12.624,70391
12.724,70392
12.825,70392
12.925,70392
13.025,70392
13.125,70392
13.225,70393
13.326,70393
13.426,70393
13.526,70395
13.626,70395
13.726,70395
13.827,70395
13.927,70395
14.027,70395
14.128,70395
14.227,70395
14.328,70395
14.428,70395
14.528,70395
14.629,70395
14.729,70395
14.829,70395
14.929,70396
15.029,70396
15.129,70396
15.229,70396
15.330,70396
15.430,70396
15.530,70396
15.631,70396
15.731,70396
15.831,70397
15.931,70397
16.031,70397
16.132,70397
16.231,70397
16.332,70397
16.432,70397
16.532,70397
16.632,70397
16.732,70397
16.833,70397
16.933,70398
17.033,70398
17.133,70399
17.234,70399
17.334,70399
17.434,70399
17.534,70400
17.635,70400
17.735,70400
