TO_CLIENT
1461778439
time,tx_packets
0.001,37891
0.101,37891
0.201,37891
0.301,37891
0.401,37891
0.502,37891
0.602,37891
0.702,37891
0.802,37891
0.902,37891
1.003,37894
1.103,37899
1.203,37904
1.303,37909
1.404,37914
1.504,37919
1.604,37924
1.704,37929
1.804,37934
1.905,37939
2.005,37944
2.105,37949
2.205,37954
2.306,37959
2.406,37964
2.506,37969
2.606,37974
2.706,37979
2.806,37984
2.907,37989
3.007,37994
3.107,37999
3.207,38004
3.307,38009
3.408,38014
3.508,38019
3.608,38024
3.708,38029
3.808,38034
3.909,38039
4.009,38044
4.109,38049
4.210,38054
4.309,38059
4.409,38064
4.510,38069
4.610,38074
4.710,38079
4.810,38083
4.911,38089
5.011,38094
5.111,38099
5.211,38104
5.311,38109
5.412,38114
5.512,38119
5.612,38124
5.712,38129
5.812,38134
5.913,38139
6.013,38145
6.113,38150
6.213,38155
6.314,38160
6.414,38165
6.514,38170
6.614,38175
6.714,38180
6.815,38185
6.915,38190
7.015,38195
7.115,38200
7.215,38205
7.316,38210
7.416,38215
7.516,38220
7.616,38225
7.716,38230
7.817,38235
7.917,38240
8.017,38245
8.117,38250
8.218,38255
8.318,38260
8.418,38265
8.518,38270
8.618,38275
8.719,38280
8.819,38285
8.919,38290
9.019,38295
9.120,38300
9.220,38305
9.320,38310
9.420,38315
9.520,38320
9.621,38325
9.721,38330
9.821,38335
9.921,38340
10.021,38345
10.122,38351
10.222,38356
10.322,38361
10.422,38366
10.522,38371
10.623,38376
10.722,38381
10.823,38386
10.923,38391
11.023,38396
11.123,38396
11.223,38396
11.324,38396
11.424,38396
11.524,38396
11.624,38396
11.724,38396
11.825,38396
11.925,38396
12.025,38396
12.125,38396
12.225,38396
12.326,38396
12.426,38396
12.526,38396
12.626,38396
12.727,38396
12.827,38396
12.927,38396
13.027,38396
13.128,38396
13.228,38396
13.328,38396
13.428,38396
13.528,38396
13.629,38396
13.729,38396
13.829,38396
13.929,38396
14.030,38396
14.130,38396
14.230,38396
14.330,38396
14.430,38396
14.530,38396
14.631,38396
14.731,38396
14.831,38396
14.931,38396
15.032,38396
15.132,38396
15.232,38396
15.332,38396
15.432,38396
15.533,38396
15.633,38396
15.733,38396
15.833,38396
15.933,38396
16.034,38396
16.134,38396
16.234,38396
16.334,38396
