TO_UIUC
1461778439
time,tx_packets
0.001,56497
0.101,56497
0.201,56497
0.302,56497
0.402,56497
0.502,56497
0.602,56497
0.702,56497
0.802,56500
0.902,56505
1.003,56512
1.103,56522
1.203,56532
1.303,56542
1.403,56552
1.504,56562
1.604,56572
1.704,56582
1.804,56592
1.905,56602
2.005,56612
2.105,56622
2.205,56632
2.306,56642
2.406,56651
2.506,56663
2.606,56673
2.706,56683
2.806,56695
2.906,56705
3.007,56715
3.107,56726
3.207,56737
3.307,56747
3.408,56757
3.508,56767
3.608,56777
3.708,56788
3.808,56798
3.909,56808
4.009,56818
4.109,56828
4.209,56838
5.309,56948
5.410,56958
5.510,56968
5.610,56978
5.710,56988
5.810,56998
5.911,57008
6.011,57018
6.111,57028
6.211,57038
6.311,57049
6.412,57059
6.512,57068
6.612,57079
6.712,57089
6.812,57099
6.913,57113
7.013,57124
7.113,57134
7.213,57144
7.314,57154
7.414,57165
7.514,57175
7.614,57184
7.714,57197
7.815,57207
7.915,57217
8.015,57227
8.115,57237
8.215,57248
8.316,57257
8.416,57268
8.516,57278
8.616,57288
8.716,57298
8.817,57308
8.917,57318
9.017,57328
9.117,57338
9.218,57348
9.318,57358
9.418,57368
9.518,57378
9.618,57388
9.719,57399
9.819,57409
9.919,57419
10.019,57429
10.119,57439
10.220,57449
10.320,57459
10.420,57469
10.520,57479
10.620,57489
10.721,57499
10.821,57509
10.921,57519
11.021,57529
11.121,57534
11.222,57540
11.322,57542
11.422,57542
11.522,57542
11.622,57542
11.723,57543
11.823,57543
11.923,57544
12.023,57544
12.124,57544
12.224,57544
12.324,57544
12.424,57544
12.524,57544
12.625,57545
12.725,57545
12.825,57545
12.925,57545
13.026,57545
13.126,57545
13.226,57545
13.327,57545
13.427,57545
13.527,57545
13.627,57545
13.727,57545
13.828,57545
13.928,57545
14.028,57545
14.128,57545
14.228,57545
14.329,57545
14.429,57545
14.529,57545
14.629,57545
14.730,57545
14.830,57545
14.930,57545
15.031,57545
15.130,57545
15.231,57545
15.331,57545
15.431,57545
15.531,57545
15.631,57545
15.732,57546
15.832,57546
15.932,57546
16.032,57546
16.133,57546
16.233,57546
16.333,57547
16.433,57547
16.533,57547
16.634,57547
16.734,57548
16.834,57548
16.934,57549
17.035,57549
17.135,57549
17.235,57549
17.335,57549
17.435,57549
17.536,57549
17.636,57549
17.736,57549
17.836,57549
17.937,57549
18.037,57549
18.137,57549
18.237,57549
18.337,57549
18.438,57549
18.538,57549
18.638,57549
18.738,57549
18.838,57549
18.938,57549
19.039,57549
19.139,57549
19.239,57549
19.339,57549
19.439,57549
19.540,57549
19.640,57549
19.740,57549
19.840,57550
19.941,57550
20.041,57551
20.141,57551
20.241,57551
20.341,57551
20.442,57551
20.542,57552
20.642,57552
20.742,57552
20.842,57552
20.943,57552
21.043,57552
21.143,57552
21.243,57552
21.343,57553
21.444,57553
21.544,57553
21.644,57553
21.744,57553
21.845,57553
21.945,57553
22.045,57553
22.145,57553
22.245,57553
22.346,57553
22.446,57553
22.546,57553
22.646,57553
22.747,57553
22.847,57553
22.947,57553
23.047,57553
23.147,57553
23.248,57553
23.348,57553
23.448,57553
23.548,57553
23.648,57553
23.749,57553
23.849,57553
23.949,57553
24.049,57553
24.150,57553
24.250,57554
24.350,57555
24.450,57555
24.550,57556
24.651,57556
24.751,57556
24.851,57556
24.951,57557
25.052,57557
25.152,57557
25.252,57557
25.352,57557
25.452,57557
25.553,57558
25.653,57558
25.753,57558
25.853,57558
25.953,57558
26.054,57558
26.154,57558
26.254,57558
26.354,57558
26.455,57558
26.555,57558
26.655,57558
26.755,57558
26.855,57558
26.956,57558
27.056,57558
27.156,57558
27.256,57558
27.356,57558
27.457,57558
27.557,57558
27.657,57558
27.757,57558
27.858,57558
27.958,57558
28.058,57558
28.158,57558
28.258,57558
28.359,57558
28.459,57560
28.559,57560
28.659,57561
28.759,57561
28.860,57561
28.960,57561
29.060,57561
29.160,57562
29.261,57562
29.361,57562
29.461,57562
29.561,57562
29.661,57562
29.762,57564
29.862,57564
29.962,57564
30.062,57564
30.163,57564
30.263,57564
30.363,57564
30.463,57564
30.563,57564
30.664,57564
30.764,57564
30.864,57564
30.964,57564
31.065,57564
31.165,57564
31.265,57564
31.365,57564
31.465,57564
31.565,57564
31.666,57564
31.766,57564
31.866,57564
31.966,57564
32.066,57564
32.167,57564
32.267,57564
32.367,57564
32.467,57564
32.567,57564
32.668,57564
32.768,57565
32.868,57565
32.968,57565
33.068,57565
33.169,57565
33.269,57565
33.369,57565
33.469,57565
33.570,57565
33.670,57565
33.770,57565
33.870,57566
33.970,57566
34.071,57566
34.171,57566
34.271,57566
34.371,57567
34.471,57567
34.572,57567
34.672,57567
34.772,57567
34.872,57567
34.972,57567
35.073,57567
35.173,57567
35.273,57567
35.373,57567
35.473,57567
35.574,57567
35.674,57567
35.774,57567
35.874,57567
35.975,57567
36.075,57567
36.175,57567
36.275,57567
36.375,57567
36.476,57567
36.576,57567
36.676,57567
36.776,57567
36.876,57567
36.977,57567
37.077,57568
37.177,57568
37.277,57568
37.377,57568
37.478,57568
37.578,57568
37.678,57569
37.778,57569
37.878,57569
37.979,57569
38.079,57569
38.179,57570
38.280,57570
38.380,57570
38.480,57571
38.580,57572
38.680,57572
38.780,57572
38.881,57572
38.981,57572
39.081,57572
39.181,57572
39.282,57572
39.381,57572
39.482,57572
39.582,57572
39.682,57572
39.782,57572
39.882,57572
39.983,57572
40.083,57572
40.183,57572
40.286,57572
40.383,57572
40.484,57572
40.584,57572
40.684,57572
40.784,57572
40.884,57572
40.985,57572
41.085,57572
41.185,57573
41.285,57574
41.385,57575
41.486,57575
41.586,57575
41.686,57575
41.786,57575
41.886,57575
41.987,57575
42.087,57575
42.187,57575
42.287,57575
42.387,57576
42.487,57576
42.588,57576
42.688,57576
42.788,57576
42.888,57577
42.988,57577
43.089,57577
43.189,57577
43.289,57577
43.389,57577
43.489,57577
43.590,57577
43.690,57577
43.790,57577
43.890,57577
43.990,57577
44.091,57577
44.191,57577
44.291,57577
44.391,57577
44.491,57577
44.591,57577
44.692,57577
44.792,57577
44.892,57577
44.992,57577
45.092,57577
45.193,57577
45.293,57577
45.393,57577
45.493,57577
45.593,57577
45.694,57577
45.794,57578
45.894,57578
45.994,57578
46.094,57578
46.195,57578
46.295,57578
46.395,57578
46.495,57578
46.595,57580
46.696,57580
46.796,57582
46.896,57582
46.996,57583
47.096,57583
47.197,57583
47.297,57583
47.397,57583
47.497,57583
47.597,57583
47.698,57583
47.798,57583
47.898,57583
47.998,57583
48.098,57583
48.199,57583
48.299,57583
48.399,57583
48.499,57583
48.599,57583
48.700,57583
48.800,57583
48.900,57583
49.000,57583
49.100,57583
49.201,57583
49.301,57583
49.401,57583
49.501,57583
49.601,57583
49.702,57583
49.802,57583
49.902,57583
50.002,57583
50.102,57583
50.203,57584
50.303,57584
50.403,57584
50.503,57584
50.603,57584
50.704,57584
50.804,57584
50.904,57585
51.004,57585
51.104,57585
51.205,57585
51.305,57585
51.405,57586
51.505,57586
51.605,57586
51.706,57586
51.806,57586
51.906,57586
52.006,57586
52.106,57586
52.207,57586
52.307,57586
52.407,57586
52.507,57586
52.607,57586
52.708,57586
52.808,57586
52.908,57586
53.008,57586
53.108,57586
53.209,57586
53.309,57586
53.409,57586
53.509,57586
53.609,57586
53.710,57586
53.810,57586
53.910,57586
54.010,57586
54.110,57586
54.211,57586
54.311,57587
54.411,57587
54.511,57587
54.611,57587
54.711,57587
54.812,57587
54.912,57587
55.012,57587
55.112,57587
55.212,57587
55.313,57587
55.413,57587
55.513,57587
55.613,57587
55.713,57588
55.814,57588
55.914,57589
56.014,57589
56.114,57589
56.214,57589
56.315,57589
56.415,57589
56.515,57589
56.615,57589
56.715,57589
56.816,57589
56.916,57589
57.016,57589
57.116,57589
57.216,57589
57.317,57589
57.417,57589
57.517,57589
57.617,57589
57.717,57589
57.818,57590
57.918,57590
58.018,57590
58.118,57590
58.218,57590
58.319,57590
58.419,57591
58.519,57592
58.619,57592
58.719,57592
58.820,57592
58.920,57592
59.020,57592
59.120,57592
59.220,57593
59.321,57593
59.421,57593
59.521,57593
59.621,57593
59.721,57593
59.822,57594
59.922,57594
60.022,57595
60.122,57595
60.223,57595
60.323,57595
60.423,57595
60.523,57595
60.623,57595
60.723,57595
60.824,57595
60.924,57595
61.024,57595
61.124,57595
61.224,57595
61.325,57595
61.425,57595
61.525,57595
61.625,57595
61.725,57595
61.826,57595
61.926,57595
62.026,57595
62.126,57595
62.226,57595
62.327,57595
62.427,57595
62.527,57595
62.627,57595
62.727,57595
62.828,57595
62.928,57596
63.028,57596
63.128,57596
63.228,57596
63.329,57596
63.429,57596
63.529,57596
63.629,57596
63.729,57596
63.830,57596
63.930,57597
64.030,57597
64.130,57598
64.231,57598
64.331,57598
64.431,57598
64.531,57598
64.631,57598
64.731,57598
64.832,57599
64.932,57599
65.032,57599
65.132,57599
65.232,57599
65.333,57599
65.433,57599
65.533,57599
65.633,57599
65.734,57599
65.834,57599
65.934,57599
66.034,57599
66.134,57599
66.235,57599
66.335,57599
66.435,57599
66.535,57599
66.635,57599
66.735,57599
66.836,57599
66.936,57599
67.036,57599
67.136,57599
67.236,57599
67.337,57600
67.437,57601
67.537,57601
67.637,57601
67.737,57601
67.838,57601
67.938,57601
68.038,57602
68.138,57602
68.238,57602
68.339,57602
68.439,57603
68.539,57603
68.639,57603
68.739,57603
68.840,57603
68.940,57603
69.040,57603
69.140,57603
69.241,57603
69.341,57603
69.441,57603
69.541,57603
69.641,57603
69.742,57604
69.842,57604
69.942,57604
70.042,57604
70.143,57604
70.243,57604
70.343,57604
70.443,57604
70.543,57604
70.644,57604
70.744,57604
70.844,57604
70.944,57604
71.045,57604
71.145,57604
71.245,57604
71.345,57604
71.445,57604
71.546,57604
71.646,57605
71.746,57605
71.846,57606
71.947,57606
72.047,57606
72.147,57606
72.247,57607
72.347,57607
72.448,57607
72.548,57607
72.648,57607
72.748,57608
72.848,57608
72.949,57608
73.049,57608
73.149,57608
73.249,57608
73.349,57608
73.450,57608
73.550,57608
73.650,57608
73.750,57608
73.850,57608
73.951,57608
74.051,57608
74.151,57608
74.251,57608
74.351,57608
74.451,57608
74.552,57608
74.652,57608
74.752,57608
74.852,57608
74.952,57608
75.053,57608
75.153,57608
75.253,57608
75.353,57608
