TO_UM
1461778439
time,tx_packets
0.001,81459
0.101,81459
0.201,81459
0.301,81459
0.401,81459
0.502,81459
0.602,81459
0.702,81459
0.803,81459
0.903,81459
1.003,81459
1.103,81459
1.203,81459
1.304,81459
1.404,81459
1.504,81459
1.604,81459
1.704,81459
1.805,81459
1.905,81459
2.005,81459
2.105,81459
2.206,81459
2.306,81459
2.406,81459
2.506,81462
2.606,81462
2.706,81462
2.807,81462
2.907,81462
3.007,81462
3.107,81463
3.207,81463
3.308,81463
3.408,81463
3.508,81463
3.608,81466
3.709,81467
3.809,81467
3.909,81467
4.009,81467
4.109,81467
4.210,81467
5.310,81467
5.410,81467
5.510,81467
5.610,81467
5.711,81467
5.811,81467
5.911,81467
6.011,81467
6.111,81467
6.211,81467
6.312,81467
6.412,81467
6.512,81467
6.612,81467
6.713,81468
6.813,81468
6.913,81469
7.013,81470
7.113,81470
7.214,81470
7.314,81471
7.414,81471
7.514,81471
7.614,81471
7.715,81478
7.815,81479
7.915,81479
8.015,81479
8.115,81479
8.216,81480
8.316,81480
8.416,81480
8.516,81480
8.617,81480
8.717,81480
8.817,81480
8.917,81480
9.017,81480
9.118,81480
9.218,81480
9.318,81480
9.418,81480
9.518,81480
9.619,81480
9.719,81481
9.819,81481
9.919,81481
10.020,81481
10.120,81481
10.220,81481
10.320,81481
10.420,81481
10.521,81481
10.621,81481
10.721,81481
10.821,81481
10.921,81481
11.022,81482
11.122,81483
11.222,81484
11.322,81484
11.422,81484
11.523,81484
11.623,81484
11.723,81486
11.823,81487
11.923,81487
12.024,81489
12.124,81490
12.224,81490
12.324,81490
12.425,81490
12.525,81491
12.625,81492
12.725,81492
12.825,81492
12.926,81492
13.026,81492
13.126,81492
13.226,81492
13.327,81492
13.427,81492
13.527,81492
13.627,81492
13.728,81492
13.828,81492
13.928,81492
14.028,81492
14.129,81492
14.229,81492
14.329,81493
14.429,81493
14.529,81493
14.630,81493
14.730,81493
14.830,81493
14.930,81493
15.031,81493
15.131,81493
15.231,81494
15.331,81495
15.431,81496
15.532,81496
15.632,81496
15.732,81496
15.832,81496
15.932,81497
16.033,81497
16.133,81497
16.233,81502
16.333,81503
16.433,81503
16.534,81503
16.634,81503
16.734,81503
16.834,81503
16.935,81505
17.035,81505
17.135,81505
17.235,81505
17.336,81505
17.436,81505
17.536,81505
17.636,81505
17.736,81505
17.837,81505
17.937,81505
18.037,81505
18.137,81505
18.237,81505
18.338,81505
18.438,81505
18.538,81505
18.638,81505
18.738,81505
18.839,81505
18.939,81505
19.039,81505
19.139,81505
19.240,81505
19.340,81506
19.440,81506
19.540,81509
19.640,81509
19.740,81509
19.841,81509
19.941,81509
20.041,81509
20.141,81509
20.241,81510
20.342,81511
20.442,81511
20.542,81511
20.642,81511
20.743,81511
20.843,81511
20.943,81511
21.043,81511
21.143,81511
21.244,81511
21.344,81513
21.444,81513
21.544,81513
21.644,81513
21.745,81513
21.845,81513
21.945,81513
22.045,81513
22.146,81513
22.246,81513
22.346,81513
22.446,81513
22.547,81513
22.647,81513
22.747,81513
22.847,81513
22.947,81513
23.047,81513
23.148,81513
23.248,81513
23.348,81513
23.448,81513
23.549,81513
23.649,81513
23.749,81515
23.849,81515
23.949,81515
24.050,81515
24.150,81515
24.250,81516
24.350,81516
24.450,81516
24.551,81519
24.651,81519
24.751,81519
24.851,81519
24.952,81519
25.052,81519
25.152,81519
25.252,81519
25.352,81519
25.453,81519
25.553,81520
25.653,81521
25.753,81521
25.854,81521
25.954,81521
26.054,81521
26.154,81521
26.254,81521
26.355,81521
26.455,81521
26.555,81521
26.655,81521
26.756,81521
26.856,81521
26.956,81521
27.056,81521
27.156,81521
27.257,81521
27.357,81521
27.457,81521
27.557,81521
27.657,81521
27.758,81521
27.858,81521
27.958,81523
28.058,81523
28.158,81523
28.259,81523
28.359,81523
28.459,81523
28.559,81523
28.660,81525
28.760,81529
28.860,81529
28.960,81529
29.060,81530
29.161,81530
29.261,81530
29.361,81530
29.461,81530
29.561,81530
29.662,81530
29.762,81532
29.862,81532
29.962,81532
30.063,81532
30.163,81532
30.263,81532
30.363,81532
30.464,81532
30.564,81532
30.664,81532
30.764,81532
30.864,81532
30.965,81532
31.065,81532
31.165,81532
31.265,81532
31.365,81532
31.466,81532
31.566,81532
31.666,81532
31.766,81532
31.866,81532
31.967,81532
32.067,81532
32.167,81533
32.267,81534
32.367,81534
32.467,81534
32.568,81534
32.668,81534
32.768,81534
32.868,81534
32.969,81535
33.069,81540
33.169,81542
33.269,81542
33.369,81542
33.470,81542
33.570,81542
33.670,81542
33.770,81542
33.870,81544
33.971,81544
34.071,81544
34.171,81544
34.271,81544
34.371,81544
34.472,81544
34.572,81544
34.672,81544
34.772,81544
34.873,81544
34.973,81544
35.073,81544
35.173,81544
35.273,81544
35.374,81544
35.474,81544
35.574,81544
35.674,81544
35.774,81544
35.875,81544
35.975,81544
36.075,81544
36.175,81544
36.275,81545
36.376,81546
36.476,81547
36.576,81547
36.676,81547
36.777,81547
36.877,81547
36.977,81547
37.077,81547
37.177,81547
37.278,81548
37.378,81548
37.478,81549
37.578,81549
37.678,81550
37.779,81550
37.879,81550
37.979,81550
38.079,81550
38.180,81554
38.285,81555
38.380,81555
38.480,81555
38.580,81555
38.680,81555
38.781,81555
38.881,81555
38.981,81555
39.081,81555
39.181,81555
39.287,81555
39.382,81555
39.482,81555
39.582,81555
39.682,81555
39.783,81555
39.883,81555
39.983,81555
40.083,81555
40.183,81555
40.284,81555
40.384,81555
40.484,81556
40.584,81556
40.684,81556
40.785,81557
40.885,81557
40.985,81557
41.085,81557
41.185,81557
41.285,81557
41.386,81557
41.486,81557
41.586,81558
41.686,81558
41.786,81558
41.886,81558
41.987,81559
42.087,81559
42.187,81559
42.287,81559
42.387,81561
42.487,81561
42.588,81561
42.688,81561
42.788,81561
42.888,81561
42.989,81561
43.089,81561
43.189,81561
43.289,81561
43.389,81561
43.490,81561
43.590,81561
43.690,81561
43.790,81561
43.890,81561
43.991,81561
44.091,81561
44.191,81561
44.291,81561
44.391,81561
44.492,81561
44.592,81561
44.692,81561
44.792,81562
44.892,81562
44.993,81563
45.093,81563
45.193,81563
45.293,81563
45.393,81563
45.493,81563
45.594,81563
45.694,81563
45.794,81563
45.894,81563
45.995,81564
46.095,81565
46.195,81566
46.295,81566
46.395,81566
46.496,81566
46.596,81566
46.696,81566
46.796,81570
46.896,81570
46.996,81570
47.097,81570
47.197,81570
47.297,81570
47.397,81570
47.497,81570
47.598,81570
47.698,81570
47.798,81570
47.898,81570
47.999,81570
48.099,81570
48.199,81570
48.299,81570
48.399,81570
48.500,81570
48.600,81570
48.700,81570
48.800,81570
48.900,81570
49.000,81571
49.101,81572
49.201,81572
49.301,81572
49.401,81572
49.501,81572
49.602,81572
49.702,81572
49.802,81572
49.902,81572
50.002,81572
50.103,81572
50.203,81572
50.303,81573
50.403,81573
50.503,81574
50.604,81574
50.704,81574
50.804,81574
50.904,81579
51.004,81580
51.105,81580
51.205,81580
51.305,81580
51.405,81585
51.505,81586
51.606,81586
51.706,81586
51.806,81586
51.906,81586
52.006,81586
52.107,81586
52.207,81586
52.307,81586
52.407,81586
52.507,81586
52.608,81586
52.708,81586
52.808,81586
52.908,81586
53.008,81586
53.109,81586
53.209,81586
53.309,81586
53.409,81586
53.509,81588
53.610,81588
53.710,81588
53.810,81588
53.910,81588
54.010,81588
54.111,81588
54.211,81588
54.311,81588
54.411,81588
54.511,81588
54.611,81588
54.712,81589
54.812,81590
54.912,81590
55.012,81590
55.112,81590
55.213,81594
55.313,81595
55.413,81595
55.513,81595
55.613,81595
55.714,81596
55.814,81596
55.914,81596
56.014,81596
56.114,81596
56.215,81596
56.315,81596
56.415,81596
56.515,81596
56.615,81596
56.716,81596
56.816,81596
56.916,81596
57.016,81596
57.116,81596
57.217,81596
57.317,81596
57.417,81596
57.517,81596
57.617,81596
57.718,81597
57.818,81597
57.918,81598
58.018,81598
58.118,81598
58.219,81598
58.319,81598
58.419,81598
58.519,81598
58.619,81598
58.720,81598
58.820,81598
58.920,81598
59.020,81599
59.120,81600
59.221,81600
59.321,81600
59.421,81600
59.521,81604
59.621,81605
59.722,81605
59.822,81607
59.922,81607
60.022,81607
60.123,81607
60.223,81607
60.323,81607
60.423,81607
60.523,81607
60.624,81607
60.724,81607
60.824,81607
60.924,81607
61.024,81607
61.125,81607
61.225,81607
61.325,81607
61.425,81607
61.525,81607
61.626,81607
61.726,81607
61.826,81607
61.926,81607
62.026,81608
62.126,81608
62.227,81609
62.327,81609
62.427,81609
62.527,81609
62.627,81610
62.728,81610
62.828,81610
62.928,81610
63.028,81610
63.129,81610
63.229,81610
63.329,81610
63.429,81611
63.529,81611
63.630,81612
63.730,81612
63.830,81612
63.930,81617
64.030,81618
64.131,81618
64.231,81618
64.331,81618
64.431,81618
64.531,81618
64.632,81618
64.732,81618
64.832,81618
64.932,81618
65.032,81618
65.133,81618
65.233,81618
65.333,81618
65.433,81618
65.533,81618
65.634,81618
65.734,81618
65.834,81618
65.934,81618
66.034,81618
66.134,81618
66.235,81618
66.335,81618
66.435,81618
66.535,81620
66.635,81620
66.736,81620
66.836,81620
66.936,81620
67.036,81620
67.136,81620
67.237,81620
67.337,81620
67.437,81620
67.537,81620
67.637,81620
67.737,81621
67.838,81622
67.938,81622
68.038,81627
68.138,81628
68.238,81628
68.339,81628
68.439,81629
68.539,81629
68.640,81629
68.740,81629
68.840,81629
68.940,81629
69.040,81629
69.141,81629
69.241,81629
69.341,81629
69.441,81629
69.541,81629
69.642,81629
69.742,81630
69.842,81630
69.942,81630
70.043,81630
70.143,81630
70.243,81630
70.343,81630
70.443,81630
70.544,81630
70.644,81630
70.744,81632
70.844,81632
70.945,81632
71.045,81632
71.145,81632
71.245,81632
71.345,81632
71.446,81632
71.546,81632
71.646,81632
71.746,81632
71.847,81633
71.947,81633
72.047,81634
72.147,81634
72.247,81637
72.348,81637
72.448,81637
72.548,81637
72.648,81637
72.748,81637
72.849,81637
72.949,81637
73.049,81637
73.149,81637
73.249,81637
73.350,81637
73.450,81637
73.550,81637
73.651,81637
73.750,81637
73.851,81637
73.951,81637
74.051,81637
74.151,81637
74.251,81637
74.352,81638
74.452,81638
74.552,81638
74.652,81638
74.752,81638
74.852,81638
74.953,81638
75.053,81640
75.153,81640
75.253,81640
75.353,81640
75.454,81640
75.554,81640
75.654,81640
75.754,81640
75.855,81640
75.955,81640
76.055,81640
76.155,81640
76.255,81640
76.356,81641
76.456,81645
76.556,81645
76.656,81645
76.756,81645
76.857,81645
76.957,81645
77.057,81645
77.157,81645
77.257,81645
77.358,81645
77.458,81645
77.558,81645
77.658,81645
77.758,81645
77.858,81645
77.959,81645
78.059,81645
78.159,81645
78.259,81645
78.359,81645
78.460,81645
78.560,81645
78.660,81645
78.760,81645
78.860,81645
78.961,81645
79.061,81645
79.161,81645
79.261,81646
79.361,81647
79.462,81647
79.562,81647
79.662,81647
79.762,81647
79.862,81647
79.963,81647
80.063,81647
80.163,81647
80.263,81647
80.363,81647
80.464,81647
80.564,81647
80.664,81651
80.764,81652
80.864,81652
80.965,81652
81.065,81652
81.165,81653
81.265,81653
81.365,81653
81.466,81653
81.566,81653
81.666,81653
81.766,81653
81.866,81653
81.967,81653
82.067,81653
82.167,81653
82.267,81653
82.367,81653
82.468,81653
82.568,81653
82.668,81653
82.768,81653
82.868,81653
82.969,81653
83.069,81653
83.169,81653
83.269,81653
83.369,81654
83.470,81654
83.570,81654
83.670,81654
83.770,81654
83.870,81655
83.971,81655
84.071,81655
84.171,81655
84.271,81655
84.371,81655
84.472,81655
84.572,81655
84.672,81655
84.772,81655
84.872,81656
84.973,81656
85.073,81656
85.173,81659
85.273,81663
85.373,81663
85.474,81663
85.574,81663
85.674,81663
85.774,81663
85.875,81663
85.975,81663
86.075,81663
86.175,81663
86.275,81663
86.376,81663
86.476,81663
86.576,81663
86.676,81663
86.776,81663
86.877,81663
86.977,81663
87.077,81663
87.177,81663
87.277,81663
87.377,81663
87.478,81663
87.578,81664
87.678,81664
87.778,81664
87.878,81664
87.979,81665
88.079,81665
88.179,81665
88.286,81665
88.379,81665
88.480,81665
88.580,81665
88.680,81665
88.780,81665
88.880,81665
88.980,81665
89.081,81665
89.181,81665
89.282,81665
89.381,81666
89.481,81666
89.582,81671
89.682,81672
89.782,81672
89.882,81672
89.982,81672
90.083,81672
90.183,81672
90.283,81672
90.383,81672
90.483,81672
90.584,81672
90.684,81672
90.784,81672
90.884,81672
90.984,81672
91.085,81679
91.185,81681
91.286,81687
91.385,81689
91.485,81689
91.586,81691
91.686,81709
91.786,81717
91.886,81717
91.986,81717
92.087,81717
92.187,81726
