TO_CLIENT
1461803005
time,tx_packets
0.001,6553
0.101,6553
0.201,6553
0.301,6553
0.402,6553
0.502,6553
0.602,6553
0.702,6553
0.803,6553
0.903,6553
1.003,6553
1.103,6553
1.203,6553
1.304,6553
1.404,6553
1.504,6553
1.604,6553
1.704,6553
1.805,6553
1.905,6553
2.005,6554
2.105,6554
2.205,6558
2.306,6563
2.406,6568
2.506,6573
2.606,6578
2.706,6583
2.806,6588
2.907,6593
3.007,6598
3.107,6603
3.208,6608
3.308,6613
3.408,6618
3.508,6623
3.608,6628
3.708,6633
3.809,6638
3.909,6643
4.009,6648
4.109,6653
4.209,6654
4.309,6663
4.409,6668
4.510,6673
4.610,6678
4.710,6683
4.810,6688
4.910,6693
5.010,6698
5.111,6703
5.211,6708
5.311,6713
5.411,6717
5.511,6723
5.611,6728
5.712,6733
5.812,6738
5.912,6743
6.012,6748
6.112,6753
6.212,6758
6.312,6763
6.412,6768
6.513,6773
6.613,6778
6.713,6783
6.813,6788
6.913,6793
7.013,6798
7.113,6803
7.213,6809
7.314,6814
7.414,6819
7.514,6824
7.614,6829
7.714,6834
7.815,6839
7.915,6844
8.015,6849
8.115,6854
8.215,6859
8.316,6864
8.416,6869
8.516,6874
8.616,6879
8.716,6884
8.816,6889
8.916,6894
9.017,6899
9.117,6904
9.217,6909
9.317,6914
9.417,6919
9.517,6924
9.617,6929
9.718,6934
9.818,6939
9.918,6944
10.018,6949
10.118,6954
10.219,6959
10.319,6964
10.419,6969
10.519,6973
10.620,6979
10.720,6984
10.820,6989
10.920,6994
11.020,6999
11.121,7004
11.221,7009
11.321,7014
11.421,7019
11.521,7024
11.621,7029
11.721,7034
11.822,7039
11.921,7044
12.022,7049
12.122,7054
12.222,7058
12.322,7063
12.422,7068
12.522,7070
12.623,7076
12.723,7082
12.823,7087
12.923,7092
13.024,7097
13.124,7102
13.224,7107
13.324,7112
13.424,7117
13.525,7122
13.625,7127
13.725,7132
13.825,7137
13.925,7142
14.025,7147
14.125,7152
14.226,7157
14.326,7162
14.426,7167
14.527,7172
14.627,7177
14.727,7182
14.827,7187
14.928,7192
15.028,7197
15.128,7203
15.228,7208
15.328,7213
15.428,7218
15.528,7223
15.629,7228
15.729,7233
15.829,7238
15.930,7243
16.030,7248
16.130,7253
16.230,7258
16.331,7263
16.431,7268
16.531,7273
16.631,7278
16.731,7283
16.831,7288
16.932,7293
17.032,7298
17.132,7303
17.232,7308
17.332,7313
17.432,7318
17.533,7323
17.633,7328
17.733,7333
17.833,7338
17.933,7343
18.033,7348
18.133,7353
18.234,7358
18.334,7363
18.435,7368
18.534,7373
18.635,7378
18.735,7383
18.835,7388
18.934,7393
19.034,7398
19.135,7403
19.235,7408
19.335,7413
19.435,7418
19.535,7423
19.635,7428
19.735,7433
19.836,7438
19.936,7443
20.036,7448
20.136,7453
20.236,7458
20.336,7463
20.436,7468
20.537,7473
20.637,7478
20.737,7483
20.837,7488
20.937,7493
21.037,7498
21.137,7503
21.238,7508
21.338,7513
21.438,7518
21.538,7523
21.638,7528
21.738,7533
21.838,7538
21.938,7543
22.038,7548
22.139,7553
22.239,7558
22.339,7563
22.439,7568
22.539,7573
22.639,7578
22.739,7583
22.839,7588
22.940,7593
23.040,7596
23.140,7603
23.240,7608
23.340,7613
23.440,7618
23.540,7623
23.641,7628
23.741,7633
23.841,7638
23.941,7643
24.041,7648
24.141,7653
24.241,7656
24.341,7663
24.441,7668
24.541,7673
24.641,7678
24.741,7683
24.842,7688
24.942,7693
25.042,7698
25.142,7703
25.242,7708
25.342,7713
25.442,7718
25.542,7723
25.643,7728
25.743,7733
25.843,7738
25.943,7743
26.043,7748
26.143,7753
26.244,7758
26.344,7763
26.445,7768
26.544,7773
26.644,7778
26.745,7783
26.845,7788
26.946,7793
27.045,7798
27.145,7803
27.246,7808
27.346,7813
27.446,7818
27.546,7823
27.646,7828
27.746,7833
27.846,7838
27.947,7843
28.046,7848
28.147,7853
28.247,7858
28.347,7863
28.447,7868
28.547,7873
28.647,7878
28.747,7883
28.847,7888
28.950,7894
29.047,7898
29.147,7903
29.247,7908
29.347,7913
29.448,7918
29.548,7923
29.648,7928
29.748,7934
29.848,7938
29.949,7944
30.048,7948
30.148,7954
30.248,7959
30.349,7964
30.449,7968
30.549,7973
30.649,7979
30.749,7984
30.849,7989
30.949,7994
31.049,7999
31.149,8004
31.250,8008
31.350,8014
31.450,8019
31.550,8024
31.650,8029
31.750,8034
31.850,8039
31.951,8044
32.050,8049
32.151,8054
32.251,8059
32.351,8064
32.451,8069
32.551,8074
32.651,8079
32.751,8084
32.851,8089
32.952,8094
33.052,8099
33.152,8102
33.252,8106
33.352,8114
33.452,8119
33.552,8124
33.652,8129
33.752,8134
33.852,8139
33.952,8144
34.053,8149
34.153,8154
34.253,8159
34.353,8164
34.453,8169
34.553,8174
34.653,8179
34.753,8184
34.853,8189
34.953,8194
35.053,8199
35.153,8204
35.253,8205
35.353,8214
35.454,8218
35.554,8221
35.654,8229
35.754,8234
35.854,8239
35.954,8244
36.054,8249
36.154,8254
36.254,8259
36.354,8264
36.455,8269
36.555,8274
36.655,8279
36.755,8284
36.855,8289
36.955,8294
37.055,8299
37.155,8304
37.255,8309
37.355,8314
37.456,8319
37.556,8324
37.656,8329
37.756,8334
37.856,8339
37.956,8344
38.056,8349
38.156,8354
38.256,8359
38.356,8364
38.456,8369
38.556,8374
38.656,8379
38.757,8384
38.857,8389
38.957,8394
39.057,8399
39.157,8404
39.257,8406
39.357,8415
39.457,8420
39.557,8425
39.658,8430
39.758,8435
39.857,8438
39.957,8445
40.058,8450
40.158,8455
40.258,8460
40.358,8465
40.458,8469
40.558,8475
40.658,8480
40.759,8485
40.859,8490
40.959,8495
41.059,8500
41.159,8505
41.259,8510
41.359,8515
41.460,8520
41.560,8525
41.660,8530
41.760,8535
41.860,8540
41.960,8545
42.060,8550
42.160,8555
42.261,8560
42.361,8565
42.461,8570
42.561,8575
42.661,8580
42.761,8585
42.861,8590
42.961,8595
43.062,8600
43.162,8605
43.262,8610
43.362,8615
43.462,8620
43.562,8625
43.662,8630
43.762,8635
43.863,8640
43.963,8641
44.063,8650
44.163,8650
44.263,8660
44.363,8665
44.463,8670
44.563,8675
44.663,8680
44.763,8685
44.863,8688
44.964,8693
