TO_UIUC
1461803005
time,tx_packets
0.001,10298
0.101,10298
0.201,10298
0.302,10298
0.402,10298
0.502,10298
0.602,10298
0.702,10298
0.803,10298
0.903,10298
1.003,10298
1.103,10298
1.203,10298
1.304,10298
1.404,10298
1.504,10298
1.604,10298
1.704,10298
1.805,10298
1.905,10299
2.005,10304
2.106,10309
2.206,10322
2.306,10340
2.406,10365
2.506,10390
2.606,10416
2.707,10443
2.807,10469
2.907,10497
3.007,10521
3.108,10542
3.208,10561
3.308,10580
3.408,10600
3.509,10620
3.609,10640
3.709,10660
3.809,10680
3.909,10701
4.009,10722
4.110,10742
4.210,10754
4.310,10782
4.410,10799
4.510,10821
4.610,10842
4.710,10862
4.810,10882
4.911,10902
5.011,10922
5.111,10942
5.211,10962
5.311,10982
5.411,11002
5.511,11023
5.612,11043
5.712,11063
5.812,11083
5.912,11103
6.012,11123
6.113,11144
6.213,11166
6.313,11186
6.413,11206
6.513,11226
6.613,11246
6.713,11266
6.813,11288
6.913,11309
7.013,11329
7.113,11349
7.214,11369
7.314,11389
7.414,11411
7.514,11433
7.614,11453
7.714,11475
7.815,11496
7.915,11517
8.015,11538
8.115,11558
8.215,11578
8.316,11598
8.416,11618
8.516,11639
8.616,11660
8.716,11681
8.816,11701
8.916,11722
9.017,11742
9.117,11763
9.217,11784
9.317,11804
9.417,11824
9.517,11846
9.617,11867
9.718,11887
9.818,11907
9.918,11927
10.018,11947
10.118,11967
10.219,11987
10.319,12008
10.419,12029
10.519,12053
10.619,12076
10.719,12096
10.820,12116
10.920,12136
11.020,12156
11.120,12176
11.220,12196
11.321,12216
11.421,12236
11.521,12256
11.621,12277
11.721,12296
11.822,12318
11.922,12338
12.022,12358
12.122,12378
12.222,12395
12.322,12412
12.422,12428
12.523,12450
12.623,12477
12.723,12498
12.823,12517
12.924,12532
13.024,12552
13.124,12568
13.224,12587
13.324,12605
13.425,12624
13.525,12640
13.625,12658
13.725,12674
13.826,12691
13.926,12709
14.026,12726
14.126,12742
14.226,12762
14.326,12780
14.427,12797
14.527,12812
14.627,12828
14.727,12843
14.828,12859
14.928,12874
15.028,12890
15.128,12906
15.228,12922
15.329,12937
15.429,12956
15.529,12973
15.629,12992
15.730,13008
15.830,13024
15.930,13040
16.030,13056
16.130,13071
16.231,13087
16.331,13102
16.431,13118
16.531,13135
16.632,13153
16.732,13169
16.832,13188
16.932,13204
17.032,13221
17.133,13236
17.233,13252
17.333,13268
17.433,13284
17.533,13301
17.633,13318
17.734,13336
17.834,13354
17.934,13369
18.034,13385
18.134,13400
18.235,13416
18.335,13432
18.435,13451
18.535,13468
18.636,13486
18.736,13501
18.836,13517
18.936,13532
19.036,13548
19.136,13563
19.236,13580
19.336,13596
19.437,13612
19.537,13627
19.637,13645
19.737,13661
