TO_UM
1461803005
time,tx_packets
0.001,27723
0.101,27723
0.201,27723
0.301,27723
0.402,27723
0.502,27723
0.602,27723
0.702,27723
0.802,27724
0.903,27724
1.003,27724
1.103,27724
1.203,27724
1.303,27724
1.404,27724
1.504,27728
1.604,27729
1.704,27729
1.804,27729
1.905,27730
2.005,27744
2.105,27769
2.205,27802
2.305,27840
2.406,27886
2.506,27934
2.606,27978
2.707,28019
2.807,28061
2.907,28097
3.007,28116
3.107,28130
3.207,28145
3.308,28160
3.408,28175
3.508,28190
3.608,28206
3.709,28224
3.809,28239
3.909,28255
4.009,28272
4.109,28285
4.209,28297
4.309,28318
4.409,28334
4.509,28351
4.609,28368
4.709,28383
4.810,28398
4.910,28413
5.010,28428
5.110,28443
5.210,28459
5.311,28474
5.411,28488
5.511,28515
5.611,28532
5.711,28547
5.812,28562
5.912,28581
6.012,28596
6.112,28612
6.212,28627
6.312,28642
6.412,28657
6.512,28672
6.612,28687
6.712,28704
6.812,28726
6.912,28741
7.012,28756
7.113,28774
7.213,28790
7.313,28805
7.413,28820
7.514,28836
7.614,28851
7.714,28868
7.814,28885
7.914,28909
8.015,28926
8.115,28941
8.215,28956
8.315,28974
8.415,28989
8.515,29004
8.616,29020
8.716,29035
8.816,29050
8.916,29067
9.016,29083
9.116,29105
9.216,29119
9.317,29135
9.417,29152
9.517,29172
9.617,29188
9.717,29206
9.817,29229
9.918,29244
10.018,29259
10.118,29278
10.218,29293
10.318,29308
10.418,29323
10.519,29356
10.619,29384
10.719,29399
10.819,29414
10.919,29430
11.020,29446
11.120,29461
11.220,29476
11.320,29491
11.420,29506
11.520,29521
11.621,29536
11.721,29554
11.821,29573
11.921,29588
12.021,29603
12.122,29623
12.222,29641
12.322,29661
12.422,29686
12.522,29722
12.622,29751
12.723,29781
12.823,29811
12.923,29844
13.023,29878
13.124,29912
13.224,29948
13.324,29984
13.424,30017
13.525,30056
13.625,30088
13.725,30123
13.825,30156
13.926,30188
14.026,30222
14.126,30255
14.226,30290
14.326,30325
14.427,30359
14.526,30392
14.627,30424
14.727,30459
14.827,30496
14.928,30530
15.028,30568
15.128,30604
15.228,30637
15.328,30671
15.429,30704
15.528,30739
15.629,30773
15.729,30807
15.830,30841
15.930,30876
16.030,30911
16.130,30946
16.230,30979
16.330,31013
16.431,31047
16.531,31084
16.631,31117
16.731,31150
16.831,31184
16.931,31217
17.032,31249
17.132,31283
17.232,31320
17.333,31355
17.432,31387
17.533,31423
17.633,31457
17.733,31492
17.833,31527
17.933,31559
18.033,31595
18.134,31633
18.234,31665
18.334,31698
18.435,31734
18.535,31770
18.635,31809
18.735,31848
18.835,31883
18.935,31919
19.035,31953
19.135,31987
19.236,32025
19.336,32060
19.436,32093
19.536,32128
19.637,32163
19.737,32195
19.837,32230
19.937,32264
20.037,32299
20.137,32339
20.238,32376
20.338,32409
20.438,32444
20.538,32482
20.638,32517
20.739,32552
20.839,32583
20.939,32618
21.039,32652
21.140,32685
21.240,32719
21.340,32751
21.440,32783
21.540,32821
21.640,32856
21.741,32893
21.841,32928
21.941,32963
22.041,32999
22.141,33034
22.241,33067
22.342,33102
22.442,33138
22.542,33177
22.642,33210
22.743,33244
22.843,33281
22.943,33317
23.043,33349
23.143,33382
23.243,33417
23.344,33451
23.444,33487
23.544,33518
23.644,33549
23.745,33580
23.845,33615
23.951,33650
24.045,33684
24.145,33716
24.245,33741
24.345,33787
24.445,33826
24.546,33859
24.646,33888
24.746,33919
24.846,33952
24.946,33987
25.046,34018
25.146,34049
25.246,34080
25.346,34111
25.446,34152
25.547,34188
25.647,34220
25.747,34250
25.847,34280
25.948,34322
26.047,34355
26.147,34385
26.247,34416
26.348,34449
26.448,34484
26.548,34520
26.648,34555
26.748,34588
26.848,34621
26.949,34658
27.049,34698
27.149,34730
27.249,34765
27.349,34798
27.449,34837
27.549,34872
