TO_CLIENT
1461878658
time,tx_packets
0.001,36995
0.101,36995
0.201,36995
0.301,36995
0.402,36995
0.502,36995
0.602,36995
0.702,36995
0.802,36995
0.903,36995
1.003,36995
1.103,36995
1.203,36995
1.303,36995
1.404,36995
1.504,36996
1.604,37001
1.704,37006
1.804,37011
1.905,37016
2.005,37021
2.105,37026
2.205,37031
2.306,37036
2.406,37041
3.505,37096
3.606,37100
3.706,37104
3.806,37108
3.906,37109
4.006,37114
4.106,37117
4.206,37123
4.307,37132
4.407,37134
4.507,37138
4.607,37145
4.707,37151
4.807,37155
4.907,37161
5.008,37165
5.108,37172
5.208,37177
5.308,37179
5.408,37183
5.508,37188
5.608,37194
5.709,37197
5.809,37202
5.909,37211
6.009,37218
6.109,37222
6.209,37222
6.309,37223
6.410,37233
6.510,37241
6.610,37248
6.710,37256
6.810,37257
6.910,37257
7.010,37257
7.110,37263
7.211,37267
7.311,37268
7.411,37278
7.511,37289
7.611,37295
7.712,37303
7.812,37311
7.912,37313
8.012,37316
8.112,37323
8.212,37325
8.312,37329
8.413,37330
8.513,37336
8.613,37345
8.713,37352
8.813,37353
8.914,37358
9.014,37367
9.114,37372
9.214,37379
9.314,37383
9.414,37384
9.515,37385
9.615,37393
9.715,37399
9.815,37403
9.915,37408
10.015,37417
10.115,37422
10.215,37428
10.315,37435
10.416,37438
10.516,37443
10.616,37447
10.716,37453
10.816,37454
10.916,37460
11.016,37466
11.117,37469
11.217,37472
11.317,37477
11.417,37485
11.517,37487
11.617,37496
11.717,37501
11.818,37506
11.918,37509
12.018,37517
12.118,37519
12.218,37525
12.318,37532
12.419,37532
12.519,37538
12.619,37545
12.719,37553
12.819,37556
12.919,37561
13.019,37564
13.119,37569
13.219,37572
13.319,37578
13.420,37583
13.520,37585
13.620,37589
13.720,37595
13.820,37605
13.920,37612
14.020,37614
14.120,37620
14.221,37626
14.321,37629
14.421,37630
14.522,37634
14.622,37640
14.722,37650
14.822,37657
14.922,37663
15.022,37665
15.122,37672
15.222,37676
15.322,37681
15.423,37683
15.523,37691
15.623,37694
15.723,37696
15.823,37708
15.925,37709
16.024,37711
16.124,37713
16.224,37718
16.324,37719
16.425,37722
16.525,37734
16.625,37739
16.725,37744
16.825,37750
16.926,37762
17.025,37766
17.125,37775
17.225,37779
17.326,37783
17.426,37788
17.526,37793
17.626,37797
17.726,37803
17.826,37807
17.927,37810
18.026,37813
18.126,37820
18.227,37826
18.327,37829
18.427,37832
18.527,37836
18.627,37843
18.727,37849
18.828,37855
18.931,37862
19.028,37868
19.128,37871
19.228,37876
19.328,37879
19.428,37883
19.528,37887
19.628,37892
19.729,37896
19.829,37902
19.929,37908
20.029,37911
20.129,37917
20.229,37920
20.329,37926
20.429,37933
20.530,37941
20.630,37946
20.730,37946
20.830,37952
20.931,37959
21.030,37963
21.130,37970
21.230,37976
21.331,37983
21.431,37987
21.531,37994
21.631,37994
21.731,37995
21.831,38000
21.932,38007
22.032,38013
22.132,38018
22.232,38023
22.332,38029
22.432,38037
22.532,38045
22.632,38049
22.733,38052
22.833,38058
22.933,38059
23.033,38067
23.133,38072
23.233,38076
23.334,38082
23.434,38085
23.534,38090
23.634,38094
23.734,38100
23.834,38105
23.934,38112
24.035,38117
24.135,38121
24.235,38126
24.335,38134
24.435,38139
24.535,38141
24.636,38148
24.736,38151
24.836,38151
24.936,38153
25.036,38160
25.136,38166
25.236,38169
25.337,38173
25.437,38182
25.537,38187
25.637,38190
25.737,38202
25.837,38205
25.937,38211
26.037,38216
26.137,38223
26.238,38224
26.338,38232
26.438,38237
26.538,38242
26.638,38249
26.738,38253
26.839,38257
26.939,38263
27.039,38266
27.139,38269
27.239,38279
27.339,38280
27.440,38285
27.540,38288
27.640,38296
27.740,38301
27.840,38306
27.940,38312
28.041,38317
28.141,38321
28.241,38326
28.341,38326
28.441,38329
28.541,38338
28.641,38342
28.742,38343
28.842,38344
28.942,38345
29.042,38351
29.142,38363
29.242,38368
29.342,38375
29.443,38386
29.543,38395
29.643,38400
29.743,38402
29.843,38408
29.943,38418
30.043,38422
30.143,38428
30.243,38428
30.344,38433
30.444,38434
30.544,38441
30.644,38441
30.744,38447
30.844,38452
30.944,38461
31.044,38469
31.144,38469
31.244,38476
31.345,38483
31.445,38487
31.545,38490
31.645,38498
31.746,38501
31.846,38511
31.946,38514
32.046,38516
32.146,38519
32.246,38526
32.346,38530
32.447,38534
32.547,38543
32.647,38547
32.747,38554
32.847,38559
32.947,38565
33.047,38568
33.148,38571
33.248,38571
33.348,38575
33.448,38584
33.548,38588
33.648,38600
33.749,38607
33.849,38613
33.949,38616
34.049,38623
34.149,38628
34.249,38632
34.349,38636
34.450,38640
34.550,38641
34.650,38651
34.750,38656
34.850,38656
34.950,38663
35.051,38667
35.151,38670
