TO_UIUC
1461878658
time,tx_packets
0.001,2081428
0.101,2081429
0.201,2081429
0.301,2081429
0.402,2081429
0.502,2081429
0.602,2081430
0.702,2081431
0.802,2081431
0.903,2081431
1.003,2081431
1.103,2081431
1.203,2081431
1.303,2081437
1.404,2081452
1.504,2081475
1.604,2081500
1.704,2081523
1.805,2081547
1.905,2081567
2.005,2081588
2.105,2081609
2.205,2081626
2.306,2081645
2.406,2081666
2.506,2081689
2.606,2081714
2.706,2081739
2.806,2081764
2.906,2081789
3.007,2081815
3.107,2081840
3.207,2081864
3.307,2081888
3.407,2081915
3.507,2081941
3.608,2081972
3.708,2082004
3.808,2082045
3.908,2082081
4.008,2082116
4.108,2082144
4.208,2082165
4.308,2082195
4.409,2082227
4.509,2082264
4.609,2082289
4.709,2082322
4.809,2082347
4.909,2082373
5.009,2082392
5.110,2082416
5.210,2082434
5.310,2082450
5.410,2082472
5.510,2082484
5.610,2082514
5.710,2082543
5.811,2082559
5.911,2082572
6.011,2082594
6.111,2082604
6.211,2082628
6.311,2082657
6.411,2082678
6.512,2082695
6.612,2082710
6.712,2082726
6.812,2082745
6.912,2082811
7.012,2082854
7.113,2082893
7.213,2082928
7.313,2082952
7.413,2082979
7.513,2083004
7.613,2083034
7.714,2083057
7.814,2083085
7.914,2083125
8.014,2083156
8.114,2083199
8.214,2083224
8.314,2083258
8.415,2083281
8.515,2083298
8.615,2083318
8.715,2083326
8.815,2083354
8.916,2083377
9.016,2083406
9.116,2083430
9.216,2083450
9.316,2083473
9.416,2083512
9.516,2083531
9.617,2083541
9.717,2083560
9.817,2083589
9.917,2083623
10.017,2083642
10.117,2083659
10.217,2083683
10.317,2083699
10.418,2083720
10.518,2083754
10.618,2083772
10.718,2083810
10.818,2083850
10.919,2083861
11.019,2083880
11.119,2083918
11.219,2083937
11.319,2083961
11.420,2083995
11.520,2084028
11.620,2084049
11.720,2084072
11.820,2084100
11.920,2084126
12.021,2084157
12.121,2084181
12.221,2084208
12.321,2084236
12.421,2084274
12.521,2084297
12.621,2084323
12.721,2084346
12.822,2084375
12.922,2084422
13.022,2084442
13.122,2084474
13.222,2084513
13.322,2084542
13.422,2084563
13.523,2084615
13.623,2084635
13.723,2084641
13.823,2084673
13.926,2084708
14.023,2084728
14.123,2084752
14.224,2084785
14.324,2084816
14.424,2084844
14.524,2084877
14.624,2084910
14.724,2084950
14.824,2084972
14.925,2084995
15.024,2085033
15.125,2085052
15.225,2085088
15.325,2085126
15.425,2085143
15.525,2085175
15.625,2085205
15.725,2085234
15.826,2085254
15.927,2085285
16.026,2085330
16.126,2085349
16.227,2085394
16.327,2085433
16.427,2085452
16.527,2085490
16.627,2085534
16.727,2085550
16.827,2085572
16.928,2085603
17.028,2085633
17.128,2085654
17.228,2085684
17.328,2085713
17.428,2085747
17.528,2085784
17.629,2085813
17.728,2085834
17.829,2085847
17.929,2085891
18.029,2085927
18.129,2085944
18.229,2085973
18.329,2086022
18.430,2086054
18.530,2086077
18.630,2086104
18.730,2086135
18.830,2086170
18.931,2086187
19.030,2086218
19.131,2086249
19.231,2086282
19.331,2086301
19.431,2086321
19.531,2086351
19.632,2086391
19.732,2086416
19.832,2086453
19.932,2086475
20.032,2086501
20.132,2086534
20.232,2086555
20.333,2086583
20.433,2086611
20.533,2086648
20.633,2086689
20.733,2086718
20.833,2086738
20.934,2086773
21.034,2086811
21.134,2086831
21.234,2086849
21.334,2086874
21.434,2086906
21.535,2086941
21.635,2086964
21.735,2086979
21.835,2087001
21.935,2087039
22.036,2087076
22.136,2087097
22.236,2087115
22.336,2087153
22.436,2087183
22.536,2087204
22.636,2087231
22.737,2087254
22.837,2087301
22.937,2087316
23.037,2087348
23.137,2087387
23.237,2087418
23.338,2087429
23.438,2087457
23.538,2087493
23.638,2087540
23.738,2087572
23.838,2087600
23.938,2087623
24.038,2087654
24.139,2087687
24.239,2087718
24.339,2087748
24.439,2087777
24.539,2087809
24.639,2087828
24.740,2087859
24.840,2087888
24.940,2087917
25.040,2087953
25.140,2087988
25.240,2088031
25.340,2088061
25.441,2088089
25.541,2088121
25.641,2088154
25.741,2088173
25.841,2088202
25.941,2088226
26.041,2088243
26.141,2088266
