TO_UM
1461878658
time,tx_packets
0.001,3681135
0.101,3681136
0.201,3681136
0.301,3681136
0.401,3681136
0.502,3681136
0.602,3681137
0.702,3681138
0.802,3681138
0.902,3681138
1.003,3681138
1.103,3681138
1.203,3681138
1.303,3681150
1.403,3681175
1.504,3681202
1.604,3681229
1.704,3681259
1.804,3681288
1.904,3681315
2.004,3681341
2.105,3681367
2.205,3681390
2.305,3681415
2.405,3681441
3.505,3681769
3.605,3681817
3.705,3681866
3.805,3681934
3.906,3682000
4.006,3682065
4.106,3682111
4.206,3682150
4.306,3682189
4.406,3682235
4.507,3682286
4.607,3682331
4.707,3682380
4.807,3682426
4.907,3682475
5.007,3682515
5.107,3682564
5.208,3682608
5.308,3682642
5.408,3682686
5.508,3682732
5.608,3682786
5.708,3682829
5.808,3682865
5.908,3682911
6.009,3682949
6.109,3682978
6.209,3683009
6.309,3683051
6.409,3683101
6.510,3683148
6.610,3683192
6.710,3683254
6.810,3683313
6.910,3683421
7.010,3683497
7.110,3683576
7.210,3683623
7.310,3683674
7.411,3683721
7.511,3683765
7.611,3683804
7.711,3683842
7.811,3683877
7.911,3683939
8.011,3683997
8.112,3684062
8.212,3684120
8.312,3684176
8.412,3684221
8.512,3684262
8.612,3684301
8.713,3684350
8.813,3684386
8.913,3684432
9.013,3684476
9.113,3684526
9.213,3684569
9.314,3684616
9.414,3684670
9.514,3684718
9.614,3684771
9.714,3684836
9.814,3684871
9.914,3684918
10.014,3684962
10.114,3684996
10.214,3685027
10.315,3685070
10.415,3685111
10.515,3685143
10.616,3685196
10.716,3685246
10.816,3685291
10.916,3685354
11.016,3685405
11.116,3685444
11.216,3685498
11.316,3685544
11.417,3685602
11.517,3685652
11.617,3685705
11.717,3685749
11.817,3685790
11.917,3685833
12.017,3685880
12.117,3685936
12.217,3685992
12.318,3686040
12.418,3686094
12.518,3686142
12.618,3686196
12.718,3686243
12.818,3686285
12.918,3686334
13.018,3686383
13.119,3686447
13.219,3686506
13.319,3686570
13.419,3686617
13.519,3686665
13.619,3686703
13.719,3686744
13.819,3686787
13.919,3686825
14.019,3686868
14.119,3686910
14.220,3686960
14.320,3687020
14.420,3687065
14.520,3687130
14.620,3687191
14.720,3687246
14.821,3687297
14.920,3687331
15.021,3687360
15.121,3687415
15.221,3687464
15.321,3687520
15.421,3687576
15.522,3687623
15.622,3687671
15.722,3687726
15.822,3687772
15.923,3687809
16.023,3687855
16.123,3687919
16.223,3687986
16.323,3688047
16.424,3688116
16.524,3688188
16.624,3688238
16.724,3688277
16.824,3688315
16.924,3688358
17.024,3688412
17.124,3688457
17.224,3688502
17.325,3688549
17.425,3688591
17.525,3688650
17.625,3688701
17.725,3688756
17.825,3688806
17.925,3688855
18.025,3688904
18.125,3688953
18.226,3689006
18.326,3689069
18.426,3689141
18.526,3689203
18.626,3689257
18.726,3689299
18.827,3689352
18.927,3689392
19.027,3689445
19.127,3689496
19.227,3689560
19.327,3689630
19.427,3689659
19.527,3689729
19.627,3689789
19.727,3689837
19.827,3689898
19.928,3689936
20.027,3689976
20.128,3690028
20.228,3690063
20.328,3690145
20.428,3690191
20.528,3690264
20.628,3690338
20.728,3690386
20.828,3690453
20.929,3690499
21.028,3690547
21.128,3690608
21.228,3690654
21.329,3690713
21.429,3690782
21.529,3690825
21.629,3690901
21.729,3690958
21.829,3691025
21.929,3691063
22.029,3691117
22.130,3691171
22.230,3691233
22.330,3691281
22.430,3691323
22.530,3691362
22.630,3691408
22.730,3691448
22.830,3691512
22.930,3691559
23.030,3691632
23.130,3691699
23.230,3691747
23.331,3691813
23.431,3691851
23.531,3691905
23.631,3691958
23.731,3692018
23.831,3692075
