TO_CLIENT
1461877449
time,tx_packets
0.001,17373
0.101,17373
0.201,17373
0.301,17373
0.402,17373
0.502,17373
0.602,17373
0.702,17373
0.802,17373
0.903,17373
1.003,17373
1.103,17373
1.203,17373
1.303,17373
1.404,17373
1.504,17374
1.604,17374
1.704,17377
1.804,17382
1.905,17387
2.005,17392
2.105,17397
2.205,17402
2.305,17407
2.406,17412
2.506,17417
2.606,17422
2.707,17427
2.806,17432
2.907,17437
3.008,17442
3.108,17447
3.208,17452
3.308,17457
3.408,17461
3.508,17467
3.608,17469
3.708,17470
3.809,17476
3.909,17477
4.009,17480
4.109,17486
4.209,17494
4.310,17498
4.410,17506
4.510,17509
4.610,17513
4.710,17516
4.810,17521
4.910,17526
5.011,17532
5.111,17537
5.211,17538
5.311,17540
5.411,17548
5.512,17556
5.612,17561
5.712,17568
5.812,17574
5.912,17579
6.012,17583
6.112,17590
6.212,17595
6.313,17598
6.413,17605
6.513,17607
6.613,17609
6.713,17616
6.813,17625
6.913,17627
7.013,17629
7.114,17640
7.214,17643
7.314,17645
7.414,17651
7.514,17659
7.615,17667
7.715,17668
7.815,17675
7.915,17678
8.015,17686
8.115,17689
8.215,17692
8.316,17700
8.416,17704
8.516,17709
8.616,17715
8.716,17718
8.816,17725
8.916,17731
9.016,17733
9.116,17740
9.216,17746
9.316,17750
9.417,17753
9.517,17762
9.617,17767
9.717,17771
9.817,17774
9.917,17782
10.017,17788
10.117,17791
10.218,17797
10.318,17805
10.418,17810
10.518,17812
10.619,17819
10.719,17822
10.819,17824
10.919,17826
11.019,17832
11.120,17839
11.219,17842
11.320,17844
11.420,17850
11.520,17854
11.620,17861
11.720,17865
11.821,17869
11.921,17870
12.021,17873
12.121,17878
12.221,17885
12.322,17892
12.422,17895
12.522,17902
12.622,17911
12.722,17916
12.822,17921
12.922,17925
13.022,17926
13.122,17931
13.222,17935
13.322,17942
13.423,17945
13.523,17948
13.623,17954
13.723,17958
13.823,17961
13.923,17968
14.023,17976
14.123,17981
14.223,17986
14.323,17994
14.424,17997
14.524,17999
14.624,18003
14.724,18012
14.824,18015
14.924,18021
15.024,18029
15.124,18036
15.225,18037
15.325,18041
15.425,18045
15.525,18051
15.625,18058
15.725,18060
15.825,18066
15.925,18071
16.025,18071
16.125,18074
16.225,18081
16.326,18090
16.426,18096
16.526,18104
16.626,18111
16.726,18111
16.826,18116
16.926,18126
17.026,18130
17.127,18133
17.227,18137
17.327,18138
17.427,18145
17.527,18149
17.628,18153
17.728,18162
17.828,18167
17.928,18170
18.028,18176
18.128,18179
18.228,18188
18.328,18192
18.428,18196
18.528,18201
18.628,18203
18.729,18215
18.829,18220
18.929,18226
19.029,18228
19.129,18233
19.230,18238
19.329,18243
19.429,18247
19.529,18247
19.630,18248
19.729,18254
19.829,18264
19.930,18274
20.030,18277
20.130,18285
20.230,18290
20.331,18292
20.431,18298
20.531,18301
20.631,18301
20.731,18306
20.832,18313
20.931,18320
21.031,18323
21.132,18329
21.232,18333
21.332,18340
21.432,18343
21.532,18354
21.632,18358
21.732,18362
21.833,18370
21.933,18377
22.033,18384
22.133,18387
22.233,18389
22.333,18395
22.433,18400
22.533,18407
22.633,18409
22.733,18414
22.833,18418
22.934,18421
23.034,18425
23.134,18430
23.234,18436
23.334,18439
23.435,18444
23.535,18446
23.635,18453
23.735,18463
23.835,18467
23.935,18476
24.035,18479
24.136,18479
24.236,18485
24.336,18494
24.436,18496
24.536,18501
24.636,18506
24.736,18510
24.836,18514
24.936,18521
25.036,18527
25.137,18533
25.237,18536
25.337,18543
25.437,18544
25.537,18545
25.637,18550
25.738,18554
25.837,18559
25.938,18566
26.038,18571
26.138,18581
26.238,18588
26.338,18594
26.439,18597
26.539,18602
26.639,18610
26.739,18615
26.839,18615
26.940,18619
27.040,18622
27.140,18631
27.240,18634
27.340,18639
27.440,18644
27.540,18648
27.648,18660
27.741,18665
27.841,18674
27.941,18675
28.041,18679
28.141,18684
28.242,18688
28.342,18692
28.442,18698
28.542,18702
28.642,18708
28.742,18713
28.842,18718
28.942,18722
29.042,18726
29.143,18732
29.243,18737
29.343,18740
29.443,18751
29.543,18756
29.647,18760
29.743,18765
29.843,18768
29.943,18774
30.044,18779
30.144,18786
30.244,18791
30.344,18793
30.444,18800
30.544,18806
30.646,18813
30.745,18814
30.845,18819
30.945,18823
31.045,18828
31.145,18832
31.245,18834
31.346,18841
31.446,18849
31.546,18852
31.646,18855
31.746,18862
31.846,18869
31.947,18875
32.047,18879
32.147,18887
32.247,18892
32.348,18893
32.448,18897
32.548,18905
32.648,18913
32.748,18916
32.848,18919
32.949,18924
33.048,18927
33.149,18935
33.249,18940
33.349,18945
33.449,18949
33.549,18957
33.649,18962
33.750,18964
33.850,18970
33.950,18973
34.050,18981
34.150,18987
34.250,18993
34.350,18995
34.451,19000
34.550,19005
34.650,19011
34.750,19015
34.851,19021
34.951,19022
35.051,19023
35.152,19029
35.252,19040
35.352,19041
35.453,19048
35.553,19052
35.653,19059
35.753,19064
35.853,19069
35.953,19074
36.054,19076
36.154,19084
36.254,19090
36.354,19096
36.454,19097
36.554,19103
36.654,19110
36.754,19117
36.855,19118
36.955,19124
37.055,19134
37.155,19134
37.255,19138
37.355,19144
37.456,19149
37.556,19153
37.656,19160
37.756,19165
37.856,19171
37.956,19174
38.057,19182
38.157,19189
38.257,19194
38.357,19197
38.457,19202
38.557,19205
38.657,19213
38.758,19217
38.858,19219
38.958,19229
39.058,19234
39.158,19237
39.258,19242
39.359,19245
39.459,19255
39.559,19258
39.659,19261
39.759,19264
39.859,19274
39.959,19277
40.059,19280
40.160,19287
40.260,19293
40.360,19299
40.460,19304
40.560,19308
40.660,19315
40.761,19317
40.861,19323
40.961,19329
41.061,19334
41.161,19338
41.261,19342
41.362,19346
41.462,19354
41.562,19357
41.662,19362
41.762,19364
41.863,19367
41.963,19374
42.063,19383
42.163,19385
42.263,19391
42.363,19400
42.463,19406
42.563,19409
42.663,19415
42.764,19421
42.864,19426
42.964,19431
43.064,19433
43.164,19435
43.264,19436
43.365,19443
43.465,19452
43.565,19459
43.665,19466
43.765,19467
43.865,19472
43.965,19481
44.065,19486
44.166,19486
44.266,19492
44.366,19502
44.466,19507
44.566,19510
44.666,19514
44.766,19516
44.867,19521
44.967,19524
45.067,19532
45.167,19537
45.267,19542
45.367,19545
45.467,19550
45.567,19559
45.668,19561
45.768,19566
45.868,19567
45.968,19572
46.068,19574
46.168,19584
46.269,19591
46.369,19595
46.469,19604
46.569,19611
46.669,19615
46.769,19621
46.869,19626
46.969,19633
47.069,19634
47.170,19640
47.270,19648
47.370,19650
47.470,19657
47.570,19663
47.670,19666
47.770,19672
47.871,19675
47.971,19677
48.071,19684
48.171,19686
48.271,19694
48.371,19702
48.472,19703
48.572,19707
48.672,19709
48.772,19717
48.872,19728
48.972,19731
49.073,19735
49.173,19738
49.273,19741
49.373,19746
49.473,19752
49.573,19760
49.674,19761
49.774,19765
49.874,19774
49.974,19782
50.074,19785
50.174,19792
50.274,19793
50.374,19798
50.475,19805
50.575,19810
50.675,19816
50.775,19818
50.875,19822
50.975,19826
51.076,19834
51.176,19840
51.276,19844
51.376,19848
51.476,19851
51.577,19859
51.677,19865
51.777,19870
51.877,19874
51.977,19879
52.078,19884
52.178,19891
52.278,19893
52.378,19902
52.478,19906
52.579,19910
52.679,19916
52.779,19923
52.879,19924
52.979,19931
53.079,19936
53.179,19940
53.280,19946
53.380,19950
53.480,19957
53.580,19959
53.680,19965
53.780,19967
53.880,19977
53.981,19979
54.081,19985
54.181,19988
54.281,19993
54.381,19998
54.481,20001
54.582,20013
54.682,20016
54.782,20020
54.882,20026
54.982,20031
55.083,20033
55.183,20035
55.283,20045
55.383,20049
55.483,20051
55.583,20053
55.683,20056
55.784,20057
55.884,20058
55.984,20065
56.084,20069
56.184,20080
56.284,20087
56.385,20098
56.485,20108
56.585,20112
56.685,20114
56.785,20114
56.885,20120
56.985,20130
57.086,20136
57.186,20139
57.286,20144
57.386,20149
57.486,20158
57.587,20164
57.687,20165
57.787,20170
57.887,20176
57.987,20184
58.087,20190
58.187,20193
58.288,20195
58.388,20202
58.488,20209
58.588,20215
58.688,20219
58.788,20221
58.889,20227
58.989,20233
59.089,20239
59.189,20245
59.289,20247
59.389,20251
59.489,20257
59.589,20265
59.690,20270
59.790,20274
59.890,20276
59.990,20283
60.090,20289
60.190,20294
60.291,20300
60.391,20304
60.491,20308
60.591,20314
60.691,20319
60.791,20325
60.892,20329
60.992,20332
61.092,20339
61.192,20345
61.292,20350
61.393,20354
61.493,20358
61.593,20364
61.693,20370
61.793,20374
61.893,20380
61.994,20385
62.094,20389
62.194,20395
62.294,20400
62.394,20405
62.494,20410
62.595,20413
62.695,20417
62.795,20424
62.895,20429
62.995,20435
63.095,20440
63.196,20445
63.296,20450
63.396,20454
63.496,20460
63.596,20465
63.696,20468
63.796,20475
63.897,20480
63.997,20485
64.097,20490
64.197,20494
64.298,20500
64.398,20505
64.498,20509
64.598,20515
64.698,20520
64.798,20524
64.898,20530
64.998,20535
65.099,20540
65.199,20545
65.299,20548
65.399,20555
65.499,20560
65.600,20565
65.700,20570
65.800,20575
65.900,20578
66.000,20581
66.100,20588
66.201,20594
66.301,20596
66.401,20602
66.501,20609
66.601,20614
66.701,20618
66.801,20624
66.901,20628
67.001,20634
67.101,20639
67.202,20645
67.302,20650
67.402,20655
67.502,20657
67.602,20664
67.702,20669
67.803,20675
67.903,20680
68.003,20683
68.103,20689
68.203,20694
68.303,20700
68.404,20705
68.504,20710
68.604,20714
68.704,20719
68.804,20725
68.904,20731
69.004,20736
69.105,20739
69.205,20745
69.305,20750
69.405,20756
69.505,20761
69.605,20765
69.706,20770
69.806,20776
69.906,20781
70.006,20786
70.106,20792
70.206,20795
70.307,20801
70.407,20806
70.507,20812
70.607,20817
70.707,20819
70.807,20826
70.908,20831
71.008,20836
71.108,20842
71.208,20846
71.308,20851
71.408,20856
71.508,20861
71.608,20867
71.708,20872
71.809,20874
71.909,20881
72.009,20886
72.109,20892
72.209,20897
72.310,20900
72.410,20906
72.510,20911
72.610,20916
72.710,20922
72.810,20927
72.911,20931
73.011,20937
73.111,20942
73.211,20947
73.311,20952
73.412,20955
73.512,20962
73.612,20967
73.712,20971
73.812,20977
73.912,20982
74.013,20987
74.113,20992
74.213,20996
74.313,21002
74.413,21007
74.513,21010
74.613,21017
74.713,21021
74.814,21027
74.914,21034
75.014,21038
75.114,21042
75.214,21047
75.315,21053
75.415,21059
75.515,21064
75.615,21066
75.715,21072
75.815,21076
75.916,21084
76.016,21089
76.116,21093
76.216,21098
76.317,21103
76.417,21108
76.517,21114
76.617,21119
76.717,21121
76.817,21128
76.917,21133
77.018,21138
77.118,21143
77.218,21147
77.318,21153
77.418,21158
77.519,21163
77.619,21169
77.719,21173
77.819,21178
77.919,21183
78.020,21189
78.120,21191
78.220,21191
78.320,21199
78.420,21202
78.520,21204
78.620,21209
78.721,21215
78.821,21224
78.921,21227
79.021,21231
79.121,21234
79.222,21240
79.322,21246
79.422,21250
79.522,21255
79.622,21260
79.722,21265
79.822,21270
79.923,21275
80.023,21280
80.123,21285
80.223,21290
80.323,21295
80.423,21299
80.524,21305
80.624,21310
80.724,21313
80.824,21318
80.924,21323
81.024,21327
81.124,21332
81.224,21337
81.325,21342
81.425,21344
81.525,21344
81.625,21346
81.725,21354
81.826,21359
81.926,21367
82.026,21381
82.126,21393
82.226,21399
82.326,21402
82.426,21407
82.527,21415
82.627,21422
82.727,21426
82.827,21429
82.927,21433
83.027,21440
83.128,21446
83.228,21451
83.328,21456
83.428,21461
83.528,21466
83.628,21472
83.729,21477
83.829,21481
83.929,21482
84.029,21484
84.129,21486
84.230,21488
84.330,21490
84.430,21492
84.530,21494
84.630,21496
84.730,21498
84.831,21499
84.931,21499
85.031,21500
85.131,21500
85.231,21500
85.331,21502
85.432,21503
85.532,21503
85.632,21505
85.732,21507
85.832,21510
85.932,21512
86.032,21514
86.133,21514
86.233,21514
86.333,21515
86.433,21517
86.533,21518
86.634,21519
86.734,21519
86.834,21522
86.934,21525
87.034,21528
87.134,21549
87.235,21557
87.335,21566
87.435,21575
87.535,21583
87.635,21595
87.735,21612
87.835,21614
87.935,21615
88.036,21615
88.136,21619
88.236,21623
88.336,21635
88.436,21639
88.536,21648
88.637,21660
88.737,21678
88.837,21692
88.937,21704
89.037,21718
89.137,21731
89.237,21740
89.337,21746
89.438,21748
89.538,21754
89.638,21759
89.738,21767
89.838,21774
89.938,21776
90.039,21785
90.139,21792
90.239,21795
90.339,21797
90.439,21803
90.539,21809
90.640,21813
90.740,21816
90.840,21817
90.940,21819
91.040,21821
91.141,21833
91.241,21837
91.341,21847
91.441,21858
91.541,21863
91.642,21868
91.742,21872
91.842,21872
91.942,21885
92.042,21892
92.142,21897
92.242,21897
92.342,21904
92.443,21909
92.543,21916
92.646,21919
92.743,21925
92.843,21929
92.943,21934
93.044,21939
93.144,21943
93.244,21950
93.344,21957
93.444,21958
93.545,21963
93.646,21967
93.745,21977
93.845,21982
93.945,21987
94.045,21988
94.146,21993
94.246,22001
94.346,22007
94.446,22012
94.546,22016
94.646,22020
94.746,22025
94.846,22032
94.947,22037
95.047,22042
95.147,22045
95.247,22050
95.347,22055
95.447,22062
95.547,22067
95.647,22072
95.747,22075
95.848,22080
95.948,22085
96.048,22092
96.148,22097
96.248,22102
96.348,22105
96.448,22110
96.549,22115
96.649,22120
96.749,22127
96.849,22132
96.949,22137
97.049,22141
97.149,22146
97.249,22151
97.350,22158
97.450,22163
97.550,22168
97.650,22172
97.750,22177
97.850,22182
97.950,22188
98.050,22193
98.151,22197
98.251,22202
98.351,22207
98.451,22213
98.551,22218
98.651,22223
98.751,22227
98.851,22232
98.952,22237
99.052,22243
99.152,22248
99.252,22254
99.352,22258
99.453,22263
99.553,22268
99.653,22274
99.753,22276
99.853,22283
99.953,22288
100.054,22293
100.154,22298
100.254,22304
100.354,22309
100.454,22314
100.555,22318
100.655,22323
100.755,22328
100.855,22334
100.955,22339
101.055,22339
101.156,22339
101.256,22352
101.356,22353
101.456,22353
101.556,22357
101.657,22367
101.757,22372
101.857,22377
101.957,22383
102.057,22393
102.157,22399
102.257,22402
102.358,22403
102.458,22408
102.558,22415
102.658,22424
102.758,22429
102.858,22432
102.959,22433
103.059,22438
103.159,22445
103.259,22454
103.359,22459
103.459,22462
103.559,22464
103.659,22469
103.760,22476
103.860,22484
103.960,22489
104.060,22491
104.160,22495
104.260,22501
104.360,22509
104.461,22515
104.561,22519
104.661,22522
104.761,22526
104.861,22532
104.961,22539
105.062,22545
105.162,22548
105.262,22551
105.362,22556
105.462,22563
105.562,22570
105.663,22575
105.763,22578
105.863,22581
105.963,22586
106.063,22593
106.163,22600
106.263,22605
106.364,22608
106.464,22611
106.564,22616
106.664,22623
106.764,22630
106.864,22635
106.965,22637
107.065,22641
107.165,22647
107.265,22654
107.365,22660
107.465,22664
107.565,22667
107.666,22671
107.766,22678
107.866,22685
107.966,22690
108.066,22693
108.166,22696
108.267,22701
108.367,22708
108.467,22715
108.567,22720
108.667,22723
108.767,22726
108.867,22731
108.968,22738
109.068,22745
109.168,22750
109.268,22753
109.368,22756
109.469,22761
109.569,22769
109.669,22775
109.769,22780
109.869,22782
109.969,22786
110.069,22792
110.170,22799
110.270,22803
110.370,22809
110.470,22812
110.570,22817
110.670,22824
110.771,22831
110.871,22836
110.971,22839
111.071,22842
111.171,22847
111.271,22854
111.371,22861
111.471,22866
111.571,22869
111.672,22872
111.772,22876
111.872,22880
111.972,22891
112.073,22896
112.173,22898
112.273,22903
112.373,22908
112.473,22916
112.573,22921
112.673,22925
112.774,22928
112.874,22933
112.974,22939
