TO_UIUC
1461877449
time,tx_packets
0.001,1978831
0.101,1978831
0.201,1978831
0.301,1978831
0.402,1978831
0.502,1978831
0.602,1978832
0.702,1978832
0.802,1978832
0.903,1978832
1.003,1978832
1.103,1978832
1.203,1978832
1.303,1978832
1.404,1978832
1.504,1978836
1.604,1978841
1.704,1978849
1.804,1978861
1.905,1978871
2.005,1978881
2.105,1978891
2.206,1978901
2.305,1978911
2.406,1978921
2.506,1978937
2.606,1978951
2.707,1978963
2.806,1978973
2.907,1978983
3.007,1978993
3.107,1979003
3.208,1979013
3.308,1979024
3.408,1979036
3.508,1979046
3.608,1979056
3.709,1979070
3.809,1979105
3.909,1979148
4.009,1979175
4.109,1979203
4.209,1979231
4.309,1979254
4.410,1979271
4.510,1979297
4.610,1979336
4.710,1979365
4.810,1979388
4.910,1979416
5.011,1979444
5.111,1979472
5.211,1979499
5.311,1979523
5.411,1979552
5.511,1979585
5.612,1979609
5.712,1979633
5.812,1979666
5.912,1979691
6.012,1979717
6.112,1979735
6.212,1979770
6.313,1979792
6.413,1979827
6.513,1979848
6.613,1979864
6.713,1979895
6.813,1979924
6.913,1979953
7.013,1979976
7.114,1980017
7.214,1980049
7.314,1980079
7.414,1980108
7.514,1980138
7.615,1980166
7.715,1980184
7.815,1980209
7.915,1980251
8.015,1980275
8.116,1980308
8.216,1980351
8.316,1980387
8.416,1980417
8.516,1980448
8.616,1980473
8.716,1980509
8.816,1980538
8.916,1980577
9.016,1980598
9.117,1980628
9.217,1980670
9.317,1980708
9.417,1980732
9.517,1980777
9.617,1980808
9.717,1980835
9.817,1980853
9.918,1980882
10.018,1980905
10.118,1980919
10.218,1980946
10.318,1980967
10.419,1980991
10.519,1981016
10.619,1981044
10.719,1981075
10.819,1981104
10.920,1981124
11.020,1981153
11.120,1981190
11.220,1981216
11.320,1981245
11.420,1981273
11.520,1981300
11.620,1981327
11.720,1981344
11.821,1981353
11.921,1981371
12.021,1981392
12.121,1981411
12.221,1981436
12.321,1981469
12.421,1981497
12.521,1981540
12.622,1981578
12.722,1981603
12.822,1981618
12.922,1981649
13.022,1981690
13.122,1981711
13.222,1981732
13.322,1981772
13.423,1981812
13.523,1981834
13.623,1981859
13.723,1981892
13.823,1981930
13.923,1981946
14.023,1981973
14.123,1981994
14.223,1982021
14.324,1982042
14.424,1982080
14.524,1982110
14.624,1982132
14.724,1982154
14.824,1982179
14.924,1982213
15.024,1982234
15.124,1982257
15.225,1982306
15.325,1982346
15.425,1982366
15.525,1982397
15.625,1982427
15.725,1982451
15.825,1982484
15.925,1982506
16.025,1982542
16.126,1982571
16.226,1982589
16.326,1982613
16.426,1982647
16.526,1982675
16.626,1982698
16.726,1982733
16.827,1982762
16.927,1982784
17.027,1982806
17.127,1982849
17.227,1982881
17.327,1982896
17.428,1982938
17.528,1982958
17.628,1982981
17.728,1983016
17.828,1983051
17.928,1983085
18.028,1983124
18.128,1983147
18.228,1983169
18.329,1983181
18.429,1983203
18.529,1983232
18.629,1983269
18.729,1983300
18.829,1983331
