TO_CLIENT
1461878233
time,tx_packets
0.001,30452
0.101,30452
0.201,30452
0.302,30452
0.402,30452
0.502,30452
0.602,30452
0.702,30452
0.803,30452
0.903,30452
1.003,30452
1.103,30453
1.203,30458
1.303,30463
1.404,30468
1.504,30473
1.604,30478
1.704,30483
1.805,30488
1.905,30493
2.005,30498
2.105,30503
2.206,30508
2.306,30513
2.406,30518
2.506,30523
2.606,30528
2.706,30533
2.806,30538
2.906,30543
3.006,30548
3.106,30553
3.207,30558
3.307,30563
3.407,30568
3.507,30573
3.607,30578
3.708,30583
3.808,30588
3.908,30593
4.008,30598
4.108,30603
4.208,30608
4.308,30613
4.408,30618
4.509,30619
4.609,30625
4.709,30633
4.809,30638
4.909,30643
5.009,30648
5.109,30653
5.210,30658
5.310,30663
5.410,30668
5.510,30673
5.610,30678
5.711,30683
5.811,30688
5.911,30694
6.011,30699
6.111,30704
6.212,30709
6.312,30714
6.412,30719
6.512,30724
6.613,30729
6.713,30734
6.813,30739
6.913,30744
7.014,30750
7.113,30755
7.214,30760
7.313,30765
7.414,30769
7.514,30774
7.614,30780
7.714,30785
7.814,30790
7.914,30795
8.015,30800
8.115,30805
8.215,30810
8.315,30815
8.415,30820
8.515,30825
8.616,30830
8.716,30835
8.816,30840
8.916,30845
9.016,30850
9.116,30855
9.216,30860
9.317,30865
9.417,30870
9.517,30875
9.618,30880
9.718,30882
9.818,30890
9.918,30892
10.019,30900
10.119,30905
10.219,30910
10.320,30915
10.420,30920
10.520,30925
10.621,30930
10.721,30935
10.821,30940
10.921,30946
11.021,30951
11.121,30956
11.221,30961
11.322,30966
11.422,30971
11.522,30976
11.622,30981
11.722,30986
11.822,30991
11.923,30996
12.023,31001
12.123,31006
12.224,31011
12.324,31016
12.423,31021
12.524,31026
12.624,31031
12.725,31036
12.825,31041
12.925,31046
13.025,31051
13.125,31056
13.225,31061
13.325,31064
13.425,31071
13.525,31076
13.625,31081
13.725,31086
13.825,31091
13.926,31096
14.027,31101
14.126,31106
14.226,31111
14.327,31116
14.426,31121
14.527,31126
14.627,31131
14.727,31136
14.827,31141
14.927,31146
15.027,31151
15.127,31156
15.228,31161
15.328,31166
15.428,31171
15.528,31176
15.628,31181
15.728,31186
15.828,31191
15.929,31196
16.029,31201
16.129,31206
16.229,31208
16.329,31216
16.429,31221
16.530,31226
16.630,31231
16.730,31236
16.830,31241
16.930,31246
17.030,31251
17.130,31256
17.230,31261
17.330,31266
17.430,31271
17.531,31276
17.631,31281
17.731,31286
17.831,31290
17.931,31296
18.031,31301
18.132,31306
18.232,31311
18.332,31316
18.432,31321
18.532,31326
