TO_UIUC
1461878233
time,tx_packets
0.001,2048329
0.101,2048329
0.201,2048329
0.301,2048329
0.402,2048329
0.502,2048329
0.602,2048329
0.702,2048329
0.802,2048330
0.903,2048336
1.003,2048352
1.103,2048376
1.203,2048400
1.304,2048423
1.404,2048445
1.504,2048468
1.604,2048487
1.705,2048507
1.804,2048526
1.905,2048544
2.005,2048566
2.105,2048590
2.206,2048615
2.306,2048640
2.406,2048665
2.506,2048690
2.606,2048715
2.706,2048740
2.806,2048765
2.906,2048790
3.007,2048815
3.107,2048840
3.207,2048865
3.307,2048890
3.407,2048915
3.507,2048940
3.607,2048965
3.708,2048990
3.808,2049015
3.908,2049040
4.008,2049065
4.108,2049090
4.209,2049115
4.309,2049140
4.409,2049165
4.509,2049190
4.609,2049215
4.709,2049240
4.809,2049266
4.910,2049291
5.010,2049317
5.110,2049342
5.210,2049367
5.310,2049392
5.411,2049417
5.511,2049442
5.611,2049467
5.711,2049492
5.811,2049517
5.912,2049542
6.012,2049567
6.112,2049593
6.212,2049619
6.312,2049644
6.412,2049669
6.513,2049694
6.613,2049719
6.713,2049744
6.813,2049769
6.913,2049794
7.013,2049819
7.114,2049844
7.214,2049869
7.314,2049894
7.414,2049919
7.514,2049944
7.614,2049969
7.715,2049994
7.815,2050020
7.915,2050044
8.015,2050070
8.115,2050095
8.215,2050119
8.316,2050144
8.416,2050170
8.516,2050195
8.616,2050219
8.716,2050247
8.816,2050270
8.916,2050296
9.016,2050321
9.117,2050346
9.217,2050373
9.317,2050398
9.417,2050423
9.517,2050448
9.617,2050470
9.718,2050498
9.818,2050520
9.918,2050548
10.018,2050576
10.119,2050601
10.219,2050626
10.320,2050652
10.419,2050679
10.520,2050704
10.620,2050729
10.721,2050754
10.821,2050779
10.921,2050804
11.021,2050829
11.121,2050854
11.222,2050879
11.322,2050904
11.422,2050929
11.522,2050954
11.622,2050979
11.722,2051004
11.823,2051029
11.923,2051054
12.023,2051079
12.123,2051102
12.224,2051129
12.324,2051154
12.424,2051179
12.524,2051204
12.624,2051229
12.724,2051254
12.824,2051279
12.925,2051304
13.025,2051329
13.125,2051354
13.225,2051379
13.325,2051405
13.426,2051427
13.526,2051455
13.626,2051480
13.726,2051505
13.826,2051530
13.926,2051555
14.027,2051580
14.127,2051605
14.227,2051630
14.327,2051655
14.427,2051680
14.527,2051706
14.628,2051731
14.728,2051757
14.828,2051782
14.928,2051806
15.028,2051833
15.128,2051858
15.228,2051883
15.329,2051908
15.429,2051933
15.529,2051958
15.629,2051983
15.729,2052008
15.829,2052034
15.930,2052059
16.030,2052083
16.130,2052109
16.230,2052134
16.330,2052158
16.431,2052184
16.531,2052209
16.631,2052233
16.731,2052258
16.831,2052284
16.931,2052308
17.032,2052334
17.132,2052359
17.231,2052384
17.331,2052409
17.432,2052434
17.532,2052459
17.632,2052485
17.732,2052510
17.832,2052535
17.932,2052560
18.032,2052585
18.132,2052610
18.232,2052635
18.333,2052660
18.433,2052685
18.533,2052708
18.633,2052735
18.733,2052760
19.834,2053039
19.934,2053064
20.034,2053089
20.134,2053114
20.234,2053139
20.334,2053164
20.434,2053189
