TO_UM
1461878233
time,tx_packets
0.002,3642246
0.101,3642246
0.201,3642246
0.301,3642246
0.402,3642246
0.502,3642246
0.602,3642246
0.702,3642246
0.803,3642248
0.903,3642261
1.004,3642286
1.103,3642313
1.204,3642342
1.304,3642369
1.404,3642399
1.505,3642425
1.605,3642452
1.705,3642477
1.805,3642503
1.905,3642532
2.005,3642559
2.106,3642590
2.206,3642620
2.306,3642646
2.406,3642676
2.506,3642704
2.606,3642729
2.706,3642757
2.806,3642787
2.906,3642813
3.006,3642841
3.107,3642871
3.207,3642901
3.307,3642928
3.407,3642958
3.507,3642988
3.607,3643014
3.708,3643044
3.808,3643075
3.908,3643101
4.008,3643130
4.108,3643160
4.208,3643188
4.309,3643217
4.409,3643247
4.509,3643272
4.609,3643303
4.709,3643335
4.810,3643364
4.910,3643397
5.010,3643425
5.110,3643453
5.210,3643477
5.311,3643503
5.411,3643534
5.511,3643563
5.611,3643590
5.711,3643621
5.811,3643648
5.911,3643676
6.011,3643706
6.112,3643735
6.212,3643765
6.312,3643797
6.412,3643827
6.513,3643858
6.613,3643888
6.713,3643919
6.813,3643949
6.913,3643979
7.013,3644011
7.113,3644040
7.214,3644071
7.314,3644101
7.414,3644132
7.514,3644162
7.614,3644190
7.714,3644218
7.815,3644247
7.915,3644274
8.015,3644302
8.115,3644332
8.215,3644362
8.315,3644389
8.415,3644418
8.516,3644448
8.616,3644476
8.716,3644507
8.816,3644537
8.916,3644565
9.016,3644594
9.117,3644626
9.217,3644656
9.317,3644686
9.417,3644714
9.517,3644746
9.618,3644770
9.718,3644795
9.818,3644829
9.918,3644856
10.019,3644887
10.119,3644915
10.219,3644941
10.320,3644971
10.420,3645002
10.521,3645030
10.621,3645066
10.722,3645094
10.821,3645122
10.921,3645151
11.021,3645179
11.122,3645207
11.222,3645233
11.322,3645264
11.422,3645294
11.522,3645322
11.623,3645350
11.723,3645378
11.823,3645407
11.923,3645435
12.023,3645461
12.124,3645489
12.224,3645519
12.324,3645547
12.424,3645575
12.524,3645605
12.625,3645631
12.725,3645659
12.825,3645687
12.925,3645717
13.025,3645747
13.125,3645773
13.226,3645803
13.326,3645823
13.426,3645857
13.526,3645886
13.626,3645916
13.726,3645942
13.827,3645970
13.927,3646000
14.027,3646030
14.127,3646059
14.227,3646089
14.328,3646120
14.428,3646149
14.528,3646179
14.628,3646211
14.728,3646239
14.828,3646272
14.928,3646302
15.028,3646328
15.129,3646358
15.229,3646387
15.329,3646417
15.429,3646445
15.529,3646474
15.629,3646504
15.730,3646534
15.830,3646563
15.930,3646586
16.030,3646613
16.130,3646644
16.231,3646666
16.331,3646698
16.431,3646728
16.531,3646757
16.631,3646786
16.731,3646816
16.831,3646843
16.932,3646873
17.032,3646903
17.132,3646930
17.232,3646961
17.332,3646991
17.432,3647020
17.532,3647051
17.632,3647081
17.733,3647114
17.833,3647143
17.933,3647169
18.033,3647195
18.133,3647225
18.233,3647254
18.333,3647282
18.433,3647313
18.533,3647340
18.634,3647375
18.734,3647403
19.834,3647728
19.934,3647757
20.034,3647788
20.135,3647818
20.234,3647843
20.335,3647873
20.435,3647902
20.535,3647932
20.635,3647963
20.736,3647992
20.836,3648021
20.936,3648051
21.036,3648081
21.136,3648110
21.236,3648141
21.337,3648171
21.437,3648201
21.537,3648231
21.637,3648261
21.737,3648291
21.837,3648321
21.938,3648350
22.038,3648380
22.138,3648410
22.238,3648438
22.338,3648466
22.438,3648495
22.538,3648524
22.639,3648553
22.739,3648583
22.839,3648609
22.939,3648633
23.039,3648663
23.140,3648689
23.240,3648717
23.340,3648745
23.440,3648775
23.540,3648807
23.640,3648839
23.740,3648865
23.841,3648895
23.941,3648920
24.041,3648950
24.141,3648980
24.241,3649004
24.341,3649034
24.441,3649064
24.542,3649095
24.642,3649123
24.742,3649153
24.842,3649181
24.942,3649203
25.043,3649235
25.143,3649264
25.243,3649288
25.343,3649318
25.443,3649348
25.543,3649375
25.644,3649401
25.744,3649431
25.844,3649461
25.944,3649489
26.044,3649519
26.144,3649549
26.245,3649578
26.345,3649608
26.445,3649636
26.545,3649658
26.645,3649688
26.745,3649716
26.846,3649743
26.946,3649771
27.046,3649801
27.146,3649825
27.246,3649853
27.346,3649883
27.446,3649911
27.546,3649937
27.646,3649969
27.747,3649998
27.847,3650028
27.947,3650058
28.047,3650088
28.147,3650113
28.247,3650143
28.347,3650173
28.448,3650201
28.547,3650231
28.648,3650263
28.748,3650293
28.848,3650323
28.948,3650350
29.048,3650383
29.148,3650414
29.248,3650442
29.348,3650473
29.449,3650503
29.549,3650531
29.649,3650561
29.749,3650587
29.849,3650617
29.949,3650645
30.050,3650673
30.150,3650701
30.250,3650729
30.350,3650754
30.450,3650783
30.551,3650814
30.651,3650840
30.752,3650871
30.851,3650901
30.951,3650928
31.051,3650956
31.152,3650986
31.259,3651018
31.352,3651045
31.452,3651074
31.552,3651105
31.652,3651135
31.752,3651164
31.853,3651194
31.953,3651223
32.053,3651254
32.153,3651284
32.253,3651311
32.353,3651340
32.453,3651370
32.553,3651398
32.653,3651429
32.753,3651460
32.854,3651490
32.954,3651518
33.054,3651547
33.154,3651577
33.254,3651607
33.354,3651635
33.454,3651665
33.554,3651695
33.654,3651723
33.755,3651753
33.855,3651783
33.955,3651811
34.055,3651837
34.155,3651867
34.255,3651897
34.355,3651927
34.456,3651957
34.556,3651987
34.656,3652015
34.756,3652045
34.856,3652075
34.956,3652104
35.056,3652135
35.156,3652163
35.256,3652192
35.356,3652222
35.456,3652250
35.556,3652280
35.656,3652308
35.757,3652338
35.857,3652368
35.957,3652398
36.057,3652424
36.157,3652454
36.257,3652485
36.357,3652512
36.457,3652542
36.557,3652572
36.658,3652602
36.758,3652632
36.858,3652663
36.958,3652691
37.058,3652721
37.158,3652751
37.259,3652781
37.359,3652811
37.459,3652842
37.559,3652872
37.659,3652900
37.759,3652930
37.859,3652960
37.959,3652990
38.059,3653020
38.159,3653048
38.259,3653076
38.359,3653106
38.459,3653134
38.560,3653164
38.660,3653194
38.760,3653222
38.860,3653250
38.960,3653280
39.060,3653310
39.160,3653340
39.260,3653370
39.360,3653400
39.460,3653431
39.560,3653461
39.660,3653486
39.761,3653518
39.861,3653547
39.961,3653576
40.061,3653606
40.161,3653632
40.261,3653658
40.361,3653688
40.461,3653719
40.561,3653750
40.661,3653780
40.761,3653810
40.862,3653838
40.962,3653868
41.062,3653896
41.162,3653924
41.262,3653951
41.362,3653981
41.462,3654011
41.562,3654040
41.662,3654066
41.763,3654094
41.863,3654124
41.963,3654148
42.063,3654176
42.163,3654206
42.263,3654232
42.363,3654260
42.463,3654290
42.563,3654320
42.664,3654348
42.764,3654376
42.864,3654402
42.964,3654432
43.064,3654460
43.164,3654490
43.264,3654516
43.364,3654544
43.464,3654574
43.565,3654604
43.664,3654634
43.765,3654665
43.865,3654695
43.965,3654723
44.065,3654751
44.165,3654780
44.265,3654810
44.365,3654838
44.466,3654865
44.566,3654894
44.666,3654924
44.766,3654950
44.866,3654978
44.966,3655008
45.066,3655039
45.166,3655068
45.266,3655098
45.366,3655126
45.466,3655154
45.566,3655184
45.666,3655214
45.767,3655244
45.866,3655272
45.967,3655302
46.067,3655332
46.167,3655361
46.267,3655388
46.367,3655422
46.467,3655452
46.568,3655481
46.668,3655511
46.768,3655540
46.868,3655568
46.968,3655591
47.068,3655620
47.168,3655650
47.268,3655676
47.368,3655705
47.468,3655734
47.568,3655762
47.668,3655791
47.769,3655821
47.869,3655848
47.969,3655880
48.069,3655908
48.169,3655940
48.269,3655960
48.369,3655988
48.469,3656023
48.569,3656051
48.670,3656081
48.770,3656109
48.870,3656137
48.970,3656168
49.070,3656197
49.170,3656225
49.270,3656260
49.371,3656289
49.471,3656318
49.571,3656346
49.671,3656365
49.771,3656399
49.871,3656429
49.971,3656457
50.071,3656486
50.171,3656513
50.271,3656547
50.371,3656572
50.471,3656602
50.571,3656630
50.672,3656662
50.772,3656693
50.872,3656723
50.972,3656753
51.072,3656773
51.172,3656793
51.272,3656843
51.373,3656871
51.473,3656900
51.573,3656931
51.673,3656959
51.773,3656988
51.873,3657017
51.973,3657049
52.073,3657079
52.173,3657109
52.273,3657139
52.373,3657169
52.473,3657197
52.573,3657229
