TO_CLIENT
1461872345
time,tx_packets
0.001,14599
0.101,14599
0.201,14599
0.302,14599
0.402,14599
0.502,14599
0.602,14599
0.703,14599
0.803,14599
0.903,14599
1.003,14599
1.103,14599
1.204,14599
1.304,14599
1.404,14599
1.504,14599
1.605,14599
1.705,14599
1.805,14599
1.906,14599
2.006,14599
2.106,14599
2.206,14600
2.306,14600
2.407,14600
2.507,14606
2.607,14611
2.708,14616
2.808,14621
2.908,14625
3.009,14631
3.109,14636
3.209,14641
3.309,14645
3.409,14649
3.509,14653
3.610,14653
3.710,14655
3.810,14659
3.910,14662
4.010,14666
4.110,14672
4.210,14678
4.310,14684
4.410,14686
4.511,14690
4.611,14697
4.711,14700
4.811,14704
4.911,14708
5.012,14713
5.112,14717
5.212,14722
5.312,14727
5.412,14728
5.512,14735
5.612,14741
5.712,14748
5.812,14751
5.912,14759
6.013,14764
6.113,14768
6.213,14771
6.313,14778
6.413,14782
6.513,14791
6.613,14796
6.713,14799
6.814,14806
6.914,14813
7.014,14819
7.114,14824
7.214,14829
7.314,14832
7.414,14836
7.515,14842
7.615,14843
7.715,14845
7.815,14847
7.915,14851
8.015,14855
8.115,14859
8.215,14863
8.315,14867
8.415,14873
8.516,14876
8.616,14884
8.716,14886
8.816,14894
8.916,14901
9.016,14907
9.116,14915
9.216,14919
9.317,14927
9.417,14933
9.517,14942
9.617,14949
9.717,14957
9.817,14964
9.917,14968
10.017,14973
10.118,14978
10.218,14981
10.318,14983
10.418,14989
10.518,14992
10.618,14992
10.718,14995
10.818,14999
10.919,15001
11.019,15003
11.119,15010
11.219,15014
11.319,15016
11.419,15023
11.519,15029
11.619,15036
11.720,15042
11.820,15047
11.920,15056
12.020,15062
12.121,15069
12.220,15076
12.320,15084
12.421,15091
12.521,15097
12.621,15105
12.721,15109
12.821,15112
12.921,15115
13.021,15115
13.121,15118
13.222,15123
13.322,15125
13.422,15129
13.522,15135
13.622,15142
13.722,15148
13.822,15150
13.922,15155
14.022,15160
14.122,15167
14.223,15172
14.323,15178
14.423,15184
14.523,15190
14.623,15194
14.723,15200
14.823,15205
14.924,15212
15.024,15216
15.124,15220
15.224,15225
15.324,15230
15.424,15237
15.524,15243
15.624,15245
15.724,15247
15.825,15248
15.925,15251
16.025,15255
16.125,15260
16.225,15262
16.325,15269
16.425,15275
16.525,15281
16.625,15288
16.726,15293
16.826,15299
16.926,15300
17.026,15302
17.126,15305
17.226,15310
17.326,15314
17.426,15317
17.526,15321
17.626,15326
17.727,15326
17.827,15327
17.927,15328
18.027,15332
18.127,15337
18.227,15339
18.327,15344
18.427,15348
18.527,15352
18.627,15357
18.727,15361
18.828,15364
18.928,15364
19.028,15367
19.128,15367
19.228,15369
19.328,15373
19.428,15376
19.528,15377
19.628,15381
19.728,15387
19.829,15390
19.929,15392
20.029,15397
20.129,15405
20.229,15411
20.329,15414
20.429,15421
20.530,15428
20.630,15433
20.730,15441
20.830,15446
20.930,15450
21.030,15454
21.130,15460
21.230,15464
21.330,15472
21.431,15475
21.531,15481
21.631,15488
21.731,15493
21.831,15496
21.931,15502
22.031,15510
22.131,15514
22.231,15520
22.331,15526
22.432,15532
22.532,15539
22.632,15545
22.732,15549
22.832,15551
22.932,15557
23.032,15565
23.132,15572
23.233,15575
23.332,15581
23.433,15587
23.533,15590
23.633,15596
23.733,15603
23.833,15608
23.933,15613
24.033,15617
24.133,15624
24.234,15627
24.334,15634
24.434,15641
24.534,15643
24.634,15649
24.734,15656
24.835,15663
24.935,15670
25.035,15674
25.135,15680
25.235,15685
25.335,15690
25.435,15695
25.535,15702
25.636,15709
25.736,15714
25.836,15720
25.936,15725
26.036,15732
26.136,15739
26.236,15746
26.336,15752
26.436,15758
26.537,15762
26.637,15766
26.737,15770
26.837,15777
26.937,15781
27.037,15786
27.137,15787
27.237,15794
27.337,15795
27.438,15798
27.538,15802
27.638,15804
27.738,15806
27.838,15808
27.938,15809
28.038,15810
28.138,15814
28.238,15818
28.338,15822
28.438,15826
28.538,15831
28.638,15835
28.738,15837
28.838,15841
28.939,15842
29.039,15844
29.139,15847
29.239,15849
29.339,15850
29.439,15854
29.539,15857
29.639,15859
29.739,15863
29.840,15865
29.940,15866
30.040,15866
30.140,15868
30.240,15870
30.340,15873
30.440,15877
30.540,15880
30.640,15882
30.741,15884
30.841,15886
30.941,15890
31.041,15894
31.141,15896
31.241,15898
31.341,15901
31.441,15903
31.541,15905
31.641,15906
31.741,15908
31.841,15911
31.941,15913
32.042,15919
32.142,15924
32.242,15928
32.342,15932
32.442,15934
32.542,15934
32.642,15934
32.742,15936
32.842,15945
32.943,15947
33.043,15949
33.143,15950
33.243,15952
33.343,15953
33.443,15953
33.543,15954
33.643,15954
33.743,15954
33.843,15954
33.943,15954
34.043,15954
