TO_UM
1461872345
time,tx_packets
0.001,168753
0.101,168754
0.201,168754
0.301,168754
0.402,168754
0.502,168754
0.602,168754
0.702,168754
0.803,168754
0.903,168754
1.003,168755
1.103,168755
1.204,168755
1.304,168755
1.404,168755
1.504,168755
1.605,168755
1.705,168755
1.805,168755
1.906,168756
2.006,168756
2.106,168756
2.206,168757
2.306,168780
2.407,168805
2.507,168844
2.607,168883
2.708,168928
2.808,168976
2.908,169023
3.008,169063
3.109,169103
3.209,169133
3.309,169154
3.409,169201
3.509,169245
3.610,169313
3.709,169380
3.810,169449
3.910,169525
4.010,169609
4.111,169683
4.211,169762
4.310,169836
4.410,169902
4.510,169970
4.611,170061
4.711,170158
4.811,170255
4.911,170346
5.012,170428
5.112,170513
5.212,170603
5.312,170696
5.412,170784
5.512,170872
5.612,170967
5.712,171052
5.812,171149
5.912,171235
6.012,171322
6.112,171427
6.212,171521
6.312,171608
6.412,171694
6.512,171775
6.612,171856
6.712,171922
6.813,172007
6.913,172082
7.013,172157
7.113,172248
7.213,172342
7.313,172433
7.413,172543
7.513,172629
7.613,172725
7.713,172826
7.814,172919
7.914,173011
8.014,173108
8.114,173199
8.214,173305
8.314,173400
8.414,173486
8.514,173578
8.614,173657
8.715,173734
8.814,173805
8.915,173889
9.015,173983
9.115,174058
9.215,174129
9.315,174195
9.415,174266
9.516,174339
9.616,174408
9.715,174478
9.816,174559
9.916,174615
10.016,174683
10.116,174765
10.216,174848
10.316,174939
10.416,175037
10.516,175114
10.616,175199
10.716,175291
10.816,175391
10.917,175475
11.016,175576
11.116,175661
11.217,175754
11.317,175842
11.417,175923
11.517,176001
11.617,176083
11.717,176156
11.817,176245
11.917,176314
12.017,176386
12.118,176453
12.218,176530
12.318,176616
12.418,176692
12.518,176761
12.618,176826
12.718,176886
12.818,176973
12.918,177063
13.019,177145
13.119,177211
13.219,177299
13.319,177374
13.419,177442
13.519,177525
13.619,177616
13.719,177690
13.819,177760
13.920,177834
14.020,177911
14.120,177989
14.220,178069
14.320,178154
14.420,178228
14.520,178302
14.620,178359
14.720,178443
14.821,178514
14.921,178596
15.021,178693
15.121,178773
15.221,178853
15.321,178939
15.421,179036
15.522,179131
15.621,179230
15.721,179316
15.822,179405
15.922,179493
16.022,179584
16.122,179668
16.222,179750
16.322,179830
16.422,179912
16.522,179991
16.622,180078
16.723,180176
16.823,180265
16.923,180406
17.023,180512
17.123,180633
17.223,180735
17.323,180841
17.424,180945
17.523,181044
17.623,181148
17.724,181287
17.824,181396
17.924,181525
18.024,181628
18.124,181765
18.224,181901
18.324,182035
18.424,182196
18.524,182328
18.624,182444
18.724,182557
18.824,182661
18.924,182759
19.024,182864
19.125,182961
19.225,183053
19.325,183145
19.425,183254
19.525,183375
19.625,183463
19.725,183548
19.825,183646
19.925,183739
20.025,183854
20.126,183941
20.226,184042
20.326,184136
20.426,184231
20.526,184316
20.626,184413
20.726,184498
20.826,184576
20.926,184658
21.027,184754
21.127,184856
21.227,184962
21.327,185066
21.427,185165
21.527,185253
21.627,185360
21.727,185469
21.828,185575
21.927,185673
22.028,185758
22.128,185846
22.228,185930
22.328,186021
22.428,186112
22.528,186199
22.628,186309
22.728,186396
22.828,186498
22.928,186588
23.029,186674
23.129,186769
23.229,186861
23.329,186936
23.429,187021
23.529,187093
23.629,187172
23.729,187257
23.829,187320
23.929,187403
24.029,187465
24.130,187539
24.230,187613
24.330,187696
24.430,187772
24.530,187828
24.630,187887
24.730,187966
24.830,188045
24.930,188124
25.030,188190
25.131,188258
25.230,188318
25.330,188373
25.431,188431
25.531,188508
25.631,188587
25.731,188667
25.831,188732
25.931,188806
26.031,188887
26.131,188972
26.232,189069
26.332,189191
26.432,189300
26.532,189410
26.632,189497
26.732,189614
26.832,189704
26.932,189826
27.032,189902
27.132,189990
27.232,190089
27.332,190173
27.432,190264
27.532,190354
27.633,190443
27.733,190546
27.833,190673
27.933,190784
28.033,190883
28.133,190988
28.233,191098
28.333,191200
28.433,191318
28.534,191447
28.634,191558
28.734,191703
28.834,191840
28.934,191978
29.034,192119
29.134,192266
29.234,192411
29.335,192535
29.435,192662
29.535,192782
29.635,192904
29.735,193020
29.835,193138
29.935,193239
30.035,193372
30.135,193478
30.235,193628
30.335,193762
30.435,193867
30.536,193989
30.636,194116
30.736,194234
30.836,194366
30.936,194484
31.036,194610
31.136,194739
31.236,194867
31.336,194988
31.436,195094
31.536,195205
31.636,195344
31.736,195462
31.837,195589
