TO_CLIENT
1461893801
time,tx_packets
0.001,3470
0.101,3470
0.201,3470
0.301,3470
0.402,3470
0.502,3470
0.602,3470
0.702,3470
0.802,3470
0.903,3470
1.003,3473
1.103,3478
1.203,3483
1.303,3488
1.403,3493
1.504,3498
1.604,3503
1.704,3508
1.804,3513
1.904,3517
2.004,3520
2.104,3521
2.205,3522
2.305,3524
2.405,3526
2.505,3529
2.605,3531
2.705,3538
2.805,3546
2.905,3552
3.006,3557
3.106,3564
3.206,3572
3.306,3576
3.406,3583
3.506,3587
3.606,3590
3.707,3592
3.807,3596
3.907,3600
4.007,3606
4.107,3611
4.207,3613
4.307,3617
4.407,3624
4.508,3629
4.608,3634
4.708,3641
4.807,3645
4.908,3649
5.008,3657
5.108,3660
5.208,3664
5.308,3670
5.408,3675
5.508,3680
5.608,3684
5.708,3689
5.808,3695
5.908,3702
6.008,3707
6.109,3714
6.209,3718
6.309,3724
6.409,3731
6.510,3734
6.610,3740
6.710,3745
6.810,3746
6.910,3754
7.010,3756
7.110,3757
7.210,3760
7.310,3766
7.410,3772
7.511,3775
7.611,3780
7.711,3783
7.811,3788
7.911,3791
8.011,3794
8.111,3798
8.211,3801
8.311,3807
8.411,3810
8.511,3812
8.612,3815
8.712,3817
8.811,3823
8.912,3826
9.011,3829
9.112,3833
9.212,3836
9.312,3842
9.412,3846
9.512,3847
9.612,3849
9.712,3856
9.812,3861
9.912,3866
10.012,3873
10.112,3879
10.213,3887
10.313,3890
10.413,3895
10.513,3903
10.613,3911
10.714,3916
10.814,3924
10.914,3933
11.014,3941
11.114,3949
11.214,3957
11.314,3963
11.414,3972
11.516,3981
11.614,3989
11.715,3998
11.815,4004
11.915,4012
12.015,4019
12.115,4024
12.215,4025
12.315,4029
12.415,4032
12.515,4035
12.615,4039
12.715,4041
12.815,4043
12.915,4045
13.015,4052
13.116,4058
13.216,4062
13.316,4068
13.416,4074
13.516,4079
13.616,4085
13.716,4092
13.816,4098
13.916,4107
14.016,4112
14.116,4115
14.216,4116
14.317,4121
14.417,4126
14.517,4132
14.617,4136
14.717,4138
14.817,4140
14.917,4142
15.017,4148
15.117,4154
15.217,4158
15.317,4163
15.417,4168
15.517,4174
15.617,4180
15.717,4186
15.818,4193
15.918,4201
16.018,4208
16.118,4216
16.218,4222
16.318,4227
16.418,4232
16.518,4235
16.618,4236
16.718,4236
16.818,4236
16.918,4236
17.018,4237
17.119,4239
17.218,4242
17.319,4244
17.419,4245
17.519,4246
17.619,4248
17.719,4253
17.819,4256
17.919,4260
18.019,4262
18.119,4265
18.219,4266
18.319,4269
18.419,4271
18.520,4272
18.620,4274
18.720,4278
18.820,4281
18.920,4284
19.020,4287
19.120,4293
19.220,4299
19.320,4305
19.421,4312
19.521,4315
19.621,4318
19.721,4321
19.821,4322
19.921,4326
20.021,4326
20.121,4329
20.221,4333
20.321,4338
20.421,4343
20.521,4347
20.622,4350
20.722,4355
20.822,4360
20.922,4363
21.022,4364
21.122,4366
21.222,4367
21.322,4370
21.422,4374
21.522,4378
21.622,4381
21.722,4384
21.822,4387
21.922,4391
22.022,4393
22.122,4396
22.223,4397
22.323,4398
22.423,4400
22.523,4401
22.623,4404
22.723,4406
22.823,4407
22.923,4410
23.023,4414
23.123,4418
23.223,4421
23.323,4425
23.423,4427
23.523,4429
23.623,4432
23.723,4435
23.824,4436
23.923,4436
24.024,4440
24.124,4442
24.224,4444
24.324,4446
24.424,4449
24.524,4452
24.624,4453
24.724,4455
24.824,4456
24.924,4458
25.024,4459
25.124,4462
25.224,4464
25.325,4468
25.425,4474
25.525,4477
25.625,4480
25.725,4483
25.825,4483
25.925,4485
26.025,4485
26.125,4486
26.225,4486
26.325,4486
26.425,4486
26.525,4486
26.625,4486
26.725,4486
26.825,4486
26.926,4486
27.026,4486
27.126,4486
27.226,4486
27.326,4486
27.426,4486
27.526,4486
27.626,4486
27.727,4486
27.826,4486
27.926,4486
28.026,4486
28.127,4486
28.227,4486
28.327,4486
28.427,4486
28.527,4486
28.627,4486
28.727,4486
28.827,4486
28.927,4486
29.027,4486
29.127,4486
29.227,4486
29.328,4486
29.428,4486
29.528,4486
29.628,4486
29.728,4486
29.828,4486
29.928,4486
30.028,4486
30.128,4486
30.228,4486
30.328,4486
30.428,4486
30.528,4486
30.628,4486
30.728,4486
30.828,4486
30.928,4486
31.028,4486
31.128,4486
31.229,4486
31.329,4486
31.429,4486
31.529,4486
31.629,4486
31.729,4486
31.829,4486
31.929,4486
32.029,4486
32.129,4486
32.229,4486
32.329,4486
32.429,4486
32.529,4486
32.629,4486
32.729,4486
32.829,4486
32.929,4486
33.030,4486
33.129,4486
33.230,4486
33.330,4486
33.430,4486
33.530,4486
33.630,4486
33.730,4486
33.830,4486
33.930,4486
34.030,4486
34.131,4486
34.230,4486
34.330,4486
34.431,4486
34.531,4486
34.631,4486
34.731,4486
34.831,4486
34.931,4486
35.031,4486
35.131,4486
35.231,4486
35.331,4486
35.431,4486
35.531,4486
35.631,4486
35.731,4486
35.831,4486
35.931,4486
36.032,4486
36.132,4486
36.232,4486
36.332,4486
36.432,4486
36.532,4486
36.632,4486
36.732,4486
36.832,4486
36.933,4486
37.032,4486
37.132,4486
37.233,4486
37.333,4486
37.433,4486
37.533,4486
37.633,4486
37.733,4486
37.833,4486
37.933,4486
38.033,4486
38.133,4486
38.233,4486
38.334,4486
38.433,4486
38.534,4486
38.634,4486
38.734,4486
38.833,4486
38.934,4486
39.034,4486
39.134,4486
39.234,4486
39.334,4486
39.434,4486
39.534,4486
39.634,4486
39.734,4486
39.834,4486
39.934,4486
40.034,4486
40.134,4486
40.234,4486
40.335,4486
40.435,4486
40.535,4486
40.635,4486
40.735,4486
40.835,4486
40.935,4486
41.035,4486
41.135,4486
41.235,4486
41.335,4486
41.435,4486
41.535,4486
41.635,4486
41.736,4486
41.835,4486
41.936,4486
42.036,4486
42.135,4486
42.236,4486
42.336,4486
42.436,4487
42.536,4487
42.636,4487
42.736,4487
42.836,4487
42.936,4487
43.036,4487
43.136,4487
43.236,4487
43.336,4487
43.437,4487
43.537,4487
43.637,4487
43.737,4487
43.837,4487
43.937,4487
44.037,4487
44.137,4487
44.237,4487
44.337,4487
