TO_UIUC
1461893801
time,tx_packets
0.001,1217779
0.101,1217779
0.201,1217779
0.301,1217779
0.402,1217779
0.502,1217779
0.602,1217779
0.702,1217779
0.802,1217782
0.903,1217787
1.003,1217796
1.103,1217813
1.203,1217842
1.303,1217867
1.403,1217893
1.504,1217921
1.604,1217947
1.704,1217975
1.804,1218017
1.904,1218066
2.004,1218119
2.105,1218159
2.205,1218196
2.305,1218246
2.405,1218299
2.505,1218351
2.605,1218399
2.705,1218443
2.805,1218485
2.905,1218536
3.006,1218576
3.106,1218628
3.206,1218683
3.306,1218724
3.406,1218778
3.506,1218829
3.607,1218882
3.707,1218936
3.807,1218984
3.907,1219030
4.007,1219087
4.107,1219141
4.207,1219187
4.307,1219237
4.408,1219286
4.508,1219335
4.608,1219367
4.708,1219413
4.808,1219469
4.908,1219523
5.008,1219569
5.108,1219622
5.208,1219666
5.308,1219715
5.408,1219755
5.509,1219798
5.608,1219836
5.709,1219882
5.809,1219928
5.909,1219971
6.009,1220008
6.109,1220040
6.209,1220074
6.310,1220107
6.410,1220133
6.510,1220168
6.610,1220202
6.710,1220223
6.810,1220249
6.910,1220279
7.010,1220346
7.110,1220396
7.210,1220456
7.311,1220511
7.411,1220566
7.511,1220637
7.611,1220703
7.711,1220781
7.811,1220854
7.911,1220924
8.011,1220998
8.111,1221063
8.211,1221127
8.312,1221198
8.412,1221264
8.512,1221326
8.612,1221395
8.712,1221479
8.812,1221535
8.912,1221591
9.012,1221651
9.112,1221711
9.212,1221778
9.312,1221843
9.412,1221898
9.512,1221955
9.612,1222009
9.713,1222049
9.813,1222106
9.913,1222163
10.013,1222210
10.113,1222257
10.213,1222302
10.313,1222340
10.414,1222379
10.514,1222424
10.614,1222472
10.715,1222522
10.815,1222563
10.915,1222609
11.015,1222657
11.115,1222694
11.215,1222729
11.315,1222768
11.415,1222807
11.516,1222845
11.616,1222871
11.716,1222904
11.816,1222937
11.916,1222967
12.016,1223006
12.116,1223031
12.216,1223048
12.316,1223078
12.417,1223116
12.517,1223154
12.617,1223199
12.717,1223230
12.817,1223262
12.918,1223293
13.018,1223338
13.118,1223381
13.218,1223421
13.318,1223461
13.418,1223490
13.518,1223520
13.618,1223551
13.719,1223591
13.818,1223627
13.919,1223677
14.019,1223712
14.119,1223747
14.219,1223772
14.320,1223812
14.420,1223862
14.520,1223915
14.620,1223966
14.720,1224009
14.820,1224037
14.920,1224074
15.020,1224125
15.120,1224166
15.220,1224204
15.321,1224248
15.421,1224281
15.521,1224321
15.621,1224352
15.721,1224389
15.821,1224424
15.922,1224458
16.022,1224500
16.122,1224537
16.221,1224573
16.321,1224614
16.421,1224658
16.522,1224683
16.622,1224707
16.722,1224740
16.822,1224789
16.922,1224852
17.022,1224923
17.122,1225006
17.222,1225073
17.322,1225125
17.422,1225175
17.522,1225229
17.622,1225288
17.722,1225329
17.823,1225366
17.923,1225409
18.023,1225453
18.123,1225489
18.223,1225527
18.323,1225592
18.423,1225640
18.523,1225690
18.623,1225746
18.723,1225799
18.824,1225851
18.924,1225886
19.024,1225941
19.124,1225989
19.224,1226031
19.324,1226074
19.424,1226130
19.524,1226184
19.624,1226258
19.724,1226318
19.824,1226388
19.924,1226439
20.024,1226488
20.125,1226547
20.225,1226607
20.325,1226656
20.425,1226715
20.525,1226764
20.625,1226817
20.725,1226858
20.825,1226922
20.925,1226977
21.026,1227045
21.126,1227101
21.226,1227145
21.326,1227209
21.426,1227257
21.526,1227304
21.626,1227365
21.726,1227418
21.826,1227464
21.926,1227499
22.026,1227558
22.126,1227618
22.226,1227679
22.327,1227726
22.427,1227790
22.527,1227843
22.627,1227915
22.727,1227992
22.827,1228047
22.927,1228104
23.027,1228172
23.127,1228221
23.227,1228275
23.328,1228340
23.428,1228409
23.528,1228472
23.628,1228530
23.728,1228597
23.828,1228654
23.928,1228697
24.028,1228761
24.128,1228823
24.228,1228900
24.329,1228976
24.429,1229037
24.529,1229102
24.629,1229158
24.729,1229223
24.829,1229271
24.929,1229325
25.029,1229388
25.129,1229466
25.229,1229531
25.329,1229590
25.429,1229639
25.529,1229713
25.630,1229778
25.730,1229848
25.830,1229902
25.930,1229961
26.030,1230031
26.130,1230101
26.230,1230169
26.330,1230235
26.430,1230313
26.530,1230375
26.630,1230429
26.730,1230484
26.830,1230523
26.931,1230594
27.031,1230647
27.131,1230705
27.231,1230760
27.331,1230824
27.431,1230876
27.531,1230927
27.631,1230991
27.731,1231038
27.831,1231107
27.932,1231182
28.032,1231252
28.132,1231304
28.232,1231358
28.332,1231414
28.432,1231472
28.532,1231534
28.632,1231592
28.732,1231644
28.832,1231708
28.932,1231789
29.033,1231853
29.133,1231920
29.233,1231979
29.333,1232049
29.433,1232104
29.533,1232156
29.633,1232220
29.733,1232267
29.833,1232311
29.933,1232368
30.033,1232434
30.134,1232486
30.234,1232539
30.334,1232608
30.434,1232655
30.534,1232714
30.634,1232773
30.734,1232832
30.834,1232893
30.934,1232956
31.034,1233014
31.135,1233068
31.235,1233128
31.335,1233198
31.435,1233263
31.535,1233321
31.635,1233388
31.735,1233447
31.835,1233510
31.935,1233561
32.035,1233609
32.135,1233667
32.236,1233722
32.336,1233782
32.436,1233834
32.536,1233900
32.636,1233966
32.736,1234034
32.836,1234093
32.936,1234145
33.036,1234195
33.136,1234264
33.237,1234314
33.337,1234369
33.437,1234429
33.537,1234497
33.637,1234561
33.737,1234621
33.837,1234684
33.937,1234733
34.037,1234790
34.137,1234862
34.237,1234937
34.337,1235004
34.437,1235068
34.537,1235130
34.637,1235190
34.738,1235253
34.838,1235310
34.938,1235370
35.038,1235427
35.138,1235505
35.238,1235566
35.338,1235616
35.438,1235676
35.538,1235745
35.638,1235802
35.738,1235867
35.838,1235920
35.938,1235969
36.039,1236018
36.139,1236068
36.239,1236125
36.339,1236176
36.439,1236243
36.539,1236299
36.639,1236366
36.739,1236428
36.839,1236502
36.940,1236557
37.040,1236627
37.140,1236688
37.240,1236762
37.340,1236825
37.440,1236893
37.540,1236952
37.640,1237009
37.740,1237066
37.840,1237130
37.940,1237208
38.041,1237267
38.141,1237331
38.241,1237399
38.341,1237463
38.441,1237522
38.541,1237591
38.641,1237640
38.741,1237701
38.841,1237768
38.941,1237827
39.041,1237898
39.141,1237969
39.241,1238038
39.341,1238117
39.442,1238179
