TO_UM
1461897286
time,tx_packets
0.001,2175
0.101,2175
0.201,2175
0.301,2175
0.402,2175
0.502,2175
0.602,2175
0.702,2176
0.802,2204
0.903,2230
1.003,2266
1.103,2308
1.203,2353
1.303,2401
1.403,2446
1.503,2487
1.604,2521
1.704,2564
1.804,2611
1.904,2665
2.004,2724
2.104,2789
2.204,2868
2.305,2937
2.405,3003
2.505,3069
2.605,3131
2.705,3192
2.805,3273
2.905,3355
3.005,3449
3.105,3539
3.205,3629
3.306,3705
3.406,3786
3.506,3859
3.606,3945
3.706,3999
3.806,4066
3.906,4162
4.006,4253
4.106,4339
4.206,4437
4.307,4506
4.407,4571
4.507,4645
4.607,4718
4.707,4783
4.807,4852
4.907,4929
5.008,5021
5.108,5093
5.208,5166
5.308,5259
5.408,5348
5.508,5450
5.608,5526
5.708,5627
5.808,5723
5.908,5813
6.008,5898
6.108,5980
6.209,6058
6.309,6125
6.409,6188
6.509,6273
6.609,6347
6.709,6432
6.809,6491
6.909,6552
7.010,6612
7.110,6677
7.210,6731
7.310,6790
7.410,6847
7.510,6903
7.610,6983
7.710,7042
7.810,7096
7.911,7153
8.011,7227
8.111,7313
8.211,7423
8.311,7548
8.411,7692
8.511,7867
8.611,8020
8.711,8173
8.811,8284
8.911,8372
9.011,8436
9.111,8504
9.211,8577
9.311,8649
9.411,8722
9.511,8801
9.611,8882
9.711,8947
9.812,9010
9.912,9081
10.012,9148
10.112,9219
10.212,9305
10.313,9381
10.413,9452
10.513,9527
10.613,9599
10.713,9676
10.813,9756
10.914,9844
11.014,9922
11.114,10104
11.214,10323
11.314,10554
11.414,10768
11.515,10938
11.614,11038
11.714,11122
11.814,11208
11.914,11300
12.015,11388
12.115,11494
12.215,11577
12.315,11670
12.415,11761
12.515,11864
12.615,11959
12.715,12079
12.815,12177
12.915,12294
13.016,12394
13.115,12508
13.216,12634
13.316,12740
13.416,12857
13.516,12977
13.616,13124
13.716,13244
13.816,13361
13.916,13495
14.016,13670
14.116,13818
14.216,13970
14.317,14089
14.417,14216
14.517,14359
14.617,14513
14.717,14632
14.817,14736
14.917,14860
15.017,14993
15.117,15111
15.218,15241
15.318,15361
15.418,15478
15.518,15606
15.618,15728
15.718,15852
15.818,15972
15.918,16092
16.018,16219
16.118,16329
16.218,16464
16.318,16585
16.418,16700
16.519,16818
16.619,16927
16.719,17042
16.819,17157
16.919,17291
17.019,17407
17.119,17564
17.219,17694
17.319,17839
17.419,17976
17.519,18114
17.619,18236
17.719,18394
17.819,18537
17.920,18659
18.020,18788
18.120,18924
18.220,19059
18.320,19188
18.420,19311
18.520,19438
18.620,19564
18.720,19701
18.820,19841
18.920,19940
19.021,20057
19.121,20181
19.221,20310
19.321,20449
19.421,20555
19.521,20667
19.621,20803
19.721,20943
19.821,21076
19.921,21225
20.021,21363
20.121,21498
20.221,21603
20.321,21735
20.422,21877
20.522,21990
20.622,22131
20.722,22278
20.822,22433
20.922,22581
21.022,22709
21.122,22858
21.222,22997
21.322,23130
21.422,23282
21.522,23417
21.622,23554
21.722,23695
21.822,23815
21.923,23941
22.023,24065
22.123,24207
22.223,24317
22.323,24429
22.423,24553
22.523,24675
22.623,24782
22.723,24907
22.823,25005
22.924,25091
23.024,25176
23.124,25266
23.224,25356
23.324,25431
23.424,25519
23.524,25584
23.625,25656
23.725,25710
23.825,25760
23.925,25811
24.025,25870
24.125,25949
24.225,26002
24.326,26067
24.426,26113
24.526,26161
24.626,26197
24.726,26264
24.826,26303
24.927,26341
25.027,26374
25.127,26402
25.227,26437
25.327,26467
25.427,26498
25.527,26533
25.628,26581
25.728,26626
25.828,26740
25.928,26845
26.028,26981
26.129,27031
26.229,27074
26.329,27144
26.429,27218
26.529,27402
26.629,27563
26.729,27618
26.829,27730
26.930,27787
27.030,27965
27.130,28141
27.230,28288
27.330,28400
27.430,28518
27.530,28667
27.630,28843
27.730,28947
27.830,29057
27.930,29172
28.030,29346
28.130,29539
28.231,29766
28.331,29989
28.431,30177
28.531,30419
28.631,30703
28.731,30945
28.831,31175
28.931,31333
29.031,31574
29.131,31783
29.231,31951
29.331,32081
29.431,32242
29.532,32409
29.632,32569
29.732,32706
29.832,32868
29.932,33003
30.032,33132
30.132,33260
30.232,33379
30.332,33513
30.432,33622
30.532,33738
30.632,33856
30.732,33972
30.833,34093
30.933,34237
31.033,34378
31.133,34506
31.233,34622
31.333,34744
31.433,34859
31.533,34990
31.633,35114
31.733,35227
31.833,35357
31.933,35490
32.033,35604
32.133,35727
32.234,35856
32.334,35992
32.434,36112
32.534,36234
32.634,36363
32.734,36500
32.834,36627
32.934,36765
33.034,36900
33.134,37016
33.234,37139
33.334,37286
33.434,37455
33.535,37606
33.635,37738
33.735,37865
33.835,38012
33.935,38169
34.035,38317
34.135,38443
34.235,38590
34.335,38751
34.435,38893
34.535,39066
34.636,39231
34.736,39357
34.836,39493
34.936,39647
35.036,39810
