TO_CLIENT
1461861830
time,tx_packets
0.001,8058
0.101,8058
0.202,8058
0.302,8058
0.402,8058
0.503,8058
0.603,8058
0.703,8058
0.804,8059
0.903,8059
1.003,8061
1.104,8066
1.204,8071
1.304,8076
1.405,8081
1.505,8086
1.605,8091
1.705,8096
1.805,8101
1.906,8106
2.006,8111
2.106,8116
2.207,8121
2.306,8126
2.407,8131
2.507,8136
2.607,8139
2.707,8146
2.807,8151
2.907,8152
3.007,8157
3.107,8161
3.208,8163
3.308,8169
3.407,8175
3.508,8178
3.608,8182
3.708,8187
3.808,8194
3.908,8199
4.008,8202
4.108,8210
4.209,8215
4.309,8220
4.409,8223
4.509,8229
4.609,8234
4.709,8237
4.810,8243
4.910,8246
5.009,8256
5.110,8257
5.210,8260
5.310,8268
5.410,8275
5.510,8276
5.610,8279
5.710,8286
5.810,8289
5.910,8292
6.011,8301
6.111,8310
6.211,8313
6.311,8316
6.411,8322
6.511,8327
6.611,8335
6.712,8339
6.812,8347
6.912,8353
7.012,8357
7.112,8360
7.212,8365
7.313,8368
7.414,8375
7.513,8378
7.613,8383
7.713,8389
7.814,8393
7.915,8399
8.014,8405
8.115,8410
8.214,8417
8.314,8421
8.420,8427
8.515,8432
8.615,8433
8.715,8437
8.816,8445
8.915,8450
9.016,8456
9.116,8460
9.216,8468
9.316,8471
9.419,8475
9.516,8482
9.616,8485
9.716,8493
9.817,8494
9.917,8495
10.017,8500
10.117,8510
10.217,8514
10.318,8521
10.418,8525
10.518,8527
10.618,8537
10.718,8541
10.818,8542
10.918,8549
11.019,8553
11.119,8553
11.219,8554
11.319,8554
11.419,8559
11.519,8559
11.619,8566
11.720,8575
11.820,8578
11.920,8579
12.020,8589
12.120,8593
12.220,8598
12.320,8603
12.421,8609
12.521,8613
12.621,8619
12.721,8627
12.821,8629
12.921,8635
13.022,8639
13.122,8647
13.222,8651
13.322,8656
13.422,8662
13.522,8667
13.623,8668
13.723,8674
13.823,8679
13.923,8686
14.023,8687
14.123,8694
14.223,8695
14.323,8705
14.424,8710
14.524,8716
14.624,8719
14.724,8725
14.824,8731
14.924,8732
15.025,8741
15.125,8746
15.225,8750
15.325,8753
15.425,8756
15.525,8768
15.625,8773
15.725,8778
15.825,8781
15.925,8785
16.026,8791
16.126,8792
16.226,8800
16.326,8806
16.427,8810
16.527,8811
16.627,8814
16.727,8824
16.827,8827
16.927,8832
17.027,8836
17.127,8843
17.227,8846
17.327,8852
17.427,8862
17.528,8868
17.628,8870
17.728,8873
17.828,8881
17.928,8888
18.029,8891
18.129,8898
18.229,8900
18.329,8900
18.429,8905
18.529,8918
18.629,8921
18.729,8927
18.829,8934
18.930,8938
19.030,8945
19.130,8948
19.230,8953
19.330,8957
19.430,8962
19.530,8968
19.631,8974
19.731,8978
19.831,8980
19.931,8986
20.031,8992
20.131,8996
20.232,9006
20.332,9010
20.432,9011
20.532,9019
20.632,9025
20.732,9028
