TO_UIUC
1461859878
time,tx_packets
0.001,8134
0.101,8134
0.201,8136
0.302,8136
0.402,8136
0.502,8136
0.605,8136
0.703,8136
0.803,8138
0.903,8143
1.003,8152
1.104,8162
1.204,8172
1.304,8182
1.405,8193
1.505,8203
1.609,8214
1.705,8223
1.805,8239
1.905,8254
2.005,8267
2.106,8277
2.206,8288
2.306,8298
2.405,8308
2.506,8317
2.606,8328
2.706,8338
2.806,8346
2.906,8357
3.006,8365
3.107,8379
3.207,8404
3.307,8431
3.407,8461
3.507,8488
3.607,8513
3.707,8532
3.807,8560
3.908,8577
4.008,8596
4.108,8620
4.208,8640
4.308,8664
4.409,8677
4.509,8713
4.610,8727
4.709,8747
4.810,8776
4.910,8801
5.010,8830
5.110,8845
5.210,8866
5.311,8884
5.411,8909
5.511,8928
5.611,8951
5.711,8971
5.811,8988
5.911,9007
6.012,9023
6.112,9052
6.212,9079
6.312,9123
6.412,9147
6.512,9163
6.612,9204
6.713,9226
6.813,9262
6.913,9294
7.013,9329
7.113,9357
7.213,9377
7.313,9403
7.413,9431
7.514,9460
7.613,9489
7.714,9524
7.814,9556
7.914,9584
8.014,9618
8.115,9651
8.215,9684
8.315,9725
8.415,9758
8.515,9783
8.615,9813
8.715,9846
8.816,9881
8.916,9919
9.016,9936
9.116,9955
9.216,9984
9.316,10007
9.417,10029
9.517,10058
9.617,10087
9.717,10115
9.817,10146
9.917,10172
10.018,10198
10.118,10223
10.218,10257
10.318,10287
10.418,10311
10.519,10336
10.618,10367
10.719,10405
10.819,10433
10.919,10464
11.019,10478
11.119,10507
11.220,10517
11.320,10533
11.420,10558
11.520,10582
11.620,10602
11.720,10615
11.820,10642
11.921,10683
12.021,10715
12.121,10735
12.221,10782
12.321,10802
12.421,10829
12.521,10860
12.621,10893
12.722,10911
12.822,10946
12.922,10982
13.022,11001
13.122,11042
13.222,11066
13.322,11083
13.422,11119
13.522,11155
13.623,11169
13.723,11211
13.823,11249
13.923,11259
14.023,11280
14.123,11308
14.223,11329
14.324,11362
14.424,11392
14.524,11425
14.624,11450
14.724,11492
14.824,11517
14.925,11540
15.025,11565
15.125,11597
15.225,11639
15.325,11670
15.425,11686
15.526,11712
15.626,11744
15.726,11784
15.826,11817
15.926,11837
16.026,11869
16.126,11907
16.227,11936
16.327,11968
16.427,11992
16.527,12005
16.627,12022
16.727,12052
16.827,12077
16.928,12100
17.028,12133
17.128,12177
17.228,12200
17.328,12228
17.428,12268
17.528,12304
17.629,12324
17.729,12342
17.829,12369
17.929,12397
18.029,12425
18.129,12470
18.230,12489
18.330,12513
18.430,12542
18.530,12573
18.630,12613
18.730,12634
18.830,12652
18.931,12693
19.031,12727
19.131,12748
19.231,12769
19.331,12792
19.431,12826
19.531,12848
19.632,12894
19.732,12936
19.832,12945
19.932,12978
20.032,13023
20.132,13050
20.232,13077
20.332,13119
20.433,13141
20.533,13163
20.633,13209
20.733,13240
20.833,13260
20.933,13291
21.033,13325
21.134,13356
21.234,13379
21.334,13417
21.434,13451
21.534,13489
21.635,13516
21.735,13561
21.835,13593
21.935,13607
22.035,13642
22.136,13681
22.236,13706
22.336,13728
22.436,13780
22.536,13797
22.636,13827
22.736,13854
22.836,13894
22.937,13913
23.037,13928
23.137,13962
23.237,13996
23.337,14014
23.437,14053
23.537,14089
23.637,14115
23.737,14152
23.838,14186
23.938,14199
24.038,14234
24.138,14272
24.238,14303
24.338,14331
24.439,14353
24.539,14379
24.639,14414
24.739,14446
24.839,14458
24.939,14497
25.039,14529
25.140,14563
25.240,14597
25.340,14626
25.440,14648
25.540,14694
25.640,14713
25.741,14737
25.841,14763
25.941,14793
26.041,14825
26.141,14850
26.241,14874
26.341,14906
26.442,14949
26.542,14974
26.642,14997
26.742,15027
26.842,15058
26.942,15083
27.043,15098
27.143,15133
27.243,15163
27.343,15183
27.443,15224
27.543,15253
27.643,15276
27.744,15299
27.844,15332
27.944,15361
28.044,15392
28.144,15406
28.244,15420
28.344,15444
28.444,15476
28.545,15523
28.645,15555
28.745,15600
28.845,15632
28.945,15664
29.045,15701
29.146,15729
29.246,15745
29.346,15762
29.446,15791
29.546,15822
29.647,15846
29.747,15870
29.847,15905
29.947,15925
30.047,15956
30.148,15990
30.248,16008
30.348,16036
30.448,16056
30.548,16088
30.648,16115
30.749,16165
30.849,16195
30.949,16204
31.049,16222
31.149,16239
31.249,16266
31.350,16296
31.450,16321
31.550,16360
31.650,16389
31.750,16416
31.851,16446
31.951,16465
32.051,16482
32.151,16523
32.251,16550
32.351,16564
32.452,16603
32.552,16627
32.652,16659
32.752,16693
32.852,16729
32.952,16754
33.053,16776
33.153,16811
33.253,16844
33.353,16869
33.453,16894
33.553,16927
33.653,16959
33.754,16984
33.854,17014
33.954,17039
34.054,17050
34.154,17079
34.254,17115
34.355,17134
34.455,17154
34.555,17193
34.655,17220
34.755,17236
34.856,17269
34.955,17304
35.056,17325
35.156,17349
35.256,17387
35.356,17411
35.456,17435
35.556,17467
35.656,17496
35.756,17521
35.857,17558
35.957,17579
36.057,17609
36.157,17643
36.257,17678
36.357,17705
36.458,17738
36.558,17758
36.658,17790
36.758,17822
36.858,17853
36.958,17887
37.058,17914
37.159,17929
37.259,17952
37.359,17992
37.459,18019
37.559,18035
37.659,18061
37.759,18095
37.860,18116
37.960,18142
38.060,18166
38.160,18192
38.260,18224
38.360,18244
38.460,18275
38.560,18321
38.661,18366
38.761,18413
38.861,18446
38.961,18490
39.061,18523
39.162,18554
39.262,18575
39.362,18598
39.462,18625
39.562,18644
39.663,18675
39.763,18705
39.863,18738
39.963,18769
40.063,18798
40.164,18842
40.264,18874
40.364,18893
40.464,18923
40.564,18958
40.664,18995
40.765,19021
40.865,19041
40.965,19075
41.065,19100
