TO_UM
1461861830
time,tx_packets
0.001,71741
0.101,71741
0.202,71742
0.302,71742
0.402,71742
0.503,71743
0.602,71743
0.703,71743
0.803,71749
0.903,71797
1.004,71842
1.103,71887
1.204,71929
1.304,71968
1.404,72004
1.505,72043
1.605,72078
1.705,72105
1.805,72130
1.905,72168
2.006,72212
2.106,72257
2.206,72301
2.306,72347
2.407,72391
2.507,72431
2.607,72479
2.707,72521
2.807,72568
2.907,72612
3.008,72662
3.108,72720
3.208,72767
3.308,72803
3.408,72850
3.508,72901
3.608,72947
3.708,72994
3.808,73060
3.908,73102
4.009,73134
4.109,73177
4.209,73218
4.309,73258
4.409,73306
4.509,73355
4.609,73421
4.709,73474
4.809,73511
4.910,73554
5.010,73626
5.110,73666
5.210,73715
5.310,73766
5.410,73813
5.510,73871
5.611,73922
5.711,73966
5.811,74031
5.911,74087
6.011,74140
6.111,74206
6.211,74266
6.311,74308
6.411,74353
6.511,74397
6.611,74453
6.712,74506
6.812,74563
6.912,74611
7.012,74663
7.112,74725
7.213,74785
7.313,74850
7.417,74916
7.513,74974
7.613,75018
7.713,75066
7.814,75127
7.914,75183
8.014,75231
8.114,75283
8.214,75338
8.314,75392
8.414,75449
8.514,75503
8.615,75558
8.715,75601
8.815,75649
8.915,75693
9.015,75754
9.115,75811
9.215,75860
9.315,75917
9.418,75978
9.515,76038
9.616,76094
9.715,76155
9.815,76204
9.916,76239
10.016,76299
10.116,76358
10.216,76394
10.316,76440
10.417,76491
10.516,76544
10.616,76592
10.716,76650
10.817,76708
10.917,76776
11.017,76822
11.117,76846
11.217,76899
11.317,76955
11.418,77014
11.518,77067
11.618,77104
11.718,77146
11.818,77205
11.918,77252
12.018,77296
12.118,77348
12.218,77399
12.319,77445
12.419,77503
12.519,77553
12.619,77608
12.719,77662
12.819,77719
12.919,77766
13.019,77821
13.119,77864
13.219,77921
13.319,77960
13.420,78010
13.519,78050
13.620,78108
13.720,78155
13.820,78209
13.920,78264
14.020,78323
14.120,78376
14.220,78436
14.320,78474
14.420,78523
14.520,78564
14.620,78620
14.720,78675
14.821,78707
14.921,78755
15.021,78799
15.121,78860
15.221,78918
15.321,78962
15.421,79010
15.521,79060
15.621,79117
15.721,79161
15.821,79218
15.922,79267
16.022,79318
16.122,79369
16.222,79410
16.322,79460
16.422,79521
16.522,79585
16.623,79635
16.723,79689
16.823,79748
16.923,79817
17.023,79888
17.123,79935
17.223,79979
17.323,80016
17.423,80060
17.523,80116
17.623,80166
17.723,80214
17.823,80270
17.923,80313
18.023,80371
18.124,80411
18.224,80465
18.324,80519
18.424,80568
18.524,80626
18.624,80666
18.724,80726
18.824,80766
18.924,80814
19.024,80855
19.125,80884
19.225,80927
19.325,80978
19.425,81029
19.525,81074
19.625,81119
19.725,81194
19.825,81251
19.925,81292
20.025,81334
20.126,81373
20.226,81436
20.326,81472
20.426,81521
20.526,81571
20.626,81622
20.726,81681
20.826,81730
20.926,81781
21.026,81852
21.127,81925
21.227,81990
21.327,82048
21.427,82095
21.527,82146
21.627,82198
21.727,82253
21.827,82320
21.927,82356
22.027,82410
22.128,82458
22.228,82518
22.328,82570
22.428,82630
22.528,82680
22.628,82736
22.728,82787
22.828,82836
22.929,82887
23.029,82927
23.129,82979
23.229,83029
23.329,83079
23.429,83131
23.529,83174
23.629,83221
23.729,83281
23.829,83329
23.930,83382
24.030,83435
24.130,83481
24.230,83540
24.330,83602
24.430,83659
24.530,83701
24.630,83758
24.730,83826
24.830,83937
24.930,84059
25.031,84179
25.131,84257
25.231,84336
25.331,84403
25.431,84478
25.531,84555
25.631,84619
25.731,84669
25.831,84715
25.931,84760
26.031,84828
26.132,84874
26.232,84917
26.332,84974
26.432,85031
26.532,85090
26.632,85146
26.732,85231
26.832,85309
26.933,85367
27.033,85406
27.133,85486
27.232,85543
27.332,85605
27.433,85679
27.533,85743
27.633,85811
27.733,85877
27.833,85933
27.933,85983
28.033,86032
28.134,86082
28.234,86153
28.334,86222
28.434,86282
28.534,86341
28.634,86372
28.734,86427
28.834,86485
28.934,86532
29.034,86574
29.134,86617
29.235,86673
29.334,86725
29.434,86787
29.535,86848
29.635,86902
29.735,86959
29.835,87016
29.935,87081
30.035,87164
30.135,87226
30.235,87289
30.335,87350
30.435,87423
30.535,87478
30.636,87545
30.736,87603
30.836,87658
30.936,87735
31.036,87794
31.136,87859
31.236,87927
31.336,87985
31.437,88052
31.536,88145
31.637,88235
31.737,88300
31.837,88366
31.937,88421
32.037,88482
32.137,88534
32.237,88571
32.337,88617
32.437,88681
32.537,88739
32.637,88806
32.737,88851
32.838,88925
32.938,88985
33.038,89047
33.138,89113
33.238,89165
33.338,89217
33.438,89268
33.538,89311
33.638,89368
33.738,89425
33.839,89485
33.939,89538
34.039,89595
34.139,89651
