TO_CLIENT
1461954834
time,tx_packets
0.001,20634
0.101,20634
0.202,20634
0.301,20634
0.401,20634
0.502,20634
0.602,20634
0.702,20634
0.802,20634
0.902,20634
1.003,20634
1.103,20636
1.203,20641
1.303,20646
1.403,20651
1.503,20656
1.604,20661
1.704,20666
1.804,20671
1.904,20676
2.004,20681
2.104,20686
2.204,20691
2.305,20696
2.405,20701
2.505,20706
2.605,20711
2.705,20716
2.805,20721
2.905,20726
3.005,20731
3.106,20736
3.206,20741
3.306,20746
3.406,20751
3.506,20756
3.606,20761
3.707,20766
3.807,20771
3.907,20776
4.007,20781
4.107,20786
4.207,20791
4.307,20796
4.408,20801
4.508,20806
4.608,20811
4.708,20814
4.808,20821
4.908,20826
5.008,20831
5.108,20836
5.208,20841
5.309,20846
5.409,20851
5.509,20856
5.609,20861
5.709,20866
5.809,20872
5.909,20877
6.009,20882
6.109,20887
6.209,20892
6.310,20897
6.410,20902
6.510,20907
6.610,20912
6.710,20917
6.810,20922
7.910,20977
8.010,20982
8.110,20987
8.211,20992
8.311,20997
8.411,21002
8.511,21007
8.612,21012
8.712,21017
8.812,21022
8.912,21027
9.012,21032
9.112,21037
9.212,21042
9.312,21047
9.412,21052
9.512,21057
9.613,21062
9.713,21067
9.813,21072
9.913,21077
10.013,21082
10.113,21088
10.213,21093
10.314,21098
10.414,21103
10.514,21108
10.614,21113
10.714,21118
10.814,21123
10.915,21129
11.015,21134
11.115,21139
11.215,21144
11.315,21149
11.415,21154
11.515,21159
11.616,21164
11.716,21169
11.816,21174
11.916,21179
12.016,21184
12.116,21189
12.217,21194
12.317,21199
12.417,21204
12.517,21209
12.617,21214
12.717,21219
12.817,21224
12.917,21229
13.018,21234
13.118,21239
13.218,21244
13.318,21249
13.418,21254
13.518,21259
13.619,21263
13.719,21263
13.819,21271
13.919,21279
14.019,21284
14.120,21289
14.220,21294
14.319,21299
14.420,21304
14.520,21309
14.620,21314
14.720,21319
14.820,21324
14.920,21329
15.020,21334
15.120,21339
15.221,21344
15.321,21349
15.421,21354
15.521,21359
15.621,21364
15.721,21369
15.822,21374
15.922,21379
16.022,21384
16.122,21389
16.222,21394
16.322,21399
16.423,21404
16.523,21409
16.623,21414
16.723,21419
16.823,21424
16.924,21429
17.024,21434
17.124,21439
17.224,21444
17.324,21449
17.425,21454
17.525,21459
17.625,21464
17.725,21469
17.825,21474
17.926,21479
18.026,21484
18.126,21489
18.226,21494
18.326,21499
18.426,21504
18.527,21509
18.627,21514
18.727,21519
18.827,21524
18.927,21529
19.027,21534
19.127,21539
19.228,21543
19.328,21549
19.428,21554
19.528,21559
19.628,21564
19.728,21569
19.828,21574
19.929,21579
20.029,21584
20.129,21589
20.229,21594
20.329,21599
20.429,21604
20.530,21609
20.630,21614
20.730,21619
20.830,21624
20.930,21629
21.030,21634
21.130,21639
21.231,21644
21.331,21649
21.431,21654
21.531,21659
21.631,21664
21.732,21669
21.832,21674
21.932,21679
22.032,21684
