TO_UIUC
1461954834
time,tx_packets
0.001,917843
0.101,917843
0.201,917843
0.301,917843
0.402,917843
0.502,917843
0.602,917843
0.702,917843
0.802,917843
0.902,917854
1.003,917872
1.103,917895
1.203,917919
1.303,917943
1.403,917965
1.503,917986
1.604,918007
1.704,918027
1.804,918044
1.904,918063
2.004,918084
2.104,918108
2.204,918133
2.304,918158
2.405,918183
2.505,918208
2.605,918233
2.705,918258
2.805,918283
2.905,918308
3.005,918333
3.105,918358
3.206,918383
3.306,918408
3.406,918433
3.506,918458
3.606,918483
3.706,918508
3.807,918533
3.907,918558
4.007,918584
4.107,918609
4.207,918634
4.307,918661
4.408,918686
4.508,918712
4.608,918735
4.708,918762
4.808,918784
4.908,918812
5.009,918837
5.109,918862
5.209,918888
5.309,918913
5.409,918938
5.509,918963
5.610,918989
5.710,919014
5.810,919039
5.910,919064
6.010,919089
6.110,919114
6.210,919139
6.310,919164
6.411,919189
6.511,919214
6.611,919239
6.711,919264
6.811,919289
6.911,919314
7.012,919339
7.112,919364
7.212,919389
7.312,919414
7.412,919441
7.512,919467
7.612,919491
7.713,919516
7.813,919540
7.913,919565
8.013,919592
8.113,919616
8.213,919641
8.313,919667
8.414,919692
8.514,919717
8.614,919744
8.714,919769
8.814,919794
8.914,919819
9.014,919844
9.115,919869
9.215,919894
9.315,919920
9.415,919945
9.515,919970
9.615,919994
9.716,920020
9.816,920045
9.916,920070
10.016,920095
10.116,920121
10.217,920147
10.317,920172
10.417,920196
10.517,920222
10.617,920246
10.717,920272
10.817,920296
10.917,920322
11.018,920347
11.118,920372
11.218,920397
11.318,920422
11.418,920447
11.518,920472
11.619,920497
11.719,920522
11.819,920547
11.919,920572
12.019,920597
12.119,920622
12.219,920647
12.320,920672
12.420,920697
12.520,920723
12.620,920748
12.720,920774
12.820,920800
12.920,920825
13.021,920850
13.121,920875
13.221,920900
13.321,920925
13.421,920950
13.521,920975
13.621,920988
13.722,921021
13.822,921044
13.922,921076
14.022,921101
14.122,921126
14.222,921152
14.323,921177
14.423,921202
14.523,921227
14.623,921250
14.723,921277
14.823,921302
14.923,921327
15.023,921352
15.124,921377
15.224,921402
15.324,921427
15.424,921452
15.524,921477
15.624,921502
15.725,921527
15.825,921552
15.925,921577
16.025,921602
16.125,921627
16.225,921652
16.326,921677
16.426,921702
16.526,921727
16.626,921752
16.726,921778
16.827,921804
16.927,921830
17.027,921856
17.127,921880
17.227,921905
17.328,921930
17.428,921955
17.528,921981
17.628,922005
17.728,922031
17.828,922056
17.928,922082
18.028,922106
18.129,922133
18.229,922158
18.329,922185
18.429,922210
18.529,922235
18.629,922260
18.729,922286
18.830,922311
18.930,922336
19.030,922361
19.130,922387
19.230,922412
19.331,922437
19.431,922462
19.531,922486
19.631,922512
19.731,922537
19.831,922562
19.931,922587
20.031,922612
20.131,922638
20.231,922662
20.332,922688
20.432,922711
20.532,922736
20.632,922761
20.732,922786
20.832,922811
20.932,922836
21.033,922862
21.133,922889
21.233,922916
21.333,922941
21.434,922967
21.534,922993
21.634,923017
21.734,923043
21.835,923068
21.935,923093
22.035,923118
22.135,923143
22.235,923169
22.335,923194
22.435,923219
22.535,923244
22.636,923269
22.736,923294
22.836,923320
22.936,923345
23.036,923370
23.137,923395
23.237,923421
23.337,923445
23.437,923471
23.537,923496
23.637,923522
23.738,923546
23.838,923571
23.938,923596
24.038,923622
24.138,923647
24.238,923672
24.338,923697
24.438,923722
24.539,923747
24.639,923770
24.739,923796
24.839,923822
24.939,923847
25.039,923872
25.140,923897
25.239,923922
25.339,923945
25.440,923972
25.540,923997
25.640,924023
25.740,924048
25.841,924073
25.941,924098
26.041,924123
26.141,924148
26.241,924173
26.342,924199
26.442,924224
26.542,924249
26.642,924274
26.742,924299
26.842,924324
26.943,924349
27.043,924374
27.143,924399
27.243,924425
27.343,924450
27.444,924475
27.544,924500
27.644,924525
27.744,924550
27.844,924575
27.944,924600
28.044,924625
28.145,924650
28.245,924675
28.345,924700
28.446,924725
28.545,924750
28.645,924775
28.746,924800
28.846,924825
28.946,924850
29.046,924875
29.146,924900
29.246,924925
29.347,924950
29.447,924975
29.547,925000
29.647,925025
29.747,925050
29.847,925077
29.947,925102
30.047,925126
30.148,925151
30.248,925176
30.348,925202
30.448,925226
30.548,925252
30.649,925278
30.749,925303
30.849,925328
30.949,925353
31.049,925379
31.150,925404
31.250,925429
31.350,925454
31.450,925479
31.550,925504
31.650,925530
31.751,925555
31.851,925580
31.951,925605
32.051,925630
32.151,925657
32.251,925680
32.352,925705
32.452,925730
32.552,925753
32.652,925781
32.752,925806
32.852,925832
32.952,925856
33.053,925882
33.153,925907
33.253,925932
33.353,925958
33.453,925983
33.554,926007
33.654,926033
33.754,926058
33.854,926082
33.954,926110
34.054,926136
34.154,926162
34.255,926187
34.355,926212
34.455,926237
34.555,926262
34.655,926287
34.755,926311
34.856,926338
34.956,926362
35.056,926387
35.156,926412
35.256,926438
35.356,926463
35.457,926488
35.557,926513
35.657,926538
35.757,926564
35.857,926589
35.958,926614
36.058,926639
36.158,926665
36.258,926690
36.358,926715
36.459,926740
36.559,926765
36.659,926790
36.759,926815
36.859,926840
36.959,926865
37.060,926890
37.160,926915
37.260,926940
37.360,926965
37.460,926990
37.560,927013
37.660,927040
37.761,927065
