TO_UM
1461954834
time,tx_packets
0.001,1386141
0.101,1386142
0.202,1386142
0.301,1386142
0.401,1386142
0.501,1386143
0.602,1386143
0.702,1386143
0.802,1386144
0.902,1386162
1.003,1386187
1.103,1386215
1.203,1386244
1.303,1386272
1.403,1386303
1.503,1386329
1.604,1386355
1.704,1386382
1.804,1386405
1.904,1386429
2.004,1386456
2.104,1386486
2.204,1386516
2.305,1386546
2.405,1386574
2.505,1386603
2.605,1386633
2.705,1386661
2.806,1386691
2.906,1386721
3.006,1386748
3.106,1386778
3.207,1386809
3.307,1386839
3.407,1386869
3.507,1386899
3.607,1386931
3.707,1386961
3.808,1386991
3.908,1387021
4.008,1387050
4.108,1387081
4.208,1387111
4.308,1387141
4.408,1387170
4.509,1387202
4.609,1387229
4.709,1387260
4.809,1387295
4.909,1387323
5.009,1387355
5.109,1387384
5.210,1387413
5.310,1387444
5.410,1387474
5.510,1387502
5.610,1387534
5.710,1387565
5.811,1387594
5.911,1387623
6.011,1387654
6.111,1387684
6.211,1387714
6.311,1387744
6.412,1387774
6.512,1387803
6.612,1387832
6.712,1387863
6.812,1387893
6.912,1387923
7.012,1387953
7.113,1387983
7.213,1388013
7.313,1388043
7.413,1388073
7.513,1388103
7.613,1388133
7.713,1388164
7.814,1388194
7.914,1388224
8.014,1388254
8.114,1388284
8.214,1388315
8.314,1388345
8.414,1388376
8.515,1388406
8.615,1388437
8.715,1388467
8.815,1388497
8.915,1388528
9.015,1388558
9.115,1388588
9.215,1388616
9.316,1388646
9.416,1388675
9.516,1388707
9.616,1388734
9.716,1388765
9.816,1388795
9.917,1388825
10.017,1388855
10.117,1388888
10.217,1388919
10.317,1388949
10.418,1388979
10.518,1389009
10.618,1389039
10.718,1389069
10.818,1389097
10.918,1389127
11.018,1389157
11.119,1389187
11.219,1389217
11.319,1389252
11.419,1389283
11.519,1389313
11.619,1389343
11.720,1389373
11.820,1389403
11.920,1389433
12.020,1389463
12.120,1389494
12.220,1389524
12.320,1389554
12.420,1389584
12.521,1389614
12.621,1389644
12.721,1389674
12.821,1389705
12.921,1389735
13.022,1389765
13.122,1389795
13.222,1389825
13.322,1389855
13.422,1389881
13.522,1389915
13.623,1389928
13.723,1389970
13.823,1390008
13.923,1390037
14.023,1390067
14.124,1390097
14.224,1390125
14.324,1390158
14.424,1390187
14.524,1390218
14.624,1390245
14.724,1390272
14.824,1390302
14.925,1390332
15.025,1390360
15.125,1390390
15.225,1390420
15.325,1390450
15.425,1390480
15.526,1390511
15.626,1390541
15.726,1390571
15.826,1390601
15.926,1390631
16.026,1390660
16.127,1390691
16.227,1390720
16.327,1390752
16.427,1390779
16.527,1390810
16.628,1390840
16.728,1390872
16.828,1390903
16.928,1390932
17.028,1390962
17.129,1390993
17.229,1391024
17.329,1391054
17.429,1391084
17.529,1391114
17.629,1391143
17.729,1391174
17.829,1391204
17.929,1391233
18.030,1391264
18.130,1391295
18.230,1391326
18.330,1391356
18.430,1391386
18.530,1391416
18.631,1391447
18.731,1391479
18.831,1391508
18.931,1391539
19.031,1391569
19.132,1391601
19.232,1391632
19.332,1391663
19.432,1391691
19.532,1391722
19.632,1391752
19.732,1391780
19.833,1391810
19.933,1391840
20.033,1391870
20.133,1391900
20.233,1391928
20.333,1391958
20.433,1391988
20.534,1392018
20.634,1392049
20.734,1392080
20.834,1392108
20.934,1392137
21.034,1392165
21.134,1392197
21.235,1392227
21.335,1392259
21.435,1392289
21.535,1392319
21.636,1392349
21.736,1392377
21.836,1392407
21.936,1392435
22.036,1392465
22.136,1392495
22.236,1392526
22.336,1392556
22.437,1392587
22.537,1392617
22.637,1392647
22.737,1392677
22.837,1392708
22.938,1392738
23.038,1392769
23.138,1392799
23.238,1392827
23.338,1392857
23.438,1392887
23.538,1392917
23.639,1392951
23.739,1392982
23.839,1393012
23.939,1393042
24.039,1393072
24.140,1393102
24.239,1393132
24.340,1393162
24.440,1393190
24.540,1393220
24.640,1393250
24.740,1393280
24.841,1393310
24.941,1393339
25.041,1393369
25.141,1393399
25.241,1393429
25.341,1393459
25.441,1393489
25.541,1393519
25.641,1393550
25.742,1393580
25.842,1393610
25.942,1393640
26.042,1393670
26.142,1393700
26.243,1393730
26.343,1393761
26.443,1393791
26.543,1393822
26.643,1393852
26.744,1393882
26.844,1393913
26.944,1393943
27.044,1393973
27.144,1394003
27.244,1394034
27.345,1394065
27.445,1394095
27.545,1394125
27.645,1394155
27.745,1394185
27.846,1394219
27.946,1394249
28.046,1394280
28.146,1394310
28.246,1394341
28.346,1394370
28.446,1394401
28.546,1394430
28.647,1394461
28.747,1394491
28.847,1394521
28.948,1394552
29.047,1394581
29.147,1394613
29.248,1394642
29.348,1394672
29.448,1394703
29.548,1394732
29.648,1394761
29.748,1394791
29.849,1394821
29.949,1394851
30.049,1394883
30.149,1394912
30.249,1394941
30.349,1394970
30.449,1394999
30.550,1395029
30.650,1395059
30.750,1395090
30.850,1395120
30.950,1395151
31.050,1395181
31.151,1395212
31.251,1395242
