TO_UM
1461956319
time,tx_packets
0.001,1480408
0.101,1480408
0.201,1480408
0.301,1480408
0.401,1480408
0.502,1480408
0.602,1480408
0.702,1480408
0.802,1480408
0.902,1480408
1.003,1480408
1.103,1480408
1.203,1480408
1.303,1480408
1.404,1480416
1.504,1480441
1.604,1480467
1.704,1480497
1.804,1480525
1.904,1480553
2.005,1480580
2.105,1480606
2.205,1480632
2.305,1480657
2.405,1480682
2.505,1480710
2.605,1480739
2.706,1480770
2.806,1480800
2.906,1480829
3.006,1480858
3.106,1480889
3.207,1480917
3.306,1480947
3.407,1480977
3.507,1481005
3.607,1481034
3.707,1481064
3.807,1481093
3.908,1481123
4.008,1481152
4.108,1481181
4.208,1481208
4.308,1481236
4.409,1481268
4.509,1481298
4.609,1481331
4.709,1481364
4.809,1481393
4.910,1481424
5.010,1481454
5.110,1481487
5.210,1481515
5.310,1481547
5.410,1481577
5.510,1481607
5.611,1481636
5.711,1481667
5.811,1481696
5.911,1481724
6.011,1481753
6.111,1481784
6.211,1481816
6.312,1481844
6.412,1481878
6.512,1481907
6.612,1481935
6.712,1481970
6.813,1482004
6.913,1482034
7.013,1482066
7.113,1482100
7.213,1482132
7.313,1482162
7.413,1482199
7.513,1482235
7.614,1482266
7.714,1482294
7.814,1482328
7.914,1482360
8.014,1482389
8.115,1482419
8.215,1482452
8.315,1482481
8.415,1482510
8.515,1482547
8.615,1482576
8.716,1482606
8.816,1482634
8.916,1482664
9.016,1482695
9.117,1482726
9.216,1482758
9.316,1482787
9.416,1482815
9.516,1482846
9.617,1482879
9.716,1482908
9.817,1482934
9.917,1482965
10.017,1482995
10.118,1483024
10.218,1483059
10.318,1483094
10.418,1483125
10.518,1483153
10.619,1483181
10.719,1483214
10.819,1483248
10.919,1483280
11.019,1483313
11.120,1483345
11.219,1483375
11.319,1483407
11.419,1483438
11.520,1483469
11.620,1483502
11.720,1483537
11.820,1483568
11.920,1483598
12.020,1483633
12.120,1483665
12.221,1483694
12.321,1483722
12.421,1483751
12.521,1483783
12.621,1483816
12.721,1483846
12.822,1483873
12.922,1483901
13.022,1483934
13.122,1483962
13.222,1483989
13.322,1484015
13.422,1484047
13.522,1484077
13.622,1484107
13.722,1484133
13.823,1484162
13.923,1484192
14.023,1484223
14.123,1484255
14.223,1484285
14.323,1484317
14.424,1484348
14.524,1484378
14.624,1484410
14.724,1484442
14.824,1484476
14.925,1484511
15.025,1484546
15.125,1484578
15.225,1484615
15.325,1484650
15.425,1484685
15.525,1484719
15.626,1484754
15.726,1484790
15.826,1484823
15.926,1484856
16.026,1484889
16.126,1484924
16.226,1484957
16.327,1484995
16.427,1485029
16.527,1485060
16.627,1485092
16.727,1485126
16.827,1485156
16.928,1485188
17.028,1485220
17.128,1485252
17.228,1485286
17.328,1485318
17.429,1485352
17.529,1485385
17.629,1485417
17.729,1485450
17.830,1485483
17.930,1485517
18.030,1485551
18.130,1485580
18.230,1485608
18.331,1485641
18.431,1485677
18.531,1485711
18.631,1485744
18.731,1485778
18.832,1485813
18.932,1485843
19.032,1485872
19.132,1485907
19.232,1485939
19.332,1485973
19.433,1486006
19.533,1486039
19.633,1486073
19.733,1486105
19.833,1486138
19.933,1486171
20.034,1486206
20.134,1486239
20.234,1486272
20.334,1486304
20.434,1486337
20.535,1486370
20.635,1486400
20.735,1486427
20.835,1486468
20.935,1486507
21.035,1486540
21.136,1486570
21.236,1486603
21.336,1486636
21.436,1486669
21.536,1486702
21.637,1486737
21.737,1486769
21.837,1486804
21.937,1486839
22.037,1486873
22.138,1486907
22.238,1486940
22.338,1486975
22.438,1487009
22.538,1487043
22.639,1487077
22.739,1487111
22.839,1487145
22.939,1487179
23.039,1487213
23.140,1487248
23.240,1487278
23.340,1487316
23.440,1487350
23.540,1487385
23.641,1487419
23.741,1487453
23.841,1487489
23.941,1487524
24.041,1487561
24.141,1487593
24.241,1487627
24.341,1487661
24.442,1487694
24.542,1487728
24.642,1487761
24.742,1487800
24.842,1487835
24.942,1487868
25.043,1487901
25.143,1487939
25.243,1487973
25.343,1488008
25.443,1488040
25.544,1488074
25.644,1488109
25.744,1488141
25.844,1488175
25.944,1488210
26.044,1488244
26.145,1488281
26.245,1488313
26.345,1488349
26.445,1488377
26.545,1488408
26.645,1488440
26.745,1488475
26.846,1488509
26.946,1488542
27.046,1488575
27.146,1488623
27.246,1488660
27.346,1488701
27.446,1488733
27.547,1488763
27.647,1488795
27.747,1488824
27.847,1488859
27.947,1488893
28.047,1488927
28.147,1488962
28.247,1488996
28.347,1489031
28.447,1489065
28.547,1489098
28.648,1489134
28.748,1489167
28.848,1489202
28.948,1489235
29.048,1489268
29.148,1489305
29.248,1489340
29.348,1489370
29.448,1489409
29.549,1489442
29.649,1489478
29.749,1489516
29.849,1489549
29.949,1489582
30.049,1489613
30.149,1489642
30.249,1489674
30.349,1489709
30.449,1489738
30.549,1489770
30.649,1489803
30.750,1489844
30.850,1489881
30.950,1489917
31.050,1489953
31.150,1489986
31.250,1490022
31.350,1490055
31.450,1490089
31.550,1490122
31.651,1490155
31.751,1490184
31.851,1490206
31.951,1490230
32.051,1490261
32.151,1490296
32.251,1490329
32.351,1490363
32.451,1490400
32.552,1490437
32.652,1490470
32.752,1490503
32.852,1490537
32.952,1490570
33.052,1490604
33.152,1490636
33.253,1490664
33.353,1490703
33.453,1490722
33.553,1490769
33.653,1490803
33.754,1490840
33.854,1490873
33.954,1490905
34.054,1490942
34.154,1490977
34.254,1491011
34.354,1491043
34.454,1491073
34.555,1491103
34.655,1491127
34.755,1491161
34.855,1491191
34.955,1491226
35.055,1491259
35.155,1491291
35.256,1491326
35.356,1491357
35.456,1491386
35.556,1491421
35.656,1491454
35.756,1491489
35.856,1491523
35.957,1491551
36.057,1491579
36.157,1491614
36.257,1491653
36.357,1491687
36.457,1491715
36.557,1491745
36.657,1491773
36.757,1491800
36.858,1491831
36.958,1491865
37.058,1491901
37.158,1491928
37.258,1491957
37.358,1491986
37.458,1492024
37.558,1492052
37.658,1492078
37.758,1492105
37.859,1492132
37.959,1492163
38.059,1492188
38.159,1492214
38.259,1492242
38.359,1492275
38.459,1492306
38.559,1492336
38.660,1492368
38.760,1492401
38.860,1492429
38.960,1492460
39.060,1492487
39.160,1492514
39.260,1492546
39.360,1492578
39.460,1492609
39.561,1492638
39.661,1492668
39.761,1492698
39.861,1492734
39.961,1492762
40.062,1492792
40.162,1492823
40.262,1492854
40.362,1492886
40.462,1492916
40.562,1492949
40.662,1492981
40.762,1493015
40.862,1493042
40.962,1493069
41.062,1493096
41.163,1493126
41.263,1493157
41.363,1493186
41.463,1493216
41.563,1493245
41.663,1493274
41.763,1493303
41.864,1493325
41.964,1493353
42.064,1493378
42.164,1493411
42.264,1493442
42.370,1493475
42.465,1493502
42.565,1493529
42.665,1493559
42.765,1493587
42.865,1493614
42.966,1493643
43.066,1493671
43.166,1493701
43.266,1493730
43.367,1493761
43.466,1493789
43.566,1493819
43.666,1493846
43.766,1493874
43.867,1493903
43.967,1493932
44.067,1493959
44.167,1493986
44.267,1494014
44.367,1494041
44.467,1494069
44.568,1494096
44.668,1494125
44.768,1494152
44.868,1494181
44.968,1494209
45.068,1494239
45.168,1494267
45.269,1494297
45.369,1494327
45.469,1494357
45.569,1494386
45.669,1494415
45.769,1494444
45.869,1494474
45.969,1494502
46.069,1494530
46.170,1494558
46.270,1494585
46.370,1494620
46.470,1494648
46.570,1494677
46.670,1494707
46.770,1494735
46.870,1494763
46.970,1494788
47.071,1494819
47.171,1494847
47.271,1494876
47.371,1494902
47.471,1494929
47.571,1494957
47.671,1494985
47.772,1495015
47.872,1495043
47.972,1495071
48.072,1495100
48.172,1495130
48.272,1495158
48.373,1495186
48.473,1495214
48.573,1495240
48.673,1495269
48.773,1495298
48.874,1495326
48.974,1495356
49.074,1495385
49.174,1495415
49.274,1495445
49.374,1495474
49.474,1495502
49.575,1495531
49.675,1495559
49.775,1495588
49.875,1495619
49.975,1495649
50.075,1495683
50.176,1495712
50.276,1495742
50.376,1495771
50.476,1495801
50.576,1495830
50.676,1495860
50.776,1495888
50.877,1495917
50.977,1495945
51.077,1495973
