TO_UIUC
1461954139
time,tx_packets
0.001,868384
0.101,868384
0.201,868384
0.301,868384
0.401,868384
0.502,868384
0.602,868384
0.702,868384
0.802,868388
0.902,868394
1.003,868406
1.103,868423
1.203,868448
1.303,868468
1.403,868499
1.503,868523
1.603,868552
1.703,868580
1.804,868604
1.904,868623
2.004,868644
2.104,868662
2.204,868682
2.304,868702
2.404,868722
2.505,868742
2.605,868762
2.705,868782
2.806,868802
2.906,868825
3.006,868847
3.106,868868
3.207,868889
3.307,868909
3.407,868929
3.507,868949
3.608,868969
3.708,868989
3.808,869009
3.908,869029
4.008,869049
4.109,869069
4.209,869089
4.309,869108
4.409,869129
4.510,869149
4.609,869170
4.710,869190
4.810,869209
4.910,869230
5.010,869253
5.110,869273
5.210,869293
5.310,869313
5.410,869333
5.510,869353
5.611,869373
5.711,869393
5.811,869413
5.911,869435
6.011,869455
6.111,869475
6.212,869495
6.312,869518
6.412,869538
6.512,869558
6.612,869578
6.713,869598
6.813,869619
6.913,869639
7.013,869660
7.113,869683
7.213,869703
7.313,869724
7.414,869744
7.514,869765
7.614,869785
7.714,869807
7.814,869827
7.914,869847
8.014,869867
8.115,869887
8.215,869907
8.315,869929
8.415,869949
8.515,869969
8.615,869989
8.715,870009
8.815,870029
8.916,870052
9.016,870072
9.116,870092
9.216,870112
9.316,870132
9.416,870153
9.516,870173
9.617,870193
9.717,870213
9.817,870236
9.917,870256
10.017,870276
10.117,870298
10.218,870318
10.318,870338
10.418,870358
10.518,870379
10.618,870399
10.718,870422
10.818,870442
10.919,870462
11.019,870481
11.119,870496
11.219,870516
11.319,870533
11.419,870556
11.519,870578
11.619,870598
11.719,870619
11.819,870636
11.920,870654
12.020,870672
12.120,870691
12.220,870708
12.320,870725
12.420,870740
12.520,870757
12.620,870772
12.721,870791
12.821,870810
12.921,870829
13.021,870844
13.121,870861
13.221,870873
13.322,870893
13.422,870906
13.522,870927
13.622,870943
13.722,870961
13.822,870978
13.923,870995
14.023,871011
14.123,871028
14.223,871044
14.323,871062
14.424,871080
14.524,871095
14.624,871118
14.724,871134
14.824,871150
14.924,871166
15.024,871181
15.125,871197
15.225,871212
15.325,871228
15.425,871244
15.525,871261
15.625,871279
15.726,871296
15.826,871313
15.926,871329
16.026,871345
16.126,871361
16.226,871377
16.327,871394
16.427,871409
16.527,871426
16.627,871441
16.727,871460
16.827,871475
16.928,871492
17.028,871508
17.128,871524
17.228,871539
17.328,871556
17.428,871572
17.528,871588
17.629,871604
17.729,871620
17.829,871636
17.929,871654
18.029,871670
18.129,871685
18.230,871701
18.330,871716
18.430,871734
18.530,871753
18.630,871768
18.730,871785
18.830,871800
18.931,871816
19.031,871831
19.131,871847
19.231,871857
19.331,871882
19.431,871900
19.531,871914
19.632,871935
19.732,871953
19.832,871968
19.932,871990
20.032,872006
20.133,872021
20.233,872036
20.333,872051
20.433,872067
20.533,872082
20.633,872099
20.733,872114
20.834,872129
20.934,872146
21.034,872161
21.134,872176
21.234,872193
21.335,872208
21.435,872221
21.535,872239
21.635,872256
21.735,872270
21.835,872288
21.936,872304
22.036,872321
