TO_UIUC
1461966581
time,tx_packets
0.001,32326
0.101,32326
0.201,32326
0.301,32326
0.402,32326
0.502,32327
0.602,32327
0.702,32327
0.802,32327
0.903,32327
1.003,32327
1.103,32327
1.203,32327
1.304,32327
1.404,32327
1.504,32327
1.604,32327
1.705,32327
1.805,32327
1.905,32327
2.005,32327
2.105,32327
2.206,32327
2.306,32327
2.406,32327
2.506,32327
2.607,32327
2.707,32327
2.807,32327
2.907,32327
3.007,32327
3.108,32328
3.208,32328
3.308,32328
3.408,32328
3.508,32329
3.609,32329
3.709,32329
3.809,32329
3.909,32329
4.010,32331
4.110,32331
4.210,32332
4.310,32332
4.410,32333
4.510,32333
4.611,32333
4.711,32334
4.811,32334
4.912,32334
5.012,32334
5.112,32334
5.212,32334
5.313,32334
5.413,32334
5.513,32334
5.614,32334
5.714,32334
5.814,32334
5.914,32334
6.015,32334
6.115,32334
6.215,32334
6.316,32334
6.416,32334
6.516,32334
6.616,32334
6.717,32334
6.817,32334
6.917,32334
7.018,32334
7.118,32334
7.218,32334
7.318,32334
7.419,32334
7.519,32335
7.619,32335
7.719,32336
7.820,32336
7.920,32336
8.020,32336
8.120,32336
8.221,32336
8.321,32336
8.421,32336
8.521,32336
8.622,32336
8.722,32336
8.822,32337
8.922,32337
9.023,32338
9.123,32338
9.223,32338
9.323,32338
9.424,32338
9.524,32338
9.624,32338
9.725,32338
9.825,32338
9.925,32338
10.026,32338
10.126,32338
10.226,32338
10.326,32338
10.427,32338
10.527,32338
10.627,32338
10.728,32338
10.828,32338
10.930,32338
11.029,32338
11.129,32338
11.229,32338
11.329,32338
11.430,32338
11.529,32338
11.629,32338
11.730,32338
11.830,32339
11.930,32339
12.030,32339
12.131,32339
12.231,32339
12.331,32340
12.431,32340
12.532,32341
12.632,32343
12.732,32343
12.832,32343
12.933,32343
13.033,32344
13.133,32344
13.233,32345
13.333,32345
13.434,32345
13.534,32345
13.634,32345
13.734,32345
13.834,32345
13.935,32345
14.035,32345
14.135,32345
14.235,32345
14.336,32345
14.436,32345
14.536,32345
14.636,32345
14.737,32345
14.837,32345
14.937,32345
15.038,32345
15.138,32345
15.238,32345
15.339,32345
15.439,32345
15.539,32345
15.639,32345
15.740,32345
15.840,32345
15.940,32345
16.040,32346
16.141,32346
16.241,32346
16.341,32346
16.441,32346
16.541,32346
16.642,32347
16.742,32348
16.842,32348
16.943,32348
17.043,32348
17.143,32348
17.243,32349
17.344,32349
17.444,32349
17.544,32349
17.645,32350
17.745,32350
17.845,32350
17.945,32350
18.046,32351
18.146,32351
18.246,32351
18.346,32351
18.447,32351
18.547,32351
18.647,32351
18.748,32351
18.848,32351
18.948,32351
19.048,32351
19.148,32351
19.249,32351
19.349,32351
19.449,32351
19.550,32351
19.650,32351
19.750,32351
19.850,32351
19.951,32351
20.051,32351
20.151,32351
20.252,32351
20.352,32352
20.452,32352
20.553,32352
20.653,32352
20.753,32352
20.853,32352
20.953,32353
21.054,32353
21.154,32354
21.254,32354
21.355,32354
21.455,32354
21.555,32354
21.655,32355
21.755,32355
21.856,32356
21.956,32356
22.056,32356
22.156,32356
22.257,32356
22.357,32356
22.457,32356
22.558,32356
22.658,32356
22.758,32356
22.858,32356
22.959,32356
23.059,32356
23.159,32356
23.260,32356
23.360,32356
23.460,32356
23.560,32356
23.661,32356
23.761,32356
23.861,32356
23.961,32356
24.062,32356
24.162,32356
24.262,32356
24.362,32356
24.463,32356
24.563,32356
24.663,32357
24.763,32357
24.864,32357
24.964,32357
25.064,32357
25.165,32358
25.265,32358
25.365,32358
25.465,32358
25.565,32358
25.666,32358
25.766,32359
25.866,32359
25.966,32359
26.067,32360
26.167,32360
26.267,32360
26.367,32360
26.468,32360
26.568,32360
26.668,32360
26.769,32360
26.869,32360
26.969,32360
27.069,32360
27.170,32360
27.270,32360
27.370,32360
27.470,32360
27.571,32360
27.671,32360
27.771,32360
27.871,32360
27.972,32360
28.072,32360
28.172,32360
28.272,32360
28.373,32360
28.473,32360
28.573,32360
28.674,32360
28.774,32360
28.874,32360
28.974,32360
29.075,32361
29.175,32361
29.275,32362
29.375,32363
29.476,32363
29.576,32363
29.680,32363
29.776,32363
29.876,32364
29.977,32364
30.077,32364
30.178,32364
30.278,32365
30.378,32365
30.478,32365
30.578,32365
30.679,32365
30.779,32365
30.879,32365
30.979,32365
31.079,32365
31.180,32365
31.280,32365
31.380,32365
31.480,32365
31.580,32365
31.681,32365
31.781,32365
31.881,32365
31.981,32365
32.081,32365
32.182,32365
32.282,32365
32.382,32365
32.482,32365
32.582,32365
32.683,32365
32.783,32365
32.883,32365
32.983,32365
33.083,32365
33.183,32365
33.284,32366
33.384,32366
33.484,32366
33.584,32366
33.685,32366
33.785,32367
33.885,32367
33.985,32368
34.085,32368
34.185,32368
34.286,32368
34.386,32368
34.486,32368
34.586,32369
34.686,32369
34.787,32369
34.887,32369
34.987,32369
35.087,32369
35.187,32369
35.288,32369
35.388,32369
35.488,32369
35.588,32369
35.689,32369
35.789,32369
35.889,32369
35.989,32369
36.089,32369
36.189,32369
36.290,32369
36.390,32369
36.490,32369
36.590,32369
36.691,32369
36.791,32369
36.891,32369
36.991,32369
37.091,32369
37.192,32369
37.292,32369
37.392,32369
37.492,32369
37.592,32369
37.693,32370
37.793,32370
37.893,32370
37.993,32370
38.093,32370
38.193,32371
38.293,32371
38.394,32371
38.494,32371
38.594,32371
38.694,32371
38.794,32371
38.895,32372
38.995,32372
39.095,32372
39.195,32372
39.295,32372
39.396,32372
39.496,32372
39.596,32372
39.697,32372
39.796,32372
39.897,32372
39.997,32372
40.097,32372
40.197,32374
40.297,32374
40.398,32375
40.498,32375
40.598,32375
40.698,32375
40.798,32375
40.898,32375
40.999,32375
41.099,32375
41.199,32375
41.299,32375
41.400,32375
41.500,32375
41.600,32375
41.701,32375
41.801,32375
41.900,32375
42.001,32375
42.101,32375
42.201,32376
42.301,32376
42.402,32376
42.502,32379
42.602,32380
42.702,32381
42.802,32381
42.903,32381
43.003,32382
43.103,32382
43.203,32382
43.303,32382
43.404,32382
43.504,32382
43.604,32382
43.705,32382
43.805,32382
