TO_UM
1461966581
time,tx_packets
0.001,31641
0.101,31641
0.201,31642
0.301,31642
0.401,31642
0.502,31642
0.602,31642
0.702,31642
0.802,31642
0.902,31642
1.003,31642
1.103,31642
1.203,31642
1.303,31642
1.403,31642
1.503,31642
1.604,31642
1.704,31642
1.804,31642
1.905,31642
2.005,31642
2.105,31642
2.205,31642
2.305,31642
2.406,31642
2.506,31642
2.606,31642
2.706,31642
2.806,31642
2.907,31642
3.007,31643
3.107,31644
3.207,31644
3.308,31644
3.408,31644
3.508,31645
3.608,31648
3.708,31650
3.808,31650
3.909,31651
4.009,31651
4.109,31651
4.209,31652
4.309,31652
4.410,31653
4.510,31653
4.610,31653
4.710,31653
4.811,31653
4.911,31653
5.011,31653
5.111,31653
5.212,31653
5.312,31653
5.412,31653
5.513,31653
5.613,31653
5.713,31654
5.813,31654
5.914,31654
6.014,31654
6.114,31654
6.215,31654
6.315,31654
6.415,31654
6.516,31654
6.615,31654
6.716,31654
6.816,31654
6.917,31654
7.017,31654
7.117,31654
7.217,31656
7.317,31656
7.418,31656
7.518,31656
7.619,31656
7.719,31657
7.819,31660
7.919,31661
8.020,31661
8.120,31662
8.220,31662
8.320,31663
8.420,31663
8.521,31663
8.621,31663
8.721,31663
8.821,31664
8.922,31664
9.022,31664
9.122,31664
9.223,31664
9.323,31670
9.423,31671
9.523,31671
9.624,31671
9.724,31671
9.825,31671
9.925,31671
10.025,31671
10.125,31671
10.226,31671
10.326,31671
10.426,31671
10.526,31671
10.627,31671
10.727,31671
10.827,31671
10.928,31671
11.028,31671
11.128,31671
11.229,31672
11.328,31672
11.429,31672
11.529,31673
11.629,31673
11.729,31673
11.829,31673
11.929,31675
12.030,31675
12.130,31675
12.230,31676
12.331,31676
12.431,31676
12.531,31676
12.631,31676
12.732,31676
12.832,31676
12.932,31676
13.032,31677
13.132,31678
13.233,31678
13.333,31678
13.433,31678
13.533,31678
13.633,31678
13.734,31678
13.834,31679
13.934,31679
14.034,31679
14.135,31679
14.235,31679
14.335,31679
14.435,31679
14.535,31679
14.636,31679
14.736,31679
14.836,31679
14.937,31679
15.037,31679
15.137,31679
15.238,31679
15.338,31679
15.438,31679
15.538,31679
15.638,31679
15.739,31681
15.839,31681
15.939,31681
16.040,31681
16.140,31681
16.240,31681
16.340,31686
16.440,31686
16.541,31686
16.641,31686
16.741,31686
16.841,31686
16.942,31686
17.042,31686
17.142,31686
17.242,31687
17.343,31688
17.443,31688
17.543,31688
17.644,31688
17.744,31688
17.844,31688
17.945,31688
18.045,31688
18.145,31688
18.245,31688
18.346,31688
18.446,31688
18.546,31688
18.647,31688
18.747,31688
18.847,31688
18.948,31688
19.048,31688
19.148,31688
19.248,31688
19.348,31688
19.449,31688
19.549,31688
19.649,31688
19.750,31688
19.850,31688
19.950,31689
20.050,31689
20.151,31689
20.251,31690
20.351,31690
20.452,31690
20.552,31690
20.652,31696
20.752,31697
20.852,31697
20.953,31697
21.053,31697
21.153,31697
21.254,31697
21.354,31697
21.454,31697
21.555,31697
21.655,31698
21.755,31698
21.855,31699
21.955,31699
22.056,31699
22.156,31699
22.256,31699
22.356,31699
22.457,31699
22.557,31699
22.657,31699
22.757,31699
22.858,31699
22.958,31699
23.058,31699
23.159,31699
23.259,31699
23.359,31699
23.459,31699
23.559,31699
23.660,31699
23.760,31699
23.860,31699
23.961,31699
24.061,31699
24.161,31699
24.261,31699
24.362,31699
24.462,31700
24.562,31700
24.663,31703
24.763,31704
24.863,31704
24.963,31704
25.063,31704
25.164,31704
25.264,31704
25.364,31704
25.465,31704
25.565,31704
25.665,31704
25.765,31705
25.866,31705
25.966,31705
26.066,31705
26.166,31705
26.266,31705
26.366,31706
26.467,31706
26.567,31706
26.668,31706
26.768,31706
26.868,31706
26.969,31706
27.069,31706
27.169,31706
27.269,31706
27.369,31706
27.470,31706
27.570,31706
27.670,31706
27.771,31706
27.871,31706
27.971,31706
28.071,31706
28.171,31706
28.272,31706
28.372,31706
28.472,31706
28.573,31706
28.673,31707
28.773,31707
28.873,31707
28.974,31707
29.074,31714
29.174,31715
29.274,31715
29.375,31715
29.475,31715
29.575,31715
29.680,31715
29.776,31715
29.876,31715
29.976,31716
30.076,31716
30.177,31716
30.277,31716
30.377,31716
30.477,31716
30.578,31716
30.681,31717
30.778,31717
30.878,31717
30.978,31717
31.079,31717
31.178,31717
31.278,31717
31.379,31717
31.479,31717
31.580,31717
31.681,31717
31.779,31717
31.879,31717
31.980,31717
32.080,31717
32.181,31717
32.280,31717
32.380,31717
32.481,31717
32.581,31717
32.681,31718
32.781,31718
32.881,31719
32.981,31719
33.082,31719
33.182,31719
33.282,31723
33.383,31723
33.482,31723
33.583,31723
33.683,31723
33.783,31723
33.883,31723
33.983,31723
34.083,31724
34.184,31724
34.284,31724
34.384,31724
34.484,31724
34.584,31724
34.685,31724
34.785,31724
34.885,31724
34.985,31724
35.086,31725
35.186,31725
35.286,31725
35.386,31725
35.487,31725
35.587,31725
35.687,31726
35.787,31726
35.887,31726
35.987,31726
36.088,31726
36.188,31726
36.288,31726
36.388,31726
36.488,31726
36.589,31726
36.689,31726
36.789,31726
36.889,31726
36.989,31726
37.090,31726
37.190,31727
37.290,31727
37.390,31727
37.491,31727
37.591,31728
37.691,31728
37.791,31730
37.892,31730
37.992,31730
38.092,31730
38.192,31731
38.293,31735
38.393,31735
38.493,31735
38.593,31735
38.694,31735
38.794,31735
38.894,31735
38.994,31735
39.094,31735
39.195,31735
39.295,31735
39.395,31735
39.495,31736
39.595,31736
39.696,31736
39.796,31736
39.896,31736
39.996,31736
40.096,31736
40.197,31736
40.297,31736
40.397,31736
40.497,31736
40.597,31736
40.697,31736
40.798,31736
40.898,31736
40.998,31736
41.098,31736
41.198,31736
41.299,31737
41.399,31737
41.499,31737
41.599,31737
41.699,31737
41.800,31737
41.900,31739
42.000,31740
42.100,31740
42.201,31740
42.301,31740
42.401,31740
42.501,31741
42.601,31744
42.701,31744
42.802,31744
42.902,31744
43.002,31744
43.102,31744
43.202,31744
43.303,31744
43.403,31744
43.503,31744
43.603,31744
43.703,31744
43.804,31744
43.904,31744
44.004,31745
44.104,31745
44.205,31745
44.305,31745
44.405,31745
44.505,31745
44.605,31745
44.706,31745
44.806,31745
44.906,31745
45.006,31745
45.106,31745
45.207,31745
45.307,31745
45.407,31745
45.507,31746
45.607,31746
45.708,31746
45.808,31746
45.908,31746
46.008,31746
46.108,31746
46.209,31748
46.309,31750
46.409,31750
46.509,31751
46.609,31751
46.710,31751
46.810,31751
46.910,31751
47.010,31752
47.110,31755
47.211,31755
47.311,31755
47.411,31755
47.511,31755
47.611,31755
47.712,31755
47.812,31755
47.912,31755
48.012,31755
48.113,31755
48.213,31755
48.313,31755
48.413,31756
48.514,31756
48.614,31756
48.714,31756
48.814,31756
48.914,31756
49.015,31756
49.115,31756
49.215,31756
49.315,31756
49.416,31756
49.516,31756
49.616,31756
49.717,31756
49.817,31757
49.917,31757
50.017,31757
50.118,31757
50.218,31757
50.318,31758
50.418,31758
50.519,31760
50.619,31760
50.719,31760
50.820,31760
50.920,31760
51.020,31761
51.120,31765
51.221,31766
51.321,31766
51.421,31766
51.522,31766
51.622,31766
51.722,31766
51.823,31766
51.923,31766
52.023,31766
52.123,31766
52.223,31766
52.324,31766
52.424,31766
52.524,31767
52.624,31767
52.725,31767
52.825,31767
52.925,31767
53.026,31767
53.126,31767
53.226,31767
53.327,31767
53.427,31767
53.527,31767
53.627,31767
53.728,31767
53.827,31767
53.928,31767
54.028,31768
54.128,31768
54.229,31768
54.329,31768
54.429,31768
54.529,31768
54.630,31771
54.730,31771
54.830,31771
54.930,31771
55.030,31771
55.130,31771
55.231,31772
55.331,31777
55.431,31778
55.531,31778
55.632,31778
55.732,31778
55.832,31778
55.933,31778
56.032,31779
56.133,31779
56.233,31779
56.333,31779
56.433,31779
56.534,31779
56.634,31779
56.734,31779
56.834,31780
56.935,31780
57.035,31780
57.135,31780
57.235,31780
57.335,31780
57.436,31780
57.536,31781
57.636,31781
57.736,31781
57.836,31781
57.937,31781
58.037,31781
58.137,31781
58.237,31781
58.337,31781
58.438,31781
58.538,31782
58.639,31782
58.739,31782
58.839,31782
58.939,31784
59.039,31785
59.140,31785
59.240,31785
59.340,31785
59.440,31786
59.540,31786
59.640,31786
59.741,31786
59.841,31786
59.941,31790
60.041,31791
60.141,31791
60.242,31791
60.342,31791
60.442,31791
60.542,31791
60.643,31791
60.743,31791
60.843,31791
60.943,31791
61.043,31791
61.144,31792
61.244,31792
61.344,31792
61.444,31792
61.545,31792
61.645,31792
61.745,31792
61.845,31792
61.945,31792
62.046,31792
62.146,31792
62.246,31792
62.346,31792
62.446,31792
62.547,31792
62.647,31792
62.747,31792
62.847,31793
62.948,31793
63.048,31795
63.148,31795
63.248,31795
63.348,31796
63.449,31796
63.549,31798
63.649,31798
63.749,31798
63.849,31798
63.950,31798
64.050,31798
64.150,31798
64.250,31800
64.350,31800
64.451,31800
64.551,31800
64.651,31800
64.751,31800
64.851,31800
64.952,31800
65.052,31800
65.152,31800
65.252,31800
65.353,31800
65.453,31800
65.553,31801
65.653,31801
65.754,31802
65.854,31802
65.954,31802
66.054,31802
66.154,31802
66.255,31802
66.355,31802
66.455,31802
66.555,31802
66.655,31802
66.756,31802
66.856,31802
66.956,31802
67.056,31802
67.156,31802
67.257,31802
67.357,31802
67.457,31804
67.557,31805
67.658,31807
67.758,31807
67.858,31807
67.958,31807
68.058,31807
68.159,31807
68.259,31807
68.359,31807
68.459,31807
68.559,31807
68.660,31811
68.760,31811
68.860,31811
68.960,31811
69.060,31811
69.161,31811
69.261,31816
69.361,31818
69.461,31818
69.562,31818
69.662,31819
69.762,31819
69.862,31819
69.962,31819
70.063,31819
70.163,31819
70.263,31819
70.363,31819
70.464,31819
70.564,31819
70.664,31819
70.764,31819
70.864,31819
70.965,31819
71.065,31819
71.165,31819
71.265,31819
71.365,31819
71.466,31819
71.566,31819
71.666,31819
71.766,31823
71.866,31824
71.967,31824
72.067,31824
72.167,31824
72.268,31824
72.368,31824
72.468,31824
72.568,31824
72.668,31824
72.768,31824
72.869,31824
72.969,31828
73.069,31828
73.169,31828
73.270,31828
73.370,31828
73.470,31828
73.570,31828
73.670,31828
73.771,31828
73.871,31828
73.971,31828
74.071,31829
74.171,31829
74.272,31829
74.372,31829
74.472,31829
74.572,31829
74.673,31829
74.773,31829
74.873,31829
74.973,31829
75.073,31829
75.174,31829
75.274,31829
75.374,31829
75.474,31829
75.574,31829
75.675,31829
75.775,31829
75.875,31829
75.975,31833
76.076,31834
76.176,31834
76.276,31834
76.376,31834
76.476,31834
76.577,31834
76.677,31834
76.777,31834
76.877,31834
76.977,31834
77.078,31834
77.178,31834
77.278,31839
77.378,31839
77.478,31839
77.579,31839
77.679,31839
77.779,31839
77.879,31839
77.979,31839
78.080,31839
78.180,31840
78.280,31840
78.380,31840
78.481,31840
78.581,31840
78.681,31840
78.781,31840
78.881,31840
78.982,31840
79.082,31841
79.182,31841
79.282,31841
79.382,31841
79.483,31841
79.583,31841
79.683,31841
79.783,31841
79.883,31841
79.984,31841
80.084,31842
80.184,31846
80.284,31846
80.384,31846
80.485,31846
80.585,31846
80.685,31846
80.785,31846
80.885,31846
80.986,31846
81.086,31846
81.186,31846
81.286,31846
81.386,31846
81.487,31851
81.587,31852
81.687,31852
81.787,31852
81.888,31852
81.988,31852
82.088,31852
82.188,31852
82.289,31853
82.389,31853
82.489,31853
82.589,31853
82.689,31853
82.790,31853
82.890,31853
82.990,31853
83.090,31853
83.190,31853
83.291,31853
83.391,31853
83.491,31853
83.591,31853
83.692,31853
83.792,31853
83.892,31853
83.992,31853
84.092,31853
84.193,31853
84.293,31853
84.393,31853
84.493,31853
84.593,31856
84.694,31856
84.794,31858
84.894,31858
84.994,31858
85.095,31858
85.195,31858
85.295,31860
85.395,31865
85.495,31872
85.595,31873
85.696,31873
85.796,31873
85.896,31885
85.997,31887
86.097,31889
86.197,31889
86.297,31890
86.398,31891
86.498,31892
86.598,31892
86.698,31892
86.798,31892
86.899,31892
86.999,31892
87.099,31892
87.199,31892
87.299,31893
87.400,31893
87.500,31893
87.600,31893
87.700,31893
87.800,31893
87.901,31893
88.001,31893
88.101,31893
88.201,31893
88.301,31893
88.402,31893
88.502,31893
88.602,31893
88.702,31893
88.803,31893
88.903,31893
89.003,31893
89.103,31893
89.203,31893
89.304,31893
89.404,31893
89.504,31893
89.604,31893
89.704,31893
89.805,31893
89.905,31896
90.005,31899
90.105,31899
90.205,31899
90.306,31900
90.406,31900
90.506,31900
90.606,31900
90.707,31902
90.807,31902
90.907,31902
91.007,31902
91.107,31902
91.208,31902
91.308,31902
91.408,31902
91.508,31902
91.608,31902
91.708,31902
91.809,31902
91.909,31902
92.009,31902
92.109,31902
92.210,31902
92.310,31902
92.410,31902
92.510,31902
92.610,31903
92.711,31903
92.811,31903
92.911,31903
93.011,31903
93.112,31903
93.212,31903
93.312,31903
93.412,31903
93.512,31903
93.613,31903
93.713,31903
93.813,31903
93.913,31903
94.013,31904
94.114,31909
94.214,31910
94.314,31910
94.414,31910
94.515,31910
94.615,31911
94.715,31911
94.815,31911
94.916,31911
95.016,31913
95.116,31914
95.216,31914
95.316,31914
95.416,31914
95.516,31914
95.617,31914
95.717,31914
95.817,31914
95.917,31914
96.018,31914
96.118,31914
96.218,31915
96.318,31923
96.419,31928
96.519,31930
96.619,31931
96.719,31932
96.819,31932
96.919,31933
97.020,31943
97.120,31943
97.220,31943
97.320,31943
97.420,31943
97.521,31943
97.621,31943
97.721,31943
97.821,31943
97.922,31943
98.022,31943
98.122,31943
98.222,31943
98.322,31943
98.422,31943
98.523,31943
98.623,31943
98.723,31943
98.824,31943
98.924,31943
99.024,31943
99.124,31943
99.224,31943
99.325,31943
99.425,31943
99.525,31943
99.625,31943
99.725,31943
99.826,31943
99.926,31943
100.026,31943
100.126,31943
100.227,31943
100.327,31943
100.428,31943
100.527,31943
100.627,31950
100.727,31953
100.828,31953
100.928,31954
101.028,31954
101.128,31955
101.229,31956
101.329,31956
101.428,31956
101.529,31956
101.629,31956
101.729,31956
101.830,31956
101.930,31956
102.030,31956
102.131,31956
102.231,31956
102.331,31956
102.431,31956
102.531,31956
102.632,31956
102.732,31956
102.832,31956
102.932,31956
103.033,31956
103.133,31956
103.233,31956
103.333,31956
103.433,31956
103.534,31956
103.634,31956
103.734,31956
103.834,31956
103.935,31956
104.035,31956
104.135,31956
104.235,31956
104.335,31956
104.436,31956
104.536,31956
104.636,31956
104.736,31956
104.836,31958
104.937,31960
105.037,31961
105.137,31961
105.237,31961
105.337,31963
105.438,31963
105.538,31963
105.638,31963
105.738,31963
105.838,31963
105.939,31963
106.039,31963
106.139,31963
106.239,31963
106.339,31963
106.440,31963
106.540,31963
106.640,31963
106.740,31963
