TO_CLIENT
1461965144
time,tx_packets
0.001,10
0.101,10
0.201,10
0.302,10
0.402,10
0.502,10
0.602,10
0.703,10
0.803,11
0.903,11
1.003,11
1.103,16
1.204,21
1.304,26
1.404,31
1.504,36
1.605,41
1.705,46
1.806,51
1.906,56
2.006,61
2.106,66
2.207,71
2.307,76
2.407,81
2.507,86
2.607,91
2.708,96
2.808,101
2.909,106
3.009,112
3.109,117
3.209,122
3.309,127
3.410,132
3.510,137
3.610,142
3.710,147
3.811,152
3.910,157
4.011,162
4.111,167
4.211,172
4.311,177
4.412,182
4.512,187
4.612,191
4.712,197
4.813,202
4.913,203
5.013,212
5.114,217
5.214,222
5.314,227
5.414,232
5.514,237
5.615,242
5.715,247
5.815,252
5.915,257
6.016,262
6.116,268
6.216,273
6.316,278
6.417,283
6.517,288
6.617,293
6.717,298
6.818,303
6.918,308
7.019,313
7.118,318
7.219,323
7.319,328
7.419,333
7.520,338
7.620,343
7.720,348
7.820,353
7.921,358
8.021,363
8.121,368
8.221,373
8.322,378
8.422,383
8.522,388
8.622,393
8.722,398
8.823,403
8.923,408
9.023,413
9.123,418
9.224,423
9.324,428
9.424,433
9.524,438
9.625,443
9.725,448
9.825,453
9.925,458
10.026,463
10.126,468
10.226,473
10.326,478
10.426,483
10.527,488
10.627,493
10.728,498
10.828,503
10.928,508
11.028,514
11.128,514
11.229,514
11.329,514
11.429,514
11.529,514
11.630,514
11.730,514
11.830,514
11.931,514
12.031,514
12.131,514
12.231,514
12.332,514
12.432,514
12.532,514
12.632,514
12.733,514
12.833,514
12.933,514
13.033,514
13.133,514
13.234,514
13.334,514
13.434,514
13.535,514
13.635,514
13.735,514
13.835,514
13.936,514
14.036,514
14.136,514
14.236,514
14.337,514
14.437,514
14.537,514
14.637,514
14.738,514
14.838,514
14.938,514
15.038,514
15.139,514
15.239,514
15.339,514
15.439,514
15.540,514
15.640,514
15.740,514
15.841,514
15.941,514
16.041,514
16.141,514
16.242,514
16.342,514
16.442,514
16.542,514
16.643,514
16.743,514
16.843,514
16.943,514
17.044,514
17.143,514
17.244,514
17.344,514
17.444,514
17.544,514
17.645,514
17.745,514
17.845,514
17.945,514
18.048,514
18.146,514
18.246,514
18.346,514
18.446,514
18.547,514
18.647,514
18.747,514
18.848,514
18.948,514
19.048,514
19.148,514
19.248,514
19.349,514
19.449,514
19.549,514
19.650,514
19.750,514
19.850,514
19.950,514
20.051,514
20.151,514
20.251,514
20.351,514
20.452,514
20.552,514
20.652,514
20.752,514
20.853,514
20.953,514
21.053,515
21.153,515
21.254,515
21.354,515
21.454,515
21.555,515
21.655,515
21.755,515
21.855,515
21.956,515
22.056,515
22.156,515
22.257,515
22.357,515
22.457,515
22.557,515
22.658,515
22.758,515
22.859,515
22.958,515
23.059,515
23.159,515
23.259,515
23.360,515
23.460,515
23.560,515
23.661,515
23.761,515
23.861,515
23.961,515
24.062,515
24.162,515
24.262,515
24.362,515
24.462,515
24.563,515
24.663,515
24.763,515
24.863,515
24.963,515
25.064,515
25.164,515
25.264,515
25.364,515
25.464,515
25.565,515
25.665,515
25.765,515
25.865,515
25.965,515
26.066,515
26.166,515
26.266,515
26.367,515
26.467,515
26.567,515
26.667,515
26.767,515
26.867,515
26.968,515
27.068,515
27.168,515
27.268,515
27.368,515
27.468,515
27.569,515
27.669,515
27.769,515
27.869,515
27.970,515
28.070,515
28.170,515
28.270,515
28.370,515
28.470,515
28.571,515
28.671,515
28.771,515
28.871,515
28.971,515
29.072,515
29.172,515
29.272,515
29.372,515
29.472,515
29.573,515
29.673,515
29.773,515
29.874,515
29.973,515
30.074,515
30.174,515
30.274,515
30.374,515
30.474,515
30.575,515
30.675,515
30.775,515
30.875,515
30.975,515
31.076,515
31.176,515
31.276,515
31.376,515
31.477,515
31.577,515
31.677,515
31.777,515
31.877,515
31.977,515
32.078,515
32.178,515
32.278,515
32.378,515
32.478,515
32.579,515
32.679,515
32.779,515
32.879,515
32.980,515
33.080,515
33.180,515
33.280,515
33.380,515
33.480,515
33.581,515
33.681,515
33.781,515
33.881,515
33.981,515
34.082,515
34.182,515
34.282,515
34.382,515
34.482,515
34.583,515
34.683,515
34.783,515
34.883,515
34.984,515
35.084,515
35.184,515
35.284,515
35.384,515
35.484,515
35.585,515
35.685,515
35.785,515
35.885,515
35.986,515
36.086,515
36.186,515
36.286,515
36.386,515
36.486,515
36.587,515
36.687,515
36.787,515
36.887,515
36.987,515
37.087,515
37.188,515
37.288,515
37.388,515
37.488,515
37.589,515
37.689,515
37.789,515
37.889,515
37.989,515
38.090,515
38.190,515
38.290,515
38.390,515
38.491,515
38.591,515
38.691,515
38.791,515
38.891,515
38.991,515
39.092,515
39.192,515
39.292,515
39.392,515
39.492,515
39.593,515
39.693,515
39.793,515
39.893,515
39.993,515
40.094,515
40.194,515
40.295,515
40.394,515
40.494,515
40.595,515
40.695,515
40.795,515
40.896,515
40.995,515
41.096,515
41.196,515
41.296,516
41.396,516
41.497,516
41.597,516
41.697,516
41.797,516
41.897,516
41.997,516
42.097,516
42.198,516
42.298,516
42.398,516
42.498,516
42.598,516
42.699,516
42.799,516
42.899,516
42.999,516
43.100,516
43.200,516
43.300,516
43.400,516
43.500,516
43.601,516
43.700,516
43.801,516
43.901,516
44.001,516
44.101,516
44.202,516
44.302,516
44.402,516
44.502,516
44.603,516
44.702,516
44.803,516
44.903,516
45.003,516
45.104,516
45.204,516
45.304,516
45.404,516
45.504,516
45.604,516
45.704,516
45.805,516
45.905,516
46.005,516
46.105,516
46.205,516
46.306,516
46.406,516
46.506,516
46.606,516
46.706,516
46.807,516
46.907,516
47.007,516
47.108,516
47.207,516
47.308,516
47.408,516
47.508,516
47.608,516
47.708,516
47.808,516
47.909,516
48.009,516
48.109,516
48.210,516
48.310,516
48.410,516
48.510,516
48.611,516
48.710,516
48.811,516
48.911,516
49.011,516
49.111,516
49.211,516
49.311,516
49.412,516
49.512,516
49.612,516
49.713,516
49.813,516
49.913,516
50.013,516
50.113,516
50.213,516
50.314,516
50.414,516
50.514,516
50.614,516
50.714,516
50.815,516
50.915,516
51.015,516
51.115,516
51.216,516
51.316,516
51.416,516
51.516,516
51.616,516
51.717,516
52.817,516
52.917,516
53.017,516
53.117,516
53.217,516
53.317,516
53.418,516
53.518,516
53.618,516
53.718,516
53.819,516
53.919,516
54.019,516
54.119,516
54.219,516
54.319,516
54.420,516
54.520,516
54.620,516
54.720,516
54.820,516
54.921,516
55.021,516
55.121,516
55.221,516
55.321,516
55.421,516
55.522,516
55.622,516
55.722,516
55.822,516
55.923,516
56.023,516
56.123,516
56.223,516
56.323,516
56.424,516
56.524,516
56.624,516
56.724,516
56.824,516
56.925,516
57.025,516
57.125,516
57.225,516
57.326,516
57.426,516
57.526,516
57.626,516
57.726,516
57.827,516
57.927,516
58.027,516
58.127,516
58.227,516
58.327,516
58.428,516
58.528,516
58.628,516
58.728,516
58.829,516
58.929,516
59.029,516
59.129,516
59.229,516
59.329,516
59.430,516
59.530,516
59.630,516
59.730,516
59.831,516
59.931,516
60.031,516
60.131,516
60.231,516
60.331,516
60.432,516
60.532,516
60.632,516
60.732,516
60.833,516
60.933,516
61.033,516
61.133,516
61.233,516
61.334,516
61.434,516
61.534,517
61.634,517
61.734,517
61.835,517
61.935,517
62.035,517
62.135,517
62.235,517
62.335,517
62.436,517
62.536,517
62.636,517
62.736,517
62.836,517
62.937,517
63.036,517
63.137,517
63.237,517
63.337,517
63.437,517
63.537,517
63.637,517
63.738,517
63.838,517
63.938,517
64.038,517
64.139,517
64.239,517
64.339,517
64.439,517
64.539,517
64.639,517
64.740,517
64.840,517
64.940,517
65.040,517
65.140,517
65.240,517
65.341,517
65.441,517
65.541,517
65.642,517
65.742,517
65.842,517
65.942,517
66.046,517
66.142,517
66.243,517
66.343,517
66.443,517
66.544,517
66.644,517
66.744,517
66.844,517
66.944,517
67.045,517
67.144,517
67.245,517
67.345,517
67.445,517
67.546,517
67.646,517
67.746,517
67.846,517
67.947,517
68.047,517
68.147,517
68.247,517
68.348,517
68.448,517
68.548,517
68.648,517
68.749,517
68.849,517
68.949,517
69.049,517
69.150,517
69.250,517
69.350,517
69.450,517
69.551,517
69.651,517
69.751,517
69.851,517
69.952,517
70.052,517
70.152,517
70.252,517
70.353,517
70.453,517
70.553,517
70.653,517
70.754,517
70.854,517
70.955,517
71.055,517
71.155,517
71.255,517
71.356,517
71.456,517
71.556,517
71.656,517
71.757,517
71.857,517
71.957,517
72.058,517
72.157,517
72.258,517
72.358,517
72.458,517
72.559,517
72.659,517
72.759,517
72.859,517
72.960,517
73.060,517
73.160,517
73.260,517
73.360,517
73.460,517
73.561,517
73.661,517
73.761,517
73.861,517
73.962,517
74.062,517
74.162,517
74.263,517
74.363,517
74.463,517
74.564,517
74.664,517
74.764,517
74.864,517
74.965,517
75.065,517
75.165,517
75.265,517
75.366,517
75.466,517
75.566,517
75.667,517
75.767,517
75.867,517
75.967,517
76.067,517
76.168,517
76.268,517
76.368,517
76.468,517
76.569,517
76.669,517
76.769,517
76.870,517
76.970,517
77.070,517
77.170,517
77.271,517
77.371,517
77.471,517
77.571,517
77.672,517
77.772,517
77.872,517
77.972,517
78.073,517
78.173,517
78.273,517
78.373,517
78.474,517
78.574,517
78.674,517
78.775,517
78.875,517
78.975,517
79.075,517
79.176,517
79.276,517
79.376,517
79.476,517
79.576,517
79.677,517
79.777,517
79.877,517
79.977,517
80.078,517
80.178,517
80.278,517
80.378,517
80.479,517
80.579,517
80.679,517
80.780,517
80.880,517
80.980,517
81.080,517
81.180,517
81.281,517
81.381,517
81.481,517
81.581,517
81.682,518
81.782,518
81.882,518
81.982,518
82.083,518
82.183,518
82.284,518
82.384,518
82.484,518
82.584,518
82.685,518
82.785,518
82.885,518
82.985,518
83.086,518
83.186,518
83.286,518
83.386,518
83.487,518
83.587,518
83.687,518
83.787,518
83.887,518
83.988,518
84.088,518
84.188,518
84.289,518
84.389,518
84.489,518
84.589,518
84.690,518
84.790,518
84.890,518
84.991,518
85.091,518
85.191,518
85.291,518
85.392,518
85.492,518
85.592,518
85.693,518
85.793,518
85.893,518
85.993,518
86.093,518
86.193,518
86.294,518
86.394,518
86.494,518
86.594,518
86.694,518
86.795,518
86.895,518
86.995,518
87.095,518
87.195,518
87.296,518
87.396,518
87.496,518
87.596,518
87.696,518
87.797,518
87.897,518
87.997,518
88.097,518
88.197,518
88.298,518
88.398,518
88.498,518
88.598,518
88.698,518
88.799,518
88.899,518
88.999,518
89.099,518
89.199,518
89.300,518
89.400,518
89.500,518
89.600,518
89.700,518
89.801,518
89.901,518
90.001,518
90.101,518
90.201,518
90.302,518
90.402,518
90.502,518
90.602,518
90.702,518
90.803,518
90.903,518
91.003,518
91.103,518
91.203,518
91.304,518
91.404,518
91.504,518
91.604,518
91.704,518
91.805,518
91.905,518
92.005,518
92.105,518
92.205,518
92.305,518
92.406,518
92.506,518
92.606,518
92.706,518
92.807,518
92.907,518
93.007,518
93.107,518
93.207,518
93.308,518
93.408,518
93.508,518
93.608,518
93.708,518
93.809,518
93.909,518
94.009,518
94.109,518
94.209,518
94.310,518
94.410,518
94.510,518
94.610,518
94.710,518
94.811,518
94.911,518
95.011,518
95.111,518
95.211,518
95.312,518
95.412,518
95.512,518
95.612,518
95.712,518
95.813,518
95.913,518
96.013,518
96.113,519
96.213,520
96.314,530
96.414,534
96.514,539
96.614,544
96.714,549
96.815,555
96.915,560
97.015,565
97.115,570
97.215,575
97.315,580
97.416,585
97.516,590
97.616,595
97.716,600
98.816,655
98.916,660
99.017,665
99.117,670
99.217,675
99.317,680
99.418,685
99.518,690
99.618,695
99.718,700
99.819,705
99.919,710
100.019,715
100.119,720
100.219,725
100.319,730
100.420,735
100.520,740
100.620,745
100.720,750
100.821,755
100.921,760
101.021,765
101.121,771
101.222,776
101.322,781
101.422,786
101.522,791
101.623,796
101.723,801
101.823,806
101.924,811
102.024,816
102.124,821
102.224,826
102.325,831
102.425,836
102.525,841
102.625,846
102.726,851
102.826,856
102.927,861
103.026,866
103.127,871
103.227,876
103.327,881
103.427,886
103.528,891
103.628,896
103.728,901
103.828,906
103.929,911
104.029,916
104.129,921
104.229,926
104.329,931
104.429,936
104.530,941
104.630,946
104.730,951
104.830,956
104.930,961
105.030,966
105.131,971
105.231,976
105.331,981
105.431,986
105.531,991
105.631,996
105.732,1001
105.832,1006
105.932,1011
106.032,1017
106.132,1023
106.232,1028
106.333,1033
106.433,1038
106.533,1043
106.633,1048
106.733,1053
106.834,1058
106.934,1063
107.034,1068
107.134,1073
107.234,1078
107.335,1083
107.435,1088
107.535,1093
107.635,1098
107.735,1103
107.835,1108
107.936,1113
108.036,1118
108.136,1123
108.236,1128
108.336,1133
108.437,1138
108.537,1143
108.637,1148
108.737,1153
108.837,1158
108.938,1163
109.038,1168
109.138,1173
109.238,1178
109.338,1183
109.438,1188
109.539,1193
109.639,1198
109.739,1203
109.839,1208
109.939,1213
110.039,1218
110.139,1223
110.240,1228
110.340,1233
110.440,1238
110.540,1243
110.640,1248
110.741,1253
110.841,1258
110.941,1263
111.041,1268
111.141,1273
111.241,1278
111.341,1283
111.442,1288
111.542,1293
111.642,1298
111.742,1303
111.843,1308
111.943,1313
112.044,1318
112.143,1323
112.243,1328
112.344,1333
112.444,1338
112.544,1343
112.644,1348
112.745,1353
112.845,1358
112.945,1363
113.046,1368
113.146,1373
113.246,1378
113.346,1383
113.446,1388
113.547,1393
113.647,1398
113.747,1403
113.847,1408
113.947,1413
114.048,1418
114.148,1423
114.248,1428
114.348,1433
114.448,1438
114.548,1443
114.649,1448
114.749,1453
114.849,1458
114.949,1463
115.049,1468
115.149,1473
115.250,1478
115.350,1483
115.450,1488
115.550,1493
115.650,1498
115.750,1503
115.851,1508
115.951,1513
116.051,1518
116.151,1523
116.251,1528
116.352,1533
116.452,1538
116.552,1543
116.652,1548
116.752,1554
116.852,1559
116.953,1564
117.053,1569
117.153,1574
117.253,1579
117.353,1584
117.453,1589
117.554,1594
117.654,1599
117.754,1604
117.854,1609
117.954,1614
118.055,1619
118.155,1624
118.255,1629
118.355,1634
118.456,1639
118.556,1644
118.656,1649
118.756,1654
118.856,1659
118.956,1664
119.057,1669
119.157,1674
119.257,1679
119.357,1684
119.457,1689
119.558,1694
119.658,1699
119.758,1704
119.858,1709
119.958,1714
120.059,1719
120.159,1724
120.259,1729
120.359,1734
120.459,1739
120.560,1744
120.660,1749
120.760,1754
120.860,1759
120.960,1764
121.060,1769
121.161,1771
121.261,1779
121.361,1784
121.461,1789
121.561,1794
121.661,1799
121.762,1804
121.862,1809
121.962,1814
122.062,1819
122.162,1824
122.263,1830
122.363,1835
122.463,1840
122.563,1845
122.663,1850
122.763,1855
122.863,1860
122.964,1865
123.064,1870
123.164,1875
123.264,1880
123.364,1885
123.465,1890
123.565,1895
123.665,1900
123.765,1905
123.865,1910
123.966,1915
124.066,1920
124.166,1925
124.266,1930
124.366,1935
124.467,1940
124.567,1945
124.667,1950
124.767,1955
124.868,1960
124.968,1965
125.068,1970
125.168,1975
125.268,1980
125.369,1985
125.468,1990
125.569,1995
125.669,2000
125.769,2005
125.869,2010
125.970,2015
126.070,2020
126.170,2021
126.270,2030
126.371,2035
126.471,2040
126.571,2045
126.671,2050
126.771,2055
126.872,2060
126.972,2065
127.072,2071
127.172,2076
127.272,2082
127.373,2087
127.473,2092
127.573,2097
127.673,2102
127.773,2107
127.874,2112
127.974,2117
128.074,2122
128.174,2127
128.275,2132
128.375,2137
128.475,2142
128.575,2147
128.675,2152
128.776,2157
128.876,2162
128.976,2167
129.076,2172
129.177,2177
129.277,2182
129.377,2187
129.477,2192
129.577,2197
129.677,2202
129.778,2207
129.878,2212
129.978,2217
130.078,2222
130.178,2227
130.279,2232
130.378,2237
130.478,2242
130.579,2247
130.679,2252
130.779,2257
130.880,2262
130.980,2267
131.080,2272
131.180,2276
131.280,2282
131.381,2287
131.481,2292
131.581,2297
131.681,2302
131.781,2307
131.881,2312
131.982,2317
132.082,2322
132.182,2327
