TO_UIUC
1461965144
time,tx_packets
0.001,1440
0.101,1440
0.201,1440
0.301,1440
0.402,1441
0.502,1441
0.602,1441
0.703,1441
0.803,1442
0.903,1447
1.004,1453
1.104,1463
1.204,1473
1.304,1483
1.405,1493
1.505,1503
1.605,1514
1.705,1524
1.806,1534
1.906,1544
2.007,1554
2.106,1564
2.207,1574
2.307,1584
2.407,1594
2.508,1604
2.608,1614
2.708,1624
2.809,1634
2.909,1644
3.009,1654
3.109,1664
3.209,1674
3.309,1684
3.410,1695
3.510,1705
3.610,1715
3.710,1725
3.811,1735
3.911,1747
4.011,1757
4.111,1768
4.211,1778
4.312,1788
4.412,1798
4.512,1810
4.612,1819
4.712,1830
4.813,1840
4.913,1848
5.013,1860
5.114,1870
5.214,1880
5.314,1890
5.415,1900
5.515,1910
5.615,1920
5.715,1930
5.815,1940
5.916,1950
6.016,1960
6.116,1970
6.217,1980
6.316,1990
6.417,2000
6.517,2010
6.617,2020
6.718,2030
6.818,2040
6.918,2051
7.019,2061
7.119,2072
7.219,2082
7.319,2092
7.419,2102
7.520,2112
7.620,2122
7.720,2132
7.821,2142
7.921,2152
8.021,2165
8.121,2177
8.222,2188
8.322,2198
8.422,2208
8.522,2218
8.623,2228
8.723,2240
8.823,2250
8.923,2260
9.023,2270
9.124,2280
9.224,2290
9.324,2300
9.424,2310
9.525,2320
9.625,2330
9.725,2340
9.826,2351
9.925,2361
10.026,2371
10.126,2381
10.226,2391
10.326,2401
10.426,2411
10.527,2421
10.628,2431
10.728,2441
10.828,2451
10.928,2461
11.028,2471
11.128,2477
11.229,2482
11.329,2484
11.429,2484
11.529,2484
11.630,2484
11.730,2484
11.830,2484
11.930,2484
12.031,2484
12.131,2484
12.231,2484
12.332,2484
12.432,2485
12.532,2485
12.632,2485
12.733,2485
12.833,2485
12.933,2485
13.033,2487
13.134,2487
13.234,2487
13.334,2487
13.434,2487
13.535,2487
13.635,2487
13.735,2487
13.836,2487
13.936,2487
14.036,2487
14.136,2487
14.236,2487
14.337,2487
14.437,2487
14.537,2487
14.638,2487
14.738,2487
14.838,2487
14.938,2487
15.039,2487
15.139,2487
15.239,2487
15.339,2487
15.439,2487
15.539,2487
15.640,2487
15.740,2487
15.840,2487
15.941,2487
16.041,2487
16.141,2487
16.241,2487
16.342,2487
16.442,2487
16.542,2487
16.643,2487
16.743,2488
16.843,2488
16.943,2488
17.047,2488
17.144,2489
17.244,2490
17.344,2491
17.444,2491
17.545,2491
17.645,2491
17.745,2491
17.845,2491
17.946,2491
18.046,2491
18.146,2491
18.246,2491
18.346,2492
18.447,2492
18.547,2492
18.647,2492
18.748,2492
18.848,2492
18.948,2492
19.048,2492
19.149,2492
19.249,2492
19.349,2492
19.449,2492
19.550,2492
19.650,2492
19.750,2492
19.850,2492
19.951,2492
20.051,2492
20.151,2492
20.252,2492
20.352,2492
20.452,2492
20.552,2492
20.653,2492
20.753,2492
20.853,2493
20.953,2493
21.054,2493
21.154,2493
21.254,2493
21.354,2494
21.455,2494
21.555,2494
21.655,2494
21.756,2494
21.856,2494
21.956,2494
22.057,2494
22.157,2494
22.257,2494
22.357,2496
22.457,2497
22.558,2497
22.658,2498
22.758,2498
22.858,2498
22.959,2498
23.059,2498
23.159,2498
23.260,2498
23.360,2498
23.460,2498
23.561,2498
23.661,2498
23.761,2498
23.861,2498
23.961,2498
24.062,2498
24.162,2498
24.262,2498
24.362,2498
24.463,2498
24.563,2498
24.663,2498
24.764,2498
24.864,2498
24.964,2498
25.064,2498
25.164,2499
25.265,2499
25.365,2499
25.465,2499
25.565,2499
25.665,2500
25.766,2500
25.866,2500
25.966,2500
26.066,2500
26.166,2500
26.266,2500
26.366,2500
26.467,2500
26.567,2500
26.667,2502
26.768,2502
26.867,2504
26.968,2504
27.068,2504
27.168,2504
27.268,2504
27.368,2504
27.469,2504
27.569,2504
27.669,2504
27.769,2504
27.870,2504
27.970,2504
