TO_UM
1461965144
time,tx_packets
0.001,2043
0.101,2044
0.201,2044
0.302,2044
0.402,2044
0.502,2044
0.602,2044
0.703,2045
0.803,2045
0.903,2046
1.003,2046
1.103,2046
1.204,2047
1.304,2047
1.404,2047
1.505,2047
1.605,2047
1.705,2047
1.806,2047
1.906,2047
2.006,2047
2.107,2047
2.207,2047
2.307,2047
2.407,2047
2.508,2047
2.608,2047
2.708,2047
2.808,2047
2.909,2047
3.009,2047
3.109,2047
3.209,2047
3.309,2047
3.410,2047
3.510,2047
3.610,2047
3.711,2047
3.811,2047
3.911,2048
4.011,2048
4.111,2048
4.211,2048
4.311,2048
4.412,2054
4.512,2055
4.612,2055
4.713,2055
4.813,2055
4.913,2055
5.013,2055
5.114,2055
5.214,2055
5.314,2055
5.414,2055
5.515,2055
5.615,2055
5.715,2055
5.816,2057
5.916,2057
6.016,2057
6.116,2057
6.216,2057
6.317,2057
6.417,2057
6.517,2057
6.618,2057
6.718,2057
6.818,2057
6.918,2057
7.019,2057
7.119,2057
7.219,2057
7.319,2057
7.420,2057
7.520,2057
7.620,2057
7.720,2057
7.821,2057
7.921,2057
8.021,2057
8.121,2058
8.221,2058
8.322,2058
8.422,2058
8.522,2058
8.623,2058
8.723,2064
8.823,2065
8.923,2065
9.023,2065
9.124,2065
9.224,2065
9.324,2065
9.424,2065
9.525,2065
9.625,2065
9.725,2065
9.825,2066
9.926,2066
10.026,2066
10.126,2066
10.226,2066
10.327,2067
10.427,2067
10.527,2067
10.627,2067
10.727,2067
10.827,2067
10.928,2067
11.028,2067
11.128,2067
11.228,2067
11.329,2067
11.429,2067
11.529,2067
11.630,2067
11.730,2067
11.830,2067
11.930,2067
12.030,2067
12.131,2067
12.231,2067
12.331,2067
12.432,2067
12.532,2068
12.632,2068
12.733,2068
12.833,2068
12.933,2069
13.033,2073
13.134,2073
13.234,2073
13.334,2073
13.434,2073
13.535,2073
13.635,2073
13.735,2073
13.835,2073
13.936,2073
14.036,2073
14.136,2073
14.236,2073
14.337,2074
14.437,2075
14.537,2075
14.637,2075
14.738,2075
14.838,2075
14.938,2075
15.038,2075
15.139,2075
15.239,2075
15.339,2075
15.439,2075
15.540,2075
15.640,2075
15.740,2075
15.840,2075
15.940,2075
16.041,2075
16.141,2075
16.241,2075
16.342,2075
16.442,2075
16.542,2075
16.643,2075
16.743,2075
16.843,2075
16.943,2076
17.048,2076
17.143,2078
17.243,2083
17.344,2083
17.444,2083
17.544,2083
17.645,2083
17.745,2083
17.845,2083
17.945,2083
18.046,2083
18.145,2083
18.246,2083
18.347,2083
18.446,2084
18.547,2084
18.647,2085
18.747,2085
18.847,2085
18.948,2085
19.048,2085
19.148,2085
19.249,2085
19.348,2085
19.449,2085
19.549,2086
19.649,2086
19.749,2086
19.850,2086
19.950,2086
20.051,2086
20.151,2086
20.251,2086
20.352,2086
20.452,2086
20.552,2086
20.652,2086
20.752,2086
20.853,2086
20.953,2086
21.053,2086
