TO_CLIENT
1461965561
time,tx_packets
0.001,8346
0.101,8346
0.201,8346
0.301,8346
0.401,8346
0.502,8346
0.602,8346
0.702,8346
0.802,8346
0.903,8346
1.003,8346
1.103,8346
1.203,8351
1.303,8356
1.404,8361
1.504,8366
1.604,8371
1.705,8376
1.805,8381
1.905,8386
2.005,8391
2.106,8396
2.206,8401
2.307,8406
2.407,8411
2.507,8416
2.607,8421
2.708,8426
2.808,8431
2.908,8436
3.008,8441
3.109,8446
3.209,8451
3.309,8456
3.409,8461
3.510,8466
3.610,8471
3.710,8476
3.810,8481
3.911,8486
4.011,8491
4.111,8496
4.211,8501
4.312,8506
4.412,8511
4.512,8516
4.612,8521
4.713,8526
4.813,8531
4.913,8536
5.013,8541
5.114,8546
5.214,8551
5.314,8556
5.414,8561
5.515,8566
5.615,8571
5.715,8576
5.816,8581
5.916,8587
6.016,8592
6.116,8597
6.217,8603
6.317,8608
6.417,8613
6.517,8618
6.617,8623
6.717,8628
6.818,8633
6.918,8638
7.018,8642
7.119,8648
7.219,8653
7.319,8658
7.419,8663
7.520,8668
7.620,8673
7.720,8678
7.820,8683
7.921,8688
8.021,8693
8.121,8698
8.221,8703
8.322,8708
8.422,8713
8.522,8718
8.622,8723
8.723,8728
8.823,8733
8.923,8738
9.023,8743
9.124,8748
9.224,8753
9.324,8758
9.425,8763
9.525,8768
9.625,8773
9.726,8778
9.826,8783
9.926,8788
10.026,8793
10.126,8798
10.227,8803
10.327,8808
10.427,8813
10.528,8818
10.628,8823
10.728,8828
10.829,8833
10.929,8839
11.029,8844
11.129,8849
11.229,8850
11.329,8850
11.429,8850
11.530,8850
11.630,8850
11.730,8850
11.831,8850
11.931,8850
12.031,8850
12.132,8850
12.232,8850
12.332,8850
12.433,8850
12.533,8850
12.633,8850
12.733,8850
12.834,8850
12.934,8850
13.034,8850
13.134,8850
13.235,8850
13.335,8850
13.435,8850
13.535,8850
13.636,8850
13.736,8850
13.836,8850
13.936,8850
14.037,8850
14.136,8850
14.237,8850
14.337,8850
14.437,8850
14.538,8850
14.638,8850
14.738,8850
14.839,8850
14.939,8850
15.039,8850
15.139,8850
15.240,8850
15.340,8850
15.440,8850
15.540,8850
15.641,8850
15.741,8850
15.841,8850
15.942,8850
16.042,8850
16.142,8850
16.242,8850
16.343,8850
16.443,8850
16.542,8850
16.643,8850
16.743,8850
16.843,8850
16.944,8850
17.044,8850
17.144,8850
17.244,8850
17.345,8850
17.445,8850
17.545,8850
17.645,8850
17.745,8850
17.845,8850
17.946,8850
18.046,8850
18.146,8850
18.246,8850
18.347,8850
18.447,8850
18.547,8850
18.648,8850
18.748,8850
18.848,8850
18.948,8850
19.049,8850
19.149,8850
19.249,8850
19.350,8850
19.450,8850
19.550,8850
19.650,8850
19.750,8850
19.851,8850
19.951,8850
20.051,8850
20.152,8850
20.252,8850
20.352,8850
20.452,8850
20.553,8850
20.653,8850
20.753,8850
20.853,8850
20.954,8850
21.054,8850
21.154,8850
21.254,8850
21.354,8850
21.455,8850
21.555,8850
21.655,8850
21.756,8850
21.856,8850
21.956,8850
22.056,8850
22.157,8850
22.257,8850
22.357,8850
22.457,8850
22.558,8850
22.658,8850
22.758,8850
22.858,8850
22.959,8850
23.059,8850
23.159,8850
23.260,8850
23.360,8850
23.460,8850
23.561,8850
23.661,8850
23.761,8850
23.861,8850
23.961,8850
24.062,8850
24.162,8850
24.262,8850
24.363,8850
24.463,8850
24.563,8850
24.663,8850
24.763,8850
24.864,8850
24.964,8850
25.064,8850
25.164,8850
25.265,8850
25.365,8850
25.465,8850
25.565,8850
25.665,8850
25.766,8850
25.866,8850
25.966,8850
26.066,8850
26.167,8850
26.267,8850
26.367,8850
26.468,8850
26.568,8850
26.668,8850
26.768,8850
26.868,8850
26.969,8850
27.069,8850
27.169,8850
27.270,8850
27.370,8850
27.470,8850
27.570,8850
27.671,8850
27.771,8850
27.871,8850
27.971,8850
28.072,8850
28.172,8850
28.272,8850
28.373,8850
28.473,8850
28.573,8850
28.673,8850
28.774,8850
28.874,8850
28.974,8850
29.074,8850
29.175,8850
29.275,8850
29.375,8850
29.475,8850
29.576,8850
29.676,8850
29.776,8850
29.877,8850
29.977,8850
30.077,8850
30.178,8850
30.278,8850
30.378,8850
30.478,8850
30.578,8850
30.679,8850
30.779,8850
30.879,8850
30.980,8850
31.080,8850
31.180,8850
31.281,8850
31.381,8850
31.481,8850
31.581,8850
31.681,8850
31.781,8850
31.882,8850
31.982,8850
32.082,8850
32.182,8850
32.282,8850
32.383,8850
32.483,8850
32.583,8850
32.684,8850
32.784,8850
32.884,8850
32.984,8850
33.085,8850
33.185,8850
33.285,8850
33.385,8850
33.486,8850
33.586,8850
33.686,8850
33.786,8850
33.886,8850
33.987,8850
34.087,8850
34.187,8850
34.288,8850
34.388,8850
34.488,8850
34.589,8850
34.689,8850
34.789,8850
34.890,8850
34.990,8850
35.090,8850
35.190,8850
35.291,8850
35.391,8850
35.491,8850
35.591,8850
35.692,8850
35.792,8850
35.892,8850
35.992,8850
36.093,8850
36.193,8850
36.293,8850
36.393,8850
36.494,8850
36.594,8850
36.694,8850
36.795,8850
36.895,8850
36.995,8850
37.095,8850
37.195,8850
37.296,8850
37.396,8850
37.497,8850
37.597,8850
37.697,8850
37.797,8850
37.898,8850
37.998,8850
38.098,8850
38.198,8850
38.299,8850
38.399,8850
38.499,8850
38.599,8850
38.700,8850
38.800,8850
38.900,8850
39.001,8850
39.101,8850
39.201,8850
39.301,8850
39.402,8850
39.502,8850
39.602,8850
39.702,8850
39.803,8850
39.903,8850
40.003,8850
40.104,8850
40.204,8850
40.304,8850
40.404,8850
40.505,8850
40.605,8850
40.705,8850
40.805,8850
40.906,8850
41.006,8850
41.106,8850
41.207,8850
41.307,8850
41.407,8850
41.507,8850
41.607,8850
41.708,8850
41.808,8850
41.908,8850
42.009,8850
42.109,8850
42.209,8850
42.309,8850
42.409,8850
42.510,8850
42.610,8850
42.710,8850
42.811,8850
42.911,8850
43.011,8850
43.112,8850
43.212,8850
43.312,8850
43.412,8850
43.513,8850
43.613,8850
43.713,8850
43.813,8850
43.914,8850
44.014,8850
44.114,8850
44.215,8850
44.315,8850
44.415,8850
44.515,8850
44.616,8850
44.716,8850
44.816,8850
44.916,8850
45.017,8850
45.117,8850
45.217,8850
45.318,8850
45.418,8850
45.518,8850
45.618,8850
45.718,8850
45.819,8850
45.919,8850
46.019,8850
46.120,8850
46.220,8850
46.320,8850
46.420,8850
46.521,8850
46.621,8850
46.721,8850
46.821,8850
46.922,8850
47.022,8850
47.122,8850
47.223,8850
47.323,8850
47.423,8850
47.523,8850
47.624,8850
47.724,8850
47.824,8850
47.924,8850
48.025,8850
48.125,8850
48.225,8850
48.325,8850
48.426,8850
48.526,8850
48.626,8850
48.726,8850
48.827,8850
48.927,8850
49.027,8850
49.128,8850
49.228,8850
49.328,8850
49.428,8850
49.529,8850
49.629,8850
49.729,8850
49.829,8850
49.930,8850
50.030,8850
50.130,8850
50.230,8850
50.331,8850
50.431,8850
50.531,8850
50.632,8850
50.732,8850
50.832,8850
50.932,8850
51.032,8850
51.133,8850
51.233,8850
51.333,8850
51.433,8850
51.534,8850
51.634,8850
51.734,8850
51.835,8850
51.935,8850
52.035,8850
52.135,8850
52.236,8850
52.336,8850
52.436,8850
52.537,8851
52.637,8851
52.737,8851
52.837,8851
52.938,8851
53.038,8851
53.138,8851
53.239,8851
53.339,8851
53.439,8851
53.539,8851
53.639,8851
53.740,8851
53.840,8851
53.940,8851
54.041,8851
54.141,8851
54.241,8851
54.341,8851
54.441,8851
54.541,8851
54.642,8851
54.742,8851
54.842,8851
54.943,8851
55.043,8851
55.143,8851
55.243,8851
55.344,8851
55.444,8851
55.545,8851
55.644,8851
55.745,8851
55.845,8851
55.945,8851
56.046,8851
56.146,8851
56.246,8851
56.346,8851
56.447,8851
56.547,8851
56.647,8851
56.747,8851
56.848,8851
56.948,8851
57.048,8851
57.149,8851
57.249,8851
57.349,8851
57.449,8851
57.549,8851
57.650,8851
57.750,8851
57.850,8851
57.950,8851
58.051,8851
58.151,8851
58.251,8851
58.351,8851
58.452,8851
58.552,8851
58.652,8851
58.753,8851
58.853,8851
58.953,8851
59.054,8851
59.154,8851
59.254,8851
59.354,8851
59.454,8851
59.555,8851
59.655,8851
59.755,8851
59.856,8851
59.956,8851
60.056,8851
60.156,8851
60.256,8851
60.357,8851
60.457,8851
60.558,8851
60.658,8851
60.758,8851
60.858,8851
60.958,8851
61.059,8851
61.159,8851
61.259,8851
61.359,8851
61.460,8851
61.560,8851
61.660,8851
61.761,8851
61.861,8851
61.961,8851
62.061,8851
62.162,8851
62.262,8851
62.362,8851
62.462,8851
62.563,8851
62.663,8851
62.763,8851
62.864,8851
62.964,8851
63.064,8851
63.164,8851
63.264,8851
63.364,8851
63.465,8851
63.565,8851
63.665,8851
63.765,8851
63.866,8851
63.966,8851
64.066,8851
64.166,8851
64.267,8851
64.367,8851
64.467,8851
64.567,8851
64.668,8851
64.768,8851
64.868,8851
64.969,8851
65.069,8851
65.169,8851
65.269,8851
65.369,8851
65.470,8851
65.570,8851
65.670,8851
65.771,8851
65.871,8851
65.971,8851
66.071,8851
66.171,8851
66.272,8851
66.372,8851
66.472,8851
66.573,8851
66.673,8851
66.773,8851
66.873,8851
66.974,8851
67.074,8851
67.174,8851
67.275,8851
67.375,8851
67.475,8851
67.575,8851
67.676,8851
67.776,8851
67.877,8851
67.976,8851
68.076,8851
68.177,8851
68.277,8851
68.381,8851
68.477,8851
68.578,8851
68.678,8851
68.778,8851
68.879,8851
68.979,8851
69.079,8851
69.179,8851
69.280,8851
69.380,8851
69.480,8851
69.580,8851
69.680,8851
69.781,8851
69.881,8851
69.981,8851
70.081,8851
70.182,8851
70.282,8851
70.382,8851
70.482,8851
70.583,8851
70.683,8851
70.783,8851
70.884,8851
70.984,8851
71.084,8851
71.184,8851
71.284,8851
71.385,8851
