TO_UIUC
1461965561
time,tx_packets
0.001,10785
0.101,10785
0.201,10785
0.301,10785
0.402,10785
0.502,10785
0.602,10785
0.702,10785
0.803,10785
0.903,10786
1.003,10791
1.103,10796
1.203,10806
1.304,10816
1.404,10826
1.504,10836
1.605,10846
1.705,10856
1.805,10866
1.905,10876
2.005,10886
2.106,10896
2.206,10906
2.307,10916
2.407,10927
2.507,10937
2.607,10947
2.708,10957
2.808,10967
2.908,10977
3.008,10987
3.108,10997
3.209,11007
3.309,11017
3.409,11027
3.509,11037
3.610,11047
3.710,11057
3.810,11067
3.911,11079
4.011,11090
4.111,11101
4.211,11111
4.312,11121
4.412,11132
4.512,11142
4.612,11152
4.712,11162
4.813,11172
4.913,11183
5.013,11193
5.113,11203
5.214,11213
5.314,11223
5.414,11233
5.515,11243
5.615,11253
5.715,11263
5.815,11273
5.916,11283
6.016,11293
6.116,11303
6.216,11313
6.317,11323
6.417,11333
6.517,11343
6.617,11353
6.718,11363
6.818,11373
6.918,11383
7.018,11394
7.119,11404
7.218,11414
7.319,11424
7.419,11434
7.519,11444
7.620,11454
7.720,11464
7.820,11474
7.920,11484
8.021,11495
8.121,11505
8.221,11516
8.321,11526
8.422,11537
8.522,11547
8.622,11557
8.722,11567
8.823,11577
8.923,11587
9.023,11597
9.123,11607
9.224,11618
9.324,11628
9.425,11638
9.525,11648
9.625,11658
9.725,11668
9.826,11678
9.926,11688
10.026,11698
10.126,11708
10.227,11718
10.327,11729
10.427,11739
10.528,11749
10.628,11759
10.728,11769
10.829,11779
10.929,11789
11.029,11799
11.129,11809
11.229,11816
11.330,11821
11.430,11823
11.530,11823
11.630,11823
11.731,11823
11.831,11823
11.931,11823
12.031,11823
12.131,11823
12.232,11823
12.332,11823
12.433,11823
12.533,11824
12.633,11825
12.733,11827
12.834,11827
12.934,11827
13.034,11827
13.134,11827
13.235,11828
13.335,11828
13.435,11828
13.535,11828
13.636,11828
13.736,11828
13.836,11828
13.936,11828
14.037,11828
14.137,11828
14.237,11828
14.337,11828
14.438,11828
14.538,11828
14.638,11828
14.738,11828
14.839,11828
14.939,11828
15.039,11828
15.139,11828
15.240,11828
15.340,11828
15.440,11828
15.541,11828
15.641,11828
15.741,11828
15.841,11828
15.942,11828
16.042,11828
16.142,11828
16.243,11828
16.343,11828
16.443,11828
16.543,11828
16.643,11828
16.743,11828
16.844,11828
16.944,11830
17.044,11830
17.144,11830
17.245,11830
17.345,11830
17.445,11830
17.545,11831
17.646,11831
17.745,11831
17.846,11831
17.946,11831
18.046,11831
18.147,11831
18.247,11832
18.347,11832
18.448,11832
18.548,11832
18.648,11832
18.748,11832
18.848,11832
18.949,11832
19.049,11832
19.149,11832
19.250,11832
19.350,11832
19.450,11832
19.550,11832
19.650,11832
19.751,11832
19.851,11832
19.951,11832
20.052,11832
20.152,11832
20.252,11832
20.353,11832
20.453,11832
20.553,11832
20.653,11832
20.754,11832
20.854,11832
20.954,11832
21.054,11834
21.154,11834
21.255,11834
21.355,11834
21.455,11834
21.556,11834
21.656,11834
21.756,11835
21.856,11835
21.956,11835
22.057,11835
22.157,11835
22.258,11835
22.358,11835
22.458,11835
22.558,11835
22.658,11835
22.759,11835
22.859,11835
22.959,11835
23.059,11835
23.160,11835
23.260,11835
23.360,11835
23.461,11835
23.561,11835
23.661,11835
23.761,11835
23.862,11835
23.962,11835
24.062,11835
24.162,11835
24.263,11835
24.363,11835
24.463,11835
24.563,11835
24.664,11835
24.764,11835
24.864,11835
24.964,11835
25.065,11835
25.165,11835
25.265,11835
25.365,11837
25.465,11837
25.566,11837
25.666,11837
25.766,11837
25.866,11837
25.966,11837
26.067,11838
26.167,11838
26.267,11838
26.368,11838
26.468,11838
26.568,11838
26.669,11838
26.769,11838
26.869,11838
26.969,11838
27.070,11838
27.170,11838
27.270,11838
27.370,11838
27.470,11838
27.571,11838
27.671,11838
27.772,11838
27.872,11838
27.972,11838
28.072,11838
28.173,11838
28.273,11838
28.373,11838
28.473,11838
28.574,11838
28.674,11838
28.774,11838
28.874,11838
28.974,11838
29.075,11838
29.175,11838
29.275,11838
29.378,11838
29.476,11838
29.576,11838
29.676,11839
29.777,11840
29.877,11840
29.977,11840
30.078,11840
30.178,11840
30.278,11842
30.378,11842
30.478,11842
30.578,11842
30.679,11842
30.779,11842
30.879,11842
30.980,11842
31.080,11842
31.180,11842
31.281,11842
31.381,11842
31.481,11842
31.581,11842
31.681,11842
31.781,11842
31.882,11842
31.982,11842
32.082,11842
32.182,11842
32.283,11842
32.383,11842
32.483,11842
32.584,11842
32.684,11842
32.784,11842
32.884,11842
32.985,11842
33.085,11842
33.185,11842
33.285,11842
33.385,11842
33.486,11842
33.586,11842
33.686,11842
33.787,11842
33.887,11843
33.987,11843
34.087,11844
34.188,11844
34.288,11845
34.388,11845
34.488,11845
34.589,11845
34.689,11845
34.789,11845
34.890,11845
34.990,11845
35.090,11846
35.191,11846
35.291,11846
35.391,11846
35.491,11846
35.592,11846
35.692,11846
35.792,11846
35.892,11846
35.992,11846
36.093,11846
36.193,11846
36.294,11846
36.394,11847
36.494,11848
36.594,11849
36.694,11849
36.795,11849
36.895,11849
36.995,11849
37.096,11849
37.196,11849
37.296,11849
37.397,11849
37.497,11849
37.597,11849
37.697,11849
37.797,11849
37.898,11849
37.998,11849
38.098,11849
38.199,11850
38.299,11851
38.399,11852
38.500,11852
38.600,11852
38.700,11852
38.800,11852
38.900,11852
39.001,11852
39.101,11852
39.201,11852
39.302,11852
39.402,11852
39.502,11852
39.602,11852
39.703,11852
39.803,11852
39.903,11852
40.003,11852
40.104,11852
40.204,11852
40.304,11852
40.404,11852
40.505,11852
40.605,11852
40.705,11852
40.805,11852
40.906,11852
41.006,11852
41.106,11852
41.207,11852
41.307,11852
41.407,11853
41.507,11853
41.607,11853
41.708,11853
41.808,11853
41.909,11853
42.009,11853
42.109,11853
42.209,11853
42.309,11853
42.410,11853
42.510,11854
42.610,11856
42.710,11856
42.811,11856
42.911,11856
43.011,11857
43.112,11857
43.212,11857
43.312,11857
43.412,11857
43.513,11857
43.613,11857
43.713,11857
43.814,11857
43.914,11857
44.014,11857
44.114,11857
44.215,11857
44.315,11857
44.415,11857
44.515,11857
44.616,11857
44.716,11857
44.816,11857
44.917,11857
45.017,11857
45.117,11857
45.217,11857
45.317,11857
45.418,11857
45.518,11857
45.618,11857
45.718,11857
45.819,11857
45.919,11857
46.020,11857
46.120,11857
46.220,11857
46.320,11857
46.420,11857
46.521,11857
46.621,11858
46.721,11858
46.822,11860
46.922,11862
47.022,11862
47.122,11862
47.223,11862
47.323,11862
47.423,11863
47.523,11863
47.624,11863
47.724,11863
47.824,11863
47.925,11863
48.025,11863
48.125,11863
48.225,11863
48.325,11863
48.426,11863
48.526,11863
48.626,11863
48.727,11863
48.827,11863
48.927,11863
49.027,11863
49.129,11863
49.228,11863
49.328,11863
49.428,11863
49.529,11863
49.629,11863
49.729,11863
49.829,11863
49.930,11864
50.030,11864
50.130,11864
50.230,11864
50.331,11864
50.431,11864
50.532,11864
50.632,11864
50.732,11864
50.832,11864
50.932,11865
51.033,11865
51.133,11865
51.233,11865
51.333,11866
51.434,11866
51.534,11866
51.634,11866
