TO_UM
1461965561
time,tx_packets
0.001,11150
0.101,11152
0.201,11152
0.301,11152
0.401,11154
0.502,11154
0.602,11154
0.702,11154
0.802,11155
0.902,11155
1.003,11155
1.103,11155
1.203,11160
1.303,11161
1.403,11162
1.504,11162
1.604,11162
1.704,11162
1.804,11162
1.904,11162
2.005,11162
2.105,11162
2.205,11162
2.305,11162
2.405,11162
2.506,11162
2.606,11162
2.706,11162
2.806,11162
2.907,11162
3.007,11162
3.107,11162
3.207,11162
3.308,11162
3.408,11162
3.508,11162
3.608,11162
3.709,11162
3.809,11162
3.909,11163
4.010,11163
4.110,11163
4.210,11163
4.310,11163
4.411,11167
4.511,11169
4.611,11169
4.711,11169
4.811,11169
4.912,11169
5.012,11169
5.112,11169
5.213,11170
5.313,11170
5.413,11170
5.513,11170
5.614,11170
5.714,11170
5.814,11170
5.914,11170
6.015,11170
6.115,11170
6.215,11170
6.315,11170
6.415,11170
6.516,11170
6.616,11170
6.716,11170
6.816,11170
6.916,11170
7.017,11170
7.117,11170
7.218,11170
7.318,11170
7.418,11170
7.518,11170
7.618,11170
7.719,11170
7.819,11170
7.919,11170
8.020,11170
8.120,11171
8.220,11171
8.320,11171
8.420,11171
8.521,11171
8.621,11171
8.721,11172
8.822,11172
8.922,11175
9.022,11180
9.122,11180
9.223,11181
9.323,11181
9.424,11181
9.524,11181
9.624,11181
9.724,11182
9.824,11182
9.924,11182
10.025,11182
10.125,11182
10.225,11182
10.326,11182
10.426,11182
10.526,11182
10.627,11182
10.727,11182
10.827,11182
10.927,11182
11.028,11182
11.128,11182
11.228,11182
11.328,11182
11.428,11182
11.529,11182
11.629,11182
11.729,11182
11.829,11182
11.930,11182
12.030,11182
12.130,11182
12.230,11182
12.331,11182
12.431,11183
12.531,11183
12.632,11183
12.732,11183
12.832,11183
12.932,11183
13.033,11184
13.133,11185
13.233,11189
13.334,11189
13.434,11189
13.534,11189
13.634,11189
13.735,11189
13.835,11189
13.935,11189
14.035,11190
14.135,11190
14.236,11190
14.336,11190
14.436,11190
14.537,11190
14.637,11190
14.737,11190
14.837,11190
14.938,11190
15.038,11190
15.138,11190
15.238,11190
15.339,11190
15.439,11190
15.539,11190
15.640,11190
15.740,11190
15.840,11190
15.940,11190
16.041,11190
16.141,11190
16.241,11190
16.341,11190
16.442,11190
16.542,11190
16.642,11190
16.742,11190
16.842,11190
16.943,11191
17.043,11191
17.143,11191
17.243,11191
17.344,11192
17.444,11192
17.544,11195
17.644,11195
17.745,11195
17.845,11195
17.945,11195
18.045,11195
18.145,11195
18.246,11196
18.346,11196
18.446,11196
18.546,11196
18.647,11196
18.747,11196
18.847,11196
18.948,11196
19.048,11196
19.148,11196
19.248,11196
19.349,11196
19.449,11196
19.549,11196
19.650,11196
19.750,11196
19.850,11196
19.950,11196
20.050,11196
20.150,11196
20.251,11196
20.351,11196
20.451,11196
20.552,11196
20.652,11196
20.752,11196
20.852,11196
20.953,11196
21.053,11196
21.153,11197
21.253,11197
21.354,11197
21.454,11197
21.554,11197
21.655,11199
21.755,11201
21.855,11201
21.955,11201
22.056,11201
22.156,11201
22.256,11201
22.356,11201
22.457,11205
22.557,11206
22.657,11207
22.757,11207
22.858,11207
22.958,11207
23.058,11207
23.159,11207
23.259,11207
23.359,11207
23.459,11207
23.560,11207
23.660,11207
23.760,11207
23.860,11207
23.961,11207
24.061,11207
24.161,11207
24.261,11207
24.362,11207
24.462,11208
24.562,11208
24.662,11208
24.763,11208
24.863,11208
24.963,11208
25.063,11208
25.163,11208
25.264,11208
25.364,11208
25.464,11209
25.564,11209
25.665,11209
25.765,11211
25.865,11211
25.965,11211
26.066,11212
26.166,11213
26.266,11213
26.366,11213
26.467,11213
26.567,11213
26.667,11215
26.767,11215
26.868,11216
26.968,11216
27.068,11216
27.169,11216
27.269,11216
27.369,11216
27.469,11216
27.570,11216
27.670,11216
27.770,11216
27.870,11216
27.971,11216
28.071,11216
28.171,11216
28.272,11216
28.372,11216
28.472,11216
28.572,11216
28.673,11216
28.773,11216
28.873,11216
28.973,11216
29.074,11216
29.174,11216
29.274,11216
29.378,11216
29.475,11216
29.575,11217
29.675,11217
29.776,11217
29.876,11217
29.976,11217
30.076,11217
30.176,11219
30.277,11220
30.377,11221
30.477,11221
30.577,11221
30.678,11221
30.778,11221
30.878,11227
30.978,11227
31.079,11227
31.179,11227
31.279,11228
31.379,11228
31.480,11228
31.580,11228
31.680,11228
31.780,11228
31.881,11228
31.981,11228
32.081,11228
32.181,11228
32.281,11228
32.381,11228
32.482,11228
32.582,11228
32.682,11228
32.783,11228
32.883,11228
32.983,11228
33.084,11228
33.184,11228
33.284,11228
33.384,11228
33.484,11228
33.585,11228
33.685,11229
33.785,11229
33.886,11229
33.986,11229
34.086,11229
34.186,11229
34.287,11231
34.387,11232
34.487,11232
34.588,11232
34.688,11232
34.788,11232
34.888,11233
34.989,11234
35.089,11234
35.189,11234
35.290,11234
35.390,11234
35.490,11235
35.590,11235
35.691,11235
35.791,11235
35.891,11235
35.991,11235
36.092,11235
36.192,11235
36.292,11235
36.392,11235
36.493,11235
36.593,11235
36.693,11235
36.793,11235
36.894,11235
36.994,11235
37.094,11235
37.195,11235
37.295,11235
37.395,11235
37.495,11235
37.596,11235
37.696,11235
37.796,11235
37.897,11235
37.997,11235
38.097,11236
38.197,11236
38.298,11236
38.398,11238
38.498,11238
38.598,11238
38.699,11238
38.799,11239
38.899,11239
38.999,11240
39.100,11240
39.200,11240
39.300,11240
39.401,11240
39.501,11240
39.601,11240
39.701,11242
39.802,11247
39.902,11247
40.002,11247
40.102,11247
40.203,11247
40.303,11247
40.403,11247
40.503,11247
40.603,11247
40.704,11247
40.804,11247
40.905,11247
41.005,11247
41.105,11247
41.205,11247
41.306,11247
41.406,11247
41.506,11247
41.606,11247
41.707,11247
41.807,11247
41.907,11247
42.007,11247
42.108,11247
42.208,11247
42.308,11247
42.408,11247
42.509,11247
42.609,11249
42.709,11249
42.810,11249
42.910,11249
43.010,11251
43.110,11251
43.211,11251
43.311,11251
43.411,11251
43.512,11251
43.612,11252
43.712,11252
43.812,11252
43.913,11256
44.013,11257
44.113,11257
44.213,11258
44.314,11258
44.414,11258
44.514,11258
44.614,11258
44.715,11259
44.815,11259
44.915,11259
45.016,11259
45.116,11259
45.216,11259
45.316,11259
45.417,11259
45.517,11259
45.617,11260
45.717,11260
45.818,11260
45.918,11260
46.018,11260
46.118,11260
46.219,11260
46.319,11260
46.419,11260
46.520,11260
46.620,11261
46.720,11261
46.820,11261
46.921,11262
47.021,11263
47.121,11263
47.221,11263
47.322,11263
47.422,11265
47.522,11265
47.622,11265
47.723,11265
47.823,11265
47.923,11265
48.023,11265
48.124,11265
48.224,11269
48.324,11271
48.425,11271
48.525,11271
48.625,11271
48.725,11271
48.826,11271
48.926,11271
49.026,11271
49.126,11271
49.227,11271
49.327,11271
49.427,11271
49.528,11271
49.628,11271
49.728,11271
49.828,11271
49.929,11271
50.029,11271
50.129,11271
50.229,11271
50.330,11271
50.430,11271
50.530,11271
50.630,11271
50.731,11271
50.831,11271
50.931,11271
51.032,11271
51.132,11271
51.232,11272
51.332,11272
51.433,11272
51.533,11272
51.633,11273
51.733,11274
51.834,11274
51.934,11275
52.034,11275
52.135,11275
52.235,11275
52.335,11275
52.435,11277
52.536,11277
52.636,11277
52.736,11278
52.836,11278
52.937,11278
53.037,11278
53.137,11278
53.237,11278
53.338,11278
53.438,11278
53.538,11278
53.638,11278
53.739,11278
53.839,11278
53.939,11278
54.039,11278
54.139,11278
54.240,11278
54.340,11278
54.440,11278
54.540,11278
54.641,11278
54.741,11278
54.841,11278
54.942,11278
55.042,11278
55.142,11278
55.242,11278
55.343,11278
55.443,11278
55.543,11278
55.644,11279
55.744,11279
55.844,11279
55.944,11280
56.045,11281
56.145,11281
56.245,11281
56.345,11281
56.445,11281
56.546,11281
56.646,11281
56.746,11282
56.847,11283
56.947,11285
57.047,11285
57.147,11285
57.248,11285
57.348,11285
57.448,11285
57.548,11285
57.649,11285
57.749,11285
57.849,11286
57.949,11286
58.050,11286
58.150,11286
58.250,11286
58.350,11286
58.451,11286
58.551,11286
58.651,11286
58.752,11286
58.852,11286
58.952,11286
59.053,11286
59.152,11286
59.253,11286
59.353,11286
59.454,11286
59.554,11286
59.654,11286
59.754,11287
59.854,11287
59.955,11287
60.055,11287
60.155,11289
60.256,11289
60.356,11289
60.456,11289
60.556,11289
60.657,11289
60.757,11289
60.857,11289
60.957,11289
61.058,11292
61.158,11297
61.258,11298
61.358,11298
61.459,11298
61.559,11298
61.659,11298
61.759,11298
61.860,11298
61.960,11298
62.060,11298
62.160,11298
62.261,11298
62.361,11298
62.461,11298
62.562,11298
62.662,11298
62.762,11298
62.862,11298
62.963,11298
63.063,11298
63.163,11298
63.263,11298
63.363,11298
63.464,11298
63.564,11298
63.664,11298
63.764,11298
63.864,11298
63.965,11298
64.065,11299
64.165,11299
64.265,11299
64.366,11299
64.466,11301
64.566,11302
64.667,11302
64.767,11302
64.867,11302
64.967,11302
65.068,11302
65.168,11303
65.268,11307
65.368,11307
65.469,11308
65.569,11308
65.669,11309
65.769,11309
65.870,11309
65.970,11309
66.070,11309
66.171,11309
66.271,11309
66.371,11309
66.471,11309
66.572,11309
66.672,11309
66.772,11309
66.872,11309
66.973,11309
67.073,11309
67.173,11309
67.273,11309
67.374,11309
67.474,11309
67.574,11309
67.675,11309
67.775,11309
67.875,11309
67.975,11309
68.075,11309
68.176,11309
68.276,11309
68.381,11310
68.476,11311
68.577,11311
68.677,11311
68.777,11312
68.877,11312
68.978,11312
69.078,11312
69.178,11312
69.279,11312
69.379,11317
69.479,11318
69.579,11318
69.679,11318
69.780,11320
69.880,11320
69.980,11320
70.080,11320
70.181,11320
70.281,11320
70.381,11320
70.481,11320
70.582,11320
70.682,11320
70.782,11320
70.883,11320
70.983,11320
71.083,11320
71.183,11320
71.283,11320
71.384,11320
71.484,11320
71.584,11320
71.684,11320
71.785,11320
71.885,11320
71.985,11320
72.085,11320
72.186,11320
72.286,11320
72.386,11320
72.487,11320
72.587,11320
72.687,11321
72.788,11322
72.888,11322
72.988,11323
73.088,11323
73.189,11323
73.289,11323
73.389,11323
73.489,11323
73.590,11323
73.690,11325
73.790,11326
73.890,11326
73.991,11326
74.091,11327
74.191,11327
74.291,11328
74.392,11328
74.492,11328
74.592,11328
74.692,11328
74.793,11328
74.893,11328
74.993,11328
75.094,11328
75.194,11328
75.294,11328
75.394,11328
75.495,11328
75.595,11328
75.695,11328
75.795,11328
75.896,11328
75.996,11328
76.096,11328
76.196,11328
76.297,11328
76.397,11328
76.497,11328
76.597,11328
76.698,11328
76.798,11329
76.898,11329
76.999,11329
77.099,11330
77.199,11331
77.299,11331
77.400,11331
77.500,11331
77.600,11331
77.700,11331
77.801,11333
77.901,11338
78.001,11338
78.102,11338
78.202,11339
78.302,11339
78.403,11339
78.503,11339
78.603,11340
78.703,11340
78.803,11340
78.904,11340
79.004,11340
79.104,11340
79.204,11340
79.305,11340
79.405,11340
79.505,11340
79.605,11340
79.706,11340
79.806,11340
79.906,11340
80.007,11340
80.107,11340
80.207,11340
80.307,11340
80.407,11340
80.508,11340
80.608,11340
80.708,11340
80.809,11340
80.909,11340
81.009,11340
81.110,11340
81.210,11340
81.310,11341
81.410,11344
81.510,11352
81.611,11358
81.711,11358
81.811,11359
81.911,11370
82.012,11373
82.112,11378
82.212,11379
82.312,11379
82.413,11379
82.513,11379
82.613,11379
82.714,11379
82.814,11379
82.914,11379
83.014,11379
83.115,11379
83.215,11379
83.315,11379
83.415,11379
83.516,11379
83.616,11379
83.716,11379
83.816,11379
83.917,11379
84.017,11379
84.117,11379
84.217,11379
84.317,11379
84.418,11380
84.518,11380
84.618,11380
84.719,11380
84.819,11380
84.919,11380
85.019,11380
85.120,11380
85.220,11380
85.320,11380
85.421,11380
85.521,11381
85.621,11381
85.721,11388
85.822,11389
85.922,11389
86.022,11389
86.122,11390
86.223,11390
86.323,11390
86.423,11390
86.524,11390
86.624,11390
86.724,11390
86.824,11390
86.924,11390
87.025,11390
87.125,11390
87.225,11390
87.325,11390
87.426,11390
87.526,11390
87.626,11390
87.726,11390
87.827,11390
87.927,11390
88.027,11390
88.128,11390
88.228,11390
88.328,11390
88.428,11390
88.529,11390
88.629,11390
88.729,11390
88.829,11390
88.930,11390
89.030,11390
89.130,11390
89.230,11390
89.331,11390
89.431,11390
89.531,11390
89.632,11390
89.732,11390
89.832,11390
89.933,11393
90.033,11398
90.133,11398
90.233,11398
90.334,11398
90.434,11398
90.534,11398
90.635,11401
90.735,11403
90.835,11406
90.935,11409
91.035,11417
91.136,11418
91.236,11418
91.336,11418
91.436,11418
91.537,11418
91.637,11418
91.737,11418
91.837,11418
91.938,11418
92.038,11418
92.138,11418
92.239,11418
92.339,11418
92.439,11418
92.540,11418
92.640,11418
92.740,11418
92.840,11418
92.941,11418
93.041,11418
93.141,11418
93.241,11418
93.341,11418
93.442,11418
93.542,11418
93.642,11418
93.743,11418
93.843,11418
93.943,11418
94.043,11418
94.143,11418
94.244,11418
94.344,11418
94.444,11418
94.545,11418
94.645,11418
94.745,11418
94.846,11418
94.946,11419
95.046,11421
95.146,11426
95.247,11428
95.347,11428
95.447,11428
95.547,11428
95.648,11428
95.748,11428
95.848,11428
95.948,11428
96.049,11428
97.149,11428
97.249,11428
97.350,11428
97.450,11428
97.550,11428
97.650,11428
97.750,11428
97.851,11428
97.951,11428
98.051,11428
98.152,11428
98.252,11428
98.352,11428
98.453,11428
98.553,11428
98.653,11428
98.753,11428
98.854,11428
98.954,11428
99.054,11428
99.154,11428
99.255,11428
99.355,11433
99.455,11435
99.555,11437
99.656,11438
99.756,11438
99.856,11438
99.957,11438
100.057,11438
100.157,11439
100.257,11439
100.358,11439
100.458,11439
100.558,11439
100.658,11439
100.758,11439
100.859,11439
100.959,11439
101.059,11439
101.159,11439
101.260,11439
101.360,11439
101.460,11439
101.560,11439
101.661,11439
101.761,11439
101.861,11439
101.961,11439
102.062,11439
102.162,11439
102.262,11439
102.363,11439
102.463,11444
102.563,11449
102.664,11456
102.764,11467
102.864,11477
102.964,11487
103.064,11496
103.164,11507
103.264,11517
103.365,11527
103.465,11537
103.565,11547
103.665,11562
103.765,11572
103.865,11584
103.966,11594
104.066,11604
104.166,11614
104.266,11625
104.366,11636
104.467,11646
104.567,11656
104.667,11666
104.767,11676
104.867,11686
104.968,11696
105.068,11706
105.168,11716
105.268,11726
105.369,11736
105.469,11746
105.569,11756
105.670,11766
105.770,11776
105.870,11786
105.970,11796
106.070,11806
106.171,11816
106.271,11826
106.371,11837
106.472,11847
106.572,11857
106.672,11867
106.772,11877
106.872,11887
106.973,11897
107.072,11907
107.173,11917
107.273,11927
107.373,11937
107.473,11947
107.574,11958
107.674,11968
107.774,11978
107.875,11988
107.975,11998
108.075,12014
108.175,12026
108.276,12036
108.377,12047
108.476,12057
108.576,12067
108.676,12077
108.776,12087
108.876,12097
108.977,12107
109.077,12117
109.177,12127
109.277,12137
109.377,12147
109.477,12157
109.577,12167
109.678,12177
109.778,12187
109.878,12197
109.978,12207
110.079,12217
110.179,12227
110.279,12237
110.380,12247
110.480,12257
110.580,12267
110.680,12277
110.780,12287
110.880,12297
110.981,12307
111.080,12317
111.181,12329
111.281,12338
111.381,12349
111.481,12359
111.582,12369
111.682,12379
111.782,12389
111.882,12399
111.983,12409
112.083,12419
112.183,12433
112.283,12444
112.383,12454
112.483,12464
112.584,12474
112.684,12484
112.784,12495
112.884,12505
112.984,12515
113.085,12525
113.185,12535
113.285,12545
113.385,12555
113.486,12565
113.586,12575
113.686,12585
113.786,12595
113.887,12605
113.987,12615
114.087,12625
114.188,12635
114.288,12645
114.388,12655
114.488,12664
114.588,12675
114.689,12685
114.789,12695
114.889,12705
114.990,12715
115.090,12725
115.190,12735
115.290,12745
115.391,12755
115.491,12765
115.591,12775
115.691,12785
115.792,12795
115.892,12805
115.992,12815
116.092,12825
116.193,12835
116.293,12845
116.393,12855
116.493,12869
116.594,12880
116.694,12890
116.794,12900
116.894,12910
116.995,12921
117.095,12931
117.195,12942
117.296,12952
117.396,12962
117.496,12972
117.596,12982
117.697,12992
117.797,13002
117.897,13012
117.997,13022
118.098,13032
118.198,13043
118.298,13053
118.399,13063
118.499,13073
118.599,13084
118.699,13094
118.800,13104
118.900,13114
119.000,13124
119.100,13134
119.200,13145
119.301,13155
119.401,13166
119.501,13176
119.601,13186
119.701,13196
119.802,13206
119.902,13216
120.002,13226
120.102,13236
120.202,13246
120.303,13256
120.403,13266
120.503,13276
120.603,13286
120.703,13296
120.803,13312
120.904,13323
121.004,13333
121.104,13343
121.204,13353
121.304,13363
121.404,13373
121.505,13383
121.605,13394
121.705,13404
121.805,13414
121.905,13424
122.005,13434
122.106,13449
122.206,13460
122.306,13470
122.406,13480
122.506,13490
122.606,13500
122.707,13510
122.807,13520
122.907,13530
123.007,13540
123.107,13550
123.208,13560
123.308,13570
123.408,13580
123.508,13590
123.608,13600
123.708,13610
123.809,13620
123.909,13630
124.009,13640
124.109,13650
124.210,13660
124.310,13670
124.410,13680
124.510,13690
124.610,13700
124.710,13710
124.811,13720
124.911,13733
125.011,13747
125.111,13757
125.211,13767
125.311,13777
125.412,13787
125.512,13797
125.612,13807
125.712,13817
125.812,13828
125.913,13838
126.013,13848
126.113,13858
126.213,13868
126.313,13878
126.414,13888
126.514,13898
126.614,13908
126.714,13918
126.814,13928
126.915,13938
127.015,13948
127.115,13958
127.215,13968
127.315,13978
127.415,13988
127.516,13998
127.616,14008
127.716,14018
127.816,14028
127.916,14038
128.017,14048
128.117,14058
128.217,14068
128.317,14078
128.417,14088
128.518,14098
128.618,14108
128.718,14118
128.818,14129
128.918,14139
129.018,14149
129.119,14159
129.219,14169
129.319,14181
129.419,14195
129.519,14206
129.620,14217
129.720,14227
129.820,14237
129.920,14247
130.021,14258
130.121,14268
130.221,14279
130.321,14289
130.422,14300
130.522,14310
130.622,14320
130.722,14330
130.823,14340
130.923,14350
131.023,14360
131.123,14370
131.224,14380
131.324,14390
131.424,14400
131.524,14410
131.625,14420
131.725,14430
131.825,14440
131.925,14450
132.025,14460
132.125,14470
132.226,14480
132.326,14490
132.426,14500
132.526,14510
132.627,14519
132.727,14529
132.827,14540
132.927,14550
133.028,14560
133.128,14570
133.228,14580
133.328,14590
133.428,14600
133.529,14610
133.629,14620
133.729,14636
133.830,14647
133.930,14657
134.030,14667
134.130,14677
134.231,14687
134.331,14697
134.431,14707
134.531,14717
134.632,14728
134.732,14738
134.832,14748
134.933,14758
135.033,14768
135.133,14778
135.233,14788
135.333,14798
135.434,14808
135.534,14818
135.634,14828
135.735,14838
135.835,14848
135.935,14858
136.035,14868
136.136,14878
136.236,14888
136.336,14898
136.436,14908
136.537,14918
136.637,14928
136.737,14938
136.837,14948
136.938,14958
137.038,14968
137.138,14978
137.238,14988
137.339,14998
137.439,15008
137.540,15018
137.640,15028
137.740,15038
137.840,15048
137.940,15062
138.040,15073
138.141,15084
138.241,15094
138.341,15104
138.441,15114
138.542,15125
138.642,15135
138.742,15145
138.842,15156
138.943,15166
139.043,15176
139.143,15187
139.243,15197
139.343,15207
139.444,15217
139.544,15227
139.644,15237
139.744,15247
139.844,15257
139.944,15267
140.045,15277
140.145,15287
140.245,15297
140.345,15307
140.445,15317
140.546,15327
140.646,15337
140.746,15347
140.846,15357
140.946,15367
141.046,15377
141.147,15387
141.247,15397
141.347,15407
141.447,15417
141.547,15427
141.648,15437
141.748,15447
141.848,15457
141.948,15467
142.048,15478
143.148,15596
143.249,15606
143.349,15616
143.449,15626
143.550,15636
143.650,15646
143.750,15656
143.850,15666
143.951,15676
144.051,15686
144.151,15696
144.251,15706
144.351,15716
144.452,15726
144.552,15736
144.652,15746
144.752,15756
144.853,15766
144.953,15776
145.053,15786
145.153,15796
145.254,15806
145.354,15816
145.454,15827
145.554,15837
145.655,15847
145.755,15857
145.855,15867
145.955,15877
146.055,15887
146.156,15897
146.256,15907
146.356,15917
146.456,15932
146.557,15943
146.657,15953
146.757,15963
146.857,15973
146.958,15984
147.058,15994
147.158,16006
147.258,16016
147.359,16026
147.459,16036
147.559,16046
147.659,16056
147.760,16066
147.860,16076
147.960,16086
148.060,16096
148.160,16106
148.261,16116
148.361,16127
148.462,16137
148.561,16147
148.662,16158
148.762,16168
148.862,16178
148.962,16188
149.062,16198
149.163,16208
149.263,16218
149.363,16228
149.463,16238
149.563,16248
149.664,16258
149.764,16268
149.864,16278
149.964,16288
150.064,16298
150.165,16308
150.265,16318
150.365,16328
150.465,16338
150.565,16348
150.665,16358
150.766,16373
150.866,16384
150.966,16395
151.066,16405
151.166,16415
151.266,16425
151.367,16438
151.467,16449
151.567,16459
151.667,16469
151.767,16479
151.867,16489
151.968,16499
152.068,16509
152.168,16519
152.268,16529
152.368,16539
152.469,16549
152.569,16559
152.669,16569
152.769,16579
152.869,16589
152.969,16599
153.070,16609
153.170,16620
153.270,16630
153.370,16640
153.470,16650
153.571,16660
153.671,16670
153.771,16680
153.871,16690
153.971,16700
154.071,16710
