TO_CLIENT
1461966980
time,tx_packets
0.001,25525
0.101,25525
0.201,25525
0.301,25525
0.402,25525
0.502,25525
0.602,25525
0.702,25525
0.802,25525
0.903,25525
1.003,25525
1.103,25529
1.203,25535
1.303,25540
1.404,25545
1.504,25550
1.604,25555
1.704,25560
1.804,25565
1.904,25570
2.004,25575
2.105,25580
2.205,25585
2.305,25590
2.405,25595
2.505,25600
2.605,25605
2.706,25610
2.806,25615
2.906,25620
3.006,25625
3.106,25630
3.206,25635
3.307,25640
3.407,25645
3.507,25650
3.607,25655
3.707,25660
3.807,25665
3.907,25670
4.008,25675
4.108,25680
4.208,25685
4.308,25690
4.408,25695
4.508,25700
4.609,25705
4.709,25708
4.809,25715
4.909,25720
5.009,25725
5.109,25730
5.209,25735
5.310,25740
5.410,25745
5.510,25750
5.610,25755
5.710,25760
5.810,25765
5.911,25770
6.011,25775
6.111,25781
6.211,25786
6.311,25791
6.411,25796
6.511,25801
6.612,25806
6.712,25811
6.812,25816
6.912,25821
7.012,25826
7.112,25831
7.213,25836
7.313,25841
7.413,25846
7.513,25851
7.613,25856
7.713,25861
7.813,25866
7.914,25871
8.014,25876
8.114,25881
8.214,25886
8.314,25891
8.414,25896
8.514,25901
8.614,25906
8.715,25911
8.815,25916
8.915,25921
9.015,25926
9.115,25931
9.215,25936
9.316,25941
9.416,25946
9.516,25951
9.616,25956
9.716,25961
9.817,25966
9.917,25971
10.017,25976
10.117,25981
10.217,25986
10.318,25991
10.418,25996
10.518,26001
10.618,26006
10.718,26011
10.819,26016
10.919,26021
11.019,26026
11.119,26030
11.219,26030
11.319,26030
11.419,26030
11.519,26030
11.620,26037
11.720,26043
11.820,26050
11.920,26058
12.020,26063
12.120,26071
12.220,26075
12.321,26079
12.421,26087
12.521,26092
12.621,26096
12.721,26101
12.821,26107
12.921,26112
13.022,26117
13.122,26122
13.222,26127
13.322,26132
13.422,26137
13.522,26142
13.623,26147
13.723,26152
13.823,26157
13.923,26162
14.023,26167
14.123,26172
14.224,26177
14.324,26182
14.424,26187
14.524,26192
14.624,26197
14.724,26202
14.825,26207
14.925,26212
15.025,26217
15.125,26222
15.225,26227
15.326,26232
15.426,26237
15.526,26242
15.626,26247
15.726,26252
15.826,26257
15.927,26262
16.027,26267
16.127,26272
16.227,26277
16.327,26282
16.428,26287
16.528,26292
16.628,26297
16.728,26302
16.828,26307
16.929,26312
17.029,26317
17.129,26322
17.229,26327
17.329,26332
17.429,26337
17.529,26342
17.630,26348
17.730,26353
17.830,26358
17.930,26363
18.030,26368
18.130,26373
18.231,26378
18.331,26383
18.431,26388
18.531,26393
18.631,26398
18.731,26403
18.832,26408
18.932,26413
19.032,26418
19.132,26423
19.232,26428
19.332,26433
19.432,26438
19.532,26443
19.633,26448
19.733,26453
19.833,26458
19.933,26463
20.033,26468
20.133,26473
20.234,26478
20.334,26483
20.434,26488
20.534,26493
20.634,26498
20.734,26503
20.835,26508
20.935,26513
21.035,26518
21.135,26523
21.235,26528
21.335,26533
21.435,26538
21.536,26543
21.636,26548
21.736,26553
21.836,26558
21.936,26563
22.036,26568
22.137,26573
22.237,26578
22.337,26583
22.437,26588
22.537,26593
22.637,26598
22.738,26603
22.838,26608
22.938,26613
23.038,26618
23.138,26623
23.239,26628
23.339,26633
23.439,26638
23.539,26643
23.639,26648
23.739,26653
23.840,26658
23.940,26663
24.040,26668
24.140,26673
24.240,26678
24.341,26683
24.441,26688
24.541,26693
24.641,26698
24.741,26703
24.841,26708
24.942,26713
25.042,26718
25.142,26723
25.242,26728
25.342,26733
25.442,26738
25.542,26743
25.643,26748
25.743,26753
25.843,26758
25.943,26763
26.043,26768
26.143,26773
26.244,26778
26.344,26783
26.444,26788
26.544,26793
26.645,26798
26.745,26803
26.845,26808
26.945,26813
28.045,26868
28.146,26873
28.246,26878
28.346,26883
28.446,26888
28.547,26893
28.647,26898
28.747,26903
28.847,26908
28.947,26913
29.047,26918
29.148,26923
29.248,26928
29.348,26933
29.448,26938
29.548,26943
29.649,26948
29.749,26952
29.849,26958
29.949,26963
30.049,26968
30.149,26973
30.249,26978
30.349,26983
30.450,26989
30.550,26994
30.650,26999
30.750,27004
30.850,27009
30.950,27014
31.050,27019
31.150,27024
31.250,27029
31.350,27034
31.450,27039
31.551,27044
31.651,27049
31.751,27054
31.851,27059
31.951,27064
32.051,27069
32.151,27074
32.251,27079
32.351,27084
32.451,27089
32.552,27094
32.652,27099
32.752,27104
32.852,27109
32.952,27114
33.053,27119
33.153,27124
33.253,27129
33.353,27134
33.453,27139
33.553,27144
33.653,27149
33.754,27154
33.854,27159
33.954,27164
