TO_UIUC
1461966980
time,tx_packets
0.001,32936
0.101,32937
0.201,32937
0.301,32937
0.402,32937
0.502,32937
0.602,32937
0.702,32937
0.802,32937
0.903,32942
1.003,32948
1.103,32959
1.203,32969
1.303,32979
1.404,32989
1.504,32999
1.604,33009
1.704,33019
1.804,33033
1.904,33050
2.004,33065
2.104,33075
2.205,33085
2.305,33095
2.405,33105
2.505,33115
2.605,33125
2.705,33135
2.806,33145
2.906,33155
3.006,33165
3.106,33178
3.206,33188
3.306,33199
3.407,33210
3.507,33220
3.607,33231
3.707,33241
3.807,33251
3.907,33261
4.008,33271
4.108,33281
4.208,33296
4.308,33311
4.408,33321
4.508,33331
4.608,33341
4.709,33352
4.809,33368
4.909,33382
5.009,33394
5.109,33407
5.209,33417
5.310,33432
5.410,33447
5.510,33460
5.610,33471
5.710,33481
5.810,33492
5.910,33507
6.011,33523
6.111,33539
6.211,33554
6.311,33568
6.411,33584
6.511,33597
6.612,33614
6.712,33626
6.812,33640
6.912,33655
7.012,33672
7.112,33687
7.212,33699
7.313,33712
7.413,33724
7.513,33734
7.613,33748
7.713,33764
7.813,33777
7.914,33796
8.014,33814
8.114,33830
8.214,33842
8.314,33855
8.414,33869
8.514,33883
8.614,33898
8.714,33909
8.815,33924
8.915,33938
9.015,33954
9.115,33973
9.215,33987
9.316,33997
9.416,34011
9.516,34026
9.616,34044
9.716,34060
9.817,34074
9.917,34088
10.017,34098
10.117,34111
10.217,34121
10.317,34139
10.418,34162
10.518,34187
10.618,34204
10.718,34218
10.818,34232
10.918,34246
11.019,34257
11.118,34271
11.219,34282
11.319,34287
11.419,34289
11.519,34299
11.620,34316
11.720,34336
11.820,34372
11.920,34400
12.020,34435
12.120,34463
12.220,34484
12.320,34507
12.421,34528
12.520,34551
12.621,34576
12.721,34600
12.821,34623
12.921,34649
13.021,34676
13.122,34701
13.222,34728
13.322,34755
13.422,34779
13.522,34805
13.622,34830
13.723,34855
13.823,34881
13.923,34908
14.024,34932
14.123,34957
14.223,34982
14.324,35008
14.424,35033
14.524,35057
14.624,35083
14.724,35108
14.824,35133
14.925,35157
15.025,35183
15.125,35208
15.225,35233
15.325,35258
15.426,35283
15.526,35308
15.626,35333
15.726,35358
15.826,35383
15.926,35408
16.027,35433
16.127,35459
16.227,35484
16.327,35508
16.427,35534
16.527,35558
16.628,35583
16.728,35610
16.828,35635
16.928,35659
17.028,35685
17.128,35710
17.229,35734
17.329,35760
17.429,35785
17.529,35810
17.629,35835
17.729,35860
17.830,35885
17.930,35911
18.030,35936
18.130,35962
18.230,35987
18.330,36013
18.431,36038
18.531,36063
18.631,36088
18.731,36113
18.831,36138
