TO_UM
1461966980
time,tx_packets
0.001,32721
0.101,32721
0.201,32721
0.301,32721
0.401,32722
0.502,32722
0.602,32723
0.702,32723
0.802,32723
0.902,32746
1.003,32792
1.103,32839
1.203,32882
1.303,32920
1.403,32962
1.503,33001
1.604,33035
1.704,33068
1.804,33093
1.904,33117
2.004,33163
2.104,33209
2.204,33254
2.305,33299
2.405,33342
2.505,33387
2.605,33431
2.705,33474
2.805,33517
2.905,33560
3.006,33602
3.106,33645
3.206,33686
3.306,33724
3.406,33761
3.506,33807
3.607,33850
3.707,33893
3.807,33938
3.907,33984
4.007,34026
4.107,34071
4.208,34120
4.308,34171
4.408,34216
4.508,34263
4.608,34310
4.708,34364
4.808,34402
4.909,34466
5.009,34521
5.109,34572
5.209,34619
5.309,34670
5.409,34726
5.510,34775
5.610,34820
5.710,34868
5.810,34921
5.910,34976
6.010,35026
6.110,35072
6.211,35122
6.311,35178
6.411,35225
6.511,35273
6.611,35324
6.711,35372
6.811,35422
6.912,35476
7.012,35525
7.112,35573
7.212,35625
7.312,35675
7.412,35721
7.513,35771
7.613,35822
7.713,35873
7.813,35922
7.913,35977
8.013,36029
8.114,36077
8.214,36122
8.314,36176
8.414,36229
8.515,36275
8.615,36321
8.715,36377
8.815,36429
8.915,36476
9.015,36525
9.116,36580
9.216,36627
9.316,36673
9.416,36729
9.516,36781
9.617,36828
9.717,36877
9.817,36933
9.917,36984
10.017,37032
10.118,37079
10.218,37131
10.318,37185
10.418,37239
10.518,37289
10.618,37335
10.718,37387
10.818,37440
10.919,37488
11.019,37533
11.119,37588
11.219,37640
11.319,37686
11.419,37733
11.519,37779
11.620,37832
11.720,37875
11.820,37924
11.920,37971
12.020,38011
12.120,38073
12.221,38117
12.321,38150
12.421,38206
12.521,38252
12.621,38300
12.721,38345
12.822,38405
12.922,38448
13.022,38492
13.122,38543
13.222,38592
13.322,38642
13.423,38691
13.523,38741
13.623,38793
13.723,38842
13.823,38893
13.923,38946
14.024,38996
14.124,39046
14.224,39095
14.324,39145
14.424,39196
14.524,39248
14.625,39299
14.725,39350
14.825,39401
14.925,39450
15.025,39500
15.126,39551
15.226,39601
15.326,39651
15.426,39702
15.527,39751
15.627,39800
15.727,39851
15.827,39901
15.927,39951
16.027,40001
16.128,40052
16.228,40102
16.328,40151
16.428,40201
16.528,40253
16.628,40303
16.729,40352
16.829,40402
16.929,40452
17.029,40503
17.129,40553
17.229,40602
17.329,40652
17.429,40703
17.530,40752
17.630,40803
17.730,40853
17.830,40904
17.930,40957
18.030,41006
18.131,41056
18.231,41107
18.331,41157
18.431,41207
18.531,41257
18.631,41306
18.731,41360
18.832,41410
18.932,41461
19.032,41511
19.132,41561
19.232,41611
19.332,41661
19.433,41711
19.533,41761
19.633,41812
19.733,41862
19.833,41912
19.933,41962
20.034,42012
20.134,42063
20.234,42113
20.334,42163
20.435,42213
20.535,42263
20.635,42313
20.735,42364
20.835,42414
20.935,42464
21.036,42514
21.136,42564
21.236,42614
21.336,42664
21.436,42714
21.536,42764
21.637,42815
21.737,42865
21.837,42914
21.937,42964
22.037,43017
22.137,43067
22.237,43116
22.337,43169
22.437,43219
22.538,43268
22.638,43318
22.738,43369
22.838,43424
22.938,43475
23.038,43525
23.138,43575
23.238,43625
23.338,43675
23.439,43726
23.539,43776
23.639,43826
23.739,43876
23.839,43926
23.939,43976
24.040,44027
24.140,44078
24.240,44128
24.340,44176
24.440,44228
24.540,44278
24.641,44326
24.741,44377
24.841,44428
24.941,44478
25.041,44529
25.141,44579
25.241,44628
25.342,44678
25.442,44730
25.542,44780
25.642,44831
25.742,44881
25.842,44930
25.943,44979
26.043,45030
26.143,45080
26.243,45129
26.343,45180
26.443,45230
26.544,45284
26.644,45335
26.744,45385
26.844,45435
26.944,45486
28.044,46041
28.145,46091
28.245,46141
28.345,46191
28.445,46241
28.545,46291
28.646,46341
28.746,46391
28.846,46441
28.946,46491
29.046,46541
29.146,46591
29.247,46643
29.347,46693
29.447,46742
29.547,46792
29.647,46840
29.747,46893
29.848,46943
29.948,46994
30.048,47044
30.148,47093
30.248,47145
30.348,47194
30.448,47244
30.548,47295
30.648,47347
30.749,47396
30.849,47447
30.949,47497
31.049,47548
31.149,47598
31.249,47649
31.349,47699
31.449,47748
31.549,47798
31.649,47850
31.750,47898
31.850,47952
31.950,48005
32.050,48056
32.150,48106
32.250,48156
32.351,48207
32.451,48257
32.551,48307
32.651,48356
32.751,48406
32.851,48462
32.951,48512
33.052,48562
33.152,48612
33.252,48662
33.352,48712
33.452,48763
33.552,48813
33.652,48864
33.753,48914
33.853,48965
33.953,49014
34.053,49065
34.153,49115
34.253,49163
34.353,49214
34.454,49263
34.554,49315
34.654,49365
34.754,49415
34.854,49466
34.954,49516
35.055,49566
35.155,49615
35.255,49667
35.355,49717
35.455,49769
35.555,49819
35.656,49869
35.756,49918
35.856,49968
35.956,50019
36.056,50069
36.157,50119
36.257,50169
36.357,50220
36.457,50270
36.557,50319
36.658,50370
36.758,50421
36.858,50470
36.958,50517
37.058,50563
37.158,50609
37.258,50657
37.359,50702
37.459,50747
37.559,50795
37.659,50840
37.759,50885
37.859,50935
37.960,50987
38.060,51039
38.160,51091
38.260,51134
38.360,51182
38.461,51233
38.561,51278
38.661,51329
38.761,51377
38.861,51424
38.962,51474
39.062,51524
39.162,51575
39.262,51620
39.362,51670
39.463,51721
39.563,51767
39.663,51818
39.763,51872
39.864,51926
39.964,51975
40.064,52021
40.164,52066
40.264,52112
40.364,52157
40.465,52205
40.565,52252
40.665,52301
40.765,52350
40.865,52396
40.966,52441
41.066,52486
41.166,52531
41.266,52577
41.366,52622
41.466,52667
41.567,52712
41.667,52758
41.767,52803
41.867,52850
41.967,52897
42.068,52946
42.168,52991
42.268,53036
42.368,53082
42.468,53127
42.568,53174
42.668,53222
42.769,53272
42.869,53322
42.969,53372
43.069,53417
43.169,53462
43.269,53508
43.370,53553
43.470,53599
43.570,53643
43.670,53688
43.771,53734
43.870,53781
43.971,53830
44.071,53880
44.171,53931
44.274,53979
44.371,54022
44.471,54068
44.571,54112
44.671,54158
44.772,54204
44.872,54249
44.972,54294
45.072,54339
45.172,54384
45.273,54431
45.372,54475
45.473,54520
45.573,54565
45.673,54610
45.773,54655
45.873,54701
45.973,54745
46.074,54790
46.174,54836
46.274,54883
46.374,54928
46.474,54973
46.574,55018
46.674,55063
46.774,55108
46.875,55153
46.975,55198
47.075,55243
47.175,55288
47.275,55333
47.375,55378
47.476,55423
47.576,55468
47.676,55513
47.776,55558
47.876,55604
47.976,55650
48.076,55694
48.177,55740
48.277,55784
48.377,55836
48.477,55887
48.577,55937
48.678,55982
48.778,56026
48.878,56077
48.978,56123
49.078,56169
49.178,56214
49.278,56259
49.379,56305
49.479,56350
49.579,56395
49.679,56440
49.779,56485
49.879,56530
49.979,56576
50.080,56620
50.180,56665
50.280,56710
50.380,56755
50.480,56803
50.580,56847
50.681,56891
50.781,56937
50.881,56982
50.981,57027
51.081,57072
51.181,57118
51.281,57162
51.382,57207
51.482,57253
51.582,57298
51.682,57342
51.782,57387
51.883,57433
51.983,57480
52.083,57524
52.183,57569
52.283,57616
52.383,57660
52.484,57705
52.584,57751
52.684,57796
52.784,57842
52.884,57888
52.984,57936
53.084,57981
53.185,58027
53.285,58072
53.385,58118
53.485,58163
53.585,58208
53.686,58254
53.785,58299
53.886,58344
53.986,58389
54.086,58434
54.186,58479
54.286,58525
54.387,58570
54.487,58615
54.587,58660
54.687,58704
54.787,58750
54.887,58795
54.987,58841
55.087,58885
55.187,58931
55.288,58976
55.388,59021
55.488,59066
55.588,59111
55.688,59156
55.788,59201
55.888,59246
55.988,59291
56.088,59337
56.188,59382
56.289,59427
56.389,59473
56.489,59518
