TO_CLIENT
1461967318
time,tx_packets
0.001,38100
0.101,38100
0.201,38100
0.301,38100
0.402,38100
0.502,38100
0.602,38100
0.702,38100
0.802,38100
0.903,38100
1.003,38100
1.103,38105
1.203,38110
1.304,38115
1.404,38120
1.504,38125
1.604,38130
1.704,38135
1.804,38140
1.904,38145
2.005,38150
2.105,38155
2.205,38160
3.305,38215
3.405,38220
3.505,38225
3.606,38230
3.706,38235
3.806,38240
3.906,38245
4.006,38250
4.106,38255
4.207,38260
4.307,38265
4.407,38270
4.507,38275
4.607,38280
4.708,38285
4.808,38290
4.908,38292
5.008,38299
5.108,38305
5.208,38310
5.308,38315
5.408,38320
5.508,38325
5.608,38330
5.709,38335
5.809,38341
5.909,38346
6.009,38351
6.109,38356
6.209,38361
6.310,38366
6.410,38371
6.510,38376
6.610,38381
6.710,38386
6.810,38391
6.911,38396
7.011,38401
7.111,38406
7.211,38411
7.311,38416
7.412,38421
7.512,38426
7.612,38431
7.712,38436
7.812,38441
7.912,38446
8.013,38451
8.113,38456
8.213,38461
8.313,38466
8.413,38471
8.513,38476
8.614,38481
8.714,38486
8.814,38491
8.914,38496
9.014,38501
9.114,38506
9.215,38511
9.315,38516
9.415,38522
9.515,38527
9.615,38532
9.715,38537
9.815,38542
9.916,38547
10.016,38552
10.116,38557
10.216,38562
10.316,38567
10.416,38572
10.517,38577
10.617,38582
10.717,38587
10.817,38593
10.917,38598
11.017,38603
11.118,38605
11.218,38605
11.318,38605
11.418,38605
11.518,38606
11.618,38611
11.719,38616
11.819,38622
11.919,38631
12.019,38639
12.119,38644
12.219,38649
12.319,38654
12.419,38659
12.519,38664
12.619,38669
12.720,38674
12.820,38679
12.920,38684
13.021,38689
13.121,38694
13.221,38699
13.321,38704
13.421,38709
13.522,38714
13.622,38719
13.722,38724
13.822,38729
13.922,38734
14.023,38739
14.123,38744
14.223,38749
14.323,38754
14.423,38759
14.523,38764
14.624,38769
14.724,38774
14.824,38779
14.924,38784
15.024,38789
15.124,38794
15.225,38799
15.325,38804
15.425,38809
15.525,38814
15.625,38819
15.725,38824
15.826,38829
15.926,38834
16.026,38839
16.126,38844
16.226,38849
16.327,38854
16.427,38859
16.527,38864
16.627,38869
16.727,38874
16.828,38879
16.928,38884
17.028,38889
17.128,38894
17.228,38899
17.329,38904
17.429,38909
17.529,38914
17.629,38919
17.729,38924
17.829,38929
17.930,38934
18.030,38939
18.130,38944
18.230,38949
18.330,38954
18.431,38959
18.531,38964
18.631,38969
18.731,38974
18.831,38979
18.932,38984
19.032,38989
19.132,38994
19.232,38999
19.332,39004
19.432,39009
19.536,39014
19.633,39019
19.733,39024
19.833,39029
19.933,39034
20.033,39039
20.133,39044
20.233,39049
20.333,39054
20.434,39059
20.536,39064
20.634,39069
20.734,39074
20.834,39079
20.934,39084
21.034,39089
21.134,39094
21.235,39099
21.335,39104
21.435,39109
21.535,39114
21.635,39119
21.735,39124
21.835,39129
21.935,39134
22.035,39139
22.136,39144
22.236,39149
22.336,39154
22.436,39159
22.536,39164
22.636,39169
22.736,39174
22.836,39179
22.937,39184
23.037,39189
23.137,39194
23.237,39199
23.337,39204
23.437,39210
23.537,39215
23.638,39220
23.738,39225
23.838,39229
23.938,39234
24.038,39240
24.138,39245
24.238,39250
24.338,39255
24.438,39260
24.539,39265
24.639,39270
24.739,39275
24.839,39280
24.939,39285
25.039,39290
25.139,39295
25.239,39300
25.340,39305
25.440,39310
25.540,39315
25.640,39320
25.740,39325
25.840,39330
25.940,39335
26.041,39340
26.141,39345
26.241,39350
26.341,39355
26.441,39360
26.541,39365
26.642,39370
26.742,39375
26.842,39380
26.942,39385
27.042,39390
27.142,39395
27.242,39400
27.342,39405
27.443,39410
27.543,39415
27.643,39420
27.743,39425
27.843,39430
27.944,39435
28.044,39440
28.144,39445
28.244,39450
28.344,39455
28.444,39460
28.544,39465
28.645,39470
28.745,39475
28.845,39480
28.945,39485
29.045,39490
29.145,39495
29.245,39500
29.346,39505
29.446,39510
29.546,39515
29.646,39520
29.746,39525
29.846,39530
29.946,39535
30.047,39540
30.147,39545
30.247,39550
30.347,39555
30.447,39560
30.547,39565
30.647,39570
30.748,39575
30.848,39580
30.948,39585
31.048,39590
31.148,39595
31.248,39600
31.348,39605
31.448,39610
31.549,39615
31.649,39620
31.749,39625
31.849,39630
31.949,39635
32.049,39640
32.149,39645
32.249,39650
32.350,39655
32.450,39660
32.550,39665
32.650,39670
32.750,39675
32.850,39680
32.950,39685
33.050,39690
33.151,39695
33.251,39700
33.351,39705
33.451,39710
33.551,39715
33.651,39720
33.751,39725
33.851,39730
33.951,39735
34.052,39740
34.151,39745
34.252,39750
34.352,39755
34.452,39760
34.552,39765
34.652,39770
34.752,39775
34.853,39780
34.953,39784
35.053,39790
35.153,39795
35.253,39800
35.353,39805
35.453,39810
35.553,39815
35.653,39820
35.753,39825
35.853,39830
35.954,39835
36.054,39840
36.154,39845
36.254,39850
36.354,39855
36.454,39860
36.554,39865
36.654,39870
36.754,39875
36.855,39880
36.955,39885
37.055,39890
37.155,39895
37.255,39900
37.355,39905
37.455,39910
37.555,39915
37.655,39920
37.756,39925
37.856,39930
37.956,39935
38.056,39940
38.156,39945
38.256,39950
38.356,39955
38.456,39960
38.557,39965
38.657,39970
38.757,39975
38.857,39980
38.957,39986
39.057,39990
39.157,39996
39.258,40001
39.358,40006
39.458,40011
39.558,40016
39.658,40021
39.758,40026
39.858,40031
39.958,40036
40.059,40041
40.159,40046
40.259,40051
40.359,40056
40.459,40061
40.559,40066
40.660,40071
40.760,40076
40.860,40081
40.960,40086
41.060,40091
41.160,40096
41.260,40101
41.360,40106
41.460,40111
41.561,40116
41.661,40121
41.761,40126
41.861,40131
41.961,40136
42.061,40141
42.161,40146
42.261,40151
42.362,40156
42.462,40161
42.561,40166
42.662,40171
42.762,40176
42.862,40181
42.962,40186
43.062,40191
43.162,40196
43.262,40201
43.362,40206
43.463,40211
43.563,40216
43.663,40221
43.763,40226
43.863,40231
43.964,40236
44.064,40241
44.164,40246
44.264,40251
44.364,40256
44.465,40261
44.565,40266
44.665,40271
44.765,40276
44.865,40281
44.965,40286
45.066,40291
45.166,40296
45.266,40301
45.366,40306
45.466,40311
45.566,40316
45.666,40321
45.766,40326
45.866,40331
45.966,40336
46.067,40341
46.167,40346
46.267,40351
46.367,40356
46.467,40361
46.567,40366
46.667,40371
46.767,40376
46.867,40381
46.968,40386
47.068,40391
47.168,40396
47.268,40401
47.368,40406
47.468,40411
47.568,40416
47.669,40421
47.769,40426
47.869,40431
47.969,40436
48.069,40441
48.169,40446
48.269,40451
48.369,40456
48.470,40461
48.570,40466
48.670,40471
48.770,40476
48.870,40481
48.970,40486
49.070,40491
49.170,40496
49.271,40501
49.371,40506
49.471,40511
49.571,40516
49.671,40521
49.771,40526
49.871,40531
49.971,40536
50.072,40541
50.172,40546
50.272,40551
50.372,40556
50.472,40561
50.572,40566
50.672,40571
50.772,40576
50.872,40582
50.972,40587
51.073,40592
51.173,40597
51.273,40602
51.373,40607
51.473,40612
51.573,40617
51.673,40622
51.773,40627
51.873,40632
51.974,40637
52.074,40642
52.174,40647
52.274,40652
52.374,40657
52.474,40662
52.574,40667
52.674,40672
52.774,40677
52.874,40682
52.975,40687
53.075,40692
53.175,40697
53.275,40702
53.375,40707
53.475,40712
53.575,40717
53.675,40722
53.775,40727
53.875,40732
53.976,40737
54.076,40742
54.176,40747
54.276,40752
54.376,40757
54.476,40762
54.576,40767
54.676,40772
54.776,40777
54.876,40782
54.976,40787
55.077,40792
55.177,40797
55.277,40802
55.377,40807
55.477,40812
55.577,40817
55.677,40822
55.778,40827
55.878,40832
55.978,40839
56.078,40844
56.178,40849
56.278,40854
56.378,40859
56.479,40864
56.579,40869
56.679,40874
56.779,40879
56.879,40884
56.979,40889
57.079,40894
57.179,40899
57.279,40904
57.379,40909
57.480,40914
57.580,40919
57.680,40924
57.780,40929
57.880,40934
57.980,40939
58.080,40944
58.180,40949
58.281,40954
58.381,40959
58.481,40964
58.581,40969
58.681,40974
58.781,40979
58.882,40984
58.982,40989
59.082,40994
59.182,40999
59.282,41004
59.382,41009
59.483,41014
59.583,41019
59.683,41024
59.783,41029
59.883,41034
59.983,41039
60.083,41044
60.184,41049
60.284,41054
60.384,41059
60.484,41064
60.584,41069
60.685,41074
60.785,41079
60.885,41084
60.985,41089
61.085,41094
61.185,41099
61.285,41104
61.385,41109
61.486,41114
61.586,41119
61.686,41124
61.786,41129
61.886,41134
61.986,41139
62.086,41144
62.186,41149
62.286,41154
62.386,41159
62.486,41164
62.587,41169
62.687,41174
62.787,41179
62.887,41184
62.987,41189
63.087,41194
63.188,41199
63.288,41204
63.388,41209
63.488,41214
63.588,41219
63.688,41224
63.788,41229
63.888,41234
63.989,41239
64.089,41244
64.189,41249
64.289,41254
64.389,41259
64.489,41264
64.589,41269
64.689,41274
64.790,41279
64.890,41284
64.990,41289
65.090,41293
65.190,41299
65.290,41304
65.390,41309
65.490,41314
65.590,41319
65.690,41324
65.790,41329
65.890,41334
65.990,41339
66.090,41344
66.190,41349
66.290,41354
66.391,41359
66.491,41364
66.591,41369
66.691,41374
66.791,41379
66.891,41384
66.991,41389
67.091,41394
67.191,41399
67.292,41404
67.392,41409
67.492,41414
67.592,41419
67.692,41424
67.792,41429
67.892,41434
67.992,41439
