TO_UIUC
1461967578
time,tx_packets
0.001,176334
0.101,176334
0.201,176334
0.301,176334
0.401,176334
0.501,176334
0.602,176334
0.702,176334
0.802,176335
0.902,176335
1.002,176342
1.103,176362
1.203,176391
1.303,176422
1.403,176457
1.503,176492
1.604,176527
1.704,176562
1.804,176598
1.904,176633
2.005,176668
2.105,176705
2.205,176739
2.305,176775
2.405,176812
2.505,176846
2.606,176881
2.706,176918
2.806,176953
2.906,176988
3.006,177023
3.106,177058
3.207,177093
3.307,177128
3.407,177163
3.507,177198
3.607,177233
3.707,177268
3.808,177304
3.908,177339
4.008,177374
4.108,177410
4.208,177445
4.308,177480
4.409,177515
4.509,177550
4.609,177585
4.709,177620
4.809,177655
4.909,177690
5.010,177725
5.110,177761
5.210,177796
5.310,177831
5.410,177866
5.511,177901
5.611,177939
5.711,177975
5.811,178010
5.911,178045
6.011,178080
6.112,178115
6.212,178150
6.312,178185
6.412,178220
6.512,178257
6.613,178292
6.713,178327
6.813,178362
6.913,178397
7.013,178432
7.113,178467
7.214,178502
7.314,178537
7.414,178572
7.514,178607
7.614,178642
7.714,178677
7.814,178712
7.914,178748
8.015,178784
8.115,178817
8.215,178853
8.315,178891
8.415,178928
8.516,178963
8.616,178998
8.716,179033
8.816,179068
8.916,179103
9.016,179138
9.117,179173
9.217,179208
9.317,179243
9.417,179278
9.517,179314
9.618,179347
9.718,179384
9.818,179419
9.918,179454
10.018,179489
10.118,179524
10.219,179559
10.319,179594
10.419,179629
10.519,179664
10.619,179701
10.719,179736
10.819,179771
10.920,179806
11.020,179842
11.120,179873
11.220,179902
11.320,179928
11.420,179951
11.520,179977
11.621,180001
11.721,180028
11.821,180053
11.921,180077
12.021,180103
12.121,180128
12.222,180152
12.322,180178
12.422,180203
12.522,180229
12.623,180254
12.723,180280
12.823,180307
12.923,180333
13.024,180357
13.124,180383
13.224,180408
13.324,180433
13.424,180458
13.524,180483
13.625,180508
13.725,180534
13.825,180558
13.925,180583
14.025,180609
14.125,180633
14.226,180658
14.326,180684
14.426,180709
14.526,180734
14.626,180757
14.726,180784
14.826,180809
14.927,180834
15.027,180859
15.127,180885
15.227,180911
15.327,180936
15.427,180961
15.528,180986
15.628,181011
15.728,181036
15.828,181061
15.928,181086
16.028,181111
16.128,181136
16.228,181161
16.329,181186
16.429,181211
16.529,181237
16.629,181261
16.729,181287
16.829,181312
16.930,181337
17.030,181363
17.130,181388
17.230,181413
17.330,181438
17.430,181463
17.531,181488
17.631,181513
17.731,181538
17.831,181563
17.931,181588
18.031,181613
18.131,181638
18.231,181664
18.332,181689
18.432,181714
18.532,181739
18.632,181764
18.732,181789
18.833,181814
18.933,181839
19.033,181864
19.133,181889
19.233,181914
19.333,181939
19.433,181964
19.534,181989
19.634,182016
19.734,182041
19.834,182066
19.934,182091
20.034,182116
20.134,182141
20.235,182166
20.335,182191
20.435,182216
20.535,182241
20.635,182266
20.735,182291
20.836,182316
20.936,182341
21.036,182368
21.136,182393
21.236,182418
21.336,182443
21.436,182468
21.536,182493
21.636,182518
21.737,182543
21.837,182568
21.937,182593
22.037,182618
22.137,182643
22.237,182668
22.338,182693
22.438,182718
22.538,182743
22.638,182768
22.738,182793
22.839,182818
22.939,182843
23.039,182868
23.139,182893
23.239,182918
23.339,182943
23.439,182968
23.540,182993
23.640,183018
23.740,183044
23.840,183069
23.940,183093
24.040,183120
24.141,183145
24.241,183169
24.341,183194
24.441,183222
24.541,183246
24.642,183270
24.742,183297
24.842,183322
24.942,183348
25.042,183372
25.142,183398
25.243,183422
25.343,183449
25.443,183475
25.543,183501
25.643,183526
25.743,183550
25.844,183576
25.944,183601
26.044,183626
26.144,183651
26.244,183676
26.345,183701
26.445,183727
26.545,183752
26.645,183777
26.745,183801
26.845,183826
26.946,183852
27.046,183877
27.146,183902
27.246,183927
27.346,183952
27.446,183977
27.546,184002
27.647,184027
27.747,184052
27.847,184077
27.947,184102
28.047,184127
28.147,184152
28.248,184177
28.348,184203
28.448,184229
28.548,184254
28.648,184280
28.748,184305
28.849,184330
28.949,184355
29.049,184381
29.149,184405
29.249,184430
29.349,184455
29.450,184481
29.550,184506
29.650,184533
29.750,184558
29.850,184584
29.950,184609
30.051,184634
30.151,184659
30.251,184684
30.351,184709
30.451,184734
30.552,184759
30.652,184784
30.752,184809
30.852,184834
30.952,184859
31.052,184884
31.153,184909
31.253,184934
31.353,184959
31.453,184984
31.553,185009
31.653,185034
31.754,185060
31.854,185085
31.954,185110
32.054,185135
32.154,185160
32.254,185185
32.354,185210
32.455,185235
32.555,185260
32.655,185285
32.755,185312
32.855,185337
32.955,185362
33.056,185387
33.156,185412
33.256,185437
33.356,185462
33.456,185487
33.556,185512
33.656,185537
33.757,185562
33.857,185587
33.957,185613
34.057,185638
34.157,185664
34.258,185690
34.358,185715
34.458,185740
34.558,185765
34.658,185790
34.758,185815
34.859,185840
34.959,185865
35.059,185891
35.159,185915
35.259,185940
35.359,185965
35.460,185990
35.560,186015
35.660,186041
35.760,186066
35.860,186090
35.960,186116
36.061,186141
36.161,186166
36.261,186190
36.361,186216
36.461,186241
36.561,186266
36.662,186292
36.762,186316
36.862,186342
36.962,186367
37.062,186393
37.163,186419
37.263,186444
37.363,186469
37.463,186494
37.563,186520
37.663,186544
37.764,186569
37.864,186594
37.964,186619
38.064,186644
38.164,186670
38.264,186695
38.365,186721
38.465,186747
38.565,186772
38.665,186797
38.765,186821
38.866,186847
38.966,186872
39.066,186897
39.166,186922
39.266,186947
39.366,186972
39.467,186997
39.567,187022
39.667,187047
39.767,187072
39.867,187097
39.967,187122
40.068,187147
40.168,187173
40.268,187197
40.368,187222
40.468,187247
40.568,187273
40.669,187298
40.769,187323
40.869,187349
40.969,187373
41.069,187398
41.169,187424
41.270,187448
41.370,187475
41.470,187501
41.570,187526
41.670,187551
41.771,187576
41.871,187601
41.971,187626
42.071,187651
42.171,187676
42.271,187701
42.372,187726
42.472,187751
42.572,187777
42.672,187802
42.772,187827
42.873,187852
42.973,187877
43.073,187902
43.173,187927
43.273,187952
43.373,187977
43.474,188002
43.574,188027
43.674,188052
43.774,188077
43.875,188102
43.975,188127
44.075,188152
44.175,188177
44.275,188202
44.376,188227
44.475,188252
44.576,188277
44.676,188302
44.776,188327
44.876,188352
44.976,188377
45.077,188402
45.177,188427
45.277,188452
45.379,188477
45.477,188503
45.577,188528
45.677,188553
45.778,188579
45.878,188604
45.978,188629
46.078,188654
46.178,188679
46.279,188704
46.379,188729
46.479,188754
46.579,188779
46.679,188804
46.779,188829
46.879,188856
46.980,188881
47.080,188906
47.180,188931
47.280,188957
47.381,188983
47.481,189008
47.581,189033
47.681,189057
47.781,189084
47.881,189108
47.982,189134
48.082,189158
48.182,189183
48.282,189208
48.382,189234
48.482,189259
48.582,189284
48.683,189309
48.783,189334
48.883,189359
48.983,189385
49.083,189410
49.183,189435
49.284,189460
49.384,189485
49.484,189508
49.584,189525
49.684,189557
49.784,189585
49.885,189606
49.985,189637
50.085,189662
50.185,189686
50.285,189712
50.385,189736
50.485,189763
50.585,189787
50.686,189812
50.786,189837
50.886,189863
50.986,189888
51.086,189913
51.186,189939
51.287,189964
51.387,189990
51.487,190015
51.587,190041
51.687,190066
51.787,190091
51.887,190116
51.987,190141
52.088,190166
52.188,190191
52.288,190216
52.388,190241
52.488,190266
52.588,190291
52.689,190316
52.789,190341
52.889,190367
52.989,190391
53.089,190417
53.190,190442
53.290,190466
53.390,190492
53.490,190516
53.590,190542
53.690,190567
53.791,190592
53.891,190618
53.991,190643
54.091,190668
54.191,190693
54.291,190718
54.392,190743
54.492,190768
54.592,190793
54.692,190818
54.792,190843
54.893,190869
54.993,190894
55.093,190919
55.193,190944
55.293,190969
55.394,190995
55.494,191020
55.594,191045
55.694,191070
55.794,191095
55.895,191120
55.995,191146
56.095,191171
56.195,191196
56.295,191221
56.395,191246
56.495,191271
56.596,191296
56.696,191321
56.796,191346
56.896,191371
56.996,191396
57.096,191421
57.197,191446
57.297,191471
57.397,191496
57.497,191521
57.597,191546
57.698,191571
57.798,191596
57.898,191621
57.998,191646
58.098,191671
58.198,191696
58.298,191721
58.398,191746
58.499,191772
58.599,191797
58.699,191822
58.799,191847
58.899,191872
58.999,191897
59.099,191922
59.200,191948
59.300,191973
59.400,191998
59.500,192024
59.601,192049
59.701,192075
59.801,192101
59.901,192126
60.001,192151
60.101,192176
60.202,192201
60.302,192227
60.402,192252
60.502,192276
60.602,192301
60.702,192326
60.802,192352
60.903,192378
61.003,192403
61.103,192429
61.203,192454
61.303,192479
61.403,192504
61.504,192529
61.604,192554
61.704,192579
61.804,192604
61.904,192629
62.004,192654
62.105,192680
62.205,192704
62.305,192730
62.405,192754
62.505,192780
62.605,192804
62.706,192831
62.806,192856
62.906,192881
63.006,192906
63.106,192931
63.207,192959
63.307,192985
63.407,193017
63.507,193044
63.607,193069
63.707,193097
63.808,193122
63.908,193149
64.008,193174
64.108,193199
64.208,193224
64.308,193249
64.409,193274
64.509,193299
64.609,193324
64.709,193349
64.809,193375
64.909,193400
65.009,193424
65.109,193449
65.210,193474
65.310,193499
65.410,193524
65.510,193550
65.610,193576
65.710,193602
65.810,193628
65.910,193653
