TO_UM
1461967578
time,tx_packets
0.001,223425
0.101,223425
0.201,223425
0.301,223425
0.402,223425
0.502,223425
0.602,223425
0.702,223425
0.802,223426
0.903,223431
1.003,223441
1.103,223469
1.203,223498
1.303,223529
1.403,223558
1.503,223586
1.603,223616
1.703,223646
1.803,223674
1.903,223698
2.004,223728
2.104,223758
2.204,223787
2.304,223819
2.404,223848
2.504,223870
2.604,223902
2.704,223931
2.805,223951
2.905,223981
3.005,224009
3.105,224033
3.205,224061
3.305,224091
3.406,224119
3.506,224147
3.606,224175
3.706,224205
3.806,224233
3.906,224263
4.007,224291
4.107,224321
4.207,224349
4.307,224377
4.407,224405
4.507,224431
4.608,224459
4.708,224483
4.808,224511
4.908,224541
5.008,224565
5.108,224596
5.209,224626
5.309,224652
5.409,224682
5.509,224712
5.609,224740
5.709,224768
5.810,224798
5.910,224826
6.010,224854
6.110,224882
6.210,224912
6.310,224940
6.411,224971
6.511,225003
6.611,225030
6.711,225058
6.811,225088
6.911,225119
7.012,225150
7.112,225180
7.212,225208
7.312,225234
7.412,225264
7.512,225294
7.612,225322
7.712,225352
7.812,225380
7.913,225410
8.013,225440
8.113,225470
8.213,225498
8.313,225526
8.413,225556
8.513,225584
8.614,225612
8.714,225642
8.814,225672
8.914,225698
9.014,225728
9.114,225756
9.215,225784
9.315,225812
9.415,225838
9.515,225867
9.615,225892
9.716,225923
9.816,225951
9.916,225981
10.016,226009
10.116,226037
10.217,226067
10.317,226095
10.417,226125
10.517,226155
10.617,226184
10.718,226211
10.818,226241
10.918,226268
11.018,226299
11.118,226330
11.218,226358
11.318,226384
11.419,226411
11.519,226440
11.619,226470
11.719,226502
11.819,226531
11.920,226561
12.020,226591
12.120,226619
12.220,226647
12.320,226675
12.420,226701
12.521,226732
12.621,226757
12.721,226783
12.821,226814
12.921,226841
13.022,226865
13.122,226893
13.222,226919
13.322,226943
13.422,226973
13.522,226999
13.622,227026
13.722,227055
13.822,227086
13.922,227112
14.023,227136
14.123,227166
14.223,227192
14.323,227214
14.423,227244
14.523,227268
14.623,227290
14.723,227318
14.824,227344
14.924,227367
15.024,227400
15.124,227430
15.224,227457
15.324,227486
15.424,227516
15.525,227540
15.625,227571
15.725,227600
15.825,227629
15.925,227655
16.025,227683
16.125,227709
16.225,227737
16.325,227765
16.425,227794
16.526,227818
16.626,227848
