TO_CLIENT
1461981451
time,tx_packets
0.001,37759
0.101,37759
0.201,37759
0.302,37759
0.402,37759
0.502,37759
0.602,37759
0.703,37759
0.803,37759
0.903,37759
1.003,37759
1.103,37763
1.203,37768
1.304,37774
1.404,37779
1.504,37784
1.604,37789
1.704,37794
1.805,37799
1.905,37804
2.005,37809
2.106,37814
2.206,37819
2.306,37824
2.406,37829
2.507,37834
2.607,37839
2.707,37844
2.807,37849
2.907,37854
3.008,37859
3.108,37864
3.208,37869
3.309,37874
3.409,37879
3.509,37884
3.609,37889
3.709,37894
3.809,37899
3.909,37904
4.009,37909
4.109,37914
4.210,37919
4.310,37924
4.410,37929
4.510,37934
4.610,37939
4.710,37944
4.810,37949
4.911,37954
5.011,37959
5.111,37964
5.211,37969
5.311,37974
5.411,37979
5.511,37984
5.612,37989
5.712,37994
5.812,38000
5.912,38005
6.012,38010
6.112,38015
6.212,38020
6.313,38025
6.413,38030
6.513,38035
6.613,38040
6.713,38045
6.813,38050
6.914,38055
7.014,38060
7.114,38065
7.214,38070
7.315,38075
7.415,38080
7.515,38085
7.615,38090
7.715,38095
7.815,38100
7.915,38105
8.016,38110
8.116,38115
8.216,38120
8.316,38125
8.416,38130
8.516,38135
8.616,38140
8.716,38145
8.817,38150
8.917,38155
9.017,38160
9.117,38165
9.218,38170
9.318,38175
9.418,38180
9.518,38185
9.618,38190
9.718,38195
9.819,38200
9.919,38205
10.019,38210
10.119,38215
10.219,38220
10.319,38225
10.419,38230
10.520,38235
10.620,38240
10.720,38245
10.820,38251
10.921,38256
11.020,38261
11.121,38263
11.221,38263
11.321,38263
11.421,38263
11.521,38265
11.621,38270
11.722,38275
11.822,38283
11.922,38292
12.022,38298
12.122,38303
12.222,38308
12.323,38313
12.423,38318
12.523,38323
12.623,38328
12.723,38333
12.823,38338
12.924,38343
13.024,38348
13.124,38353
13.224,38358
13.324,38363
13.425,38368
13.525,38373
13.625,38378
13.725,38383
13.825,38388
13.925,38393
14.025,38398
14.126,38403
14.226,38405
14.326,38413
14.427,38419
14.527,38424
14.627,38429
14.727,38434
14.827,38439
14.927,38444
15.027,38449
15.128,38454
15.228,38459
15.328,38464
15.428,38469
15.528,38474
15.628,38479
15.730,38484
15.829,38489
15.929,38494
16.029,38499
16.129,38504
16.230,38509
16.329,38514
16.430,38519
16.530,38524
16.630,38529
16.730,38534
16.830,38539
16.930,38544
17.030,38549
17.131,38554
17.231,38559
