TO_UIUC
1461981982
time,tx_packets
0.001,280636
0.101,280636
0.201,280636
0.301,280636
0.401,280636
0.502,280636
0.602,280636
0.702,280636
0.802,280636
0.902,280636
1.002,280638
1.103,280656
1.203,280680
1.303,280710
1.403,280743
1.503,280778
1.604,280813
1.704,280849
1.804,280884
1.904,280919
2.004,280954
2.105,280989
2.205,281024
2.305,281059
2.405,281094
2.505,281129
2.605,281164
2.705,281199
2.806,281234
2.906,281269
3.006,281306
3.106,281344
3.206,281380
3.306,281415
3.407,281450
3.507,281485
3.607,281520
3.707,281556
3.807,281593
3.907,281629
4.008,281665
4.108,281699
4.208,281735
4.308,281770
4.408,281805
4.508,281839
4.609,281874
4.709,281911
4.809,281945
4.909,281980
5.009,282016
5.109,282051
5.210,282086
5.310,282121
5.410,282156
5.510,282191
5.610,282226
5.710,282261
5.811,282297
5.911,282332
6.011,282367
6.111,282402
6.211,282437
6.311,282472
6.412,282507
6.512,282542
6.612,282577
6.712,282612
6.812,282647
6.912,282682
7.013,282717
7.113,282752
7.213,282788
7.313,282823
7.413,282858
7.513,282893
7.614,282929
7.714,282964
7.814,282999
7.914,283037
8.014,283073
8.115,283109
8.215,283144
8.315,283179
8.415,283214
8.515,283249
8.615,283284
8.715,283319
8.816,283354
8.916,283389
9.016,283424
9.116,283459
9.216,283494
9.317,283529
9.417,283564
9.517,283599
9.617,283635
9.717,283670
9.817,283704
9.917,283739
10.018,283774
10.118,283809
10.218,283844
10.318,283879
10.418,283915
10.518,283950
10.619,283986
10.719,284021
10.819,284056
10.919,284091
11.019,284126
11.119,284155
11.220,284184
11.320,284209
11.420,284232
11.520,284257
11.620,284282
11.720,284307
11.821,284332
11.921,284359
12.021,284384
12.121,284410
12.221,284435
12.321,284460
12.422,284485
12.522,284510
12.622,284536
12.722,284561
12.822,284586
12.922,284611
13.023,284636
13.123,284661
13.223,284686
13.323,284711
13.423,284736
13.523,284761
13.623,284787
13.724,284812
13.824,284836
13.924,284862
14.024,284886
14.124,284911
14.224,284938
14.324,284963
14.425,284987
14.525,285012
14.625,285038
14.725,285062
14.825,285089
14.925,285113
15.025,285138
15.125,285163
15.226,285188
15.326,285213
15.426,285238
15.526,285263
15.626,285289
15.726,285314
15.827,285339
15.927,285363
16.027,285389
16.127,285416
16.227,285442
16.327,285467
16.427,285492
16.528,285517
16.628,285543
16.728,285569
16.828,285595
16.928,285620
17.028,285645
17.128,285670
17.228,285695
17.329,285719
17.429,285744
17.529,285770
17.629,285795
17.729,285820
17.829,285845
17.929,285870
18.029,285895
18.130,285920
18.230,285945
18.330,285970
18.430,285995
18.530,286020
18.630,286045
18.730,286070
18.831,286095
18.931,286120
19.031,286145
19.131,286170
19.231,286195
19.332,286220
19.432,286245
19.532,286270
19.632,286295
19.732,286320
19.832,286346
19.932,286370
20.032,286395
20.132,286423
20.233,286449
20.333,286475
20.433,286500
20.533,286525
20.633,286550
20.733,286576
20.834,286601
20.934,286627
21.034,286652
21.134,286677
21.234,286702
21.334,286727
21.434,286752
21.534,286777
21.634,286802
21.735,286827
21.835,286852
21.935,286877
22.035,286902
22.135,286927
22.236,286952
22.336,286977
22.436,287002
22.536,287027
22.636,287052
22.736,287077
22.837,287102
22.937,287127
23.037,287152
23.137,287177
23.237,287202
23.337,287227
23.437,287252
23.537,287277
23.638,287302
23.738,287327
23.838,287352
23.938,287377
24.038,287402
24.138,287427
24.238,287452
24.339,287477
24.439,287502
24.539,287527
24.639,287552
24.739,287577
24.839,287602
24.940,287627
25.040,287652
25.140,287678
25.240,287703
25.340,287730
25.440,287755
25.540,287780
25.641,287805
25.741,287830
25.841,287855
25.941,287881
26.041,287906
26.141,287931
26.241,287956
26.342,287981
26.442,288006
26.542,288031
26.642,288056
26.742,288081
26.842,288106
26.942,288131
27.042,288156
27.143,288181
27.243,288206
27.343,288231
27.443,288256
27.543,288281
27.643,288306
27.743,288331
27.844,288357
27.944,288382
28.044,288406
28.144,288431
28.244,288458
28.344,288481
28.444,288508
28.545,288533
28.645,288557
28.745,288582
28.845,288608
28.945,288633
29.046,288658
29.146,288683
29.246,288708
29.346,288734
