TO_UM
1461981982
time,tx_packets
0.001,340171
0.101,340171
0.201,340171
0.301,340171
0.402,340171
0.502,340171
0.602,340171
0.702,340171
0.802,340171
0.903,340174
1.003,340180
1.103,340203
1.203,340230
1.303,340260
1.404,340291
1.504,340320
1.604,340348
1.704,340380
1.805,340408
1.905,340435
2.005,340466
2.105,340496
2.205,340521
2.305,340552
2.405,340584
2.505,340611
2.606,340642
2.706,340672
2.806,340700
2.906,340730
3.006,340761
3.107,340793
3.207,340823
3.307,340854
3.407,340883
3.507,340913
3.607,340944
3.708,340975
3.808,341005
3.908,341036
4.008,341072
4.108,341099
4.208,341127
4.308,341157
4.409,341187
4.509,341213
4.609,341243
4.709,341271
4.809,341301
4.909,341329
5.009,341359
5.110,341387
5.210,341415
5.310,341443
5.410,341471
5.510,341498
5.610,341533
5.711,341561
5.811,341587
5.911,341617
6.011,341645
6.111,341675
6.211,341705
6.311,341733
6.412,341759
6.512,341785
6.612,341814
6.712,341842
6.812,341869
6.912,341899
7.012,341927
7.112,341957
7.213,341988
7.313,342018
7.413,342047
7.513,342077
7.613,342106
7.713,342134
7.814,342165
7.914,342193
8.014,342221
8.114,342249
8.214,342285
8.314,342314
8.415,342342
8.515,342370
8.615,342396
8.715,342424
8.815,342452
8.915,342480
9.015,342508
9.116,342534
9.216,342560
9.316,342590
9.416,342618
9.517,342648
9.617,342678
9.717,342708
9.817,342738
9.917,342764
10.017,342792
10.117,342822
10.218,342850
10.318,342880
10.418,342910
10.518,342938
10.619,342966
10.718,342996
10.818,343024
10.919,343054
11.019,343084
11.119,343114
11.219,343142
11.319,343170
11.419,343200
11.519,343228
11.620,343256
11.720,343284
11.820,343314
11.920,343343
12.020,343372
12.121,343400
12.221,343430
12.321,343458
12.421,343486
12.521,343517
12.621,343547
12.721,343573
12.821,343601
12.921,343629
13.022,343657
13.122,343683
13.222,343711
13.322,343739
13.422,343766
13.522,343794
13.623,343822
13.723,343848
13.823,343876
13.923,343906
14.023,343936
14.123,343964
14.223,343990
14.324,344020
14.424,344050
14.524,344078
14.624,344106
14.724,344136
14.824,344168
14.924,344195
15.025,344226
15.125,344254
15.225,344285
15.325,344314
15.425,344342
15.525,344370
15.625,344399
15.726,344427
15.826,344455
15.926,344483
16.026,344513
16.126,344541
16.226,344569
16.326,344597
16.426,344625
16.527,344655
16.627,344683
16.727,344710
16.827,344737
16.927,344770
17.027,344801
17.127,344829
17.228,344857
17.328,344886
17.428,344914
17.528,344942
17.628,344972
17.728,345000
17.828,345026
17.929,345054
18.029,345084
18.129,345112
18.229,345140
18.329,345168
18.429,345198
18.529,345222
18.629,345252
18.730,345282
18.830,345310
18.930,345334
19.030,345365
19.130,345393
19.230,345419
19.330,345447
19.431,345474
19.531,345502
19.631,345529
19.731,345555
19.831,345581
19.931,345608
20.031,345633
20.131,345661
20.231,345691
20.331,345715
20.432,345743
20.532,345773
20.632,345799
20.732,345829
20.832,345855
20.932,345879
21.033,345909
21.133,345935
21.233,345967
21.333,345997
21.433,346025
21.533,346051
21.633,346079
21.733,346109
21.834,346135
21.934,346165
22.034,346195
22.134,346223
22.234,346251
22.334,346281
22.435,346311
22.535,346339
22.635,346369
22.735,346399
22.835,346427
22.935,346457
23.035,346487
23.136,346513
23.236,346541
23.336,346571
23.436,346597
23.536,346625
23.636,346655
23.737,346681
23.837,346713
23.937,346743
24.037,346771
24.137,346799
24.238,346830
24.338,346858
24.438,346884
24.538,346912
24.638,346942
24.739,346966
24.839,346996
24.939,347024
25.039,347050
25.139,347078
25.239,347102
25.339,347128
25.439,347154
25.540,347183
25.640,347211
25.740,347236
25.840,347271
25.940,347298
26.040,347322
26.141,347350
26.241,347378
26.341,347404
26.441,347432
26.541,347460
26.641,347484
26.742,347514
26.842,347542
26.942,347570
27.042,347598
27.142,347624
27.242,347652
27.343,347683
27.443,347713
27.543,347742
27.643,347769
27.743,347799
27.843,347827
27.944,347857
28.044,347886
28.144,347913
28.244,347941
28.344,347972
28.444,348002
28.544,348032
28.644,348060
28.745,348089
28.845,348120
28.945,348148
29.045,348178
29.145,348207
29.245,348234
29.346,348264
29.446,348292
29.546,348321
29.646,348350
29.746,348377
29.846,348403
29.946,348431
30.047,348461
30.147,348493
30.247,348521
30.347,348550
30.447,348575
30.547,348602
30.647,348629
30.748,348660
30.848,348691
30.948,348721
31.048,348747
31.148,348775
31.248,348803
31.348,348831
31.449,348859
31.549,348887
31.649,348917
31.749,348945
31.849,348970
31.949,348997
32.050,349025
32.150,349053
32.250,349082
32.350,349110
32.450,349138
32.550,349167
32.650,349196
32.750,349222
32.850,349248
32.951,349274
33.051,349302
33.151,349332
33.251,349360
33.351,349388
33.451,349418
33.551,349446
33.652,349474
33.752,349502
33.852,349533
33.952,349561
34.052,349587
34.152,349615
34.252,349641
34.353,349669
34.453,349699
34.553,349728
34.653,349756
34.753,349786
34.853,349816
34.953,349842
35.054,349872
35.154,349900
35.254,349928
35.354,349956
35.454,349986
35.554,350012
35.655,350040
35.755,350070
35.855,350096
35.955,350126
36.055,350154
36.155,350184
36.255,350214
36.355,350243
36.456,350269
36.556,350297
36.656,350323
36.756,350350
36.856,350374
36.956,350398
37.057,350428
37.157,350455
37.257,350483
37.357,350513
37.457,350539
37.557,350565
37.658,350595
37.758,350625
37.858,350649
37.958,350678
38.058,350708
38.158,350734
38.258,350764
38.359,350792
38.459,350820
38.559,350848
38.659,350878
38.759,350906
38.859,350932
38.959,350958
39.060,350988
39.160,351016
39.260,351046
39.360,351072
39.460,351100
39.560,351128
39.660,351156
39.761,351182
39.861,351210
39.961,351238
40.061,351264
40.161,351290
40.261,351320
40.362,351345
40.462,351370
40.562,351402
40.662,351427
40.762,351455
40.862,351485
40.962,351512
41.063,351539
41.163,351568
41.263,351596
41.363,351623
41.463,351652
41.563,351680
41.663,351710
41.763,351738
41.864,351768
41.964,351794
42.064,351820
42.164,351850
42.265,351877
42.364,351905
42.465,351938
42.565,351965
42.665,351991
42.765,352020
42.865,352047
42.965,352079
43.066,352110
43.166,352140
43.266,352166
43.366,352194
43.466,352224
43.566,352254
43.666,352282
43.767,352312
43.867,352338
43.967,352366
44.067,352394
44.167,352420
44.268,352448
44.367,352475
44.468,352499
44.568,352525
44.668,352552
44.769,352580
44.868,352604
44.968,352636
45.068,352661
45.169,352688
45.269,352717
45.369,352745
45.469,352773
45.569,352801
45.669,352829
45.769,352855
45.869,352885
45.970,352916
46.070,352942
46.170,352970
46.270,353000
46.370,353031
46.470,353061
46.570,353091
46.671,353118
47.771,353425
47.871,353453
47.971,353481
48.071,353509
48.171,353537
48.271,353561
48.371,353587
48.472,353615
48.572,353643
48.672,353671
48.772,353701
48.872,353727
48.972,353753
49.073,353784
49.173,353812
49.273,353840
49.373,353868
49.473,353896
49.573,353921
49.674,353949
49.774,353977
49.874,353997
49.974,354023
50.074,354053
50.174,354080
50.274,354104
50.374,354130
50.475,354156
50.575,354180
50.675,354210
50.775,354240
50.875,354268
50.976,354297
51.076,354327
51.176,354353
51.276,354383
51.376,354411
51.477,354437
51.577,354467
51.677,354495
51.777,354523
51.877,354554
51.978,354583
52.078,354609
52.178,354635
52.278,354665
52.378,354691
52.478,354719
52.578,354747
52.679,354777
52.779,354803
52.879,354829
52.979,354855
53.079,354879
53.179,354909
53.279,354940
53.380,354964
53.480,354992
53.580,355020
53.680,355048
53.780,355077
53.881,355107
53.981,355133
54.081,355159
54.181,355187
54.281,355213
54.382,355242
54.482,355273
54.582,355301
54.682,355332
54.782,355362
54.882,355392
54.983,355421
55.083,355452
55.183,355481
55.283,355511
55.383,355543
55.484,355574
55.584,355604
55.684,355630
55.784,355659
55.884,355686
55.984,355712
56.085,355740
56.185,355770
56.285,355800
56.385,355832
56.485,355860
56.586,355885
56.686,355912
56.786,355942
56.886,355970
56.986,355999
57.086,356029
57.187,356055
57.287,356083
57.387,356109
57.487,356136
57.587,356166
57.687,356197
57.787,356224
57.887,356248
57.988,356274
58.088,356299
58.188,356325
58.288,356352
58.388,356382
58.489,356413
58.589,356439
58.689,356465
58.789,356493
58.889,356521
58.989,356551
59.090,356579
59.190,356609
59.290,356637
59.390,356667
59.490,356698
59.590,356728
59.690,356756
59.791,356780
59.891,356808
59.991,356834
60.091,356860
60.191,356886
60.291,356914
60.392,356942
60.492,356970
60.592,356998
60.692,357028
60.792,357058
60.892,357087
60.993,357118
61.093,357146
61.193,357176
61.293,357206
61.393,357232
61.493,357260
61.593,357288
61.694,357316
