TO_CLIENT
1461980897
time,tx_packets
0.001,12597
0.101,12597
0.201,12597
0.301,12597
0.401,12597
0.502,12597
0.602,12597
0.702,12597
0.802,12597
0.902,12597
1.003,12597
1.103,12598
1.203,12603
1.303,12608
1.403,12613
1.503,12618
1.604,12623
1.704,12628
1.804,12633
1.904,12638
2.004,12643
2.105,12648
2.205,12653
2.305,12658
2.405,12663
2.505,12668
2.605,12673
2.705,12678
2.806,12683
2.906,12688
3.006,12693
3.106,12698
3.206,12703
3.307,12708
3.407,12713
3.507,12718
3.607,12723
3.707,12728
3.807,12733
3.908,12738
4.008,12743
4.108,12748
4.208,12753
4.308,12758
4.409,12763
4.509,12768
4.609,12773
4.709,12778
4.809,12783
4.909,12788
5.010,12793
5.110,12796
5.210,12803
5.310,12808
5.410,12813
5.511,12818
5.611,12823
5.711,12828
5.811,12833
5.911,12838
6.011,12843
6.112,12848
6.212,12853
6.312,12858
6.412,12863
6.512,12868
6.613,12873
6.713,12878
6.813,12883
6.913,12888
7.013,12893
7.114,12898
7.214,12903
7.314,12908
7.414,12913
7.514,12918
7.615,12923
7.715,12928
7.815,12933
7.915,12938
8.015,12943
8.115,12948
8.216,12953
8.316,12959
8.416,12964
8.516,12970
8.617,12975
8.717,12980
8.817,12985
8.917,12990
9.017,12995
9.117,13000
9.218,13005
9.318,13010
9.418,13015
9.518,13020
9.618,13025
9.719,13030
9.819,13035
9.919,13040
10.019,13045
10.119,13050
10.220,13055
10.320,13060
10.420,13065
10.521,13070
10.620,13075
10.721,13080
10.821,13085
10.921,13090
11.021,13095
11.121,13100
11.222,13104
11.322,13109
11.422,13111
11.522,13116
11.622,13123
11.722,13128
11.822,13133
11.922,13138
12.022,13143
12.123,13148
12.223,13153
12.323,13158
12.423,13163
12.523,13168
12.623,13173
12.723,13178
12.823,13183
12.924,13188
13.024,13193
13.124,13198
13.224,13203
13.324,13209
13.425,13214
13.525,13219
13.625,13224
13.725,13229
13.825,13234
13.925,13239
14.026,13244
14.126,13249
14.226,13254
14.326,13259
14.426,13264
14.526,13269
14.627,13274
14.727,13279
14.827,13284
14.927,13289
15.027,13294
15.127,13299
15.228,13304
15.328,13309
15.428,13314
15.528,13319
15.628,13324
15.729,13329
15.829,13334
15.929,13339
16.029,13344
16.129,13349
16.230,13354
16.330,13359
16.430,13364
16.530,13369
16.630,13374
16.730,13379
16.831,13384
16.931,13389
17.031,13394
17.131,13399
17.231,13404
17.332,13409
17.432,13414
17.532,13419
17.632,13424
17.733,13429
17.833,13434
17.933,13439
18.033,13444
18.133,13449
18.234,13454
18.334,13459
18.434,13464
18.534,13469
18.634,13474
18.734,13479
18.834,13484
18.934,13489
19.035,13494
19.135,13499
19.235,13504
19.335,13509
19.435,13514
19.536,13519
19.636,13524
19.736,13529
19.836,13534
19.936,13539
20.036,13544
20.137,13549
20.237,13554
20.337,13559
20.437,13564
20.537,13569
20.637,13574
20.737,13578
20.838,13584
20.938,13589
21.038,13594
21.138,13599
21.238,13604
21.338,13609
21.439,13614
21.539,13620
21.639,13625
21.739,13630
21.839,13635
21.939,13640
22.040,13645
22.140,13650
22.240,13655
22.340,13660
22.440,13665
22.541,13670
22.641,13675
22.741,13680
22.841,13685
22.941,13690
23.041,13695
23.141,13700
23.242,13705
23.342,13710
23.442,13715
23.542,13720
23.642,13725
23.743,13730
23.843,13735
23.943,13740
24.043,13745
24.143,13750
24.243,13755
24.344,13760
24.444,13765
24.544,13770
24.644,13775
24.744,13780
24.844,13785
24.945,13790
25.045,13795
25.145,13797
25.245,13805
25.345,13810
25.445,13815
25.546,13820
25.646,13825
25.746,13830
25.846,13835
25.946,13840
26.046,13845
26.146,13850
26.247,13855
26.347,13860
26.447,13865
26.547,13870
