TO_UIUC
1461981163
time,tx_packets
0.001,92701
0.101,92701
0.201,92701
0.301,92701
0.402,92701
0.502,92701
0.602,92701
0.702,92701
0.802,92701
0.903,92702
1.003,92707
1.103,92713
1.203,92731
1.304,92746
1.404,92762
1.504,92782
1.604,92802
1.704,92822
1.804,92842
1.905,92862
2.005,92882
2.105,92902
2.205,92925
2.305,92947
2.406,92967
2.506,92987
2.606,93008
2.706,93028
2.806,93050
2.906,93071
3.007,93091
3.107,93114
3.207,93136
3.307,93156
3.408,93177
3.508,93197
3.608,93218
3.708,93238
3.808,93259
3.908,93282
4.008,93302
4.109,93322
4.209,93342
4.309,93364
4.409,93384
4.509,93404
4.610,93424
4.710,93448
4.810,93468
4.910,93489
5.010,93511
5.110,93531
5.211,93551
5.311,93571
5.411,93591
5.511,93611
5.611,93631
5.712,93651
5.812,93672
5.912,93698
6.012,93717
6.112,93737
6.212,93758
6.313,93778
6.413,93798
6.513,93818
6.613,93838
6.713,93859
6.813,93880
6.913,93900
7.014,93920
7.114,93944
7.214,93966
7.314,93989
7.414,94009
7.514,94029
7.614,94049
7.715,94069
7.815,94090
7.915,94110
8.015,94130
8.115,94151
8.218,94174
8.316,94196
8.416,94216
8.516,94236
8.617,94257
8.717,94277
8.817,94297
8.917,94318
9.017,94338
9.117,94358
9.221,94379
9.318,94398
9.418,94419
9.518,94443
9.618,94463
9.718,94483
9.818,94503
9.919,94523
10.019,94544
10.119,94566
10.221,94587
10.319,94606
10.419,94628
10.520,94648
10.620,94669
10.721,94689
10.820,94709
10.920,94731
11.020,94751
11.121,94771
11.221,94787
11.321,94806
11.421,94822
11.521,94844
11.621,94864
11.721,94880
11.822,94897
11.922,94914
12.022,94932
12.122,94947
12.222,94963
12.322,94978
12.422,94993
12.523,95009
12.623,95024
12.723,95039
12.823,95054
12.923,95069
13.023,95086
13.124,95102
13.224,95117
13.324,95132
13.424,95147
13.524,95162
13.624,95177
13.725,95193
13.825,95208
13.925,95224
14.025,95239
14.125,95254
14.226,95269
14.326,95284
14.426,95302
14.526,95317
14.626,95339
14.726,95358
14.826,95373
14.926,95388
15.027,95403
15.127,95419
15.227,95434
15.327,95450
15.427,95465
15.527,95482
15.628,95499
15.728,95515
15.828,95532
15.928,95549
16.028,95564
16.129,95579
16.229,95594
16.329,95610
16.429,95625
16.529,95642
16.629,95658
16.730,95674
16.830,95691
16.930,95708
17.030,95725
17.130,95741
