TO_UM
1461981163
time,tx_packets
0.001,134861
0.101,134861
0.201,134861
0.301,134861
0.401,134861
0.501,134861
0.602,134861
0.702,134861
0.802,134861
0.902,134861
1.002,134861
1.103,134864
1.203,134884
1.303,134894
1.403,134904
1.503,134914
1.604,134924
1.704,134935
1.804,134945
1.904,134957
2.004,134968
2.105,134987
2.205,135003
2.305,135016
2.405,135026
2.505,135040
2.606,135055
2.706,135066
2.806,135080
2.906,135092
3.006,135110
3.107,135128
3.207,135141
3.307,135154
3.407,135164
3.507,135176
3.607,135190
3.708,135208
3.808,135220
3.908,135231
4.008,135241
4.108,135251
4.208,135261
4.309,135273
4.409,135294
4.509,135316
4.609,135327
4.709,135340
4.809,135350
4.910,135361
5.010,135382
5.110,135393
5.210,135405
5.310,135414
5.411,135424
5.511,135435
5.611,135452
5.711,135473
5.811,135486
5.911,135502
6.011,135512
6.111,135522
6.212,135536
6.312,135546
6.412,135556
6.512,135566
6.612,135576
6.713,135587
6.813,135603
6.913,135625
7.013,135641
7.113,135656
7.217,135667
7.314,135683
7.414,135694
7.514,135708
7.614,135729
7.714,135740
7.815,135752
7.915,135762
8.015,135777
8.115,135796
8.216,135812
8.315,135826
8.415,135837
8.516,135847
8.616,135863
8.716,135875
8.816,135886
8.916,135897
9.017,135907
9.117,135919
9.217,135936
9.317,135957
9.417,135971
9.517,135985
9.617,135995
9.717,136005
9.818,136017
9.918,136027
10.018,136041
10.118,136058
10.218,136076
10.318,136088
10.419,136102
10.519,136114
10.619,136126
11.719,136345
11.819,136374
11.919,136402
12.019,136435
12.120,136468
12.220,136502
12.320,136532
12.420,136565
12.520,136594
12.620,136627
12.720,136656
12.821,136689
12.921,136721
13.021,136752
13.121,136784
13.221,136814
13.322,136849
13.422,136880
13.522,136914
13.622,136948
13.722,136979
13.822,137010
13.923,137040
14.023,137071
14.123,137101
14.223,137132
14.323,137162
14.423,137196
14.524,137228
14.624,137259
14.724,137283
14.824,137327
14.924,137357
15.024,137387
15.125,137417
15.225,137447
15.325,137477
15.425,137510
15.525,137541
15.625,137574
15.726,137605
15.826,137638
15.926,137668
16.026,137698
16.126,137732
16.226,137763
16.327,137795
16.427,137827
16.527,137860
16.627,137891
16.727,137921
16.828,137952
16.928,137983
17.028,138016
17.128,138046
17.228,138077
17.329,138109
17.429,138141
17.529,138172
17.629,138206
17.729,138240
17.829,138272
17.930,138301
18.030,138333
18.130,138366
18.230,138396
18.330,138429
18.430,138459
18.531,138489
18.631,138515
18.731,138564
18.831,138594
18.931,138624
19.031,138654
19.132,138685
19.231,138714
19.332,138745
19.432,138776
19.532,138806
19.632,138836
19.732,138866
19.833,138896
19.933,138926
20.033,138959
20.133,138989
20.233,139020
20.333,139052
20.433,139087
20.533,139119
20.634,139151
20.734,139183
20.834,139214
20.934,139245
21.034,139275
21.134,139305
21.234,139336
21.335,139369
21.435,139401
21.535,139434
21.635,139464
21.735,139495
21.836,139528
21.936,139562
22.036,139592
22.136,139622
22.237,139652
22.337,139682
22.437,139715
22.537,139748
22.637,139779
22.737,139809
22.838,139839
22.938,139869
23.038,139899
23.138,139930
23.238,139963
23.339,139994
23.439,140033
23.539,140063
23.639,140094
23.739,140124
23.839,140154
23.939,140184
24.039,140216
24.140,140249
24.240,140281
24.340,140314
24.440,140350
24.540,140380
24.640,140411
24.741,140442
24.841,140474
24.941,140508
25.041,140544
25.142,140574
25.242,140604
25.342,140635
25.442,140665
25.542,140696
25.643,140726
25.743,140756
25.843,140786
25.943,140818
26.043,140851
26.144,140886
26.244,140917
26.344,140947
26.444,140977
26.544,141007
26.644,141037
26.745,141067
26.845,141097
26.945,141129
27.045,141160
27.145,141192
27.246,141222
27.346,141252
27.446,141282
27.546,141315
27.646,141350
27.746,141381
27.846,141412
27.947,141445
28.047,141479
28.147,141517
28.247,141548
28.347,141578
28.447,141608
28.548,141638
28.648,141671
28.748,141704
28.848,141735
28.948,141765
29.048,141795
29.148,141831
29.249,141862
29.349,141892
29.449,141922
29.549,141955
29.649,141986
29.749,142011
29.850,142054
29.950,142084
30.050,142116
30.150,142146
30.250,142176
30.351,142206
30.451,142240
30.551,142271
30.651,142305
30.751,142336
30.851,142368
30.952,142397
31.052,142428
31.152,142459
31.252,142489
31.352,142519
31.452,142551
31.553,142583
31.653,142616
31.753,142646
31.853,142676
31.953,142707
32.053,142741
32.153,142774
32.254,142805
32.354,142837
32.454,142869
32.554,142903
32.654,142937
32.754,142968
32.855,142998
32.955,143028
33.055,143061
33.155,143093
33.255,143123
33.355,143156
33.455,143187
33.556,143219
33.656,143256
33.756,143287
33.856,143317
33.956,143347
34.056,143379
34.156,143414
34.257,143448
34.357,143478
34.457,143508
34.557,143539
34.657,143569
34.757,143599
34.858,143629
34.958,143661
35.058,143693
35.158,143727
35.258,143758
35.358,143790
35.459,143820
35.559,143851
35.659,143887
35.759,143918
35.859,143949
35.959,143981
36.060,144013
36.160,144045
36.260,144079
36.360,144113
36.460,144145
36.560,144176
36.661,144206
36.761,144236
36.861,144269
36.961,144301
37.061,144332
37.162,144363
37.262,144396
37.362,144426
37.462,144456
37.562,144486
37.662,144517
37.763,144547
37.863,144582
37.963,144616
38.063,144648
38.163,144678
38.263,144717
38.364,144748
38.464,144778
38.564,144808
38.664,144838
38.764,144868
38.865,144898
38.965,144928
39.065,144959
39.165,144994
39.265,145024
39.365,145059
39.465,145089
39.566,145119
39.666,145149
39.766,145179
39.866,145209
39.966,145240
40.066,145276
40.166,145307
40.267,145337
40.367,145367
40.467,145397
40.567,145429
40.667,145461
40.768,145492
40.868,145526
40.968,145557
41.068,145588
41.168,145618
41.269,145648
41.369,145678
41.469,145710
41.569,145747
41.669,145783
41.769,145814
41.869,145843
41.970,145873
42.070,145903
42.170,145934
42.270,145966
42.370,146000
42.471,146032
42.571,146064
42.671,146100
42.771,146130
42.871,146162
42.971,146193
43.072,146224
43.172,146254
43.272,146285
43.372,146317
43.472,146347
43.573,146381
43.673,146414
43.773,146447
43.873,146478
43.973,146508
44.073,146538
44.173,146569
44.274,146605
44.374,146636
44.474,146666
44.574,146697
44.674,146727
44.774,146757
44.874,146787
44.974,146817
45.074,146847
45.175,146878
45.275,146913
45.375,146947
45.475,146979
45.575,147009
45.675,147040
45.775,147069
45.876,147101
45.976,147132
46.076,147164
46.176,147198
46.276,147229
46.377,147259
46.477,147289
46.577,147323
46.677,147354
46.777,147387
46.877,147420
46.977,147451
47.078,147484
47.178,147514
47.278,147544
47.378,147574
47.478,147606
47.579,147638
47.679,147668
47.779,147699
47.879,147732
47.979,147762
48.079,147792
48.180,147823
48.280,147854
48.380,147890
48.480,147921
48.580,147952
48.681,147983
48.781,148013
48.881,148043
48.981,148074
49.081,148111
49.182,148144
49.282,148175
49.382,148205
49.482,148235
49.582,148265
49.683,148297
49.783,148322
49.883,148366
49.983,148396
50.083,148430
50.183,148461
50.284,148494
50.384,148524
50.484,148554
50.584,148588
50.684,148621
50.785,148655
50.885,148685
50.985,148717
51.085,148749
51.185,148784
51.285,148815
51.386,148845
51.486,148875
51.586,148905
51.686,148937
51.786,148967
51.886,148998
51.987,149028
52.087,149061
52.187,149093
52.287,149129
52.387,149160
52.487,149190
52.588,149220
52.688,149250
52.788,149280
52.888,149313
52.988,149343
53.089,149376
53.189,149406
53.289,149436
53.389,149466
53.489,149499
53.589,149531
53.690,149563
53.790,149600
53.890,149633
53.990,149662
54.090,149692
54.191,149722
54.291,149754
54.391,149786
54.491,149817
54.591,149847
54.691,149880
54.792,149914
54.892,149947
54.992,149977
55.092,150009
55.192,150041
55.292,150076
55.393,150106
55.493,150136
55.593,150167
55.693,150199
55.793,150229
55.893,150259
55.993,150291
56.094,150322
56.194,150352
56.294,150382
56.394,150412
56.494,150444
56.594,150476
56.695,150510
56.795,150541
56.895,150572
56.995,150602
57.095,150633
57.195,150665
57.295,150695
57.396,150729
57.496,150763
57.596,150793
57.696,150823
57.796,150853
57.896,150886
57.997,150916
58.097,150946
58.197,150978
58.297,151012
58.397,151043
58.497,151073
58.597,151105
58.698,151137
58.798,151168
58.898,151199
58.998,151229
59.098,151259
59.198,151290
59.299,151324
59.399,151356
59.499,151392
59.599,151422
59.699,151454
59.799,151484
59.900,151514
60.000,151545
60.100,151582
60.200,151616
60.300,151646
60.401,151676
60.501,151708
60.601,151739
60.701,151769
60.801,151802
60.901,151833
61.002,151867
61.102,151898
61.202,151928
61.302,151960
61.402,151992
61.503,152022
61.603,152052
61.703,152083
61.803,152113
61.903,152143
62.003,152173
62.104,152203
62.204,152233
62.304,152268
62.404,152301
62.504,152334
62.605,152364
62.705,152394
62.805,152424
62.905,152457
63.005,152487
63.105,152517
63.206,152552
63.306,152585
63.406,152615
63.506,152646
63.606,152677
63.706,152710
63.807,152740
63.907,152771
64.007,152803
64.107,152835
64.207,152866
64.307,152904
64.408,152940
64.508,152970
64.608,153000
64.708,153031
64.808,153064
64.908,153094
65.009,153124
65.109,153154
65.209,153184
65.309,153217
65.409,153252
65.509,153284
65.609,153316
65.710,153346
65.810,153376
65.910,153406
66.010,153435
66.110,153465
66.210,153495
66.311,153528
66.411,153563
66.511,153597
66.611,153627
66.711,153659
66.811,153690
66.911,153720
67.011,153750
67.112,153782
67.212,153815
67.312,153847
67.412,153883
67.512,153914
67.613,153947
67.713,153982
67.813,154012
67.913,154042
68.013,154072
68.113,154102
68.215,154134
68.314,154164
68.414,154198
68.514,154233
68.614,154261
68.714,154308
68.815,154338
68.915,154370
69.015,154402
69.115,154432
69.216,154462
69.315,154492
69.415,154523
69.516,154553
69.616,154583
69.716,154613
69.816,154643
69.916,154673
70.016,154703
70.117,154733
70.218,154764
70.317,154800
70.417,154833
70.517,154862
70.617,154893
70.717,154923
70.818,154954
70.918,154985
71.018,155017
71.118,155049
71.218,155081
71.318,155113
71.419,155143
71.519,155173
71.619,155210
72.719,155557
72.819,155587
72.919,155617
73.020,155648
73.120,155691
73.220,155735
73.320,155774
73.420,155808
73.521,155844
73.621,155886
73.721,155920
73.821,155951
73.921,155983
74.022,156020
74.122,156053
74.222,156085
74.322,156118
74.422,156156
74.522,156186
74.623,156216
74.723,156250
74.823,156280
74.923,156313
75.023,156341
75.124,156373
75.224,156404
75.324,156434
75.424,156465
75.524,156498
75.625,156529
75.725,156560
75.825,156590
75.925,156620
76.025,156655
76.126,156685
76.226,156719
76.326,156756
76.426,156788
76.526,156820
76.626,156850
76.727,156880
76.827,156910
76.927,156941
77.027,156971
77.127,157001
77.227,157032
77.328,157064
77.428,157094
77.528,157126
77.628,157157
77.728,157192
77.828,157230
77.929,157262
78.029,157292
78.129,157323
78.229,157356
78.329,157386
78.430,157416
78.530,157446
78.630,157479
78.730,157509
78.830,157540
78.930,157571
79.030,157600
79.131,157633
79.231,157667
79.331,157701
79.431,157732
79.531,157762
79.631,157792
79.732,157822
79.832,157854
79.932,157885
80.032,157920
80.133,157953
80.232,157983
80.333,158014
80.433,158047
80.533,158079
80.633,158109
80.733,158140
80.834,158170
80.934,158200
81.034,158233
81.134,158264
81.234,158296
81.334,158330
81.434,158361
81.535,158392
81.635,158422
81.735,158452
81.835,158483
81.935,158517
82.035,158552
82.136,158593
82.236,158625
82.336,158657
82.436,158689
82.536,158720
82.636,158750
82.737,158780
82.837,158810
82.937,158841
83.037,158871
83.137,158901
83.237,158932
83.338,158965
83.438,158998
83.538,159030
83.638,159060
83.738,159090
83.838,159120
83.938,159152
84.038,159183
84.139,159213
84.239,159245
84.339,159275
84.439,159305
84.539,159338
84.639,159368
84.739,159399
84.840,159432
84.940,159466
85.040,159499
85.140,159528
85.240,159560
85.341,159590
85.441,159621
85.541,159652
85.641,159683
85.741,159714
85.842,159744
85.942,159774
86.042,159804
86.142,159837
86.243,159869
86.343,159905
86.443,159938
86.543,159970
86.643,160000
86.744,160031
86.844,160061
86.944,160091
87.044,160121
87.144,160151
87.245,160186
87.345,160216
87.445,160246
87.545,160276
87.645,160308
87.746,160343
87.846,160375
87.946,160405
88.046,160437
88.146,160471
88.247,160501
88.347,160531
88.447,160564
88.547,160595
