TO_UIUC
1461982270
time,tx_packets
0.001,350494
0.101,350494
0.201,350494
0.302,350494
0.402,350494
0.502,350494
0.602,350494
0.702,350494
0.803,350497
0.903,350501
1.003,350506
1.103,350517
1.203,350533
1.303,350557
1.404,350581
1.504,350605
1.604,350631
1.704,350657
1.804,350684
1.905,350708
2.005,350729
2.105,350749
2.205,350768
2.305,350788
2.405,350808
2.505,350828
2.605,350848
2.706,350869
2.806,350889
2.906,350909
3.007,350929
3.106,350949
3.206,350969
3.307,350989
3.407,351009
3.508,351029
3.607,351049
3.707,351069
3.808,351089
3.908,351109
4.008,351129
4.108,351151
4.209,351173
4.309,351193
4.409,351213
4.510,351233
4.609,351253
4.710,351276
4.810,351296
4.910,351315
5.010,351336
5.110,351357
5.210,351378
5.311,351399
5.411,351419
5.511,351439
5.612,351459
5.712,351479
5.812,351500
5.912,351520
6.012,351541
6.113,351562
6.212,351582
6.313,351602
6.413,351624
6.513,351644
6.613,351664
6.714,351684
6.814,351705
6.914,351725
7.015,351748
7.115,351772
7.215,351793
7.315,351813
7.416,351833
7.516,351853
7.616,351873
7.717,351893
7.817,351913
7.917,351934
8.017,351954
8.117,351974
8.217,351996
8.318,352017
8.418,352038
8.518,352061
8.618,352082
8.719,352102
8.819,352122
8.919,352142
9.019,352162
9.119,352185
9.219,352205
9.320,352225
9.420,352245
9.520,352268
9.620,352289
9.720,352309
9.820,352329
9.920,352349
10.021,352371
10.121,352391
10.221,352411
10.321,352431
10.421,352451
10.522,352471
10.622,352494
10.722,352514
10.822,352535
10.922,352557
11.022,352577
11.123,352595
11.223,352611
11.323,352628
11.423,352646
11.523,352669
11.624,352690
11.724,352706
11.824,352721
11.924,352737
12.024,352752
12.124,352768
12.225,352783
12.325,352799
12.425,352814
12.525,352829
12.625,352845
12.726,352863
12.826,352878
12.926,352893
13.026,352908
13.126,352923
13.227,352938
13.326,352953
13.427,352968
13.527,352984
13.627,353000
13.727,353017
13.827,353032
13.927,353048
14.027,353064
14.127,353078
14.228,353094
14.328,353111
14.428,353127
14.528,353141
14.628,353158
14.728,353174
14.828,353189
14.928,353207
15.029,353223
15.129,353238
15.229,353256
15.329,353272
15.429,353287
15.529,353302
15.629,353318
15.730,353335
15.830,353351
15.930,353366
16.030,353382
16.130,353400
16.230,353415
16.331,353430
16.431,353447
16.531,353462
16.631,353477
16.731,353493
16.832,353509
16.932,353526
17.032,353542
17.132,353561
17.232,353576
17.332,353593
17.433,353610
17.533,353625
17.633,353640
17.733,353655
17.833,353670
17.934,353687
18.034,353707
18.134,353724
18.234,353742
18.334,353757
18.434,353774
18.534,353789
18.635,353804
18.735,353819
18.835,353835
18.935,353850
19.035,353865
19.135,353881
19.235,353896
19.335,353911
19.436,353930
19.536,353946
19.636,353962
19.736,353978
19.836,353993
19.936,354009
20.037,354026
20.137,354042
20.237,354057
20.337,354073
20.437,354090
20.537,354105
20.638,354126
20.738,354141
20.838,354156
20.938,354171
21.038,354186
21.139,354201
21.239,354218
21.339,354234
21.439,354249
21.539,354264
21.639,354281
21.740,354296
21.840,354313
21.940,354328
22.040,354343
22.140,354361
22.240,354376
22.340,354391
22.441,354406
22.541,354424
22.641,354440
22.741,354459
22.841,354474
22.941,354489
23.044,354505
23.142,354519
23.242,354534
23.342,354550
23.442,354565
23.542,354581
23.642,354598
23.743,354616
23.843,354632
23.943,354648
24.043,354664
24.143,354678
24.243,354695
24.343,354710
24.443,354726
24.544,354743
24.644,354757
24.744,354773
24.844,354789
24.944,354805
25.044,354820
25.145,354836
25.245,354851
25.345,354866
25.445,354883
25.545,354899
25.645,354917
25.745,354934
25.845,354949
25.945,354966
26.045,354981
26.146,354996
26.246,355012
26.346,355028
26.446,355046
26.546,355061
26.646,355080
26.747,355096
26.847,355112
26.947,355130
27.047,355148
27.147,355163
27.247,355181
27.347,355197
27.448,355212
27.548,355227
27.648,355242
27.748,355258
27.848,355274
27.948,355291
28.049,355306
28.149,355325
28.249,355340
28.349,355355
28.449,355371
28.549,355388
28.649,355403
28.749,355419
28.849,355435
28.950,355451
29.050,355467
29.150,355482
29.250,355497
29.350,355513
29.450,355530
29.551,355545
29.651,355566
29.751,355582
29.851,355598
29.951,355614
30.051,355629
30.151,355646
30.252,355663
30.352,355679
30.452,355695
30.552,355713
30.652,355730
30.752,355745
30.853,355760
30.953,355776
31.053,355792
31.153,355810
31.253,355829
31.353,355844
31.454,355862
31.554,355877
31.654,355892
31.754,355907
31.854,355923
31.955,355938
32.055,355953
32.155,355971
32.255,355988
32.355,356003
32.455,356020
32.556,356035
32.656,356050
32.756,356066
32.856,356081
32.956,356096
33.056,356113
33.157,356128
33.257,356145
33.357,356160
33.457,356175
33.557,356191
33.657,356208
33.758,356223
33.858,356242
33.958,356259
34.058,356274
34.158,356290
34.259,356307
34.359,356324
34.459,356340
34.559,356356
34.659,356371
34.759,356387
34.860,356402
34.960,356417
35.060,356432
35.160,356449
35.260,356466
35.360,356484
35.461,356499
35.561,356515
35.661,356531
35.761,356549
35.861,356564
35.961,356582
36.062,356597
36.162,356612
36.262,356627
36.362,356642
36.462,356658
36.563,356674
36.663,356689
36.763,356704
36.863,356723
36.963,356738
37.063,356755
37.163,356769
37.264,356788
37.364,356803
37.464,356821
37.564,356840
37.665,356855
37.765,356870
37.865,356885
37.965,356900
38.065,356916
38.165,356936
38.265,356952
38.366,356971
38.466,356986
38.566,357002
38.666,357020
38.766,357035
38.866,357050
38.966,357066
39.067,357082
39.167,357097
39.267,357113
39.367,357129
39.467,357144
39.567,357163
39.667,357179
39.768,357196
39.868,357216
39.968,357230
40.068,357245
40.168,357260
40.268,357276
40.369,357291
40.469,357308
40.569,357323
40.669,357338
40.769,357355
40.869,357373
40.969,357389
41.069,357408
41.169,357424
41.270,357439
41.370,357456
41.470,357471
41.570,357486
41.670,357501
41.770,357517
41.870,357534
41.971,357549
42.071,357564
42.171,357579
42.271,357594
42.372,357612
42.472,357627
42.572,357643
42.672,357660
42.772,357675
42.872,357690
42.972,357705
43.073,357720
43.173,357740
43.273,357756
43.373,357770
43.473,357787
43.573,357802
43.674,357817
43.774,357833
43.874,357849
43.974,357864
