TO_CLIENT
1461982535
time,tx_packets
0.001,88077
0.101,88077
0.201,88077
0.301,88077
0.401,88077
0.502,88077
0.602,88077
0.702,88077
0.803,88077
0.903,88077
1.003,88077
1.103,88080
1.203,88085
1.303,88090
1.404,88095
1.504,88100
1.604,88105
1.704,88110
1.804,88115
1.905,88120
2.005,88125
2.105,88130
2.205,88135
2.305,88140
2.406,88145
2.506,88150
2.606,88155
2.706,88160
2.806,88165
2.906,88170
3.006,88175
3.106,88180
3.207,88185
3.307,88190
3.407,88195
3.507,88200
3.607,88205
3.707,88210
3.807,88215
3.908,88220
4.008,88225
4.108,88230
4.208,88235
4.308,88240
4.408,88245
4.509,88250
4.609,88255
4.709,88260
4.809,88265
4.909,88270
5.010,88275
5.110,88280
5.210,88285
5.310,88290
5.410,88295
5.510,88300
5.611,88305
5.711,88310
5.811,88315
5.911,88320
6.011,88325
6.112,88330
6.212,88335
6.312,88340
6.412,88345
6.512,88350
6.613,88355
6.713,88360
6.813,88365
6.913,88370
7.013,88375
7.114,88380
7.214,88385
7.314,88390
7.414,88395
7.514,88400
7.615,88405
7.715,88410
7.815,88415
7.916,88420
8.015,88425
8.115,88430
8.216,88435
8.316,88440
8.416,88445
8.516,88450
8.616,88455
8.716,88460
8.816,88465
8.917,88470
9.017,88475
9.117,88480
9.217,88485
9.317,88490
9.418,88495
9.518,88500
9.618,88506
9.718,88511
9.818,88516
9.919,88521
10.019,88526
10.119,88531
10.219,88536
10.319,88541
10.420,88546
10.520,88551
10.620,88556
10.720,88561
10.820,88566
10.920,88571
11.020,88576
11.121,88580
11.221,88585
11.321,88590
11.421,88593
11.521,88598
11.621,88604
11.721,88609
11.822,88614
11.922,88620
12.022,88625
12.122,88630
12.222,88635
12.322,88640
12.422,88645
12.522,88650
12.623,88655
12.723,88660
12.823,88665
12.923,88670
13.023,88675
13.123,88680
13.223,88685
13.323,88690
13.424,88695
13.524,88700
13.624,88705
13.724,88710
13.824,88715
13.924,88720
14.025,88725
14.125,88730
14.225,88735
14.325,88740
14.425,88745
14.525,88750
14.625,88755
14.725,88760
14.826,88765
14.926,88768
15.026,88775
15.126,88780
15.226,88785
15.326,88790
15.426,88795
15.527,88800
15.627,88805
15.727,88810
15.827,88815
15.927,88820
16.028,88825
16.128,88830
16.228,88835
16.328,88840
16.428,88845
16.528,88850
16.628,88855
16.728,88860
16.829,88865
16.929,88871
17.029,88876
17.129,88881
17.229,88886
17.330,88891
17.430,88896
17.530,88901
17.630,88906
17.730,88911
17.830,88916
17.931,88921
18.031,88926
18.131,88931
18.231,88936
18.331,88941
18.432,88946
18.532,88951
18.632,88956
18.732,88961
18.832,88966
18.933,88971
19.033,88976
19.133,88981
19.233,88986
19.334,88991
19.434,88996
19.534,89001
19.634,89006
19.734,89011
19.834,89016
19.935,89021
20.035,89026
20.135,89031
20.235,89036
20.336,89041
20.436,89046
20.536,89051
20.636,89056
20.736,89061
20.836,89066
20.936,89071
21.037,89076
21.137,89081
21.237,89086
21.337,89091
21.437,89096
21.538,89101
21.638,89106
21.738,89111
21.838,89116
21.938,89121
22.038,89126
22.138,89131
22.239,89136
22.339,89141
22.439,89146
22.539,89151
22.639,89156
22.739,89161
22.839,89166
22.940,89171
23.040,89176
23.140,89181
23.240,89186
23.340,89191
23.440,89196
23.541,89201
23.641,89206
23.741,89212
23.841,89217
23.941,89222
24.041,89227
24.142,89232
24.242,89237
24.342,89242
24.442,89247
24.542,89252
24.642,89257
24.743,89260
24.843,89267
24.943,89272
25.043,89277
25.143,89282
25.243,89287
25.344,89292
25.444,89297
25.544,89302
25.644,89307
25.744,89312
25.844,89317
25.945,89322
26.045,89327
26.145,89332
26.245,89337
26.345,89342
26.446,89347
26.546,89352
26.646,89357
26.746,89362
26.846,89367
26.946,89372
27.046,89377
27.147,89382
27.247,89387
27.347,89392
27.447,89397
27.547,89402
27.647,89407
27.748,89412
27.848,89417
27.948,89422
28.048,89427
28.148,89432
28.248,89437
28.348,89442
28.448,89447
28.548,89452
28.649,89457
28.749,89462
28.849,89467
28.949,89472
29.049,89477
29.149,89482
29.250,89487
29.350,89492
29.450,89497
29.550,89502
29.650,89507
29.750,89512
29.850,89517
29.950,89522
30.051,89527
30.151,89532
30.251,89537
30.351,89542
30.451,89547
30.551,89552
30.652,89557
30.752,89562
30.852,89567
30.952,89572
31.052,89577
31.152,89582
31.253,89587
31.353,89592
31.453,89597
31.553,89602
31.653,89607
31.754,89612
31.854,89617
31.954,89622
32.054,89627
32.154,89632
32.255,89637
32.355,89642
32.455,89647
32.555,89652
32.656,89657
32.756,89662
32.856,89667
32.956,89672
33.056,89677
33.156,89682
33.257,89687
33.357,89692
33.457,89697
33.557,89702
33.657,89707
33.758,89712
33.858,89717
33.958,89722
34.058,89727
34.158,89732
34.258,89737
34.359,89742
34.459,89747
34.559,89752
34.659,89757
34.759,89762
34.860,89767
34.960,89770
35.060,89777
35.160,89782
35.260,89787
35.360,89792
35.460,89797
35.561,89802
35.661,89807
35.761,89813
35.861,89818
35.961,89823
36.061,89828
36.162,89833
36.262,89838
36.362,89843
36.462,89848
36.562,89853
36.665,89858
36.763,89863
36.863,89868
36.963,89873
37.063,89878
37.163,89883
37.263,89888
37.363,89893
37.464,89898
37.564,89903
37.668,89908
37.764,89913
37.864,89918
37.964,89923
38.064,89929
38.165,89934
38.265,89939
38.365,89944
38.465,89949
38.565,89954
38.667,89959
38.765,89964
38.866,89969
38.966,89974
39.066,89979
39.166,89984
39.266,89989
39.366,89994
39.467,89999
39.567,90004
39.668,90009
39.767,90012
39.867,90019
39.967,90024
40.067,90029
40.168,90034
40.268,90039
40.368,90044
40.468,90049
40.568,90054
40.668,90059
40.768,90064
40.868,90069
40.968,90074
41.069,90079
42.169,90134
42.269,90139
42.369,90144
42.469,90149
42.569,90154
42.670,90159
42.770,90164
