TO_UM
1461982801
time,tx_packets
0.001,551885
0.101,551885
0.201,551885
0.301,551885
0.401,551886
0.501,551886
0.602,551886
0.702,551886
0.802,551886
0.902,551886
1.002,551888
1.102,551902
1.202,551919
1.302,551936
1.403,551951
1.503,551967
1.603,551984
1.703,552006
1.804,552029
1.904,552044
2.004,552059
2.104,552075
2.204,552090
2.305,552105
2.405,552124
2.505,552143
2.605,552158
2.706,552175
2.806,552191
2.906,552210
3.006,552233
3.106,552250
3.206,552266
3.307,552284
3.407,552305
3.507,552320
3.607,552341
3.707,552355
3.808,552379
3.908,552397
4.008,552412
4.108,552427
4.208,552442
4.309,552463
4.409,552479
4.509,552495
4.609,552516
4.709,552557
4.810,552571
4.910,552592
5.010,552608
5.110,552624
5.210,552638
5.310,552656
5.411,552671
5.511,552687
5.611,552702
5.711,552716
5.812,552760
5.912,552779
6.012,552793
6.112,552809
6.212,552824
6.312,552839
6.412,552854
6.512,552869
6.612,552884
6.713,552899
6.813,552914
6.913,552929
7.013,552944
7.113,552960
7.213,552975
7.313,552991
7.414,553007
7.514,553022
7.614,553037
7.714,553052
7.815,553067
7.915,553083
8.015,553099
8.115,553118
8.215,553133
8.316,553152
8.416,553176
8.516,553195
8.616,553213
8.716,553228
8.817,553242
8.917,553267
9.017,553292
9.117,553312
9.218,553336
9.318,553356
9.418,553376
9.518,553396
9.618,553428
9.718,553451
9.818,553471
9.918,553497
10.019,553518
10.119,553538
10.219,553558
10.319,553583
10.419,553603
10.520,553623
10.620,553643
10.720,553668
10.820,553695
10.920,553714
11.021,553734
11.121,553756
11.221,553783
11.321,553808
11.421,553838
11.521,553869
11.621,553901
11.722,553936
11.822,553972
11.922,554006
12.022,554042
12.122,554080
12.222,554118
12.323,554153
12.423,554190
12.523,554230
12.623,554266
12.724,554304
12.824,554340
12.924,554375
13.024,554412
13.124,554450
13.224,554485
13.325,554521
13.425,554556
13.525,554591
13.625,554626
13.725,554663
13.825,554699
13.926,554734
14.026,554773
14.126,554810
14.226,554845
14.326,554884
14.427,554920
14.527,554955
14.627,554990
14.727,555025
14.827,555060
14.928,555095
15.028,555131
15.128,555168
15.228,555205
15.328,555242
15.428,555277
15.529,555318
15.629,555353
15.729,555391
15.829,555431
15.929,555469
16.030,555504
16.130,555540
16.230,555577
16.330,555613
16.430,555651
16.530,555686
16.631,555722
16.731,555761
16.831,555797
16.931,555831
17.031,555877
17.131,555918
17.231,555960
17.331,556007
17.431,556049
17.532,556093
17.632,556140
17.732,556180
17.832,556217
17.932,556252
18.032,556290
18.132,556336
18.232,556392
18.332,556431
18.432,556467
18.533,556519
18.633,556558
18.733,556602
18.833,556641
18.933,556676
19.033,556712
19.134,556763
19.234,556807
19.334,556852
19.434,556894
19.534,556931
19.634,556967
19.735,557001
19.835,557040
19.935,557074
20.035,557114
20.135,557149
20.236,557198
20.336,557236
20.436,557287
20.536,557334
20.636,557370
20.736,557409
20.837,557445
20.937,557482
21.037,557517
21.137,557561
21.237,557610
21.337,557668
21.438,557716
21.538,557752
21.638,557789
21.738,557824
21.838,557870
21.939,557907
22.039,557946
22.139,557984
22.239,558030
22.339,558072
22.440,558120
22.540,558164
22.640,558203
22.740,558256
22.840,558304
22.941,558343
23.041,558379
23.141,558415
23.241,558451
23.341,558486
23.441,558521
23.542,558557
23.642,558598
23.742,558633
23.842,558668
23.942,558703
24.043,558738
24.143,558774
24.243,558812
24.343,558853
24.443,558894
24.544,558942
24.644,558987
24.744,559028
24.844,559064
24.944,559102
25.044,559137
25.145,559172
25.245,559207
25.345,559247
25.445,559298
25.545,559342
25.645,559389
25.745,559432
25.846,559475
25.946,559510
26.046,559546
26.146,559582
26.246,559628
26.346,559666
26.446,559703
26.547,559748
26.647,559790
26.747,559836
26.847,559882
26.947,559924
27.048,559962
27.148,560002
27.248,560048
27.348,560086
27.448,560121
27.549,560165
27.649,560201
27.749,560239
27.849,560277
27.949,560317
28.050,560355
28.150,560400
28.250,560439
28.350,560474
28.450,560511
28.551,560547
28.651,560590
28.751,560639
28.851,560682
28.951,560721
29.051,560766
29.151,560808
29.251,560846
29.352,560881
29.452,560916
29.552,560952
29.652,560996
29.752,561033
29.852,561078
29.953,561121
30.052,561158
30.153,561206
30.253,561242
30.353,561279
30.453,561317
30.554,561353
30.654,561388
30.754,561423
30.854,561469
30.954,561506
31.054,561544
31.154,561584
31.255,561619
31.355,561654
31.455,561692
31.555,561727
31.655,561763
31.755,561798
31.856,561842
31.956,561889
32.056,561936
32.156,561975
32.257,562023
32.357,562073
32.457,562118
32.557,562164
32.657,562208
32.758,562252
32.858,562288
32.958,562329
33.058,562374
33.158,562415
33.259,562463
33.359,562505
33.459,562541
33.559,562592
33.659,562634
33.760,562671
33.860,562713
33.960,562758
34.060,562803
34.160,562841
34.261,562886
34.361,562927
34.461,562970
34.561,563007
34.661,563065
34.762,563101
34.862,563137
34.962,563200
35.062,563244
35.162,563288
35.262,563331
35.363,563381
35.463,563428
35.563,563471
35.663,563519
35.763,563575
35.863,563616
35.964,563662
36.064,563709
36.164,563749
36.264,563804
36.364,563851
36.464,563897
36.565,563935
36.665,563970
36.765,564007
36.865,564042
36.965,564079
37.066,564117
37.166,564161
37.266,564206
37.366,564246
37.466,564297
37.566,564337
37.667,564372
37.767,564411
37.867,564449
37.967,564485
38.067,564521
38.168,564559
38.268,564597
38.368,564643
38.468,564689
