TO_CLIENT
1462059700
time,tx_packets
0.001,10
0.102,10
0.201,10
0.302,10
0.402,10
0.502,10
0.602,10
0.702,11
0.803,11
0.903,12
1.003,17
1.104,22
1.204,27
1.304,32
1.405,37
1.505,42
1.605,47
1.706,52
1.805,57
1.906,62
2.006,67
2.107,72
2.207,77
2.307,82
2.407,87
2.507,92
2.608,97
2.708,102
2.808,107
2.908,112
3.009,117
3.109,122
3.209,127
3.309,132
3.410,137
3.510,142
3.610,147
3.711,152
3.811,157
3.911,162
4.011,167
4.112,172
4.212,177
4.312,182
4.412,187
4.512,192
4.613,195
4.713,200
4.813,207
4.913,212
5.014,217
5.114,222
5.214,227
5.315,232
5.415,237
5.515,242
5.615,247
5.716,252
5.816,257
5.916,263
6.017,268
6.117,273
6.217,278
6.317,283
6.417,288
6.518,293
6.618,298
6.718,303
6.819,308
6.919,313
7.020,318
7.120,323
7.220,328
7.320,333
7.420,338
7.521,343
7.621,348
7.722,354
7.821,359
7.922,364
8.022,369
8.122,374
8.223,379
8.323,384
8.423,389
8.524,394
8.624,399
8.724,404
8.824,409
8.925,414
9.025,419
9.125,424
9.225,429
9.326,434
9.426,439
9.526,444
9.626,449
9.726,454
9.827,459
9.927,464
10.028,469
10.128,474
10.228,479
10.328,484
10.429,489
10.529,494
10.629,499
10.729,504
10.830,509
10.930,514
11.030,517
11.130,517
11.230,517
11.331,519
11.431,519
11.531,519
11.631,519
11.732,519
11.832,519
11.932,519
12.032,519
12.133,519
12.233,519
12.334,519
12.434,519
12.534,519
12.634,519
12.735,519
12.835,519
12.935,519
13.035,519
13.135,519
13.236,519
13.336,519
13.436,519
13.537,519
13.637,519
13.737,519
13.837,519
13.938,519
14.038,519
14.138,519
14.239,519
14.339,519
14.439,519
14.539,519
14.640,519
14.740,519
14.840,519
14.941,519
15.041,519
15.141,519
15.241,519
15.342,519
15.442,519
15.542,519
15.642,519
15.742,519
15.843,519
15.943,519
16.043,519
16.143,519
16.244,519
16.344,519
16.444,519
16.544,519
16.645,519
16.745,519
16.845,519
16.946,519
17.046,519
17.146,519
17.246,519
17.347,519
17.447,519
17.547,519
17.647,519
17.748,519
17.848,519
17.948,519
18.049,519
18.149,519
18.249,519
18.349,519
18.450,519
18.550,519
18.650,519
18.751,519
18.851,519
18.951,519
19.051,519
19.152,519
19.252,519
19.352,519
19.452,519
19.553,519
19.653,519
19.753,519
19.853,519
19.953,519
20.054,519
20.154,519
20.254,519
20.354,519
20.455,519
20.555,519
20.655,519
20.755,519
20.856,519
20.956,519
21.056,519
21.156,519
21.256,519
21.357,519
21.457,519
21.557,519
21.657,519
21.757,519
21.858,519
21.958,519
22.058,519
22.158,519
22.259,519
22.359,519
22.459,519
22.559,519
22.660,519
22.760,519
22.860,519
22.960,519
23.061,519
23.161,519
23.262,519
23.362,519
23.462,519
23.562,519
23.662,519
23.763,519
23.863,519
23.963,519
24.063,519
24.164,519
24.264,519
24.364,519
24.464,519
24.564,519
24.665,519
24.765,519
24.866,519
24.965,519
25.066,519
25.166,519
25.266,520
25.367,520
25.467,520
25.567,520
25.667,520
25.768,520
25.868,520
25.968,520
26.069,520
26.169,520
26.269,520
26.370,520
26.470,520
26.570,520
26.670,520
26.770,520
26.870,520
26.971,520
27.071,520
27.171,520
27.271,520
27.372,520
27.472,520
27.572,520
27.672,520
27.772,520
27.873,520
27.973,520
28.073,520
28.173,520
28.273,520
28.373,520
28.474,520
28.574,520
28.674,520
28.774,520
28.875,520
28.975,520
29.075,520
29.176,520
29.276,520
29.376,520
29.477,520
29.577,520
29.677,520
29.777,520
29.877,520
29.978,520
30.078,520
30.178,520
30.279,520
30.379,520
30.479,520
30.579,520
30.680,520
30.780,520
30.880,520
30.980,520
31.081,520
32.181,520
32.281,520
32.381,520
32.482,520
32.582,520
32.682,520
32.782,520
32.883,520
32.983,520
33.083,520
33.184,520
33.284,520
33.384,520
33.484,520
33.585,520
33.685,520
33.785,520
33.885,520
33.985,520
34.086,520
34.186,525
34.286,530
34.386,535
34.486,540
34.587,545
34.687,550
34.788,555
34.887,556
34.987,562
35.088,568
35.188,568
35.288,575
35.388,584
35.488,590
35.589,595
35.689,600
35.789,605
35.889,610
35.990,615
36.090,620
36.190,625
36.290,630
36.390,635
36.491,640
36.591,645
36.691,650
36.791,655
36.891,660
36.992,665
37.092,670
37.192,675
37.293,680
37.392,685
37.493,690
37.593,695
37.693,700
37.794,705
37.894,710
37.994,715
38.094,720
38.195,725
38.295,730
38.395,735
38.495,740
38.596,745
38.696,750
38.796,755
38.896,760
38.997,765
39.097,770
39.197,775
39.297,780
39.397,785
39.498,791
39.598,796
39.698,801
39.798,806
39.898,811
39.998,816
40.098,821
40.199,826
40.299,831
40.399,836
40.499,841
40.599,846
40.699,851
40.800,856
40.900,861
41.001,866
41.101,871
41.201,876
41.301,881
41.402,886
41.502,891
41.602,896
41.702,901
41.802,906
41.903,911
42.004,916
42.103,921
42.204,926
42.304,931
42.404,936
42.504,941
42.604,946
42.705,951
42.805,956
42.905,961
43.005,966
43.105,971
43.206,976
43.306,981
43.406,986
43.506,991
43.607,996
43.707,1001
43.807,1006
43.907,1011
44.008,1016
44.108,1021
44.209,1026
44.308,1031
44.409,1036
44.509,1041
44.609,1046
44.710,1051
44.810,1056
44.910,1061
45.010,1066
45.110,1071
45.211,1076
45.311,1081
45.411,1086
45.511,1091
45.612,1096
45.712,1101
45.812,1106
45.913,1111
46.013,1116
46.113,1121
46.213,1126
46.314,1131
46.414,1136
46.514,1141
46.614,1146
46.715,1151
46.815,1156
46.915,1161
47.016,1166
47.116,1171
47.216,1176
47.316,1181
47.416,1186
47.517,1191
47.617,1196
47.717,1202
47.818,1207
47.917,1212
48.018,1217
48.118,1222
48.218,1227
48.318,1232
48.418,1237
48.518,1242
48.618,1247
48.718,1252
48.818,1257
48.919,1262
49.019,1267
49.119,1272
49.219,1277
49.319,1282
49.419,1287
49.520,1292
49.620,1297
49.721,1302
49.821,1308
49.921,1313
50.021,1318
50.121,1321
50.222,1328
50.322,1333
50.423,1338
50.522,1343
50.622,1348
50.723,1353
50.823,1358
50.923,1363
51.023,1368
51.123,1373
51.224,1378
51.324,1383
51.424,1388
51.525,1393
51.625,1398
51.725,1403
51.826,1408
51.926,1413
52.026,1418
52.126,1423
52.226,1428
52.327,1433
52.427,1438
52.527,1443
52.627,1448
52.728,1453
52.828,1458
52.928,1463
53.029,1468
53.129,1473
53.229,1478
53.330,1483
53.430,1488
53.530,1493
53.630,1498
53.731,1503
53.831,1508
53.932,1513
54.032,1518
54.132,1523
54.232,1527
54.332,1533
54.433,1538
54.533,1543
54.633,1548
54.733,1553
54.834,1559
54.934,1564
55.034,1569
55.135,1574
55.235,1579
55.335,1584
55.435,1589
55.536,1594
55.635,1599
55.736,1604
55.836,1609
55.936,1614
56.037,1619
56.137,1624
56.237,1629
56.338,1635
56.438,1640
56.538,1645
56.638,1650
56.738,1655
56.838,1660
56.939,1665
57.039,1670
57.139,1675
57.239,1680
57.339,1685
57.440,1690
57.540,1695
57.640,1700
57.740,1705
57.840,1710
57.941,1715
58.041,1720
58.141,1725
58.241,1730
58.341,1735
58.442,1740
58.542,1745
58.642,1750
58.742,1755
58.842,1760
58.943,1765
59.043,1770
59.143,1774
59.243,1780
59.343,1785
59.444,1790
59.544,1795
59.644,1800
59.744,1805
59.845,1810
59.945,1815
60.045,1820
60.145,1825
60.245,1830
60.345,1835
60.446,1840
60.546,1845
60.646,1850
60.746,1855
60.846,1860
60.947,1865
61.047,1870
61.147,1875
61.247,1880
61.347,1885
61.448,1890
61.548,1895
61.648,1900
61.748,1905
61.848,1910
61.949,1915
62.049,1920
62.149,1925
62.249,1930
62.349,1935
62.450,1940
62.550,1945
62.650,1950
62.750,1955
62.850,1960
62.951,1965
63.051,1970
63.151,1975
63.251,1980
63.351,1985
63.452,1990
63.552,1995
63.652,2000
63.752,2005
63.852,2010
63.953,2015
64.053,2020
64.153,2025
64.253,2030
64.353,2035
64.454,2040
64.554,2045
64.654,2050
64.754,2055
64.854,2060
64.955,2065
65.055,2070
65.155,2075
65.255,2080
65.355,2085
65.456,2090
65.556,2095
65.656,2100
65.756,2105
65.856,2110
65.957,2115
66.057,2120
66.157,2125
66.257,2130
66.358,2135
66.458,2141
66.558,2146
66.658,2151
66.758,2156
66.859,2161
66.959,2166
67.059,2171
67.159,2176
67.260,2181
67.360,2186
67.460,2191
67.560,2196
67.660,2201
67.761,2206
67.861,2211
67.961,2216
68.061,2221
68.161,2226
68.262,2231
68.362,2236
68.462,2241
68.562,2246
68.662,2251
68.763,2256
68.863,2261
68.963,2266
69.063,2271
69.164,2276
69.264,2281
69.364,2286
69.464,2291
69.564,2296
69.665,2301
69.765,2306
69.865,2309
69.965,2315
70.065,2320
70.166,2322
70.266,2331
70.366,2336
70.467,2341
70.567,2346
70.667,2351
70.767,2356
70.867,2361
70.967,2366
71.068,2371
71.168,2376
71.268,2381
71.368,2386
71.469,2391
71.569,2396
71.669,2401
71.769,2406
71.869,2411
71.970,2416
72.070,2421
72.170,2426
72.270,2431
72.370,2436
72.470,2441
72.571,2446
72.671,2451
72.771,2456
72.871,2461
72.972,2466
73.071,2471
73.172,2476
73.272,2481
73.372,2486
73.472,2491
73.572,2496
73.673,2501
73.773,2506
73.873,2511
73.974,2516
74.073,2521
74.174,2526
74.274,2531
74.374,2536
74.474,2542
74.574,2547
74.675,2552
74.775,2557
74.875,2562
74.975,2567
75.075,2572
75.176,2577
75.276,2582
75.376,2587
75.476,2592
75.576,2597
75.677,2602
75.777,2607
75.877,2612
75.977,2617
76.077,2622
76.178,2627
76.278,2633
76.378,2638
76.478,2643
76.578,2648
76.678,2653
76.779,2658
76.879,2663
76.979,2668
77.079,2673
77.179,2678
77.279,2683
77.380,2688
77.480,2693
77.580,2698
77.680,2703
77.780,2708
77.881,2713
77.981,2718
78.081,2723
78.181,2728
78.281,2733
78.381,2738
78.482,2743
78.582,2748
78.682,2753
78.782,2758
78.882,2763
78.983,2768
79.083,2773
79.183,2777
79.283,2783
79.383,2788
79.484,2793
79.584,2798
79.684,2803
79.784,2808
79.884,2813
79.985,2818
80.085,2823
80.185,2828
80.285,2833
80.385,2838
80.486,2843
80.586,2848
80.686,2853
80.786,2858
80.886,2863
80.987,2868
81.087,2873
81.187,2878
81.287,2883
81.388,2888
81.488,2893
81.588,2898
81.688,2903
81.788,2908
81.889,2913
81.989,2918
82.089,2923
82.189,2928
82.289,2933
82.390,2938
82.490,2945
82.590,2954
82.690,2963
82.790,2972
82.891,2981
82.991,2988
83.091,2993
83.191,2998
83.291,3003
83.392,3008
83.492,3013
83.592,3018
83.692,3023
83.792,3028
83.893,3033
83.993,3038
84.093,3043
84.193,3048
84.293,3053
84.394,3058
84.494,3063
84.594,3068
84.694,3073
84.794,3078
84.895,3083
84.995,3088
85.095,3093
85.195,3098
85.295,3103
85.396,3108
85.496,3113
85.596,3118
85.696,3123
85.796,3128
85.897,3133
85.997,3138
86.097,3143
86.197,3148
86.297,3153
86.398,3158
86.498,3163
86.598,3169
86.698,3174
86.798,3179
86.899,3184
86.999,3189
87.099,3194
