TO_UIUC
1462060231
time,tx_packets
0.001,13009
0.102,13009
0.201,13009
0.302,13009
0.402,13009
0.502,13009
0.602,13009
0.702,13009
0.803,13009
0.903,13009
1.003,13009
1.103,13009
1.203,13009
1.304,13009
1.404,13009
1.504,13009
1.604,13009
1.705,13009
1.805,13009
1.905,13009
2.006,13009
2.106,13009
2.206,13009
2.306,13009
2.407,13009
2.507,13009
3.607,13009
3.707,13009
3.808,13009
3.908,13009
4.008,13009
4.109,13009
4.209,13009
4.309,13009
4.409,13009
4.510,13009
4.610,13009
4.710,13009
4.810,13009
4.911,13009
5.011,13009
5.111,13009
5.211,13009
5.311,13009
5.412,13009
5.511,13009
5.612,13009
5.712,13009
5.812,13009
5.912,13009
6.013,13009
6.113,13009
6.213,13009
6.313,13009
6.413,13009
6.513,13009
6.614,13009
6.714,13009
6.814,13009
6.914,13009
7.014,13009
7.115,13009
7.215,13009
7.315,13009
7.416,13009
7.515,13009
7.616,13009
7.716,13009
7.816,13009
7.917,13009
8.017,13009
8.117,13009
8.218,13009
8.318,13009
8.418,13009
8.518,13009
8.619,13009
8.719,13009
8.819,13009
8.920,13009
9.020,13009
9.120,13009
9.220,13009
9.320,13009
9.421,13009
9.521,13009
9.621,13009
9.721,13009
9.821,13009
9.921,13009
10.022,13009
10.122,13009
10.222,13009
10.323,13009
10.423,13009
10.523,13009
10.623,13009
10.724,13009
10.824,13009
10.924,13009
11.024,13009
11.125,13009
11.224,13009
11.325,13009
11.425,13009
11.525,13009
11.625,13009
11.726,13009
11.825,13009
11.926,13009
12.026,13009
12.126,13009
12.227,13009
12.327,13009
12.427,13009
12.527,13009
12.627,13009
12.727,13009
12.827,13009
12.927,13009
13.027,13009
13.128,13009
13.228,13009
13.328,13009
13.428,13009
13.529,13009
13.629,13009
13.729,13009
13.829,13009
13.929,13009
14.030,13009
14.130,13009
14.230,13009
14.330,13009
14.431,13009
14.531,13009
14.631,13009
14.731,13009
14.831,13009
14.931,13009
15.032,13009
15.132,13009
15.232,13009
15.333,13009
15.432,13009
15.533,13009
15.633,13009
15.733,13009
15.833,13009
15.934,13009
16.034,13009
16.134,13009
16.234,13009
16.334,13009
16.435,13009
16.535,13009
16.635,13009
16.736,13009
16.835,13009
16.936,13009
17.036,13009
17.136,13009
17.236,13009
17.337,13009
17.437,13009
17.537,13009
17.637,13009
17.737,13009
17.837,13009
17.938,13009
18.038,13009
18.138,13009
18.238,13009
18.338,13009
18.439,13009
18.539,13009
18.639,13009
18.740,13009
18.840,13009
18.940,13009
19.040,13009
19.140,13009
19.240,13009
19.340,13009
19.440,13009
19.541,13009
19.641,13009
19.741,13009
