TO_CLIENT
1462048048
time,tx_packets
0.001,12602
0.101,12602
0.201,12602
0.301,12602
0.401,12602
0.502,12602
0.602,12602
0.702,12602
0.802,12602
0.902,12602
1.003,12602
1.103,12607
1.203,12612
1.303,12617
1.403,12622
1.504,12627
1.604,12632
1.704,12637
1.804,12642
1.904,12647
2.005,12652
2.105,12657
2.205,12662
2.305,12667
2.405,12672
2.506,12677
2.606,12682
2.706,12687
2.806,12692
2.906,12697
3.007,12702
3.107,12707
3.207,12712
3.307,12717
3.407,12722
3.508,12727
3.608,12732
3.708,12737
3.808,12742
3.908,12747
4.009,12752
4.109,12757
4.209,12762
4.309,12767
4.409,12772
4.510,12777
4.610,12782
4.710,12786
4.810,12792
4.911,12797
5.010,12802
5.111,12807
5.211,12812
5.311,12817
5.412,12822
5.511,12827
5.612,12832
5.712,12837
5.812,12842
5.912,12847
6.012,12852
6.113,12858
6.213,12863
6.313,12868
6.414,12873
6.513,12878
6.614,12883
6.714,12888
6.814,12893
6.914,12898
7.014,12903
7.114,12908
7.215,12913
7.315,12918
7.415,12923
7.515,12928
7.615,12933
7.716,12938
7.816,12943
7.916,12948
8.016,12953
8.116,12958
8.216,12963
8.317,12968
8.417,12973
8.517,12978
8.617,12983
8.717,12988
8.818,12993
8.918,12998
9.018,13003
9.118,13008
9.218,13013
9.319,13018
9.419,13023
9.519,13028
9.619,13033
9.719,13038
9.820,13044
9.920,13049
10.020,13054
10.120,13059
10.220,13064
10.320,13069
10.421,13074
10.521,13079
10.621,13084
10.721,13089
10.822,13094
10.922,13099
11.022,13104
11.122,13105
11.222,13105
11.323,13106
11.423,13111
11.523,13116
11.623,13117
11.723,13117
11.824,13121
11.924,13126
12.024,13131
12.124,13136
12.224,13142
12.324,13147
12.425,13152
12.525,13157
12.625,13162
12.725,13167
12.825,13172
12.926,13177
13.026,13182
13.126,13187
13.226,13192
13.326,13197
13.426,13202
13.527,13207
13.627,13212
13.727,13217
13.827,13222
13.927,13227
14.028,13232
14.128,13237
14.228,13242
14.328,13247
14.428,13252
14.528,13257
14.629,13262
14.729,13267
14.829,13272
14.929,13277
15.029,13282
15.130,13287
15.230,13292
15.330,13297
15.430,13302
15.531,13307
15.631,13312
15.731,13317
15.831,13322
15.931,13327
16.032,13332
16.132,13337
16.232,13342
16.332,13347
16.432,13352
16.533,13357
16.633,13362
16.733,13367
16.833,13372
16.933,13377
17.034,13382
17.134,13387
17.234,13392
17.334,13397
17.435,13402
17.535,13407
17.635,13412
17.735,13417
17.835,13422
17.936,13427
18.036,13432
